GO_CC_terms,_Pa_count_1;all_genes,_Pa_count_1;_Pa_count_HiC_all,_Pa_count_2;_Pa_count_1,_Pa_count_3;_Pa_count_1,_Pa_count_4;_Pa_count_1,_Pa_count_5;_Pa_count_1,_Pa_count_grthan5;_Pa_count_1
actin-based cell projection,NA,NA,NA,NA,0.0207827970293144,0.00138412649400117,NA
AMPA glutamate receptor complex,NA,NA,NA,NA,NA,0.0241226880551064,NA
apical part of cell,NA,NA,NA,NA,NA,0.000695179484223142,NA
apical plasma membrane,NA,NA,NA,NA,NA,0.0163331543071405,NA
asymmetric synapse,NA,NA,NA,NA,0.00975446993048661,4.33903390810942e-10,0.00152933881933714
axon part,NA,NA,NA,NA,4.76689439728862e-06,6.47871345587925e-06,0.0207890202757146
axon terminus,NA,NA,NA,NA,0.0117384798436522,NA,NA
axonemal dynein complex,NA,NA,NA,NA,NA,0.00254863854342106,NA
axoneme part,NA,NA,NA,NA,NA,0.00807272061015071,NA
basement membrane,NA,NA,NA,NA,0.00416081732436655,0.0113538419675955,NA
calcium channel complex,NA,NA,NA,NA,0.011678860874281,0.00240682561558837,NA
catenin complex,NA,NA,NA,NA,0.0301347793646405,NA,NA
cation channel complex,NA,NA,NA,NA,2.06779116079955e-09,4.33903390810942e-10,8.47185724796847e-05
caveola,NA,NA,NA,NA,NA,0.0126147300349756,NA
cell body,NA,NA,NA,NA,NA,0.000184763513261883,NA
cell cortex,NA,NA,NA,NA,0.0037490860701611,9.80258768518614e-06,NA
cell cortex part,NA,NA,NA,NA,0.0110011716545293,0.00191996080635893,NA
cell leading edge,NA,NA,NA,NA,1.8468338068632e-05,0.00296509962060882,NA
cell-cell adherens junction,NA,NA,NA,NA,0.0021938655050265,0.000393687227761961,NA
cell-cell contact zone,NA,NA,NA,NA,NA,0.0259190652070469,NA
cell-cell junction,NA,NA,NA,NA,0.0136399000501048,3.22758062376361e-05,NA
cell-substrate adherens junction,NA,NA,NA,NA,NA,0.0341535115653635,NA
cell-substrate junction,NA,NA,NA,NA,NA,0.0362513445619951,NA
collagen trimer,NA,NA,NA,NA,0.0188864144531202,NA,NA
contractile fiber,NA,NA,NA,NA,NA,0.0273782377814337,NA
contractile fiber part,NA,NA,NA,NA,NA,0.0316878803362213,NA
cortical actin cytoskeleton,NA,NA,NA,NA,0.00176039906035754,0.0126147300349756,NA
cortical cytoskeleton,NA,NA,NA,NA,0.0131790983589289,0.0405318114903345,NA
