KEGG_terms,_Pa_count_1;all_genes,_Pa_count_1;_Pa_count_HiC_all,_Pa_count_2;_Pa_count_1,_Pa_count_3;_Pa_count_1,_Pa_count_4;_Pa_count_1,_Pa_count_5;_Pa_count_1,_Pa_count_grthan5;_Pa_count_1
Adrenergic signaling in cardiomyocytes,NA,NA,NA,NA,0.0265983431377799,NA,NA
Amphetamine addiction,NA,NA,NA,NA,NA,0.0273026434712348,NA
Arrhythmogenic right ventricular cardiomyopathy (ARVC),NA,NA,NA,NA,0.0458510847676972,0.0114117166490223,NA
Axon guidance,NA,NA,NA,NA,0.000956679437823401,0.00072299736624278,0.0220038798182301
Calcium signaling pathway,NA,NA,NA,NA,0.000956679437823401,0.00072299736624278,0.00108732010867118
cAMP signaling pathway,NA,NA,NA,NA,0.00618295877535458,0.0218161775414058,NA
cGMP-PKG signaling pathway,NA,NA,NA,NA,0.0412112348399208,NA,NA
Circadian entrainment,NA,NA,NA,NA,NA,0.0114117166490223,0.0352997415708925
Dopaminergic synapse,NA,NA,NA,NA,NA,0.0168960544366242,0.0108808659107104
Focal adhesion,NA,NA,NA,NA,0.0428507446131774,NA,NA
GABAergic synapse,NA,NA,NA,NA,0.0265983431377799,0.0228234189681933,NA
Gastric acid secretion,NA,NA,NA,NA,0.0180133334301208,0.00979566730053527,NA
Glucagon signaling pathway,NA,NA,NA,NA,0.0265983431377799,NA,NA
Glutamatergic synapse,NA,NA,NA,NA,NA,0.00659349456419476,0.00108732010867118
Growth hormone synthesis  secretion and action,NA,NA,NA,NA,0.041373629056633,NA,NA
Herpes simplex virus 1 infection,NA,NA,NA,NA,NA,0.00659349456419476,2.46361504721277e-09
Human papillomavirus infection,NA,NA,NA,NA,0.0265983431377799,NA,NA
Inflammatory mediator regulation of TRP channels,NA,NA,NA,NA,0.0457385496328475,NA,0.0187939619014651
Long-term depression,NA,NA,NA,NA,NA,0.00659349456419476,0.0379561446529731
Long-term potentiation,NA,NA,NA,NA,0.0474762971641613,0.00979566730053527,0.00160945759477402
Melanogenesis,NA,NA,NA,NA,0.0412112348399208,NA,NA
Morphine addiction,NA,NA,NA,NA,0.0412649299457392,0.00659349456419476,NA
Mucin type O-glycan biosynthesis,NA,NA,NA,NA,NA,NA,0.00607461245629869
Nicotine addiction,NA,NA,NA,NA,0.0265983431377799,0.0214406690386607,0.0250777070822813
Other types of O-glycan biosynthesis,NA,NA,NA,NA,NA,NA,0.00117290699679851
Oxytocin signaling pathway,NA,NA,NA,NA,NA,0.00243316531569932,0.0352997415708925
Phosphatidylinositol signaling system,NA,NA,NA,NA,0.0265983431377799,0.0260377643358505,0.0352997415708925
Rap1 signaling pathway,NA,NA,NA,NA,NA,NA,0.0379561446529731
Ras signaling pathway,NA,NA,NA,NA,NA,NA,0.0213925625173606
Renin secretion,NA,NA,NA,NA,0.0265983431377799,0.00243316531569932,0.00108732010867118
Retrograde endocannabinoid signaling,NA,NA,NA,NA,NA,0.0214406690386607,NA
Salivary secretion,NA,NA,NA,NA,NA,0.0168960544366242,0.0108792573405443
Spinocerebellar ataxia,NA,NA,NA,NA,0.031120002363953,0.0228234189681933,NA
Thyroid hormone synthesis,NA,NA,NA,NA,NA,NA,0.0352997415708925
Vascular smooth muscle contraction,NA,NA,NA,NA,NA,0.0211161100509757,0.0379561446529731
Wnt signaling pathway,NA,NA,NA,NA,NA,0.0228234189681933,NA
