ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0061564,axon development,225/5132,485/16588,3.36755317625695e-13,2.06734089490414e-09,1.85640799832186e-09,DRAXIN/TNFRSF8/EPHA8/EPHB2/LYPLA2/MACF1/PTPRF/DAB1/LPAR3/NTNG1/NRAS/NGF/SEMA4A/SPTA1/LMX1A/TNN/TNR/PRELP/NFASC/PLXNA2/MTR/RAB10/NRXN1/SPTBN1/DOK1/CTNNA2/GLI2/ZEB2/KIF5C/NR4A2/TBR1/CHN1/ALS2/KLF7/FN1/EPHA4/CHL1/CNTN4/WNT7A/TOP2B/GOLGA4/TRAK1/CCK/PLXNB1/DAG1/SEMA3B/ROBO2/ROBO1/EPHA3/ALCAM/BOC/SEMA5B/EPHB1/PIK3CB/SIAH2/SHOX2/SLITRK3/PIK3CA/CRMP1/SLIT2/UCHL1/ATOH1/BMPR1B/UNC5C/COL25A1/GAB1/SEMA5A/GDNF/ISL1/ZSWIM6/FOXD1/EFNA5/WDR36/NREP/SEMA6A/KIF3A/FSTL4/GFRA3/POU4F3/CSF1R/CYFIP2/SLIT3/RANBP9/FLOT1/LRFN2/NR2E1/FYN/LAMA2/UST/DYNLT1/EZR/ETV1/ISPD/GLI3/ADCY1/COBL/AUTS2/SEMA3C/DLX5/RELN/NRCAM/IFRD1/PTPRZ1/PLXNA4/GFRA2/DOK2/NEFL/DPYSL2/FZD3/NRG1/UNC5D/MATN2/EXT1/JAK2/NFIB/LINGO2/NTRK2/SHC3/SEMA4D/ECM2/PTCH1/TNC/TRIM32/LHX2/STXBP1/LHX3/NOTCH1/PRKCQ/GATA3/NRP1/PARD3/ANK3/UNC5B/VCL/SLIT1/ZFYVE27/CRTAC1/PAX2/GFRA1/VAX1/INPP5F/FGFR2/ILK/LRRC4C/LRRC55/MARK2/SPTBN2/FOLR1/PAK1/NCAM1/DSCAML1/FEZ1/JAM3/PTPRO/EPYC/PLXNC1/PTPN11/ATP8A2/RNF6/DCLK1/POU4F1/SLITRK1/STK24/EFNB2/LRFN5/ATL1/SPTB/SIPA1L1/PSEN1/NUMB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/CYFIP1/MAP2K1/NEO1/NTRK3/RGMA/CDH11/IST1/PITPNA/RTN4RL1/PAFAH1B1/SSH2/ERBB2/CNP/RND2/WNT3/NOG/PRKCA/BAIAP2/PTPRM/CDH2/RNF165/DCC/BCL2/DOK6/MAP1S/MAG/APOE/BRSK1/FLRT3/PLCG1/DOK5/BMP7/CDH4/NCAM2/APP/TIAM1/DSCAM/CDKL5/SH3KBP1/XK/USP9X/OPHN1/PLP1/PAK3/TRPC5/SLC9A6/FGF13/SLITRK4/SLITRK2/L1CAM,225
GO_BP,GO:0007409,axonogenesis,208/5132,447/16588,1.86680713468961e-12,5.73016449992977e-09,5.14550998124711e-09,DRAXIN/TNFRSF8/EPHA8/EPHB2/LYPLA2/MACF1/DAB1/LPAR3/NTNG1/NRAS/NGF/SEMA4A/SPTA1/LMX1A/TNN/TNR/PRELP/NFASC/PLXNA2/RAB10/NRXN1/SPTBN1/DOK1/CTNNA2/GLI2/ZEB2/KIF5C/NR4A2/TBR1/CHN1/ALS2/KLF7/FN1/EPHA4/CHL1/CNTN4/WNT7A/TOP2B/GOLGA4/TRAK1/CCK/PLXNB1/DAG1/SEMA3B/ROBO2/ROBO1/ALCAM/BOC/SEMA5B/EPHB1/PIK3CB/SIAH2/SHOX2/SLITRK3/PIK3CA/CRMP1/SLIT2/UCHL1/ATOH1/BMPR1B/UNC5C/COL25A1/GAB1/SEMA5A/GDNF/ISL1/ZSWIM6/FOXD1/EFNA5/WDR36/SEMA6A/KIF3A/FSTL4/GFRA3/POU4F3/CSF1R/CYFIP2/SLIT3/RANBP9/FLOT1/LRFN2/NR2E1/FYN/LAMA2/UST/EZR/ETV1/ISPD/GLI3/ADCY1/COBL/AUTS2/SEMA3C/DLX5/RELN/NRCAM/IFRD1/PTPRZ1/PLXNA4/GFRA2/DOK2/NEFL/DPYSL2/FZD3/NRG1/UNC5D/MATN2/EXT1/NFIB/LINGO2/NTRK2/SHC3/SEMA4D/ECM2/PTCH1/LHX2/STXBP1/LHX3/NOTCH1/PRKCQ/GATA3/NRP1/PARD3/ANK3/UNC5B/VCL/SLIT1/ZFYVE27/PAX2/GFRA1/VAX1/FGFR2/ILK/LRRC4C/LRRC55/MARK2/SPTBN2/PAK1/NCAM1/DSCAML1/FEZ1/PTPRO/EPYC/PLXNC1/PTPN11/ATP8A2/RNF6/DCLK1/POU4F1/SLITRK1/EFNB2/LRFN5/ATL1/SPTB/SIPA1L1/PSEN1/NUMB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/CYFIP1/MAP2K1/NEO1/NTRK3/CDH11/IST1/PITPNA/PAFAH1B1/SSH2/ERBB2/CNP/RND2/WNT3/NOG/PRKCA/BAIAP2/PTPRM/CDH2/RNF165/DCC/BCL2/DOK6/MAP1S/MAG/APOE/BRSK1/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/TIAM1/DSCAM/CDKL5/SH3KBP1/XK/USP9X/OPHN1/PAK3/TRPC5/SLC9A6/FGF13/SLITRK4/SLITRK2/L1CAM,208
GO_BP,GO:0001655,urogenital system development,150/5132,312/16588,1.27976517766927e-10,2.61882614190389e-07,2.35162464401894e-07,EPHB2/ID3/HEYL/PCSK9/NFIA/WDR77/PBX1/NPHS2/REN/PROX1/CENPF/TGFB2/AGT/KIF26B/SOX11/OSR1/SDC1/BCL2L11/GLI2/HOXD11/HOXD13/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/CTNNB1/SMARCC1/HYAL2/ROBO2/NPHP3/WWTR1/TIPARP/TP63/PROM1/SLIT2/PPAT/FRAS1/PKD2/SPRY1/FAT4/DCHS2/HPGD/ADAMTS16/SRD5A1/BASP1/PRLR/NIPBL/GDNF/PTCD2/FOXD1/MEF2C/SMAD5/KLHL3/FGF1/PDGFRB/BMP6/PKHD1/TBX18/SIM1/AHI1/ESR1/DACT2/DLL1/BMPER/GLI3/MAGI2/AKR1B1/SFRP1/SOX17/PLAG1/CYP7B1/SULF1/EYA1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/PTCH1/TGFBR1/TNC/TSC1/NOTCH1/GATA3/ITGA8/NRP1/ARID5B/DLG5/ACTA2/RBP4/PLCE1/PAX2/EMX2/FGFR2/ILK/DCHS1/WT1/PDGFD/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/LGR5/DCN/EFNB2/COL4A1/SIX1/TMED10/UBE3A/FBN1/CYP19A1/MYO1E/GCNT3/SMAD3/FEM1B/STRA6/IQGAP1/UMOD/SALL1/RPGRIP1L/IRX3/PKD1L3/SERPINF1/MYOCD/NF1/RARA/WNK4/NOG/PECAM1/JMJD6/BCL2/SERPINB5/SERPINB7/TGFB1/JAG1/SULF2/BMP7/ADAMTS1/PDGFB/MAGED1/AR/GPC3,150
GO_BP,GO:0072001,renal system development,135/5132,276/16588,2.50693447182421e-10,3.84751768063221e-07,3.45495153393248e-07,ID3/HEYL/PCSK9/NFIA/PBX1/NPHS2/REN/PROX1/CENPF/TGFB2/AGT/KIF26B/SOX11/OSR1/SDC1/BCL2L11/GLI2/HOXD11/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/CTNNB1/HYAL2/ROBO2/NPHP3/WWTR1/TIPARP/TP63/PROM1/SLIT2/PPAT/FRAS1/PKD2/SPRY1/FAT4/DCHS2/HPGD/ADAMTS16/BASP1/NIPBL/GDNF/PTCD2/FOXD1/MEF2C/SMAD5/KLHL3/FGF1/PDGFRB/BMP6/PKHD1/TBX18/SIM1/AHI1/DACT2/DLL1/BMPER/GLI3/MAGI2/AKR1B1/SFRP1/SOX17/SULF1/EYA1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/PTCH1/TGFBR1/TSC1/NOTCH1/GATA3/ITGA8/NRP1/ARID5B/DLG5/ACTA2/RBP4/PLCE1/PAX2/EMX2/FGFR2/ILK/DCHS1/WT1/PDGFD/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/LGR5/DCN/EFNB2/COL4A1/SIX1/TMED10/FBN1/MYO1E/GCNT3/SMAD3/STRA6/IQGAP1/UMOD/SALL1/RPGRIP1L/IRX3/PKD1L3/SERPINF1/MYOCD/NF1/RARA/WNK4/NOG/PECAM1/JMJD6/BCL2/SERPINB7/TGFB1/JAG1/SULF2/BMP7/ADAMTS1/PDGFB/MAGED1/GPC3,135
GO_BP,GO:0001822,kidney development,126/5132,260/16588,2.05020664690404e-09,2.26004814699819e-06,2.02945313326009e-06,ID3/HEYL/PCSK9/PBX1/NPHS2/REN/PROX1/CENPF/TGFB2/AGT/KIF26B/SOX11/OSR1/SDC1/BCL2L11/GLI2/HOXD11/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/CTNNB1/HYAL2/ROBO2/NPHP3/WWTR1/TIPARP/PROM1/SLIT2/PPAT/FRAS1/PKD2/SPRY1/FAT4/DCHS2/HPGD/ADAMTS16/BASP1/NIPBL/GDNF/PTCD2/FOXD1/MEF2C/SMAD5/KLHL3/FGF1/PDGFRB/BMP6/PKHD1/SIM1/AHI1/DACT2/DLL1/BMPER/GLI3/MAGI2/AKR1B1/SFRP1/SULF1/EYA1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/PTCH1/TGFBR1/TSC1/NOTCH1/GATA3/ITGA8/NRP1/ARID5B/DLG5/ACTA2/PLCE1/PAX2/FGFR2/ILK/DCHS1/WT1/PDGFD/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/DCN/EFNB2/SIX1/TMED10/FBN1/MYO1E/GCNT3/SMAD3/STRA6/IQGAP1/UMOD/SALL1/RPGRIP1L/IRX3/PKD1L3/SERPINF1/NF1/RARA/WNK4/NOG/PECAM1/JMJD6/BCL2/SERPINB7/TGFB1/JAG1/SULF2/BMP7/ADAMTS1/PDGFB/MAGED1/GPC3,126
GO_BP,GO:0097485,neuron projection guidance,120/5132,245/16588,2.20887585632662e-09,2.26004814699819e-06,2.02945313326009e-06,DRAXIN/TNFRSF8/EPHA8/EPHB2/LYPLA2/DAB1/NRAS/SEMA4A/SPTA1/LMX1A/TNR/NFASC/PLXNA2/NRXN1/SPTBN1/DOK1/GLI2/KIF5C/TBR1/CHN1/KLF7/EPHA4/CHL1/CNTN4/PLXNB1/DAG1/SEMA3B/ROBO2/ROBO1/ALCAM/BOC/SEMA5B/EPHB1/PIK3CB/SIAH2/PIK3CA/CRMP1/SLIT2/ATOH1/BMPR1B/UNC5C/GAB1/SEMA5A/GDNF/ISL1/ZSWIM6/FOXD1/EFNA5/SEMA6A/KIF3A/GFRA3/POU4F3/CSF1R/CYFIP2/SLIT3/RANBP9/FYN/LAMA2/EZR/ETV1/ISPD/GLI3/SEMA3C/DLX5/RELN/NRCAM/PLXNA4/GFRA2/DOK2/DPYSL2/FZD3/UNC5D/MATN2/EXT1/NFIB/SHC3/SEMA4D/PTCH1/LHX2/LHX3/PRKCQ/GATA3/NRP1/UNC5B/SLIT1/GFRA1/VAX1/SPTBN2/NCAM1/FEZ1/PTPRO/PLXNC1/PTPN11/EFNB2/SPTB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/CYFIP1/NEO1/ERBB2/WNT3/NOG/PRKCA/PTPRM/RNF165/DCC/DOK6/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/DSCAM/SH3KBP1/OPHN1/L1CAM,120
GO_BP,GO:0007411,axon guidance,119/5132,243/16588,2.60700537834918e-09,2.28634371681223e-06,2.05306573931048e-06,DRAXIN/TNFRSF8/EPHA8/EPHB2/LYPLA2/DAB1/NRAS/SEMA4A/SPTA1/LMX1A/TNR/NFASC/PLXNA2/NRXN1/SPTBN1/DOK1/GLI2/KIF5C/TBR1/CHN1/KLF7/EPHA4/CHL1/CNTN4/PLXNB1/DAG1/SEMA3B/ROBO2/ROBO1/ALCAM/BOC/EPHB1/PIK3CB/SIAH2/PIK3CA/CRMP1/SLIT2/ATOH1/BMPR1B/UNC5C/GAB1/SEMA5A/GDNF/ISL1/ZSWIM6/FOXD1/EFNA5/SEMA6A/KIF3A/GFRA3/POU4F3/CSF1R/CYFIP2/SLIT3/RANBP9/FYN/LAMA2/EZR/ETV1/ISPD/GLI3/SEMA3C/DLX5/RELN/NRCAM/PLXNA4/GFRA2/DOK2/DPYSL2/FZD3/UNC5D/MATN2/EXT1/NFIB/SHC3/SEMA4D/PTCH1/LHX2/LHX3/PRKCQ/GATA3/NRP1/UNC5B/SLIT1/GFRA1/VAX1/SPTBN2/NCAM1/FEZ1/PTPRO/PLXNC1/PTPN11/EFNB2/SPTB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/CYFIP1/NEO1/ERBB2/WNT3/NOG/PRKCA/PTPRM/RNF165/DCC/DOK6/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/DSCAM/SH3KBP1/OPHN1/L1CAM,119
GO_BP,GO:0198738,cell-cell signaling by wnt,214/5132,498/16588,6.14271929603340e-09,4.29784766574283e-06,3.85933389211259e-06,SKI/NPHP4/MAD2L2/DRAXIN/CDC42/AGO4/AGO1/RSPO1/MACF1/RNF220/TRABD2B/ROR1/WLS/VANGL1/BCL9/MYOC/TNN/LGR6/MARK1/DISC1/RYR2/ATP6V1C2/SDC1/STRN/VRK2/USP34/PPP3R1/ZEB2/NR4A2/PSMD14/FRZB/FZD5/CUL3/PSMD1/WNT7A/RBMS3/LRRFIP2/CTNNB1/LIMD1/PTPN23/PSMD6/PRICKLE2/MITF/GSK3B/RUVBL1/NPHP3/WWTR1/SIAH2/TNIK/TBL1XR1/RBPJ/PPP3CA/NFKB1/LEF1/PITX2/CPE/CTNND2/DAB2/ISL1/DEPDC1B/ZBED3/APC/MCC/PDE6A/CAMK2A/G3BP1/DCDC2/CMAHP/PSMB8/PSMB9/MAPK14/DAAM2/TBX18/ANKRD6/MAP3K7/RSPO3/RNF146/ESR1/OPRM1/DACT2/SOSTDC1/GLI3/PSMA2/HECW1/IGFBP1/BCL7B/MAGI2/CDK14/DLX5/SMURF1/HBP1/CAV1/CUL1/TNKS/SOX7/CCAR2/FZD3/ZNF703/SFRP1/SNAI2/SOX17/SULF1/TMEM64/STK3/CTHRC1/RSPO2/MYC/WISP1/AGO2/KANK1/MLLT3/TLE4/TLE1/ROR2/WNK2/INVS/DAB2IP/PSMB7/RAPGEF1/NOTCH1/GATA3/CCNY/BICC1/BTRC/TCF7L2/GRK5/FGFR2/FAM53B/ILK/USP47/DKK3/ARNTL/DDB1/MARK2/FOLR1/FZD4/PTPRO/CAPRIN2/LRRK2/WNT10B/WNT1/PFDN5/WIF1/LGR5/AMER2/CSNK1A1L/FOXO1/SPERT/MIR19B1/GPC6/ANKRD10/NDRG2/PSME1/PSME2/NFATC4/PSMA3/DAAM1/PPM1A/PSEN1/CCDC88C/GSKIP/VRK1/MIR665/CSNK1G1/SMAD3/PSMA4/LRRK1/TNRC6A/BRD7/NKD1/CYLD/SALL1/GNAO1/PSMD7/WWOX/PLCG2/HIC1/PFN1/SHISA6/NLK/PSMD3/IGFBP4/PSME3/FZD2/WNT3/NOG/RNF213/CDH2/PSMD8/PSMC4/GSK3A/APOE/RUVBL2/VRK3/PPP2R1A/BIRC8/CSNK2A1/PLCB1/STK4/SULF2/APP/TIAM1/ZNRF3/KREMEN1/CSNK1E/RBX1/TBL1X/DDX3X/NDP/FOXP3/EDA/GPC4/GPC3/MIR19B2,214
GO_BP,GO:0016358,dendrite development,106/5132,213/16588,6.30080289814066e-09,4.29784766574283e-06,3.85933389211259e-06,RERE/MTOR/CDC42/EPHB2/LRP8/DAB1/IGSF9/DNM3/SRGAP2/KIDINS220/STRN/BCL11A/ACTR2/CTNNA2/NCK2/HECW2/KLF7/EPHA4/DOCK10/NGEF/WNT7A/TRAK1/KALRN/EPHB1/TNIK/NLGN1/IL1RAP/UBA6/PPP3CA/CTNND2/PLK2/MEF2C/FSTL4/CAMK2A/DTNBP1/DCDC2/KIAA0319/BMP5/NR2E1/FYN/HDAC2/ARID1B/DYNLT1/SDK1/HECW1/COBL/RELN/NRG1/PREX2/SDC2/MATN2/CSMD3/ASAP1/PTPRD/SEMA4D/GRIN3A/LPAR1/DAB2IP/ABI1/NRP1/PRKG1/ZNF365/DLG5/CPEB3/KNDC1/ILK/FLRT1/SHANK2/TRPC6/CAPRIN2/DNM1L/LRRK2/GRIP1/CUX2/FBXW8/DCLK1/FARP1/NFATC4/ARF6/SIPA1L1/PSEN1/CYFIP1/IQGAP1/EEF2K/PAFAH1B1/DLG4/ARHGAP44/SEZ6/BAIAP2/DCC/NEDD4L/MAP1S/APOE/SHANK1/PREX1/BMP7/APP/TIAM1/DSCAM/YWHAH/RBFOX2/CDKL5/PAK3/TRPC5/SLC9A6/FMR1,106
GO_BP,GO:0016055,Wnt signaling pathway,212/5132,496/16588,1.22613925852891e-08,6.85224766135013e-06,6.15310585514367e-06,SKI/NPHP4/MAD2L2/DRAXIN/CDC42/AGO4/AGO1/RSPO1/MACF1/RNF220/TRABD2B/ROR1/WLS/VANGL1/BCL9/MYOC/TNN/LGR6/MARK1/DISC1/RYR2/ATP6V1C2/SDC1/STRN/VRK2/USP34/PPP3R1/ZEB2/NR4A2/PSMD14/FRZB/FZD5/CUL3/PSMD1/WNT7A/RBMS3/LRRFIP2/CTNNB1/LIMD1/PSMD6/PRICKLE2/MITF/GSK3B/RUVBL1/NPHP3/WWTR1/SIAH2/TNIK/TBL1XR1/RBPJ/PPP3CA/NFKB1/LEF1/PITX2/CPE/CTNND2/DAB2/ISL1/DEPDC1B/ZBED3/APC/MCC/PDE6A/CAMK2A/G3BP1/DCDC2/CMAHP/PSMB8/PSMB9/MAPK14/DAAM2/TBX18/ANKRD6/MAP3K7/RSPO3/RNF146/ESR1/DACT2/SOSTDC1/GLI3/PSMA2/HECW1/IGFBP1/BCL7B/MAGI2/CDK14/DLX5/SMURF1/HBP1/CAV1/CUL1/TNKS/SOX7/CCAR2/FZD3/ZNF703/SFRP1/SNAI2/SOX17/SULF1/TMEM64/STK3/CTHRC1/RSPO2/MYC/WISP1/AGO2/KANK1/MLLT3/TLE4/TLE1/ROR2/WNK2/INVS/DAB2IP/PSMB7/RAPGEF1/NOTCH1/GATA3/CCNY/BICC1/BTRC/TCF7L2/GRK5/FGFR2/FAM53B/ILK/USP47/DKK3/ARNTL/DDB1/MARK2/FOLR1/FZD4/PTPRO/CAPRIN2/LRRK2/WNT10B/WNT1/PFDN5/WIF1/LGR5/AMER2/CSNK1A1L/FOXO1/SPERT/MIR19B1/GPC6/ANKRD10/NDRG2/PSME1/PSME2/NFATC4/PSMA3/DAAM1/PPM1A/PSEN1/CCDC88C/GSKIP/VRK1/MIR665/CSNK1G1/SMAD3/PSMA4/LRRK1/TNRC6A/BRD7/NKD1/CYLD/SALL1/GNAO1/PSMD7/WWOX/PLCG2/HIC1/PFN1/SHISA6/NLK/PSMD3/IGFBP4/PSME3/FZD2/WNT3/NOG/RNF213/CDH2/PSMD8/PSMC4/GSK3A/APOE/RUVBL2/VRK3/PPP2R1A/BIRC8/CSNK2A1/PLCB1/STK4/SULF2/APP/TIAM1/ZNRF3/KREMEN1/CSNK1E/RBX1/TBL1X/DDX3X/NDP/FOXP3/EDA/GPC4/GPC3/MIR19B2,212
