ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0098794,postsynapse,209/5311,441/17296,8.02569678775326e-14,5.81060447433336e-11,4.98438011028887e-11,KCNAB2/CDC42/EPHB2/OPRD1/HPCA/DLGAP3/GRIK3/LRP8/DAB1/PDE4B/LRRC7/PALMD/ATP1A1/ARHGEF2/DNM3/SRGAP2/KCNH1/CNIH3/RAB4A/DISC1/ACTN2/CHRM3/STRN/SLC8A1/SPTBN1/BCL11A/ACTR2/LRRTM4/CTNNA2/LRRTM1/NCK2/TANC1/ALS2/EPHA4/DOCK10/CHRND/CHRNG/ITPR1/GRM7/ATP2B2/MAP4/DAG1/GABRR3/GSK3B/KALRN/TMEM108/CLSTN2/NLGN1/NSG1/KCTD8/GABRG1/GABRA2/GABRB1/SNCA/GRID2/PPP3CA/ANK2/GPM6A/DROSHA/HOMER1/MEF2C/PJA2/KCNN2/SPOCK1/KCTD16/CAMK2A/GLRA1/GRIA1/GABRB2/GABRA6/TENM2/RGS14/DTNBP1/CAP2/GABBR1/LRFN2/GABRR1/GABRR2/GRIK2/FYN/LAMA2/UTRN/GRM1/SYNE1/OPRM1/MAGI2/PCLO/PRKAR2B/CTTNBP2/KCND2/CADPS2/DGKI/PSD3/LZTS1/PTK2B/LYN/BAALC/ASAP1/MPDZ/SIGMAR1/APBA1/ABHD17B/NTRK2/PTCH1/GABBR2/GRIN3A/MUSK/LPAR1/STXBP1/ITGA8/ABI1/ANK3/LRRTM3/CAMK2G/KCNMA1/DLG5/GRID1/CPEB3/SORCS3/KCNA4/LRRC4C/P2RX3/DAGLA/CNIH2/SHANK2/DLG2/GRM5/GRIA4/HTR3A/GRIK4/ARHGAP32/IGSF9B/CACNA1C/CLSTN3/GRIN2B/PTPRO/EPS8/DNM1L/LRRK2/DDN/FAIM2/KCNC2/LIN7A/ATP2B1/ANKS1B/PPP1CC/NOS1/HIP1R/DCLK1/PCDH8/KCTD12/FARP1/SIPA1L1/CYFIP1/GABRB3/GABRG3/APBA2/SHC4/ADAM10/NPTN/CHRNA5/HOMER2/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/NETO2/P2RX1/DLG4/SHISA6/ARHGAP44/SEZ6/ASIC2/HCRT/NSF/CACNG5/GRIN2C/BAIAP2/DLGAP1/EPB41L3/CDH2/GSK3A/PRR12/SHANK1/PRKCG/CACNG7/CACNG8/PRNP/PLCB4/SNAP25/SYNDIG1/KCNB1/APP/GRIK1/TIAM1/SYN3/CACNG2/NLGN4X/FRMPD4/CNKSR2/GRIPAP1/ZC4H2/OPHN1/DRP2/GRIA3/FMR1/GABRE/GABRQ,209
GO_CC,GO:0034703,cation channel complex,114/5311,211/17296,1.28146207914269e-12,4.33903390810942e-10,3.72205583859343e-10,KCNAB2/CATSPER4/GRIK3/PDE4B/OLFM3/KCND3/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNS3/KCNG3/CALM2/DPP10/KCNJ3/SCN3A/SCN7A/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/ABHD6/KCNAB1/NLGN1/KCNMB2/KCNIP4/PDE4D/GRIA1/KCNIP1/KCNQ5/GRIK2/TRDN/PKD1L1/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/PTK2B/KCNB2/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/PKD2L1/KCNC1/KCNA4/LRRC55/CNIH2/DLG2/GRIA4/HTR3A/GRIK4/SCN3B/CACNA2D4/CACNA1C/KCNA6/KCNA1/GRIN2B/EPS8/KCNJ8/ABCC9/SCN8A/KCNC2/NOS1/TRPC4/AKAP6/CATSPERB/RYR3/HCN4/GRIN2A/SHISA9/SCNN1B/CACNG3/CNGB1/PKD1L3/DLG4/SHISA6/KCNH4/CNTNAP1/CACNG5/KCNJ16/GRIN2C/CACNA1A/CATSPERG/RYR1/KCNN4/SHANK1/CACNG7/CACNG8/FKBP1A/SNAP25/KCNS1/KCNB1/GRIK1/KCNE1/KCNJ6/CACNG2/SMDT1/KCND1/TRPC5/GRIA3,114
GO_CC,GO:0014069,postsynaptic density,118/5311,222/17296,2.25196754350189e-12,4.33903390810942e-10,3.72205583859343e-10,KCNAB2/DLGAP3/GRIK3/LRP8/DAB1/PDE4B/LRRC7/ATP1A1/ARHGEF2/DNM3/SRGAP2/KCNH1/DISC1/STRN/SPTBN1/BCL11A/ACTR2/CTNNA2/NCK2/TANC1/ALS2/EPHA4/ITPR1/ATP2B2/MAP4/KALRN/TMEM108/CLSTN2/NLGN1/GRID2/DROSHA/HOMER1/PJA2/SPOCK1/CAMK2A/GRIA1/RGS14/DTNBP1/CAP2/GRIK2/FYN/GRM1/MAGI2/PCLO/KCND2/DGKI/PSD3/LZTS1/PTK2B/LYN/BAALC/MPDZ/SIGMAR1/ABHD17B/NTRK2/PTCH1/GRIN3A/ITGA8/ABI1/CAMK2G/DLG5/GRID1/CPEB3/SORCS3/CNIH2/SHANK2/DLG2/GRM5/GRIA4/GRIK4/ARHGAP32/IGSF9B/CACNA1C/CLSTN3/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/HIP1R/DCLK1/SIPA1L1/ADAM10/NPTN/HOMER2/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/NETO2/DLG4/SHISA6/ARHGAP44/NSF/CACNG5/GRIN2C/BAIAP2/DLGAP1/EPB41L3/CDH2/PRR12/SHANK1/PRKCG/CACNG7/CACNG8/PRNP/PLCB4/SYNDIG1/GRIK1/TIAM1/SYN3/CACNG2/NLGN4X/CNKSR2/DRP2/GRIA3/FMR1,118
GO_CC,GO:0032279,asymmetric synapse,120/5311,227/17296,2.39725630282288e-12,4.33903390810942e-10,3.72205583859343e-10,KCNAB2/DLGAP3/GRIK3/LRP8/DAB1/PDE4B/LRRC7/ATP1A1/ARHGEF2/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/STRN/SPTBN1/BCL11A/ACTR2/CTNNA2/NCK2/TANC1/ALS2/EPHA4/ITPR1/GRM7/ATP2B2/MAP4/KALRN/TMEM108/CLSTN2/NLGN1/GRID2/DROSHA/HOMER1/PJA2/SPOCK1/CAMK2A/GRIA1/RGS14/DTNBP1/CAP2/GRIK2/FYN/GRM1/MAGI2/PCLO/KCND2/DGKI/PSD3/LZTS1/PTK2B/LYN/BAALC/MPDZ/SIGMAR1/ABHD17B/NTRK2/PTCH1/GRIN3A/ITGA8/ABI1/CAMK2G/DLG5/GRID1/CPEB3/SORCS3/CNIH2/SHANK2/DLG2/GRM5/GRIA4/GRIK4/ARHGAP32/IGSF9B/CACNA1C/CLSTN3/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/HIP1R/DCLK1/SIPA1L1/ADAM10/NPTN/HOMER2/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/NETO2/DLG4/SHISA6/ARHGAP44/NSF/CACNG5/GRIN2C/BAIAP2/DLGAP1/EPB41L3/CDH2/PRR12/SHANK1/PRKCG/CACNG7/CACNG8/PRNP/PLCB4/SYNDIG1/GRIK1/TIAM1/SYN3/CACNG2/NLGN4X/CNKSR2/DRP2/GRIA3/FMR1,120
GO_CC,GO:0099572,postsynaptic specialization,118/5311,224/17296,4.95145502333982e-12,7.16970687379605e-10,6.15022834477998e-10,KCNAB2/DLGAP3/GRIK3/LRP8/DAB1/PDE4B/LRRC7/ATP1A1/ARHGEF2/DNM3/SRGAP2/KCNH1/DISC1/STRN/SPTBN1/BCL11A/ACTR2/CTNNA2/NCK2/TANC1/ALS2/EPHA4/ITPR1/ATP2B2/MAP4/KALRN/TMEM108/CLSTN2/NLGN1/GRID2/DROSHA/HOMER1/PJA2/SPOCK1/CAMK2A/GRIA1/RGS14/DTNBP1/CAP2/GRIK2/FYN/GRM1/MAGI2/PCLO/KCND2/DGKI/PSD3/LZTS1/PTK2B/LYN/BAALC/MPDZ/SIGMAR1/ABHD17B/NTRK2/PTCH1/GRIN3A/ITGA8/ABI1/CAMK2G/DLG5/GRID1/CPEB3/SORCS3/CNIH2/SHANK2/DLG2/GRM5/GRIA4/GRIK4/ARHGAP32/IGSF9B/CACNA1C/CLSTN3/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/HIP1R/DCLK1/SIPA1L1/ADAM10/NPTN/HOMER2/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/NETO2/DLG4/SHISA6/ARHGAP44/NSF/CACNG5/GRIN2C/BAIAP2/DLGAP1/EPB41L3/CDH2/PRR12/SHANK1/PRKCG/CACNG7/CACNG8/PRNP/PLCB4/SYNDIG1/GRIK1/TIAM1/SYN3/CACNG2/NLGN4X/CNKSR2/DRP2/GRIA3/FMR1,118
GO_CC,GO:0098984,neuron to neuron synapse,120/5311,230/17296,7.6229715384192e-12,9.19838565635916e-10,7.89044422397777e-10,KCNAB2/DLGAP3/GRIK3/LRP8/DAB1/PDE4B/LRRC7/ATP1A1/ARHGEF2/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/STRN/SPTBN1/BCL11A/ACTR2/CTNNA2/NCK2/TANC1/ALS2/EPHA4/ITPR1/GRM7/ATP2B2/MAP4/KALRN/TMEM108/CLSTN2/NLGN1/GRID2/DROSHA/HOMER1/PJA2/SPOCK1/CAMK2A/GRIA1/RGS14/DTNBP1/CAP2/GRIK2/FYN/GRM1/MAGI2/PCLO/KCND2/DGKI/PSD3/LZTS1/PTK2B/LYN/BAALC/MPDZ/SIGMAR1/ABHD17B/NTRK2/PTCH1/GRIN3A/ITGA8/ABI1/CAMK2G/DLG5/GRID1/CPEB3/SORCS3/CNIH2/SHANK2/DLG2/GRM5/GRIA4/GRIK4/ARHGAP32/IGSF9B/CACNA1C/CLSTN3/GRIN2B/EPS8/LIN7A/ANKS1B/NOS1/HIP1R/DCLK1/SIPA1L1/ADAM10/NPTN/HOMER2/GRIN2A/SHISA9/EEF2K/CACNG3/GSG1L/NETO2/DLG4/SHISA6/ARHGAP44/NSF/CACNG5/GRIN2C/BAIAP2/DLGAP1/EPB41L3/CDH2/PRR12/SHANK1/PRKCG/CACNG7/CACNG8/PRNP/PLCB4/SYNDIG1/GRIK1/TIAM1/SYN3/CACNG2/NLGN4X/CNKSR2/DRP2/GRIA3/FMR1,120
GO_CC,GO:0045211,postsynaptic membrane,121/5311,237/17296,4.02927616530963e-11,4.16742277669168e-09,3.57484652260554e-09,OPRD1/DLGAP3/GRIK3/LRRC7/DNM3/SRGAP2/KCNH1/CNIH3/DISC1/CHRM3/STRN/SLC8A1/LRRTM4/LRRTM1/TANC1/EPHA4/CHRND/CHRNG/GRM7/ATP2B2/DAG1/GABRR3/TMEM108/CLSTN2/NLGN1/NSG1/KCTD8/GABRG1/GABRA2/GABRB1/GRID2/ANK2/HOMER1/PJA2/KCTD16/GLRA1/GRIA1/GABRB2/GABRA6/TENM2/RGS14/DTNBP1/GABBR1/LRFN2/GABRR1/GABRR2/GRIK2/UTRN/GRM1/SYNE1/KCND2/CADPS2/PSD3/LZTS1/BAALC/MPDZ/SIGMAR1/ABHD17B/NTRK2/GABBR2/GRIN3A/MUSK/ABI1/ANK3/LRRTM3/KCNMA1/DLG5/GRID1/CPEB3/LRRC4C/DAGLA/CNIH2/SHANK2/DLG2/GRM5/GRIA4/HTR3A/GRIK4/ARHGAP32/IGSF9B/CLSTN3/GRIN2B/FAIM2/KCNC2/LIN7A/ANKS1B/PCDH8/KCTD12/SIPA1L1/GABRB3/GABRG3/SHC4/CHRNA5/HOMER2/GRIN2A/SHISA9/CACNG3/GSG1L/P2RX1/DLG4/SHISA6/CACNG5/GRIN2C/DLGAP1/CDH2/PRR12/SHANK1/CACNG7/CACNG8/SYNDIG1/KCNB1/GRIK1/CACNG2/NLGN4X/CNKSR2/ZC4H2/DRP2/GRIA3/FMR1/GABRE/GABRQ,121
GO_CC,GO:0097060,synaptic membrane,147/5311,308/17296,2.11999641385469e-10,1.91859675453849e-08,1.64578668970298e-08,OPRD1/DLGAP3/GRIK3/RIMS3/LRRC7/DNM3/SRGAP2/KCNH1/CNIH3/DISC1/CHRM3/STRN/SLC8A1/NRXN1/LRRTM4/LRRTM1/TANC1/EPHA4/CHRND/CHRNG/GRM7/ATP2B2/DAG1/ERC2/GABRR3/TMEM108/CLSTN2/NLGN1/NSG1/KCTD8/GABRG1/GABRA2/GABRB1/GRID2/ANK2/CPE/HOMER1/PJA2/SNCAIP/KCTD16/CAMK2A/GLRA1/GRIA1/GABRB2/GABRA6/TENM2/RGS14/DTNBP1/GABBR1/LRFN2/RIMS1/GABRR1/GABRR2/GRIK2/UTRN/GRM1/SYNE1/KCND2/CADPS2/GRM8/DGKI/PSD3/LZTS1/BAALC/MPDZ/SIGMAR1/UNC13B/ABHD17B/NTRK2/GABBR2/GRIN3A/MUSK/DENND1A/STXBP1/ITGA8/GAD2/ABI1/ANK3/LRRTM3/KCNMA1/DLG5/GRID1/CPEB3/LRRC4C/DAGLA/CNIH2/SHANK2/DLG2/GRM5/GRIA4/HTR3A/GRIK4/ARHGAP32/IGSF9B/KCNA1/CLSTN3/GRIN2B/DDN/FAIM2/KCNC2/SYT1/LIN7A/ATP2B1/ANKS1B/HIP1R/PCDH8/KCTD12/SIPA1L1/GABRB3/GABRG3/SHC4/NPTN/CHRNA5/HOMER2/GRIN2A/SHISA9/CACNG3/GSG1L/CNTNAP4/P2RX1/DLG4/SHISA6/CACNG5/GRIN2C/BAIAP2/DLGAP1/CDH2/PRR12/SHANK1/PRKCG/CACNG7/CACNG8/SNAP25/FLRT3/SYNDIG1/KCNB1/GRIK1/CACNG2/NLGN4X/CNKSR2/CASK/ZC4H2/DRP2/GRIA3/FMR1/GABRE/GABRQ,147
GO_CC,GO:1902495,transmembrane transporter complex,148/5311,312/17296,3.18462334048587e-10,2.56185255390196e-08,2.19757634021832e-08,KCNAB2/CATSPER4/GRIK3/PDE4B/LRRC8D/OLFM3/CLCC1/KCND3/ATP1A1/NOS1AP/LRRC52/ATP1B1/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNS3/KCNG3/ABCG5/ABCG8/CALM2/CNGA3/DPP10/KCNJ3/SCN3A/SCN7A/ABCB6/CHRND/CHRNG/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/ABHD6/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNIP4/GABRG1/GABRA2/GABRB1/GRID2/PDE4D/GM2A/GLRA1/GRIA1/GABRB2/GABRA6/KCNIP1/KCNQ5/GABRR1/GABRR2/GRIK2/TRDN/TTYH3/PKD1L1/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/PTK2B/KCNB2/CNGB3/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/PKD2L1/KCNC1/KCNA4/LRRC55/CNIH2/SHANK2/DLG2/GRIA4/HTR3A/GRIK4/SCN3B/CACNA2D4/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/EPS8/KCNJ8/ABCC9/SCN8A/BEST3/KCNC2/NOS1/ATP12A/TRPC4/AKAP6/CATSPERB/GABRB3/GABRG3/RYR3/HCN4/CHRNA5/GRIN2A/SHISA9/SCNN1B/CACNG3/CNGB1/PKD1L3/DLG4/SHISA6/KCNH4/CNTNAP1/CACNG5/KCNJ16/GRIN2C/CACNA1A/FXYD1/CATSPERG/RYR1/KCNN4/SHANK1/CACNG7/CACNG8/TTYH1/FKBP1A/SNAP25/KCNS1/KCNB1/GRIK1/KCNE1/KCNJ6/CACNG2/SMDT1/KCND1/TRPC5/GRIA3/GABRE/GABRQ,148
GO_CC,GO:0034702,ion channel complex,138/5311,288/17296,5.39003639399815e-10,3.90238634925466e-08,3.34749628679885e-08,KCNAB2/CATSPER4/GRIK3/PDE4B/LRRC8D/OLFM3/CLCC1/KCND3/NOS1AP/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/CNIH3/KCNK1/RYR2/KCNS3/KCNG3/CALM2/DPP10/KCNJ3/SCN3A/SCN7A/CHRND/CHRNG/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/ABHD6/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNIP4/GABRG1/GABRA2/GABRB1/GRID2/PDE4D/GLRA1/GRIA1/GABRB2/GABRA6/KCNIP1/KCNQ5/GABRR1/GABRR2/GRIK2/TRDN/TTYH3/PKD1L1/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/PTK2B/KCNB2/KCNS2/KCNV1/KCNQ3/KCNV2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/PKD2L1/KCNC1/KCNA4/LRRC55/CNIH2/SHANK2/DLG2/GRIA4/HTR3A/GRIK4/SCN3B/CACNA2D4/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/EPS8/KCNJ8/ABCC9/SCN8A/BEST3/KCNC2/NOS1/TRPC4/AKAP6/CATSPERB/GABRB3/GABRG3/RYR3/HCN4/CHRNA5/GRIN2A/SHISA9/SCNN1B/CACNG3/CNGB1/PKD1L3/DLG4/SHISA6/KCNH4/CNTNAP1/CACNG5/KCNJ16/GRIN2C/CACNA1A/CATSPERG/RYR1/KCNN4/SHANK1/CACNG7/CACNG8/TTYH1/FKBP1A/SNAP25/KCNS1/KCNB1/GRIK1/KCNE1/KCNJ6/CACNG2/SMDT1/KCND1/TRPC5/GRIA3/GABRE/GABRQ,138
