ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0005216,ion channel activity,185/5048,416/16387,2.01335680253374e-09,9.67288359865795e-07,8.50103631651072e-07,KCNAB2/CATSPER4/GRIK3/MCOLN2/CLCA2/CLCA1/CLCA4/LRRC8D/CLCC1/KCND3/KCNN3/LRRC52/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/KCNG3/KCNK12/CNGA3/KCNJ3/KCNH7/SCN3A/SCN7A/ITGAV/SLC40A1/CHRND/CHRNG/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/CACNA2D3/GABRR3/SLC9C1/KCNAB1/KCNMB2/KCNIP4/GABRG1/GABRA2/GABRB1/CNGA1/PKD2/GRID2/CLCN3/GPM6A/KCNN2/VDAC1/PKD2L2/ANXA6/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/KCNIP1/SLC17A3/KCNK5/KCNQ5/GABRR1/GABRR2/GRIK2/OPRM1/TTYH3/AQP1/PKD1L1/CACNA2D1/SLC26A5/KCND2/PTK2B/KCNB2/JPH1/CNGB3/SLC26A7/KCNS2/NCALD/KCNV1/KCNQ3/KCNV2/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/PKD2L1/KCNK18/KCNC1/ANO5/ANO3/KCNA4/LRRC55/P2RX3/TRPC6/GRIA4/HTR3A/GRIK4/SCN3B/CACNA2D4/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/SCN8A/BEST3/KCNC2/HVCN1/TPCN1/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/TMEM63C/KCNK10/SLC24A4/GABRB3/GABRG3/RYR3/SLC24A5/NOX5/HCN4/CHRNA5/GRIN2A/SCNN1B/CACNG3/CNGB1/PKD1L3/PKD1L2/P2RX1/DLG4/ASIC2/KCNH4/CACNG5/KCNJ16/GRIN2C/SLC26A11/PIEZO2/LOXHD1/CACNA1A/FXYD3/FXYD1/FXYD7/RYR1/KCNN4/CACNG7/CACNG8/TTYH1/SLC24A3/JPH2/KCNS1/KCNB1/GRIK1/KCNE1/KCNJ6/KCNJ15/CACNG2/SHROOM2/CLCN4/KCND1/CLCN5/TRPC5/GRIA3/CNGA2/GABRE/GABRQ,185
GO_MF,GO:0022839,ion gated channel activity,153/5048,332/16387,2.63248955941862e-09,9.67288359865795e-07,8.50103631651072e-07,KCNAB2/CATSPER4/GRIK3/MCOLN2/CLCA2/CLCA1/CLCA4/KCND3/KCNN3/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/KCNG3/KCNK12/CNGA3/KCNJ3/KCNH7/SCN3A/SCN7A/ITGAV/CHRND/CHRNG/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNIP4/GABRG1/GABRA2/GABRB1/CNGA1/PKD2/GRID2/CLCN3/KCNN2/VDAC1/ANXA6/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/KCNIP1/SLC17A3/KCNK5/KCNQ5/GABRR1/GABRR2/GRIK2/OPRM1/TTYH3/AQP1/CACNA2D1/KCND2/PTK2B/KCNB2/JPH1/CNGB3/KCNS2/NCALD/KCNV1/KCNQ3/KCNV2/TRPM3/TMC1/GRIN3A/TMEM38B/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/PKD2L1/KCNK18/KCNC1/ANO5/ANO3/KCNA4/LRRC55/P2RX3/GRIA4/HTR3A/GRIK4/SCN3B/CACNA2D4/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/KCNJ8/ITPR2/SCN8A/KCNC2/HVCN1/TPCN1/MTMR6/NALCN/FAM155A/KCNH5/TMEM63C/KCNK10/GABRB3/GABRG3/RYR3/HCN4/CHRNA5/GRIN2A/SCNN1B/CACNG3/CNGB1/P2RX1/DLG4/ASIC2/KCNH4/CACNG5/KCNJ16/GRIN2C/CACNA1A/RYR1/KCNN4/CACNG7/CACNG8/TTYH1/JPH2/KCNS1/KCNB1/GRIK1/KCNE1/KCNJ6/KCNJ15/CACNG2/SHROOM2/CLCN4/KCND1/CLCN5/GRIA3/CNGA2/GABRE/GABRQ,153
GO_MF,GO:0022836,gated channel activity,154/5048,335/16387,2.89375058559544e-09,9.67288359865795e-07,8.50103631651072e-07,KCNAB2/CATSPER4/GRIK3/MCOLN2/CLCA2/CLCA1/CLCA4/KCND3/KCNN3/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/KCNG3/KCNK12/CNGA3/KCNJ3/KCNH7/SCN3A/SCN7A/ITGAV/CHRND/CHRNG/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNIP4/GABRG1/GABRA2/GABRB1/CNGA1/PKD2/GRID2/CLCN3/KCNN2/VDAC1/ANXA6/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/KCNIP1/SLC17A3/KCNK5/KCNQ5/GABRR1/GABRR2/GRIK2/OPRM1/TTYH3/AQP1/CACNA2D1/KCND2/PTK2B/KCNB2/JPH1/CNGB3/KCNS2/NCALD/KCNV1/KCNQ3/KCNV2/TRPM3/TMC1/GRIN3A/TMEM38B/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/PKD2L1/KCNK18/KCNC1/ANO5/ANO3/KCNA4/LRRC55/P2RX3/GRIA4/HTR3A/GRIK4/SCN3B/CACNA2D4/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/KCNJ8/ITPR2/SCN8A/KCNC2/HVCN1/TPCN1/MTMR6/NALCN/FAM155A/KCNH5/TMEM63C/KCNK10/GABRB3/GABRG3/RYR3/HCN4/CHRNA5/GRIN2A/SCNN1B/CACNG3/CNGB1/P2RX1/DLG4/ASIC2/KCNH4/CACNG5/KCNJ16/GRIN2C/PIEZO2/CACNA1A/RYR1/KCNN4/CACNG7/CACNG8/TTYH1/JPH2/KCNS1/KCNB1/GRIK1/KCNE1/KCNJ6/KCNJ15/CACNG2/SHROOM2/CLCN4/KCND1/CLCN5/GRIA3/CNGA2/GABRE/GABRQ,154
GO_MF,GO:0022838,substrate-specific channel activity,189/5048,429/16387,3.3268731207766e-09,9.67288359865795e-07,8.50103631651072e-07,KCNAB2/CATSPER4/GRIK3/MCOLN2/CLCA2/CLCA1/CLCA4/LRRC8D/CLCC1/KCND3/KCNN3/LRRC52/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/KCNG3/KCNK12/CNGA3/KCNJ3/KCNH7/SCN3A/SCN7A/ITGAV/SLC40A1/CHRND/CHRNG/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/CACNA2D3/GABRR3/SLC9C1/KCNAB1/KCNMB2/KCNIP4/GABRG1/GABRA2/GABRB1/CNGA1/PKD2/GRID2/CLCN3/GPM6A/KCNN2/VDAC1/PKD2L2/ANXA6/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/KCNIP1/SLC17A3/KCNK5/KCNQ5/GABRR1/GABRR2/GRIK2/OPRM1/TTYH3/AQP1/PKD1L1/CACNA2D1/SLC26A5/KCND2/PTK2B/KCNB2/JPH1/CNGB3/SLC26A7/KCNS2/NCALD/KCNV1/KCNQ3/KCNV2/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/PKD2L1/KCNK18/KCNC1/ANO5/ANO3/KCNA4/LRRC55/P2RX3/TRPC6/GRIA4/HTR3A/GRIK4/SCN3B/CACNA2D4/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/AQP2/AQP5/SCN8A/BEST3/KCNC2/HVCN1/TPCN1/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/TMEM63C/KCNK10/SLC24A4/GABRB3/GABRG3/RYR3/SLC24A5/AQP9/NOX5/HCN4/CHRNA5/GRIN2A/SCNN1B/CACNG3/CNGB1/PKD1L3/PKD1L2/P2RX1/DLG4/ASIC2/KCNH4/CACNG5/KCNJ16/GRIN2C/SLC26A11/PIEZO2/AQP4/LOXHD1/CACNA1A/FXYD3/FXYD1/FXYD7/RYR1/KCNN4/CACNG7/CACNG8/TTYH1/SLC24A3/JPH2/KCNS1/KCNB1/GRIK1/KCNE1/KCNJ6/KCNJ15/CACNG2/SHROOM2/CLCN4/KCND1/CLCN5/TRPC5/GRIA3/CNGA2/GABRE/GABRQ,189
GO_MF,GO:0022803,passive transmembrane transporter activity,197/5048,456/16387,1.02963725900795e-08,2.36157844926847e-06,2.07547872945621e-06,KCNAB2/CATSPER4/GJB3/GRIK3/MCOLN2/CLCA2/CLCA1/CLCA4/LRRC8D/CLCC1/KCND3/GJA5/KCNN3/LRRC52/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/KCNG3/KCNK12/CNGA3/KCNJ3/KCNH7/SCN3A/SCN7A/ITGAV/SLC40A1/CHRND/CHRNG/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/CACNA2D3/GABRR3/SLC9C1/KCNAB1/KCNMB2/KCNIP4/GABRG1/GABRA2/GABRB1/CNGA1/PKD2/GRID2/CLCN3/GPM6A/KCNN2/VDAC1/PKD2L2/ANXA6/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/KCNIP1/SLC17A3/KCNK5/KCNQ5/GJB7/GABRR1/GABRR2/GRIK2/OPRM1/TTYH3/AQP1/PKD1L1/CACNA2D1/SLC26A5/KCND2/PTK2B/KCNB2/JPH1/CNGB3/SLC26A7/KCNS2/NCALD/KCNV1/KCNQ3/KCNV2/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/PKD2L1/KCNK18/KCNC1/ANO5/ANO3/KCNA4/LRRC55/P2RX3/TRPC6/GRIA4/HTR3A/GRIK4/SCN3B/PANX3/CACNA2D4/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/AQP2/AQP5/SCN8A/BEST3/KCNC2/SLC5A8/HVCN1/TPCN1/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/TMEM63C/KCNK10/SLC24A4/GABRB3/GABRG3/RYR3/GJD2/SLC24A5/AQP9/NOX5/HCN4/CHRNA5/GRIN2A/SCNN1B/CACNG3/CNGB1/PKD1L3/PKD1L2/P2RX1/DLG4/ASIC2/KCNH4/CACNG5/KCNJ16/GRIN2C/SLC26A11/PIEZO2/AQP4/LOXHD1/BCL2/CACNA1A/FXYD3/FXYD1/FXYD7/RYR1/KCNN4/TOMM40/CACNG7/CACNG8/TTYH1/SLC24A3/JPH2/KCNS1/KCNB1/GRIK1/KCNE1/KCNJ6/KCNJ15/CACNG2/SHROOM2/CLCN4/KCND1/CLCN5/TRPC5/GRIA3/CNGA2/GABRE/GABRQ,197
GO_MF,GO:0005261,cation channel activity,142/5048,309/16387,1.21835517589087e-08,2.36157844926847e-06,2.07547872945621e-06,KCNAB2/CATSPER4/GRIK3/MCOLN2/KCND3/KCNN3/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/KCNG3/KCNK12/CNGA3/KCNJ3/KCNH7/SCN3A/SCN7A/ITGAV/SLC40A1/CHRND/CHRNG/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/CACNA2D3/KCNAB1/KCNMB2/KCNIP4/CNGA1/PKD2/GPM6A/KCNN2/PKD2L2/GRIA1/KCNIP1/KCNK5/KCNQ5/GRIK2/OPRM1/AQP1/PKD1L1/CACNA2D1/KCND2/PTK2B/KCNB2/JPH1/CNGB3/KCNS2/KCNV1/KCNQ3/KCNV2/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/KCNT1/CACNA1B/CACNB2/KCNMA1/PKD2L1/KCNK18/KCNC1/KCNA4/LRRC55/P2RX3/TRPC6/GRIA4/HTR3A/GRIK4/SCN3B/CACNA2D4/CACNA1C/KCNA6/KCNA1/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/SCN8A/KCNC2/HVCN1/TPCN1/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/TMEM63C/KCNK10/SLC24A4/RYR3/SLC24A5/NOX5/HCN4/CHRNA5/GRIN2A/SCNN1B/CACNG3/CNGB1/PKD1L3/PKD1L2/P2RX1/ASIC2/KCNH4/CACNG5/KCNJ16/GRIN2C/PIEZO2/LOXHD1/CACNA1A/RYR1/KCNN4/CACNG7/CACNG8/SLC24A3/JPH2/KCNS1/KCNB1/GRIK1/KCNE1/KCNJ6/KCNJ15/CACNG2/SHROOM2/KCND1/TRPC5/GRIA3/CNGA2,142
GO_MF,GO:0015267,channel activity,196/5048,455/16387,1.4704333765232e-08,2.44302002413783e-06,2.14705384752485e-06,KCNAB2/CATSPER4/GJB3/GRIK3/MCOLN2/CLCA2/CLCA1/CLCA4/LRRC8D/CLCC1/KCND3/GJA5/KCNN3/LRRC52/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNH1/KCNK2/KCNK1/RYR2/KCNS3/KCNG3/KCNK12/CNGA3/KCNJ3/KCNH7/SCN3A/SCN7A/ITGAV/SLC40A1/CHRND/CHRNG/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/CACNA2D3/GABRR3/SLC9C1/KCNAB1/KCNMB2/KCNIP4/GABRG1/GABRA2/GABRB1/CNGA1/PKD2/GRID2/CLCN3/GPM6A/KCNN2/VDAC1/PKD2L2/ANXA6/GLRA1/NMUR2/GRIA1/GABRB2/GABRA6/KCNIP1/SLC17A3/KCNK5/KCNQ5/GJB7/GABRR1/GABRR2/GRIK2/OPRM1/TTYH3/AQP1/PKD1L1/CACNA2D1/SLC26A5/KCND2/PTK2B/KCNB2/JPH1/CNGB3/SLC26A7/KCNS2/NCALD/KCNV1/KCNQ3/KCNV2/SLC24A2/TRPM3/TMC1/TRPM6/GRIN3A/TMEM38B/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/PKD2L1/KCNK18/KCNC1/ANO5/ANO3/KCNA4/LRRC55/P2RX3/TRPC6/GRIA4/HTR3A/GRIK4/SCN3B/PANX3/CACNA2D4/CACNA1C/KCNA6/KCNA1/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/AQP2/AQP5/SCN8A/BEST3/KCNC2/HVCN1/TPCN1/MTMR6/TRPC4/NALCN/FAM155A/KCNH5/PSEN1/TMEM63C/KCNK10/SLC24A4/GABRB3/GABRG3/RYR3/GJD2/SLC24A5/AQP9/NOX5/HCN4/CHRNA5/GRIN2A/SCNN1B/CACNG3/CNGB1/PKD1L3/PKD1L2/P2RX1/DLG4/ASIC2/KCNH4/CACNG5/KCNJ16/GRIN2C/SLC26A11/PIEZO2/AQP4/LOXHD1/BCL2/CACNA1A/FXYD3/FXYD1/FXYD7/RYR1/KCNN4/TOMM40/CACNG7/CACNG8/TTYH1/SLC24A3/JPH2/KCNS1/KCNB1/GRIK1/KCNE1/KCNJ6/KCNJ15/CACNG2/SHROOM2/CLCN4/KCND1/CLCN5/TRPC5/GRIA3/CNGA2/GABRE/GABRQ,196
GO_MF,GO:0022843,voltage-gated cation channel activity,75/5048,141/16387,2.42523462397303e-08,3.52568483460079e-06,3.09855634194449e-06,KCNAB2/CATSPER4/KCND3/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/KCNS3/KCNG3/CNGA3/KCNJ3/KCNH7/ITGAV/KCNH8/CACNA2D2/CACNA1D/KCNAB1/CNGA1/PKD2/KCNK5/KCNQ5/OPRM1/CACNA2D1/KCND2/PTK2B/KCNB2/CNGB3/KCNS2/KCNV1/KCNQ3/KCNV2/TMC1/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/KCNK18/KCNC1/KCNA4/LRRC55/CACNA2D4/CACNA1C/KCNA6/KCNA1/GRIN2B/KCNJ8/KCNC2/HVCN1/TPCN1/NALCN/KCNH5/HCN4/GRIN2A/CACNG3/CNGB1/KCNH4/CACNG5/KCNJ16/GRIN2C/CACNA1A/RYR1/CACNG7/CACNG8/KCNS1/KCNB1/KCNE1/KCNJ6/KCNJ15/CACNG2/KCND1/CNGA2,75
GO_MF,GO:0046873,metal ion transmembrane transporter activity,189/5048,452/16387,3.44829238590159e-07,4.45596004978172e-05,3.91613088504145e-05,KCNAB2/CATSPER4/GRIK3/SLC6A9/MCOLN2/KCND3/ATP1A1/KCNN3/LRRC52/ATP1B1/CACNA1E/KCNT2/CACNA1S/SLC41A1/KCNH1/KCNK2/SLC30A10/KCNK1/RYR2/KCNS3/SLC8A1/KCNG3/KCNK12/SLC4A5/CNNM4/CNGA3/SLC9A2/KCNJ3/SLC4A10/KCNH7/SCN3A/SCN7A/ITGAV/SLC40A1/TRPM8/ITPR1/ATP2B2/SLC6A11/SLC6A1/SLC6A6/KCNH8/SLC4A7/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/CACNA2D3/SLC9C1/ATP2C1/SLC9A9/KCNAB1/KCNMB2/ATP13A5/ATP13A4/KCNIP4/CNGA1/NIPAL1/PKD2/SLC39A8/GPM6A/SLC6A3/SLC1A3/KCNN2/PKD2L2/ATOX1/KCNIP1/SLC17A1/SLC17A4/SLC17A3/KCNK5/KCNQ5/GRIK2/OPRM1/AQP1/PKD1L1/CACNA2D1/KCND2/SLC13A1/SLC13A4/TUSC3/SLC20A2/KCNB2/JPH1/CNGB3/NIPAL2/KCNS2/KCNV1/SLC30A8/KCNQ3/KCNV2/SLC24A2/TRPM3/TMC1/TRPM6/SLC28A3/GRIN3A/TMEM38B/KCNT1/CACNA1B/SLC39A12/CACNB2/KCNMA1/PKD2L1/CNNM2/KCNK18/KCNC1/SLC6A5/KCNA4/LRRC55/TRPC6/GRIK4/SCN3B/CACNA2D4/CACNA1C/KCNA6/KCNA1/GRIN2B/KCNJ8/ABCC9/ITPR2/DENND5B/SCN8A/KCNC2/CAPS2/ATP2B1/TPCN1/SLC8B1/ATP12A/MTMR6/TRPC4/NALCN/SLC10A2/FAM155A/KCNH5/SLC39A9/PSEN1/KCNK10/SLC24A4/RYR3/SLC12A6/SLC24A5/SLC12A1/HCN4/GRIN2A/SCNN1B/CACNG3/SLC5A11/SLC12A3/CNGB1/PKD1L3/PKD1L2/ATP2C2/ATP2A3/ASIC2/KCNH4/CACNG5/KCNJ16/SLC39A11/GRIN2C/LOXHD1/CACNA1A/SLC1A6/ATP4A/RYR1/KCNN4/CACNG7/CACNG8/TTYH1/SLC23A2/SLC24A3/JPH2/KCNS1/SLC13A3/KCNB1/GRIK1/KCNE1/KCNJ6/KCNJ15/SLC5A1/SLC5A4/CACNG2/SHROOM2/SLC9A7/KCND1/TRPC5/SLC6A14/SLC9A6/CNGA2,189
GO_MF,GO:0005244,voltage-gated ion channel activity,92/5048,195/16387,1.06354515445804e-06,0.000112445728603155,9.88231909070583e-05,KCNAB2/CATSPER4/KCND3/LRRC52/CACNA1E/KCNT2/CACNA1S/KCNH1/KCNK2/KCNK1/KCNS3/KCNG3/KCNK12/CNGA3/KCNJ3/KCNH7/SCN3A/SCN7A/ITGAV/KCNH8/SCN5A/SCN10A/SCN11A/CACNA2D2/CACNA1D/CACNA2D3/KCNAB1/KCNIP4/CNGA1/PKD2/CLCN3/VDAC1/KCNIP1/SLC17A3/KCNK5/KCNQ5/OPRM1/CACNA2D1/KCND2/PTK2B/KCNB2/CNGB3/KCNS2/KCNV1/KCNQ3/KCNV2/TMC1/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/KCNK18/KCNC1/KCNA4/LRRC55/SCN3B/CACNA2D4/CACNA1C/KCNA6/KCNA1/GRIN2B/KCNJ8/SCN8A/KCNC2/HVCN1/TPCN1/NALCN/KCNH5/KCNK10/HCN4/GRIN2A/CACNG3/CNGB1/KCNH4/CACNG5/KCNJ16/GRIN2C/CACNA1A/RYR1/CACNG7/CACNG8/KCNS1/KCNB1/KCNE1/KCNJ6/KCNJ15/CACNG2/CLCN4/KCND1/CLCN5/CNGA2,92
