ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0007409,axonogenesis,114/2361,447/16588,1.35882556240325e-10,4.81027430282175e-07,4.73556628737898e-07,EPHB2/DAB1/LPAR3/BARHL2/NTNG1/NGF/EFNA1/NTRK1/LMX1A/TNR/FMOD/PRELP/CNTN2/FEZ2/NRXN1/CTNNA2/ZEB2/KIF5C/CHN1/FN1/EPHA4/CNTN4/WNT7A/TRAK1/LAMB2/ROBO2/ROBO1/ALCAM/GAP43/SEMA5B/EPHB1/SLITRK3/SLIT2/APBB2/UNC5C/COL25A1/GAB1/SEMA5A/SEMA6A/FSTL4/POU4F3/CYFIP2/SLIT3/LAMA2/UST/EZR/GLI3/GRB10/COBL/AUTS2/RELN/NRCAM/IFRD1/PLXNA4/DPYSL2/NRG1/UNC5D/MATN2/EXT1/VLDLR/NFIB/LINGO2/SHC3/ABL1/PRKCQ/PARD3/ANK3/UNC5B/LGI1/SLIT1/GFRA1/FGFR2/BDNF/PAX6/LRRC4C/MARK2/NCAM1/DSCAML1/SSH1/ATP8A2/RNF6/POU4F1/EFNB2/NKX2-1/LRFN5/SIPA1L1/NRXN3/FLRT2/BCL11B/EVL/NTRK3/CDH11/SSH2/NGFR/PRKCA/PTPRM/CDH2/RNF165/DCC/DOK6/MAP1S/MAG/FLRT3/PLCG1/DOK5/BMP7/APP/DSCAM/NEFH/SH3KBP1/ARX/XK/PAK3/FGF13,114
GO_BP,GO:0061564,axon development,121/2361,485/16588,1.65244737300644e-10,4.81027430282175e-07,4.73556628737898e-07,EPHB2/PTPRF/DAB1/LPAR3/BARHL2/NTNG1/NGF/EFNA1/NTRK1/LMX1A/TNR/FMOD/PRELP/CNTN2/MTR/FEZ2/NRXN1/CTNNA2/ZEB2/KIF5C/CHN1/FN1/EPHA4/CNTN4/WNT7A/TRAK1/LAMB2/ROBO2/ROBO1/ALCAM/GAP43/SEMA5B/EPHB1/SLITRK3/SLIT2/APBB2/UNC5C/COL25A1/GAB1/SEMA5A/SEMA6A/FSTL4/POU4F3/CYFIP2/SLIT3/LAMA2/UST/EZR/GLI3/GRB10/COBL/AUTS2/RELN/NRCAM/IFRD1/PLXNA4/DPYSL2/NRG1/UNC5D/MATN2/EXT1/VLDLR/NFIB/LINGO2/SHC3/KLF4/TNC/ABL1/PRKCQ/PARD3/ANK3/UNC5B/LGI1/SLIT1/CRTAC1/GFRA1/FGFR2/BDNF/PAX6/LRRC4C/MARK2/NCAM1/DSCAML1/JAM3/SSH1/ATP8A2/RNF6/POU4F1/EFNB2/NKX2-1/LRFN5/SIPA1L1/NRXN3/FLRT2/BCL11B/EVL/NTRK3/CDH11/SSH2/NGFR/PRKCA/PTPRM/CDH2/RNF165/DCC/DOK6/MAP1S/MAG/FLRT3/PLCG1/DOK5/BMP7/NCAM2/APP/DSCAM/NEFH/SH3KBP1/ARX/XK/PAK3/FGF13,121
GO_BP,GO:0097485,neuron projection guidance,71/2361,245/16588,1.44250052705542e-09,2.79941268950554e-06,2.75593521747956e-06,EPHB2/DAB1/EFNA1/NTRK1/LMX1A/TNR/CNTN2/FEZ2/NRXN1/KIF5C/CHN1/EPHA4/CNTN4/LAMB2/ROBO2/ROBO1/ALCAM/GAP43/SEMA5B/EPHB1/SLIT2/APBB2/UNC5C/GAB1/SEMA5A/SEMA6A/POU4F3/CYFIP2/SLIT3/LAMA2/EZR/GLI3/GRB10/RELN/NRCAM/PLXNA4/DPYSL2/UNC5D/MATN2/EXT1/VLDLR/NFIB/SHC3/PRKCQ/UNC5B/LGI1/SLIT1/GFRA1/BDNF/PAX6/NCAM1/EFNB2/NKX2-1/NRXN3/FLRT2/BCL11B/EVL/NGFR/PRKCA/PTPRM/RNF165/DCC/DOK6/FLRT3/PLCG1/DOK5/BMP7/APP/DSCAM/SH3KBP1/ARX,71
GO_BP,GO:0007411,axon guidance,70/2361,243/16588,2.48653008632749e-09,3.61914454064967e-06,3.56293587369821e-06,EPHB2/DAB1/EFNA1/NTRK1/LMX1A/TNR/CNTN2/FEZ2/NRXN1/KIF5C/CHN1/EPHA4/CNTN4/LAMB2/ROBO2/ROBO1/ALCAM/GAP43/EPHB1/SLIT2/APBB2/UNC5C/GAB1/SEMA5A/SEMA6A/POU4F3/CYFIP2/SLIT3/LAMA2/EZR/GLI3/GRB10/RELN/NRCAM/PLXNA4/DPYSL2/UNC5D/MATN2/EXT1/VLDLR/NFIB/SHC3/PRKCQ/UNC5B/LGI1/SLIT1/GFRA1/BDNF/PAX6/NCAM1/EFNB2/NKX2-1/NRXN3/FLRT2/BCL11B/EVL/NGFR/PRKCA/PTPRM/RNF165/DCC/DOK6/FLRT3/PLCG1/DOK5/BMP7/APP/DSCAM/SH3KBP1/ARX,70
GO_BP,GO:0008038,neuron recognition,16/2361,32/16588,1.67414069774271e-06,0.00194936942845161,0.00191909391562296,EPHB2/CNTN2/EPHA4/CNTN4/ROBO2/ROBO1/GAP43/SEMA5A/NRCAM/CNTNAP2/CRTAC1/NTM/OPCML/NCAM2/APP/DSCAM,16
GO_BP,GO:0007215,glutamate receptor signaling pathway,29/2361,85/16588,3.09066402748494e-06,0.00269369061264188,0.00265185510239474,EPHB2/GRIK3/CNIH3/GRM7/NLGN1/GRID2/GRIA1/GRM4/GRIK2/GRM1/RELN/GRM8/PTK2B/GNAQ/GRIN3A/FRRS1L/SHANK2/GRIA4/GRIK4/GRIN2B/GRIN2A/SHISA9/CACNG3/SHISA6/SHANK1/PLCB1/APP/GRIA3/FMR1,29
GO_BP,GO:0035249,synaptic transmission  glutamatergic,31/2361,94/16588,3.2387211076079e-06,0.00269369061264188,0.00265185510239474,GRIK3/NTRK1/TNR/CNIH3/NRXN1/GRM7/OXTR/NLGN1/GRID2/GRIA1/GRM4/GRIK2/GRM1/EGFR/RELN/GRM8/PTK2B/SHC3/ROR2/NPS/SLC17A6/SHANK2/GRIA4/GRIK4/SYT1/CACNG3/CDH8/CDH2/TSHZ3/SHANK1/GRIA3,31
GO_BP,GO:0010975,regulation of neuron projection development,95/2361,436/16588,1.01938366741738e-05,0.00737535277264217,0.00726080671265736,EPHB2/PTPRF/DAB1/NEGR1/LPAR3/BARHL2/RAP1A/NGF/EFNA1/NTRK1/PRRX1/TNR/CNTN2/SRGAP2C/TRIM67/BCL11A/ZEB2/CHN1/HECW2/FN1/EPHA4/NGEF/WNT7A/ULK4/TRAK1/PTPRG/ROBO2/ROBO1/TNIK/NLGN1/SLIT2/PAQR3/GRID2/NDNF/SEMA5A/ARSB/FSTL4/SPOCK1/UST/COBL/MAGI2/RELN/NRCAM/IFRD1/PLXNA4/DPYSL2/PTK2B/NRG1/SFRP1/LYN/RIMS2/ASAP1/VLDLR/PTPRD/PLAA/KLF4/ABL1/ZNF365/BDNF/LRRC4C/MARK2/SHANK2/TRPC6/CNTN1/GRIP1/SYT1/SSH1/CUX2/FBXW8/ATP8A2/RNF6/RAP2A/EFNB2/CPNE6/ARF6/SIPA1L1/NTRK3/SYT17/SEZ6/SSH2/NGFR/CDH2/RIT2/DCC/MAG/SHANK1/SNAP25/BMP7/CHODL/DSCAM/YWHAH/XK/PAK3/FGF13/FMR1,95
GO_BP,GO:0018243,protein O-linked glycosylation via threonine,11/2361,19/16588,1.18652719648366e-05,0.00737535277264217,0.00726080671265736,GALNT2/GALNT13/GALNT5/GALNTL6/GALNT7/GALNT10/GALNT11/GALNT18/GALNT8/GALNT4/GALNT16,11
GO_BP,GO:0051968,positive regulation of synaptic transmission  glutamatergic,14/2361,29/16588,1.2668074154315e-05,0.00737535277264217,0.00726080671265736,NTRK1/TNR/NRXN1/OXTR/NLGN1/EGFR/RELN/PTK2B/ROR2/NPS/SHANK2/CACNG3/TSHZ3/SHANK1,14
