ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0097060,synaptic membrane,78/2447,308/17296,1.20251566485971e-07,7.91255307477688e-05,7.31635846619907e-05,DLGAP3/GRIK3/KCNA2/SRGAP2/KCNH1/CNIH3/DISC1/CHRM3/STRN/NRXN1/LRRTM4/EPHA4/GRM7/ATP2B2/ERC2/GABRR3/CLSTN2/NLGN1/GABRB1/GRID2/GLRB/CPE/SNCAIP/KCTD16/GRIA1/GABRA1/TENM2/GRM4/GRIK2/UTRN/GRM1/HIP1/GRM8/BAALC/RIMS2/GABBR2/GRIN3A/DENND1A/ANK3/LRRTM3/KCNMA1/LRRC4C/SHANK2/DLG2/GRIA4/GRIK4/ARHGAP32/GRIN2B/DDN/KCNC2/SYT1/ANKS1B/SIPA1L1/GABRG3/CHRM5/CHRNA5/ABHD17C/GRIN2A/SHISA9/CACNG3/GSG1L/CNTNAP4/SHISA6/DLGAP1/CDH2/SHANK1/SNAP25/FLRT3/BCR/NIPSNAP1/GLRA2/DMD/CASK/ZC4H2/GRIA3/FMR1/GABRE/GABRQ,78
GO_CC,GO:0034703,cation channel complex,58/2447,211/17296,2.7133689886364e-07,8.47185724796847e-05,7.83352021968609e-05,KCNAB2/GRIK3/KCNA2/NOS1AP/CACNA1E/CACNA1S/CNTN2/KCNH1/KCNK2/CNIH3/RYR2/CALM2/DPP10/SCN7A/NLGN1/KCNMB2/KCNIP4/HCN1/PDE4D/GRIA1/KCNIP1/KCNQ5/GRIK2/PKD1L1/VWC2/CNTNAP2/DPP6/PTK2B/KCNB2/KCNQ3/GRIN3A/CACNB2/KCNMA1/PKD2L1/ABCC8/KCNA4/DLG2/GRIA4/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/GRIN2B/KCNC2/AKAP6/RYR3/GRIN2A/SHISA9/CACNG3/SHISA6/KCNH4/CACNA1A/KCNN4/SHANK1/SNAP25/KCNJ6/GRIA3,58
GO_CC,GO:0098794,postsynapse,101/2447,441/17296,3.86254889725006e-07,8.47185724796847e-05,7.83352021968609e-05,KCNAB2/EPHB2/DLGAP3/GRIK3/DAB1/SRGAP2/KCNH1/CNIH3/DISC1/CHRM3/STRN/BCL11A/LRRTM4/CTNNA2/NCK2/PKP4/EPHA4/DOCK10/ITPR1/GRM7/ATP2B2/RAB5A/GABRR3/GAP43/CLSTN2/NLGN1/GABRB1/GRID2/GLRB/GPM6A/DROSHA/SPOCK1/KCTD16/GRIA1/GABRA1/TENM2/GRIK2/LAMA2/UTRN/GRM1/HIP1/MAGI2/PTK2B/LYN/BAALC/ASAP1/GABBR2/GRIN3A/ABL1/ANK3/LRRTM3/KCNMA1/RGS10/KCNA4/LRRC4C/CTNND1/SHANK2/DLG2/GRIA4/GRIK4/ARHGAP32/CACNA1C/GRIN2B/DDN/KCNC2/ANKS1B/PPP1CC/FARP1/SLC8A3/SIPA1L1/GABRG3/CHRM5/CHRNA5/ABHD17C/GRIN2A/SHISA9/CACNG3/GSG1L/SHISA6/SEZ6/ASIC2/HCRT/DLGAP1/CDH2/APBA3/STRN4/SHANK1/PLCB4/SNAP25/APP/BCR/NEFH/SYN3/FRMPD4/GLRA2/DMD/ZC4H2/GRIA3/FMR1/GABRE/GABRQ,101
GO_CC,GO:0045211,postsynaptic membrane,62/2447,237/17296,7.06951817323567e-07,0.000116293573949727,0.000107531092213953,DLGAP3/GRIK3/SRGAP2/KCNH1/CNIH3/DISC1/CHRM3/STRN/LRRTM4/EPHA4/GRM7/ATP2B2/GABRR3/CLSTN2/NLGN1/GABRB1/GRID2/GLRB/KCTD16/GRIA1/GABRA1/TENM2/GRIK2/UTRN/GRM1/HIP1/BAALC/GABBR2/GRIN3A/ANK3/LRRTM3/KCNMA1/LRRC4C/SHANK2/DLG2/GRIA4/GRIK4/ARHGAP32/GRIN2B/KCNC2/ANKS1B/SIPA1L1/GABRG3/CHRM5/CHRNA5/ABHD17C/GRIN2A/SHISA9/CACNG3/GSG1L/SHISA6/DLGAP1/CDH2/SHANK1/BCR/GLRA2/DMD/ZC4H2/GRIA3/FMR1/GABRE/GABRQ,62
GO_CC,GO:0034702,ion channel complex,70/2447,288/17296,2.6131566851564e-06,0.000310751639181102,0.000287337141971968,KCNAB2/GRIK3/KCNA2/NOS1AP/CACNA1E/CACNA1S/CNTN2/KCNH1/KCNK2/CNIH3/RYR2/CALM2/DPP10/SCN7A/GABRR3/NLGN1/KCNMB2/KCNIP4/GABRB1/GRID2/GLRB/HCN1/PDE4D/GRIA1/GABRA1/KCNIP1/KCNQ5/GRIK2/PKD1L1/VWC2/CNTNAP2/DPP6/PTK2B/KCNB2/KCNQ3/GRIN3A/CACNB2/KCNMA1/PKD2L1/ABCC8/KCNA4/SHANK2/DLG2/GRIA4/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/KCNC2/AKAP6/GABRG3/RYR3/CHRNA5/GRIN2A/SHISA9/CACNG3/SHISA6/KCNH4/CACNA1A/KCNN4/SHANK1/SNAP25/KCNJ6/GLRA2/GRIA3/GABRE/GABRQ,70
GO_CC,GO:0008328,ionotropic glutamate receptor complex,20/2447,48/17296,2.95384651625568e-06,0.000310751639181102,0.000287337141971968,GRIK3/CNIH3/NLGN1/GRID2/GRIA1/GRIK2/VWC2/PTK2B/GRIN3A/SHANK2/DLG2/GRIA4/GRIK4/GRIN2B/GRIN2A/SHISA9/CACNG3/SHISA6/SHANK1/GRIA3,20
GO_CC,GO:0005578,proteinaceous extracellular matrix,84/2447,366/17296,3.30586850192662e-06,0.000310751639181102,0.000287337141971968,MYOC/TNR/FMOD/PRELP/OPTC/LAMB3/USH2A/FN1/WNT10A/WNT6/COL4A4/COL4A3/COL6A3/WNT7A/LAMB2/ADAMTS9/ABI3BP/SLITRK3/SLIT2/AMBN/ADAMTS3/NDNF/FREM3/SPOCK3/ADAMTS16/ADAMTS12/EGFLAM/HAPLN1/FBN2/SPOCK1/FGF1/SLIT3/DST/LAMA2/VWC2/COL1A2/RELN/LAMB1/SFRP1/MATN2/COL14A1/WISP1/COL22A1/FREM1/ADAMTSL1/LINGO2/TNC/ADAMTSL2/COL5A1/SPOCK2/SLIT1/CRTAC1/SPON1/NAV2/MMP8/MMP13/ADAMTS15/VWF/ADAMTS20/WNT10B/WNT1/GPC5/GPC6/COCH/LRFN5/SMOC1/FLRT2/FBN1/THSD4/ADAMTSL3/ZP2/MMP2/GLG1/EMILIN2/CCBE1/RTBDN/FLRT3/ADAMTS1/ADAMTS5/EGFL6/NYX/CASK/COL4A6/GPC3,84
GO_CC,GO:0098878,neurotransmitter receptor complex,20/2447,50/17296,6.26166138372137e-06,0.000515021648811082,0.000476215826288283,GRIK3/CNIH3/NLGN1/GRID2/GRIA1/GRIK2/VWC2/PTK2B/GRIN3A/SHANK2/DLG2/GRIA4/GRIK4/GRIN2B/GRIN2A/SHISA9/CACNG3/SHISA6/SHANK1/GRIA3,20
GO_CC,GO:0031012,extracellular matrix,100/2447,470/17296,1.34915070546431e-05,0.000986379071328351,0.000912057435974703,MYOC/TNR/PRG4/FMOD/PRELP/OPTC/LAMB3/USH2A/FN1/WNT10A/WNT6/COL4A4/COL4A3/COL6A3/LMCD1/WNT7A/LAMB2/ADAMTS9/ABI3BP/SLITRK3/SLIT2/AMBN/ADAMTS3/NDNF/FREM3/SPOCK3/ADAMTS16/ADAMTS12/EGFLAM/HAPLN1/EDIL3/FBN2/SPOCK1/FGF1/SLIT3/DST/LAMA2/VWC2/COL1A2/RELN/LAMB1/SFRP1/MATN2/COL14A1/WISP1/COL22A1/FREM1/ADAMTSL1/LINGO2/TNC/ADAMTSL2/COL5A1/SPOCK2/SLIT1/CRTAC1/FGFR2/HTRA1/DMBT1/CPXM2/SPON1/NAV2/MMP8/MMP27/MMP13/NCAM1/ADAMTS15/VWF/ADAMTS20/WNT10B/WNT1/GPC5/GPC6/COCH/LRFN5/SMOC1/FLRT2/FBN1/THSD4/ADAMTSL3/ZP2/MMP2/GLG1/CDH13/MXRA7/EMILIN2/CDH2/CCBE1/RTBDN/SSC5D/A1BG/FLRT3/BMP7/ADAMTS1/ADAMTS5/EGFL6/NYX/CASK/NDP/COL4A6/GPC3,100
GO_CC,GO:0034705,potassium channel complex,30/2447,97/17296,1.7310993641291e-05,0.00113906338159695,0.00105323729733328,KCNAB2/GRIK3/KCNA2/NOS1AP/CNTN2/KCNH1/KCNK2/DPP10/KCNMB2/KCNIP4/HCN1/KCNIP1/KCNQ5/GRIK2/CNTNAP2/DPP6/KCNB2/KCNQ3/KCNMA1/ABCC8/KCNA4/DLG2/GRIK4/KCNJ1/KCNA6/KCNC2/KCNH4/KCNN4/SNAP25/KCNJ6,30
