ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0008066,glutamate receptor activity,15/2327,27/16387,5.89047976645877e-07,0.000451930233180351,0.000433272968613524,GRIK3/GRM7/GRID2/GRIA1/GRM4/GRIK2/GRM1/GRM8/PTK2B/GRIN3A/GRIA4/GRIK4/GRIN2B/GRIN2A/GRIA3,15
GO_MF,GO:0022839,ion gated channel activity,80/2327,332/16387,8.60929235861577e-07,0.000451930233180351,0.000433272968613524,KCNAB2/GRIK3/MCOLN2/CLCA2/CLCA1/CLCA4/KCNA2/CACNA1E/CACNA1S/KCNH1/KCNK2/RYR2/SCN7A/KCNE4/ITPR1/KCNH8/CACNA2D3/GABRR3/KCNMB2/KCNIP4/GABRB1/GRID2/ASIC5/GLRB/HCN1/GRIA1/GABRA1/KCNIP1/KCNK5/KCNK16/KCNK17/KCNQ5/GRIK2/AQP1/PTK2B/KCNB2/CNGB3/NCALD/KCNQ3/TRPM3/GRIN3A/TMEM38B/CACNB2/KCNMA1/PKD2L1/KCNK18/ABCC8/KCNA4/GRIA4/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/ITPR2/KCNC2/TPCN1/FAM155A/KCNH5/KCNK10/GABRG3/RYR3/CHRNA5/GRIN2A/CACNG3/KCNJ12/KCNJ18/ASIC2/KCNH4/CACNA1A/KCNN4/KCNJ6/SHROOM2/CLCN4/GLRA2/GRIA3/GABRE/GABRQ,80
GO_MF,GO:0022836,gated channel activity,80/2327,335/16387,1.26002853117198e-06,0.000451930233180351,0.000433272968613524,KCNAB2/GRIK3/MCOLN2/CLCA2/CLCA1/CLCA4/KCNA2/CACNA1E/CACNA1S/KCNH1/KCNK2/RYR2/SCN7A/KCNE4/ITPR1/KCNH8/CACNA2D3/GABRR3/KCNMB2/KCNIP4/GABRB1/GRID2/ASIC5/GLRB/HCN1/GRIA1/GABRA1/KCNIP1/KCNK5/KCNK16/KCNK17/KCNQ5/GRIK2/AQP1/PTK2B/KCNB2/CNGB3/NCALD/KCNQ3/TRPM3/GRIN3A/TMEM38B/CACNB2/KCNMA1/PKD2L1/KCNK18/ABCC8/KCNA4/GRIA4/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/ITPR2/KCNC2/TPCN1/FAM155A/KCNH5/KCNK10/GABRG3/RYR3/CHRNA5/GRIN2A/CACNG3/KCNJ12/KCNJ18/ASIC2/KCNH4/CACNA1A/KCNN4/KCNJ6/SHROOM2/CLCN4/GLRA2/GRIA3/GABRE/GABRQ,80
GO_MF,GO:0005261,cation channel activity,74/2327,309/16387,2.79073189877726e-06,0.000750706880771083,0.000719715068632031,KCNAB2/GRIK3/MCOLN2/KCNA2/CACNA1E/CACNA1S/KCNH1/KCNK2/RYR2/SCN7A/KCNE4/ITPR1/KCNH8/CACNA2D3/KCNMB2/KCNIP4/TRPC3/ASIC5/GPM6A/HCN1/GRIA1/KCNIP1/KCNK5/KCNK16/KCNK17/KCNQ5/GRIK2/AQP1/PKD1L1/PTK2B/KCNB2/CNGB3/KCNQ3/SLC24A2/TRPM3/GRIN3A/TMEM38B/CACNB2/KCNMA1/PKD2L1/KCNK18/ABCC8/KCNA4/TRPC6/GRIA4/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/GRIN2B/ITPR2/KCNC2/TPCN1/FAM155A/KCNH5/KCNK10/RYR3/NOX5/CHRNA5/GRIN2A/CACNG3/KCNJ12/KCNJ18/ASIC2/KCNH4/LOXHD1/CACNA1A/KCNN4/SLC24A3/KCNJ6/PKDREJ/SHROOM2/GRIA3,74
GO_MF,GO:0005267,potassium channel activity,37/2327,126/16387,7.97415479761842e-06,0.00128153196157776,0.00122862582894366,KCNAB2/GRIK3/KCNA2/KCNH1/KCNK2/KCNE4/KCNH8/KCNMB2/KCNIP4/HCN1/KCNIP1/KCNK5/KCNK16/KCNK17/KCNQ5/GRIK2/AQP1/KCNB2/CNGB3/KCNQ3/TMEM38B/KCNMA1/PKD2L1/KCNK18/ABCC8/KCNA4/GRIK4/KCNJ1/KCNA6/KCNC2/KCNH5/KCNK10/KCNJ12/KCNJ18/KCNH4/KCNN4/KCNJ6,37
GO_MF,GO:0022838,substrate-specific channel activity,94/2327,429/16387,8.08471103617918e-06,0.00128153196157776,0.00122862582894366,KCNAB2/GRIK3/MCOLN2/CLCA2/CLCA1/CLCA4/KCNA2/CACNA1E/CACNA1S/KCNH1/KCNK2/RYR2/SCN7A/KCNE4/ITPR1/KCNH8/CACNA2D3/GABRR3/KCNMB2/KCNIP4/GABRB1/GRID2/TRPC3/ASIC5/GLRB/GPM6A/HCN1/GRIA1/GABRA1/KCNIP1/KCNK5/KCNK16/KCNK17/KCNQ5/GRIK2/AQP1/PKD1L1/PTK2B/KCNB2/CNGB3/SLC26A7/NCALD/KCNQ3/SLC24A2/TRPM3/GRIN3A/TMEM38B/CACNB2/KCNMA1/PKD2L1/KCNK18/ABCC8/KCNA4/TRPC6/GRIA4/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/ITPR2/AQP2/AQP5/KCNC2/TPCN1/FAM155A/KCNH5/KCNK10/GABRG3/RYR3/AQP9/NOX5/CHRNA5/GRIN2A/CACNG3/AQP8/KCNJ12/KCNJ18/ASIC2/KCNH4/LOXHD1/CACNA1A/KCNN4/SLC24A3/KCNJ6/PKDREJ/SHROOM2/CLCN4/GLRA2/GRIA3/GABRE/GABRQ,94
GO_MF,GO:0046873,metal ion transmembrane transporter activity,98/2327,452/16387,8.33710383926052e-06,0.00128153196157776,0.00122862582894366,KCNAB2/NIPAL3/GRIK3/MCOLN2/KCNA2/CACNA1E/CACNA1S/KCNH1/KCNK2/SLC30A10/RYR2/CNNM4/SLC9A2/SCN7A/ABCB11/SLC39A10/KCNE4/ITPR1/ATP2B2/SLC6A11/SLC6A1/KCNH8/SLC6A20/CACNA2D3/SLC9A9/KCNMB2/KCNIP4/SLC39A8/TRPC3/ASIC5/GPM6A/HCN1/ATOX1/KCNIP1/SLC17A2/KCNK5/KCNK16/KCNK17/KCNQ5/GRIK2/AQP1/PKD1L1/SLC13A4/TUSC3/SLC25A37/KCNB2/CNGB3/NIPAL2/SLC30A8/KCNQ3/SLC24A2/TRPM3/GRIN3A/TMEM38B/CACNB2/KCNMA1/SLC25A28/PKD2L1/KCNK18/ABCC8/KCNA4/SLC3A2/TRPC6/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/GRIN2B/ITPR2/KCNC2/TPCN1/SLC10A2/FAM155A/KCNH5/SLC39A9/SLC8A3/KCNK10/RYR3/SLC12A1/GRIN2A/CACNG3/SLC5A11/ATP2A3/KCNJ12/KCNJ18/ASIC2/KCNH4/SLC39A11/LOXHD1/CACNA1A/ATP4A/KCNN4/SLC24A3/KCNJ6/PKDREJ/SHROOM2/ATP2B3,98
GO_MF,GO:0004653,polypeptide N-acetylgalactosaminyltransferase activity,11/2327,19/16387,1.15960574913198e-05,0.00138637309562891,0.00132913875339105,GALNT2/GALNT13/GALNT5/GALNTL6/GALNT7/GALNT10/GALNT11/GALNT18/GALNT8/GALNT4/GALNT16,11
GO_MF,GO:0004970,ionotropic glutamate receptor activity,11/2327,19/16387,1.15960574913198e-05,0.00138637309562891,0.00132913875339105,GRIK3/GRID2/GRIA1/GRIK2/PTK2B/GRIN3A/GRIA4/GRIK4/GRIN2B/GRIN2A/GRIA3,11
GO_MF,GO:0005216,ion channel activity,90/2327,416/16387,2.09831022662395e-05,0.00225778180384736,0.00216457265483312,KCNAB2/GRIK3/MCOLN2/CLCA2/CLCA1/CLCA4/KCNA2/CACNA1E/CACNA1S/KCNH1/KCNK2/RYR2/SCN7A/KCNE4/ITPR1/KCNH8/CACNA2D3/GABRR3/KCNMB2/KCNIP4/GABRB1/GRID2/TRPC3/ASIC5/GLRB/GPM6A/HCN1/GRIA1/GABRA1/KCNIP1/KCNK5/KCNK16/KCNK17/KCNQ5/GRIK2/AQP1/PKD1L1/PTK2B/KCNB2/CNGB3/SLC26A7/NCALD/KCNQ3/SLC24A2/TRPM3/GRIN3A/TMEM38B/CACNB2/KCNMA1/PKD2L1/KCNK18/ABCC8/KCNA4/TRPC6/GRIA4/GRIK4/SCN3B/KCNJ1/CACNA1C/KCNA6/ANO2/GRIN2B/ITPR2/KCNC2/TPCN1/FAM155A/KCNH5/KCNK10/GABRG3/RYR3/NOX5/CHRNA5/GRIN2A/CACNG3/KCNJ12/KCNJ18/ASIC2/KCNH4/LOXHD1/CACNA1A/KCNN4/SLC24A3/KCNJ6/PKDREJ/SHROOM2/CLCN4/GLRA2/GRIA3/GABRE/GABRQ,90
