GO_BP_terms,_SB_count_1;all_genes,_SB_count_1;_SB_count_HiC_all,_SB_count_2;_SB_count_1,_SB_count_3;_SB_count_1,_SB_count_4;_SB_count_1,_SB_count_5;_SB_count_1,_SB_count_grthan5;_SB_count_1
actin filament-based movement,NA,NA,NA,NA,NA,0.0364810706770229,NA
action potential,NA,NA,NA,NA,NA,0.00513149343449962,0.0270060862795349
actomyosin structure organization,NA,NA,NA,NA,0.0475372911175203,NA,NA
adenylate cyclase-activating G-protein coupled receptor signaling pathway,NA,NA,NA,NA,NA,0.0327310438361372,NA
adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,NA,NA,NA,NA,NA,NA,0.0251778647981991
adenylate cyclase-modulating G-protein coupled receptor signaling pathway,NA,NA,NA,NA,NA,0.0187529029742675,NA
adherens junction organization,NA,NA,NA,NA,0.00691850531633735,NA,NA
adult behavior,NA,NA,NA,NA,0.0279923362128002,NA,NA
appendage development,NA,NA,NA,NA,NA,0.0458136723044686,NA
appendage morphogenesis,NA,NA,NA,NA,NA,0.0070056838255055,NA
axon development,NA,NA,NA,NA,0.00491252210793409,1.21787537787306e-06,0.00144911756599135
axon guidance,NA,NA,NA,NA,0.00347828928441056,1.11987059449731e-06,0.0373783338992548
axonogenesis,NA,NA,NA,NA,0.00347828928441056,3.39773159651938e-07,0.000463093948111449
biomineral tissue development,NA,NA,NA,NA,NA,0.0440895452609173,NA
bone mineralization,NA,NA,NA,NA,NA,0.0264518040553402,NA
calcium ion transmembrane transport,NA,NA,NA,NA,NA,0.0153109024036784,0.00275478934063674
calcium ion transport,NA,NA,NA,NA,NA,0.0124611741230495,0.0289932935637655
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,NA,NA,NA,NA,NA,0.0387649116869316,NA
calcium-mediated signaling,NA,NA,NA,NA,NA,0.0439017054630143,NA
camera-type eye development,NA,NA,NA,NA,NA,NA,0.0419227467242697
cAMP-mediated signaling,NA,NA,NA,NA,NA,0.00366725053423336,NA
cardiac muscle cell action potential,NA,NA,NA,NA,NA,0.0118028802057141,NA
cardiac muscle cell action potential involved in contraction,NA,NA,NA,NA,NA,0.00942525931704444,NA
cardiac muscle cell contraction,NA,NA,NA,NA,NA,0.0022313191721207,NA
cardiac muscle tissue development,NA,NA,NA,NA,NA,0.0491208566844709,NA
cartilage development,NA,NA,NA,NA,NA,0.0217991827423972,NA
cell communication involved in cardiac conduction,NA,NA,NA,NA,NA,0.0306256915537452,NA
cell junction assembly,NA,NA,NA,NA,0.015851552409047,NA,NA
cell junction organization,NA,NA,NA,NA,0.00491252210793409,NA,NA
cell recognition,NA,NA,NA,NA,NA,0.013616225649772,NA
cell-cell adhesion mediated by cadherin,NA,NA,NA,NA,NA,0.0145685365961257,NA
cell-cell adhesion via plasma-membrane adhesion molecules,NA,NA,NA,NA,NA,0.0080722643766112,0.000252838905444875
cell-cell junction organization,NA,NA,NA,NA,0.00347828928441056,NA,NA
cell-matrix adhesion,NA,NA,NA,NA,0.00691850531633735,NA,NA
cell-substrate adhesion,NA,NA,NA,NA,0.00695973086495913,0.0469930497122191,NA
cellular divalent inorganic cation homeostasis,NA,NA,NA,NA,NA,0.0441770182329823,NA
cellular potassium ion transport,NA,NA,NA,NA,0.00491252210793409,NA,NA
central nervous system neuron development,NA,NA,NA,NA,NA,NA,0.00303333508649985
central nervous system neuron differentiation,NA,NA,NA,NA,NA,0.0458136723044686,0.0173625738776481
cerebral cortex cell migration,NA,NA,NA,NA,NA,NA,0.0380610835749634
cerebral cortex development,NA,NA,NA,NA,0.0238210521454756,NA,NA
chemical synaptic transmission  postsynaptic,NA,NA,NA,NA,NA,0.000573553157906831,0.00877461751368334
chondrocyte differentiation,NA,NA,NA,NA,NA,0.00233131932466151,NA
cognition,NA,NA,NA,NA,NA,NA,0.0495913977804949
collateral sprouting,NA,NA,NA,NA,NA,0.034961758506197,NA
connective tissue development,NA,NA,NA,NA,NA,0.0352791933910853,NA
cyclic-nucleotide-mediated signaling,NA,NA,NA,NA,NA,0.000573553157906831,NA
dendrite development,NA,NA,NA,NA,0.00293186495672199,2.01712998946594e-08,8.73698395915297e-06
dendrite morphogenesis,NA,NA,NA,NA,0.0233983358838422,0.000233264238186187,0.00274061469565077
dendritic spine development,NA,NA,NA,NA,NA,0.000233264238186187,0.00855499768395156
dendritic spine morphogenesis,NA,NA,NA,NA,NA,0.0366367954699662,NA
dendritic spine organization,NA,NA,NA,NA,NA,0.0118028802057141,NA
dephosphorylation,NA,NA,NA,0.0387776352052307,NA,NA,NA
development of primary female sexual characteristics,NA,NA,NA,NA,NA,0.0482364862723533,NA
developmental cell growth,NA,NA,NA,NA,NA,0.00261944533191888,0.0463440262631538
developmental growth involved in morphogenesis,NA,NA,NA,NA,NA,0.003260909550475,NA
divalent inorganic cation transport,NA,NA,NA,NA,NA,0.0120526832758056,0.0310743051035413
divalent metal ion transport,NA,NA,NA,NA,NA,0.00917242354495495,0.028180840267267
embryonic appendage morphogenesis,NA,NA,NA,NA,NA,0.0120560509641529,NA
embryonic limb morphogenesis,NA,NA,NA,NA,NA,0.0120560509641529,NA
excitatory postsynaptic potential,NA,NA,NA,NA,NA,0.00346648242027551,0.0380610835749634
extracellular matrix organization,NA,NA,NA,NA,NA,0.0145767582281286,NA
extracellular structure organization,NA,NA,NA,NA,NA,0.026708015754677,NA
eye development,NA,NA,NA,NA,NA,NA,0.028619067465591
female sex differentiation,NA,NA,NA,NA,NA,0.0307944972235683,0.028242589206194
forebrain cell migration,NA,NA,NA,NA,NA,0.0403120745044644,0.00678079764214761
forebrain development,NA,NA,NA,NA,7.72264725809622e-05,0.00301746578994474,0.0380610835749634
forebrain generation of neurons,NA,NA,NA,NA,NA,0.0352791933910853,NA
G-protein coupled glutamate receptor signaling pathway,NA,NA,NA,NA,NA,NA,0.0356529141381476
G-protein coupled receptor signaling pathway  coupled to cyclic nucleotide second messenger,NA,NA,NA,NA,NA,0.0190194086956494,NA
gamma-aminobutyric acid signaling pathway,NA,NA,NA,NA,0.0279923362128002,NA,NA
glutamate receptor signaling pathway,NA,NA,NA,NA,NA,0.000125206927410777,5.91305278075234e-05
heart contraction,NA,NA,NA,NA,NA,0.028863918550685,0.0356529141381476
heart process,NA,NA,NA,NA,NA,0.0348145398536076,0.0380610835749634
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,NA,NA,NA,NA,NA,0.0332531689817409,NA
homophilic cell adhesion via plasma membrane adhesion molecules,NA,NA,NA,0.0087072860149861,NA,NA,0.0476906271912288
hormone secretion,NA,NA,NA,NA,0.0154396168522473,0.0304144080575354,NA
hormone transport,NA,NA,NA,NA,0.00695973086495913,0.0317724087116794,NA
innervation,NA,NA,NA,NA,NA,0.0270107574740271,NA
ionotropic glutamate receptor signaling pathway,NA,NA,NA,NA,NA,0.000221423951113004,0.0166166965392914
kidney development,NA,NA,NA,NA,0.00293186495672199,0.0131315627271371,NA
kidney epithelium development,NA,NA,NA,NA,0.0279923362128002,NA,NA
learning or memory,NA,NA,NA,NA,NA,0.0401909225428042,0.0419227467242697
limb development,NA,NA,NA,NA,NA,0.0458136723044686,NA
limb morphogenesis,NA,NA,NA,NA,NA,0.0070056838255055,NA
locomotory behavior,NA,NA,NA,NA,NA,0.00447364123230598,NA
melanocyte differentiation,NA,NA,NA,NA,0.0222929670060452,0.0322503707567793,0.0330124392621097
membrane assembly,NA,NA,NA,NA,NA,NA,0.0195695799601644
membrane biogenesis,NA,NA,NA,NA,NA,NA,0.0390729439042422
modulation of chemical synaptic transmission,NA,NA,NA,NA,NA,0.00012982717843297,0.00514011735912564
monovalent inorganic cation transport,NA,NA,NA,NA,0.0284664538974478,NA,NA
multicellular organismal signaling,NA,NA,NA,NA,NA,0.0222197128268559,0.00346952824418879
muscle tissue development,NA,NA,NA,NA,0.00893956423089376,0.0153109024036784,NA
negative chemotaxis,NA,NA,NA,NA,NA,0.00917242354495495,NA
negative regulation of chondrocyte differentiation,NA,NA,NA,NA,NA,0.0276821842126202,NA
negative regulation of dendrite development,NA,NA,NA,NA,NA,0.0164162996394061,NA
negative regulation of nervous system development,NA,NA,NA,NA,NA,0.0214617059777834,NA
negative regulation of neurogenesis,NA,NA,NA,NA,NA,0.0356586374999583,0.0495913977804949
negative regulation of synaptic transmission,NA,NA,NA,NA,NA,0.0307944972235683,NA
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,NA,NA,NA,NA,NA,0.0441770182329823,NA
neuron migration,NA,NA,NA,NA,0.0343915311753777,0.00447364123230598,2.02810524574622e-07
neuron projection extension,NA,NA,NA,NA,NA,0.0422312295772881,NA
neuron projection guidance,NA,NA,NA,NA,0.00347828928441056,7.91161260647034e-07,0.038290294348563
neuron projection organization,NA,NA,NA,NA,NA,0.00916815395197887,NA
neuron recognition,NA,NA,NA,NA,0.0217877872543696,0.000654906740271088,0.00268546089903989
neuronal action potential,NA,NA,NA,NA,NA,NA,0.0489014121749519
neurotransmitter secretion,NA,NA,NA,NA,NA,0.0230322437613391,NA
ovulation cycle,NA,NA,NA,NA,NA,0.0352791933910853,NA
ovulation cycle process,NA,NA,NA,NA,NA,0.040907045227987,NA
pallium development,NA,NA,NA,NA,0.00778324120779981,NA,NA
peptide hormone secretion,NA,NA,NA,NA,NA,0.0276821842126202,NA
peptidyl-serine modification,NA,NA,NA,NA,NA,0.0141296120777224,NA
peptidyl-threonine modification,NA,NA,NA,NA,NA,0.0308205000171402,NA
positive regulation of cell development,NA,NA,NA,NA,0.00893956423089376,0.000301236228181293,0.00514011735912564
positive regulation of cell projection organization,NA,NA,NA,NA,0.00318915412148501,0.00380969403676824,NA
