GO_CC_terms,_SB_count_1;all_genes,_SB_count_1;_SB_count_HiC_all,_SB_count_2;_SB_count_1,_SB_count_3;_SB_count_1,_SB_count_4;_SB_count_1,_SB_count_5;_SB_count_1,_SB_count_grthan5;_SB_count_1
actin-based cell projection,NA,NA,NA,NA,NA,0.00149563589328619,NA
AMPA glutamate receptor complex,NA,NA,NA,NA,NA,0.00401509067449989,0.0208816012853366
anchored component of membrane,NA,NA,NA,NA,NA,NA,0.0167066456128444
apical junction complex,NA,NA,NA,NA,0.0183957302064159,NA,NA
apical part of cell,NA,NA,NA,NA,0.00293892534251573,NA,NA
apical plasma membrane,NA,NA,NA,NA,0.0169671961355731,NA,NA
asymmetric synapse,NA,NA,NA,NA,0.000115251024142766,1.51687445807466e-08,8.21388205216504e-08
axon part,NA,NA,NA,NA,0.000802165980347007,0.00797270682578414,7.48728238686022e-05
basal lamina,NA,NA,NA,NA,NA,0.0241428428492698,NA
basement membrane,NA,NA,NA,NA,0.00120012528846446,4.89685548399713e-05,0.00483169759128195
bicellular tight junction,NA,NA,NA,NA,0.036584661677678,NA,NA
calcium channel complex,NA,NA,NA,NA,NA,0.000206665401791719,NA
catenin complex,NA,NA,NA,NA,NA,0.0182047388283491,NA
cation channel complex,NA,NA,NA,NA,9.27695318248065e-05,2.1644056642741e-10,1.25636066092564e-06
cell body,NA,NA,NA,NA,NA,0.0199276570771618,NA
cell cortex,NA,NA,NA,NA,0.00368563467226273,0.00752814165131607,NA
cell leading edge,NA,NA,NA,NA,1.56589805480979e-05,NA,0.000367135495793427
cell-cell adherens junction,NA,NA,NA,NA,0.0185905577386113,0.00752814165131607,NA
cell-cell junction,NA,NA,NA,NA,0.000374957989913422,0.00159400964739532,NA
chitosome,NA,NA,NA,NA,0.00923992012712089,NA,NA
cytoplasmic region,NA,NA,NA,NA,0.00161893819178655,0.032392903478694,NA
dendrite membrane,NA,NA,NA,NA,0.0323273418918021,NA,0.000214531939739261
dendritic shaft,NA,NA,NA,NA,NA,0.0135024870559484,NA
dendritic spine,NA,NA,NA,NA,0.0129524118998749,3.51320373853239e-05,0.00186873972059975
distal axon,NA,NA,NA,NA,0.00432246118700006,0.00771637107088924,0.0193541542016723
endoplasmic reticulum lumen,NA,NA,NA,NA,0.0171089839545709,NA,NA
extracellular matrix,NA,NA,NA,NA,9.64837632580157e-05,6.99961548924847e-05,0.00247221743431158
extracellular matrix component,NA,NA,NA,NA,0.000262869238671507,1.20970482122364e-06,0.00231982862538705
extrinsic component of plasma membrane,NA,NA,NA,NA,0.0453896275662765,0.00752814165131607,NA
filopodium,NA,NA,NA,NA,NA,0.0112646455488638,NA
GABA receptor complex,NA,NA,NA,NA,0.036584661677678,0.0168988343496792,0.0282593598990058
GABA-A receptor complex,NA,NA,NA,NA,NA,0.011374458704301,0.0228495648811563
growth cone,NA,NA,NA,NA,0.00895912493020667,0.00165593374283423,NA
I band,NA,NA,NA,NA,NA,0.0455782005095035,NA
ion channel complex,NA,NA,NA,NA,9.64837632580157e-05,3.26747676993335e-09,9.01571444670559e-07
ionotropic glutamate receptor complex,NA,NA,NA,NA,0.0372994798679958,1.01067890941884e-05,6.15985308912416e-05
lamellipodium,NA,NA,NA,NA,0.00318108249486348,NA,NA
leading edge membrane,NA,NA,NA,NA,0.0182111489148301,NA,0.0208565032941539
melanosome membrane,NA,NA,NA,NA,0.00923992012712089,NA,NA
neuron projection membrane,NA,NA,NA,NA,0.00923992012712089,NA,3.92150612043697e-05
neuron spine,NA,NA,NA,NA,0.00845859090368672,2.24340629240867e-05,0.000747091504018047
neuron to neuron synapse,NA,NA,NA,NA,0.000224398072221128,2.19286723795942e-08,9.43569852777969e-08
neuronal cell body,NA,NA,NA,NA,0.0393204483675428,0.011374458704301,NA
neurotransmitter receptor complex,NA,NA,NA,NA,0.0373870603488526,2.04892133807633e-05,8.10031808903431e-05
occluding junction,NA,NA,NA,NA,0.0277051931248039,NA,NA
pigment granule membrane,NA,NA,NA,NA,0.00923992012712089,NA,NA
plasma membrane receptor complex,NA,NA,NA,NA,NA,0.0402713788324377,NA
postsynapse,NA,NA,NA,NA,1.61093308297599e-08,3.74530762406796e-13,2.35562021970108e-10
postsynaptic density,NA,NA,NA,NA,0.000138010145763912,2.49465443802385e-08,1.25636066092564e-06
postsynaptic density membrane,NA,NA,NA,NA,0.00327552179415581,1.5194748827966e-05,0.000322335557804876
postsynaptic membrane,NA,NA,NA,NA,1.29838314442517e-08,1.31403560695094e-09,1.49336471466281e-09
postsynaptic specialization,NA,NA,NA,NA,0.000138010145763912,1.8296130069753e-08,1.31267590021838e-06
postsynaptic specialization membrane,NA,NA,NA,NA,0.00368563467226273,8.74852272767185e-06,0.000500765650422132
potassium channel complex,NA,NA,NA,NA,0.00281702313304346,0.000117530894344224,0.00348159390555494
presynapse,NA,NA,NA,NA,0.0183957302064159,0.011374458704301,0.000747091504018047
presynaptic membrane,NA,NA,NA,NA,0.00311893771899936,1.5194748827966e-05,0.00405781515465611
proteinaceous extracellular matrix,NA,NA,NA,NA,2.60776383257015e-06,3.69649092910028e-06,6.69825223668896e-05
receptor complex,NA,NA,NA,NA,1.70744238147124e-05,1.95639571652766e-07,2.40529284760038e-06
sarcolemma,NA,NA,NA,NA,NA,3.51320373853239e-05,NA
site of polarized growth,NA,NA,NA,NA,0.016954479279022,0.00165593374283423,NA
synaptic membrane,NA,NA,NA,NA,2.81187038886225e-09,8.92050050016331e-11,1.0307375934206e-09
T-tubule,NA,NA,NA,NA,NA,0.00752814165131607,NA
transmembrane transporter complex,NA,NA,NA,NA,0.000928977025938582,2.54903257403596e-08,1.56652852832818e-06
transporter complex,NA,NA,NA,NA,0.00120012528846446,9.27362953221377e-08,2.60247011387607e-06
voltage-gated calcium channel complex,NA,NA,NA,NA,NA,0.00246981810973941,NA
voltage-gated potassium channel complex,NA,NA,NA,NA,0.00327552179415581,0.000500650229679231,0.00522694615365848
Z disc,NA,NA,NA,NA,NA,0.0396918717084318,0.0282593598990058
