GO_MF_terms,_SB_count_1;all_genes,_SB_count_1;_SB_count_HiC_all,_SB_count_2;_SB_count_1,_SB_count_3;_SB_count_1,_SB_count_4;_SB_count_1,_SB_count_5;_SB_count_1,_SB_count_grthan5;_SB_count_1
actinin binding,NA,NA,NA,NA,NA,0.0391610967094738,NA
calcium channel activity,NA,NA,NA,NA,NA,0.000810812332135117,0.0152586510077118
calcium ion transmembrane transporter activity,NA,NA,NA,NA,NA,0.000916326318897682,0.0253837656978562
cation channel activity,NA,NA,NA,NA,0.000291306403895623,3.26332666004387e-06,0.0012703349716485
cell adhesion molecule binding,NA,NA,NA,NA,NA,0.0197699110551093,0.0367412642280583
channel activity,NA,NA,NA,NA,0.000641125069710232,7.06921952813719e-06,8.93494797239952e-05
chemorepellent activity,NA,NA,NA,NA,NA,NA,0.0113489835672936
collagen binding,NA,NA,NA,NA,NA,0.0202713599612291,NA
extracellular ligand-gated ion channel activity,NA,NA,NA,NA,NA,0.000873624455484926,0.00738925114917933
extracellularly glutamate-gated ion channel activity,NA,NA,NA,NA,NA,0.000202979930140637,0.0009474132205656
GABA receptor activity,NA,NA,NA,NA,0.0347859021798915,NA,NA
GABA-A receptor activity,NA,NA,NA,NA,NA,0.0206880128212561,0.0386758823791288
GABA-gated chloride ion channel activity,NA,NA,NA,NA,0.0255886383208092,NA,0.0438902175492517
gated channel activity,NA,NA,NA,NA,0.000179606735418495,1.50096885562988e-06,2.03752802722848e-05
glutamate receptor activity,NA,NA,NA,NA,NA,1.2450221241075e-06,1.15259545120312e-05
GTPase regulator activity,NA,NA,NA,NA,NA,0.0400607115658312,NA
high voltage-gated calcium channel activity,NA,NA,NA,NA,NA,0.0197699110551093,NA
inhibitory extracellular ligand-gated ion channel activity,NA,NA,NA,NA,0.0122057088643168,NA,NA
ion channel activity,NA,NA,NA,NA,0.000179606735418495,1.2450221241075e-06,2.86724342470301e-05
ion channel binding,NA,NA,NA,NA,NA,0.0447939238585394,NA
ion gated channel activity,NA,NA,NA,NA,0.000179606735418495,1.50096885562988e-06,2.86724342470301e-05
ionotropic glutamate receptor activity,NA,NA,NA,NA,NA,2.08565977776403e-05,0.0009474132205656
ligand-gated anion channel activity,NA,NA,NA,NA,0.0107976390189761,NA,NA
ligand-gated channel activity,NA,NA,NA,NA,0.0347859021798915,0.000687088572501601,0.0009474132205656
ligand-gated ion channel activity,NA,NA,NA,NA,0.0347859021798915,0.000687088572501601,0.0009474132205656
MAP kinase kinase kinase activity,NA,NA,NA,NA,0.0403649152175365,0.00820908970316655,NA
metal ion transmembrane transporter activity,NA,NA,NA,NA,0.000179606735418495,0.00215015514625166,0.0367412642280583
metalloendopeptidase activity,NA,NA,NA,NA,NA,0.0377797968435238,NA
metallopeptidase activity,NA,NA,NA,NA,NA,0.0188557271341005,NA
mitogen-activated protein kinase kinase binding,NA,NA,NA,NA,NA,0.0377797968435238,NA
monovalent inorganic cation transmembrane transporter activity,NA,NA,NA,NA,0.0272564771700063,NA,NA
