KEGG_terms,_SB_count_1;all_genes,_SB_count_1;_SB_count_HiC_all,_SB_count_2;_SB_count_1,_SB_count_3;_SB_count_1,_SB_count_4;_SB_count_1,_SB_count_5;_SB_count_1,_SB_count_grthan5;_SB_count_1
Adherens junction,NA,NA,NA,NA,0.0196476622873724,NA,NA
Adrenergic signaling in cardiomyocytes,NA,NA,NA,NA,NA,0.040872824480132,NA
AGE-RAGE signaling pathway in diabetic complications,NA,NA,NA,NA,0.0367931096173191,NA,NA
Amoebiasis,NA,NA,NA,NA,0.00987587888049038,NA,NA
Amphetamine addiction,NA,NA,NA,NA,NA,0.0164703093968358,NA
Arrhythmogenic right ventricular cardiomyopathy (ARVC),NA,NA,NA,NA,0.00987587888049038,0.000695498177241566,NA
Axon guidance,NA,NA,NA,NA,0.00987587888049038,0.00116793544104573,NA
Calcium signaling pathway,NA,NA,NA,NA,0.0282975548947443,0.00702413853650833,NA
Cell adhesion molecules (CAMs),NA,NA,NA,NA,NA,0.0486531442593257,NA
cGMP-PKG signaling pathway,NA,NA,NA,NA,NA,0.0440487536377547,NA
Cholinergic synapse,NA,NA,NA,NA,0.0367931096173191,0.0306458688283666,NA
Circadian entrainment,NA,NA,NA,NA,NA,3.53203972953535e-05,0.00209702011131253
Cortisol synthesis and secretion,NA,NA,NA,NA,NA,0.0368150640664294,NA
Dilated cardiomyopathy (DCM),NA,NA,NA,NA,NA,0.0226345492825803,NA
Dopaminergic synapse,NA,NA,NA,NA,0.0202936791612435,0.000695498177241566,NA
ECM-receptor interaction,NA,NA,NA,NA,0.0201289300481989,0.00914548702999991,NA
Focal adhesion,NA,NA,NA,NA,0.0119044494042676,0.0486531442593257,NA
GABAergic synapse,NA,NA,NA,NA,0.00987587888049038,0.000695498177241566,NA
Gap junction,NA,NA,NA,NA,NA,NA,0.023705036507278
Gastric acid secretion,NA,NA,NA,NA,NA,0.0117356237062913,NA
Glutamatergic synapse,NA,NA,NA,NA,0.0367931096173191,3.53203972953535e-05,0.0029131364962267
Hypertrophic cardiomyopathy (HCM),NA,NA,NA,NA,NA,0.0226345492825803,NA
Inflammatory mediator regulation of TRP channels,NA,NA,NA,NA,NA,0.00973561923718958,NA
Insulin secretion,NA,NA,NA,NA,NA,0.00334662852065846,NA
Long-term depression,NA,NA,NA,NA,NA,0.000695498177241566,NA
Long-term potentiation,NA,NA,NA,NA,NA,0.00474912503015561,NA
MAPK signaling pathway,NA,NA,NA,NA,NA,0.0440487536377547,NA
Morphine addiction,NA,NA,NA,NA,0.00987587888049038,0.000127689421346298,0.0259470376052846
Neuroactive ligand-receptor interaction,NA,NA,NA,NA,0.0367931096173191,0.00474912503015561,0.00209702011131253
Nicotine addiction,NA,NA,NA,NA,0.0367931096173191,0.00116793544104573,0.00209702011131253
Oxytocin signaling pathway,NA,NA,NA,NA,NA,0.0159252415966968,NA
Phosphatidylinositol signaling system,NA,NA,NA,NA,0.0240689759582702,NA,NA
Phospholipase D signaling pathway,NA,NA,NA,NA,NA,0.0168559028441581,NA
PI3K-Akt signaling pathway,NA,NA,NA,NA,0.0119044494042676,NA,NA
Proteoglycans in cancer,NA,NA,NA,NA,0.0367931096173191,NA,NA
Relaxin signaling pathway,NA,NA,NA,NA,NA,0.0406061392464648,NA
Renin secretion,NA,NA,NA,NA,0.00987587888049038,0.00543099886991331,NA
Retrograde endocannabinoid signaling,NA,NA,NA,NA,0.00987587888049038,0.00116793544104573,0.0252263557564004
Salivary secretion,NA,NA,NA,NA,NA,0.0368150640664294,NA
Serotonergic synapse,NA,NA,NA,NA,0.0444804507477283,0.0022816704497973,NA
Small cell lung cancer,NA,NA,NA,NA,0.0367931096173191,NA,NA
Vascular smooth muscle contraction,NA,NA,NA,NA,NA,0.0486531442593257,NA
