ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0030900,forebrain development,205/6912,365/16583,1.25388005489466e-08,7.72264725809622e-05,7.07716300457387e-05,HTR6/WNT4/KDM1A/ARID1A/POU3F1/DAB1/GNG12/LHX8/LMX1A/TBX19/TNR/ARPC5/KIF14/CNTN2/SRGAP2/PROX1/ALK/SRD5A2/SLC8A1/RTN4/OTX1/EMX1/HTRA2/POU3F3/RAB3GAP1/ZEB2/NR4A2/TBR1/SLC4A10/TTC21B/LRP2/DLX1/DLX2/COL3A1/SATB2/CREB1/ERBB4/ATIC/OXTR/WNT7A/RARB/TOP2B/SCN5A/CX3CR1/CTNNB1/RHOA/WNT5A/ROBO2/ROBO1/ARL13B/GSK3B/TMEM108/RYK/SOX2/CHRD/EPHB3/SLIT2/PPARGC1A/CCKAR/EPHA5/UBA6/ANXA3/ATOH1/LEF1/PITX2/METTL14/FAT4/DCLK2/RAPGEF2/CASP3/SRD5A1/SEMA5A/FGF10/ISL1/PAPD4/CEP120/UQCRQ/CSF1R/NDST1/ID4/EFHC1/FYN/FABP7/NPY/AQP1/GHRHR/INHBA/GLI3/EGFR/SEMA3A/CDK6/DLX5/RELN/LAMB1/FOXP2/PLXNA4/PTN/CNTNAP2/EZH2/MCPH1/DLC1/PCM1/NKX2-6/NEFL/NRG1/FUT10/FGFR1/TACC1/CHD7/CRH/EXT1/TRAPPC9/NFIB/PAX5/GNAQ/NTRK2/AGTPBP1/SECISBP2/NR4A3/TAL2/LPAR1/DAB2IP/LHX6/TSC1/NRP1/CXCL12/PRKG1/DKK1/NRG3/BMPR1A/PTEN/HHEX/SLIT1/FGFR2/TACC2/BNIP3/RRM1/KCNC1/SLC1A2/GDPD5/FEZ1/KIRREL3/ETS1/KCNA1/LRP6/KRAS/LRRK2/SLC38A2/WNT1/LRP1/FRS2/KCNC2/APAF1/RFX4/LHX5/KDM2B/DCLK1/PCDH9/POU4F1/SLITRK5/DCT/METTL3/NKX2-1/BMP4/OTX2/HIF1A/SYNE2/SLC8A3/GSC/BCL11B/CCDC85C/NR2F2/ALDH1A3/C16orf45/RPGRIP1L/GNAO1/BBS2/PHLPP2/PAFAH1B1/MYO1D/ADCYAP1/CDH2/PTPRS/WDR62/XRCC1/MBOAT7/CSNK2A1/PLCB1/MKKS/BTBD3/XRN2/SSTR4/E2F1/APP/OLIG2/PTCHD1/ARX/NR0B1/OPHN1/ATRX/ATP7A/POU3F4/FGF13/SOX3/PLXNA3,205
GO_BP,GO:0001655,urogenital system development,174/6912,312/16583,2.9512251073057e-07,0.000908829771794789,0.000832866790809113,WNT4/NFIA/WDR77/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/KIF26B/SOX11/OSR1/SDC1/EPCAM/WDPCP/POU3F3/BCL2L11/HOXD11/HOXD13/STAT1/CFLAR/CXCR2/EPHA4/COL4A4/COL4A3/RARB/CTNNB1/SMARCC1/WNT5A/ROBO2/EAF2/NPHP3/AGTR1/WWTR1/MME/TIPARP/EPHB3/TP63/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/DCHS2/HPGD/IRX2/IRX1/ADAMTS16/SRD5A1/PRLR/NIPBL/GDNF/FGF10/PTCD2/FOXD1/MEF2C/SMAD5/KLHL3/FGF1/FOXC1/BMP6/ID4/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/TCF21/AHI1/ESR1/DLL1/C1GALT1/BMPER/GLI3/MAGI2/PODXL/ANGPT2/NKX3-1/FGFR1/SFRP1/SOX17/PLAG1/CYP7B1/SULF1/EYA1/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/ANXA1/PCSK5/GCNT1/TGFBR1/TNC/TSC1/RXRA/ITGA8/NRP1/ARID5B/SGPL1/DLG5/PTEN/ACTA2/RBP4/PLCE1/PAX2/FGFR2/LGR4/AQP11/YAP1/PDGFD/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/FRS2/LGR5/CEP290/DCN/SMAD9/EFNB2/COL4A1/FOXA1/BMP4/SIX1/SIX4/FMN1/FBN1/CYP19A1/PYGO1/MYO1E/GCNT3/SMAD3/FEM1B/STRA6/UMOD/RPGRIP1L/IRX3/NUP93/MYOCD/ITGA3/GREB1L/SMAD2/SMAD4/BCL2/SERPINB7/NPHS1/JAG1/BMP7/ADAMTS1/MPST/RGN/MAGED1/AMER1/AR/GPC3,174
GO_BP,GO:0010975,regulation of neuron projection development,231/6912,436/16583,9.50427987900465e-07,0.00195122865915965,0.00178813855127098,TNFRSF8/KDM1A/DAB1/LRRC7/NEGR1/LPAR3/GFI1/AMIGO1/RAP1A/NGF/S100A9/NTRK1/PRRX1/DNM3/TNR/CAMSAP2/SYT2/CNTN2/PLXNA2/AGT/TRIM67/KIDINS220/ITSN2/RTN4/CCDC88A/BCL11A/ACTR2/TLX2/MAP4K4/TTL/ZEB2/TBR1/CHN1/NFE2L2/ZNF804A/HECW2/CFLAR/TRAK2/BMPR2/MAP2/FN1/EPHA4/WNT7A/GOLGA4/ULK4/TRAK1/RHOA/WNT5A/PTPRG/ROBO2/ROBO1/EPHA3/KALRN/PLXND1/NCK1/SHOX2/SERPINI1/PRKCI/SKIL/TNIK/NLGN1/FXR1/EPHB3/IL1RAP/OSTN/OPA1/SLIT2/RUFY3/PAQR3/SPP1/GRID2/PDLIM5/PPP3CA/NDNF/IL2/RAPGEF2/TENM3/SEMA5A/PLK2/ZSWIM6/MAP1B/ENC1/ARSB/MEF2C/NR2F1/EFNA5/WDR36/FSTL4/SPOCK1/DPYSL3/FBXO38/MYLIP/KIAA0319/SYNGAP1/BMP5/RIMS1/CNR1/EPHA7/RTN4IP1/FIG4/FYN/UST/SDK1/TMEM106B/HECW1/DDX56/COBL/MAGI2/SEMA3C/HGF/SEMA3E/SEMA3A/PPP1R9A/SMURF1/RELN/NRCAM/IFRD1/PLXNA4/PTN/BRAF/EZH2/NEFL/DPYSL2/PTK2B/NRG1/FGFR1/SFRP1/LYN/STMN2/SDC2/RIMS2/CSMD3/ASAP1/PTK2/KANK1/PTPRD/PLAA/NTRK2/LPAR1/DAB2IP/ABL1/SETX/TSC1/OLFM1/CAMK1D/VIM/SLC39A12/NRP1/CXCL12/ZNF365/ZSWIM8/DLG5/PTEN/ANKRD1/CPEB3/ZFYVE27/MOB2/APBB1/DENND5A/BDNF/LRRC4C/CNTF/SHANK2/PAK1/FZD4/TRPC6/FEZ1/PTPRO/CAPRIN2/LRRK2/CNTN1/TWF1/ADCY6/LRP1/LLPH/GRIP1/RAB21/SYT1/PLXNC1/SSH1/TRPV4/CUX2/FBXW8/ATP8A2/SLITRK1/RAP2A/STK24/EFNB2/CPNE6/PRKD1/SIPA1L1/ITPKA/LTK/B2M/NEDD4/RAB11A/NPTN/LINGO1/NTRK3/RRN3/SYT17/EEF2K/PAFAH1B1/NTN1/ARHGAP44/ITGA3/ADCYAP1/CDH2/RIT2/DCC/NEDD4L/PTPRS/SNAP25/PREX1/BMP7/CTSZ/CDH4/CHODL/TIAM1/DSCAM/YWHAH/CDKL5/IL1RAPL1/MIR222/MIR221/PAK3/TRPC5/FGF13/MCF2/FMR1/PLXNA3,231
GO_BP,GO:0072001,renal system development,154/6912,276/16583,1.33501974345217e-06,0.00205559664998048,0.00188378312220804,WNT4/NFIA/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/KIF26B/SOX11/OSR1/SDC1/EPCAM/WDPCP/POU3F3/BCL2L11/HOXD11/STAT1/CFLAR/CXCR2/EPHA4/COL4A4/COL4A3/RARB/CTNNB1/WNT5A/ROBO2/NPHP3/AGTR1/WWTR1/MME/TIPARP/TP63/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/DCHS2/HPGD/IRX2/IRX1/ADAMTS16/NIPBL/GDNF/FGF10/PTCD2/FOXD1/MEF2C/SMAD5/KLHL3/FGF1/FOXC1/BMP6/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/TCF21/AHI1/DLL1/C1GALT1/BMPER/GLI3/MAGI2/PODXL/ANGPT2/NKX3-1/FGFR1/SFRP1/SOX17/SULF1/EYA1/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/GCNT1/TGFBR1/TSC1/ITGA8/NRP1/ARID5B/SGPL1/DLG5/ACTA2/RBP4/PLCE1/PAX2/FGFR2/LGR4/AQP11/YAP1/PDGFD/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/LGR5/CEP290/DCN/SMAD9/EFNB2/COL4A1/BMP4/SIX1/SIX4/FMN1/FBN1/PYGO1/MYO1E/GCNT3/SMAD3/STRA6/UMOD/RPGRIP1L/IRX3/NUP93/MYOCD/ITGA3/GREB1L/SMAD2/SMAD4/BCL2/SERPINB7/NPHS1/JAG1/BMP7/ADAMTS1/MPST/RGN/MAGED1/AMER1/GPC3,154
GO_BP,GO:0001822,kidney development,145/6912,260/16583,2.78991066345216e-06,0.00293186495672199,0.00268681004229041,WNT4/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/KIF26B/SOX11/OSR1/SDC1/EPCAM/WDPCP/POU3F3/BCL2L11/HOXD11/STAT1/CFLAR/CXCR2/EPHA4/COL4A4/COL4A3/RARB/CTNNB1/ROBO2/NPHP3/AGTR1/WWTR1/MME/TIPARP/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/DCHS2/HPGD/IRX2/IRX1/ADAMTS16/NIPBL/GDNF/FGF10/PTCD2/FOXD1/MEF2C/SMAD5/KLHL3/FGF1/FOXC1/BMP6/TFAP2B/PKHD1/EPHA7/SIM1/TCF21/AHI1/DLL1/C1GALT1/BMPER/GLI3/MAGI2/PODXL/ANGPT2/NKX3-1/FGFR1/SFRP1/SULF1/EYA1/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/GCNT1/TGFBR1/TSC1/ITGA8/NRP1/ARID5B/SGPL1/DLG5/ACTA2/PLCE1/PAX2/FGFR2/LGR4/AQP11/YAP1/PDGFD/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/CEP290/DCN/SMAD9/EFNB2/BMP4/SIX1/SIX4/FMN1/FBN1/PYGO1/MYO1E/GCNT3/SMAD3/STRA6/UMOD/RPGRIP1L/IRX3/NUP93/ITGA3/GREB1L/SMAD2/SMAD4/BCL2/SERPINB7/NPHS1/JAG1/BMP7/ADAMTS1/MPST/RGN/MAGED1/AMER1/GPC3,145
GO_BP,GO:0016358,dendrite development,122/6912,213/16583,2.85617628516512e-06,0.00293186495672199,0.00268681004229041,RERE/CDC42/DAB1/IGSF9/DNM3/CAMSAP2/SRGAP2/KIDINS220/STRN/BCL11A/ACTR2/TLX2/CTNNA2/NCK2/HECW2/TRAK2/KLF7/MAP2/EPHA4/DOCK10/WNT7A/TRAK1/RHOA/KALRN/EPHB1/TNIK/NLGN1/FXR1/MAP6D1/EPHB3/IL1RAP/OPA1/UBA6/PDLIM5/PPP3CA/IL2/RAPGEF2/CTNND2/PLK2/MAP1B/MEF2C/FSTL4/CAMK2A/DTNBP1/DCDC2/KIAA0319/SYNGAP1/BMP5/RTN4IP1/FYN/ARID1B/SDK1/TMEM106B/HECW1/COBL/SEMA3A/PPP1R9A/RELN/WASL/EZH2/NRG1/PREX2/SDC2/MATN2/CSMD3/ASAP1/PTPRD/GRIN3A/LPAR1/DAB2IP/CAMK1D/ABI1/NRP1/PRKG1/ZNF365/DLG5/PTEN/CPEB3/FLRT1/SHANK2/MAP6/PICALM/TRPC6/CAPRIN2/LRRK2/LLPH/GRIP1/RAB21/CUX2/FBXW8/DCLK1/KLHL1/SLITRK5/RAP2A/FARP1/SIPA1L1/FMN1/ITPKA/NEDD4/MEF2A/EEF2K/PAFAH1B1/ARHGAP44/DCC/NEDD4L/PTPRS/BTBD3/PREX1/BMP7/APP/TIAM1/DSCAM/YWHAH/RBFOX2/CDKL5/IL1RAPL1/ACSL4/PAK3/TRPC5/SLC9A6/FMR1/MECP2,122
GO_BP,GO:0031346,positive regulation of cell projection organization,181/6912,336/16583,3.63277259097929e-06,0.00318915412148501,0.00292259413257494,CDC42/KDM1A/LRRC7/NEGR1/LPAR3/FNBP1L/AMIGO1/EPS8L3/RAP1A/NGF/S100A9/NTRK1/DNM3/SYT2/PLXNA2/AGT/TRIM67/KIDINS220/ITSN2/CDC42EP3/RTN4/CCDC88A/ACTR2/ZEB2/NFE2L2/NCKAP1/ZNF804A/CFLAR/BMPR2/FN1/EPHA4/GOLGA4/TRAK1/RHOA/WNT5A/ROBO2/ROBO1/EPHA3/KALRN/PLXND1/NCK1/CLRN1/SHOX2/SERPINI1/PRKCI/SKIL/NLGN1/IL1RAP/OPA1/HTT/TAPT1/SLIT2/KIT/CEP135/RUFY3/NDNF/IL2/RAPGEF2/GPM6A/TENM3/SEMA5A/ITGA2/MAP1B/ENC1/F2RL1/ARSB/EFNA5/APC/CEP120/DPYSL3/FBXO38/TENM2/RREB1/BMP5/RIMS1/CNR1/FIG4/FYN/RAC1/TMEM106B/SEPT7/ANLN/RALA/DDX56/COBL/AUTS2/MAGI2/HGF/PPP1R9A/SMURF1/RELN/WASL/PLXNA4/PTN/BRAF/EZH2/NEFL/PTK2B/NRG1/FGFR1/RP1/LYN/STMN2/RIMS2/PTPRD/PLAA/NTRK2/TGFBR1/LPAR1/DAB2IP/SETX/CAMK1D/NRP1/CXCL12/DLG5/ANKRD1/CPEB3/ZFYVE27/MOB2/APBB1/BDNF/CNTF/SHANK2/ARAP1/PAK1/FZD4/FEZ1/EPS8/CAPRIN2/CNTN1/TWF1/WNT1/LLPH/GRIP1/RAB21/NAV3/SYT1/PLXNC1/CORO1C/CUX2/FBXW8/ATP8A2/SLITRK1/ARHGEF7/CPNE6/PRKD1/PLEK2/C15orf62/ITPKA/LTK/RAB8B/RAB11A/NPTN/NTRK3/RRN3/SYT17/CCP110/EEF2K/PAFAH1B1/NTN1/ITGA3/BCAS3/SEPT9/ADCYAP1/RIT2/NEDD4L/BMP7/CDH4/TIAM1/DSCAM/CDKL5/IL1RAPL1/MIR222/MIR221/ATP7A/PAK3/TRPC5/DOCK11/TENM1/FMR1/PLXNA3,181
GO_BP,GO:0010976,positive regulation of neuron projection development,139/6912,249/16583,4.14243107190779e-06,0.00318915412148501,0.00292259413257494,KDM1A/LRRC7/NEGR1/LPAR3/AMIGO1/RAP1A/NGF/S100A9/NTRK1/SYT2/PLXNA2/AGT/TRIM67/KIDINS220/ITSN2/RTN4/ACTR2/ZEB2/NFE2L2/ZNF804A/CFLAR/BMPR2/FN1/EPHA4/GOLGA4/TRAK1/RHOA/WNT5A/ROBO2/ROBO1/EPHA3/KALRN/PLXND1/NCK1/SHOX2/SERPINI1/PRKCI/SKIL/NLGN1/IL1RAP/OPA1/SLIT2/RUFY3/NDNF/IL2/RAPGEF2/TENM3/SEMA5A/MAP1B/ENC1/ARSB/EFNA5/DPYSL3/FBXO38/BMP5/RIMS1/CNR1/FIG4/FYN/TMEM106B/DDX56/COBL/MAGI2/HGF/PPP1R9A/SMURF1/RELN/PLXNA4/PTN/BRAF/EZH2/NEFL/PTK2B/NRG1/FGFR1/LYN/STMN2/RIMS2/PTPRD/PLAA/NTRK2/LPAR1/DAB2IP/SETX/CAMK1D/NRP1/CXCL12/DLG5/ANKRD1/CPEB3/ZFYVE27/MOB2/APBB1/BDNF/CNTF/SHANK2/PAK1/FZD4/FEZ1/CAPRIN2/CNTN1/TWF1/LLPH/GRIP1/RAB21/SYT1/PLXNC1/CUX2/FBXW8/ATP8A2/SLITRK1/CPNE6/PRKD1/ITPKA/LTK/RAB11A/NPTN/NTRK3/RRN3/SYT17/EEF2K/PAFAH1B1/NTN1/ITGA3/ADCYAP1/RIT2/NEDD4L/BMP7/CDH4/TIAM1/DSCAM/CDKL5/IL1RAPL1/MIR222/MIR221/PAK3/TRPC5/FMR1/PLXNA3,139
GO_BP,GO:0045666,positive regulation of neuron differentiation,178/6912,332/16583,6.38802647168206e-06,0.00347828928441056,0.00318756242777098,KDM1A/DAB1/LRRC7/NEGR1/LPAR3/AMIGO1/RAP1A/NGF/S100A9/NTRK1/BRINP2/BRINP3/SYT2/PLXNA2/PROX1/AGT/TRIM67/SOX11/KIDINS220/ITSN2/NCOA1/RTN4/ACTR2/ZEB2/DLX1/DLX2/HOXD3/NFE2L2/ZNF804A/CFLAR/BMPR2/VWC2L/FN1/EPHA4/RARB/GOLGA4/TRAK1/RHOA/WNT5A/ROBO2/ROBO1/EPHA3/KALRN/PLXND1/NCK1/SHOX2/SERPINI1/PRKCI/SKIL/ECT2/NLGN1/BCL6/IL1RAP/OPA1/ADRA2C/SLIT2/RUFY3/ATOH1/NDNF/IL2/RAPGEF2/TENM3/SEMA5A/MAP1B/ENC1/ARSB/MEF2C/EFNA5/DPYSL3/FBXO38/NKX2-5/BMP6/BMP5/BEND6/RIMS1/CNR1/FIG4/FYN/TMEM106B/DDX56/VWC2/COBL/MAGI2/HGF/PPP1R9A/SMURF1/RELN/NRCAM/PLXNA4/PTN/BRAF/EZH2/NEFL/PTK2B/NRG1/FGFR1/LYN/STMN2/RIMS2/KDM4C/PTPRD/PLAA/NTRK2/LPAR1/TRIM32/BRINP1/DAB2IP/SETX/CAMK1D/ZEB1/NRP1/CXCL12/DKK1/DLG5/PTEN/ANKRD1/CPEB3/ZFYVE27/MOB2/APBB1/BDNF/CNTF/SHANK2/GDPD5/PAK1/FZD4/TRPC6/FEZ1/CAPRIN2/CNTN1/TWF1/LLPH/GRIP1/RAB21/SYT1/SOCS2/PLXNC1/CUX2/FBXW8/ATP8A2/SLITRK1/CPNE6/PRKD1/FOXA1/BMP4/ITPKA/LTK/TCF12/RAB11A/NPTN/NTRK3/RRN3/SYT17/GPRC5B/EEF2K/IRX3/PAFAH1B1/NTN1/ITGA3/ADCYAP1/RIT2/TCF4/NEDD4L/BCL2/BMP7/CDH4/TIAM1/DSCAM/CDKL5/IL1RAPL1/MIR222/MIR221/ZC4H2/NAP1L2/PAK3/TRPC5/FMR1/PLXNA3,178
GO_BP,GO:0007409,axonogenesis,232/6912,447/16583,6.43121529933093e-06,0.00347828928441056,0.00318756242777098,TNFRSF8/DAB1/LPAR3/NTNG1/AMIGO1/NGF/NTRK1/LMX1A/TNN/TNR/LHX9/LRRN2/NFASC/CNTN2/PLXNA2/DPYSL5/FEZ2/NRXN1/SPTBN1/RTN4/B3GNT2/CTNNA2/TTL/CXCR4/ZEB2/KIF5C/NR4A2/TBR1/CHN1/TRAK2/ALS2/BMPR2/RAPH1/NRP2/KLF7/CREB1/MAP2/FN1/EPHA4/CHL1/CNTN4/WNT7A/TOP2B/GOLGA4/TRAK1/RHOA/WNT5A/ROBO2/ROBO1/ALCAM/BOC/GAP43/SEMA5B/PLXND1/RYK/EPHB1/PIK3CB/SIAH2/SHOX2/SKIL/PIK3CA/EPHB3/SLIT2/CCKAR/APBB2/UCHL1/EPHA5/RUFY3/SPP1/ATOH1/BMPR1B/UNC5C/COL25A1/GAB1/SEMA5A/GDNF/ISL1/ZSWIM6/LRRC70/PIK3R1/MAP1B/FOXD1/EFNA5/WDR36/SEMA6A/FSTL4/POU4F3/CSF1R/CYFIP2/SLIT3/RANBP9/SYNGAP1/LRFN2/EPHA7/FYN/LAMA2/UST/EZR/ETV1/ISPD/GLI3/ADCY1/GRB10/COBL/AUTS2/SEMA3C/SEMA3E/SEMA3A/DLX5/RELN/NRCAM/IFRD1/PTPRZ1/PLXNA4/BRAF/GBX1/GFRA2/NEFL/DPYSL2/FZD3/NRG1/UNC5D/MATN2/EXT1/PTK2/NFIB/C9orf72/LINGO2/NTRK2/SHC3/OGN/OMD/NR4A3/SPTAN1/ABL1/OLFM1/PRKCQ/NRP1/PARD3/CXCL12/DRGX/ANK3/ZSWIM8/VCL/PTEN/SLIT1/ZFYVE27/PAX2/GFRA1/VAX1/FGFR2/APBB1/OR10A4/BDNF/LRRC4C/LRRC55/SPTBN2/PAK1/GAB2/PICALM/NCAM1/DSCAML1/ROBO3/FEZ1/PTPRO/KRAS/KIF5A/FRS2/RAB21/EPYC/KERA/LUM/PLXNC1/NTN4/SSH1/ATP8A2/DCLK1/POU4F1/SLITRK1/SLITRK6/SLITRK5/EFNB2/NKX2-1/NKX2-8/LRFN5/ATL1/OTX2/SPTB/SIPA1L1/NRXN3/FLRT2/RPS6KA5/BCL11B/RAB11A/NEO1/LINGO1/NTRK3/CDH11/PAFAH1B1/NTN1/PRKCA/GRB2/PTPRM/CDH2/RNF165/SMAD4/DCC/BCL2/DOK6/PTPRS/NPHS1/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/TIAM1/DSCAM/CDKL5/SH3KBP1/ARX/USP9X/OPHN1/PAK3/TRPC5/SLC9A6/FGF13/MCF2/SLITRK4/SLITRK2/PLXNA3,232
