ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
KEGG,hsa05146,Amoebiasis,60/3198,99/7676,0.000102075569474899,0.00987587888049038,0.00858772076564381,87/107/731/732/735/836/929/909/912/1278/1281/1282/1284/1285/1286/1287/1288/2919/2921/2335/9630/2774/2776/3586/3593/3554/3569/3684/284217/3908/3909/3910/3912/3914/22798/3915/3918/10319/4790/4843/5290/5291/5295/23236/5332/5567/5578/5579/5582/5747/5868/7879/5273/5275/6317/6318/7042/7097/7099/7414,60
KEGG,hsa04360,Axon guidance,99/3198,178/7676,0.000102148134613833,0.00987587888049038,0.00858772076564381,25/3983/22885/23365/655/658/659/91653/815/817/818/998/6387/7852/1630/1808/56896/1946/1948/2042/2043/2044/285220/2045/2047/2049/2051/2534/7976/2770/2932/3845/64101/57689/4233/10627/103910/4690/8440/4756/4773/8829/9423/59277/22854/5058/5063/56924/56288/5163/5290/5291/5295/5335/5336/5362/55558/91584/10154/5530/5535/5578/5590/5747/5879/5894/5921/5998/387/6091/6092/64221/6093/9475/6259/10371/10512/9723/9037/54437/57556/80031/6585/9353/6586/57522/23380/9901/54434/7220/7222/7223/7224/7225/8633/137970/54361/7474/81029,99
KEGG,hsa04924,Renin secretion,43/3198,67/7676,0.000157713728002996,0.00987587888049038,0.00858772076564381,111/112/116/117/153/154/183/185/358/775/776/778/779/805/810/1179/9635/22802/1385/1508/1906/1907/1908/1909/2770/2776/2977/3708/3709/3759/3778/5136/5137/5139/5140/23236/5332/5530/5535/5567/5593/5734/5972,43
KEGG,hsa05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),48/3198,77/7676,0.000190355730417795,0.00987587888049038,0.00858772076564381,88/775/776/778/779/781/55799/93589/783/785/10369/10368/59284/59283/1000/1495/1496/29119/1499/1756/1824/1829/1832/2697/3672/22801/3673/3675/3676/3678/8516/3680/3685/3690/3694/3696/284217/3908/51176/5318/6262/6444/6445/6546/6547/6932/83439/6934,48
KEGG,hsa04723,Retrograde endocannabinoid signaling,79/3198,139/7676,0.000196324205262947,0.00987587888049038,0.00858772076564381,57406/107/108/111/112/114/773/774/775/776/778/779/1268/221955/2554/2555/2556/2557/2558/2559/2560/2561/2562/2565/2566/2567/2568/200959/2770/2775/2776/59345/10681/2791/55970/54331/2786/2788/2792/2890/2891/2892/2893/2911/2915/3708/3709/3760/3763/3765/5602/1432/5599/4695/4697/56901/4698/4704/4706/4708/4710/4711/4712/4714/4715/4718/100532726/4724/4729/23236/5332/5567/5578/5579/5582/5743/22999/57084/246213,79
KEGG,hsa04727,GABAergic synapse,54/3198,89/7676,0.000214693019141095,0.00987587888049038,0.00858772076564381,107/108/111/112/114/773/774/775/776/778/779/11345/2550/9568/2554/2555/2556/2557/2558/2559/2560/2561/2562/2565/2566/2567/2568/200959/2571/2572/2744/2752/2770/2775/59345/10681/2791/55970/54331/2786/2788/2792/10243/3763/5334/5567/5578/5579/5582/81539/54407/6529/6538/66008,54
KEGG,hsa05032,Morphine addiction,54/3198,89/7676,0.000214693019141095,0.00987587888049038,0.00858772076564381,107/108/111/112/114/408/773/774/2550/9568/2554/2555/2556/2557/2558/2559/2560/2561/2562/2565/2566/2567/2568/200959/2770/2775/59345/10681/2791/55970/54331/2786/2788/2792/3760/3763/3765/4988/10846/50940/5136/5137/5138/5139/5140/5142/5144/27115/5151/8622/5567/5578/5579/5582,54
KEGG,hsa04151,PI3K-Akt signaling pathway,177/3198,349/7676,0.000297408057788389,0.0119044494042676,0.0103516951341458,10000/284/285/374/1386/596/10018/627/100533105/894/896/1021/1129/1278/1282/1284/1285/1286/1287/1288/1293/256076/131873/1385/64764/148327/9586/200186/1436/1441/1946/1950/1956/2065/2066/2149/356/2246/2255/2247/2260/2263/2321/2322/2335/2309/2690/59345/10681/2791/55970/54331/2786/2788/2792/2885/2932/3082/7184/3381/3446/3448/3449/3451/3452/3441/3442/3443/3444/3456/3479/3480/3551/3558/3569/3575/3667/3672/22801/3673/3675/3676/3678/8516/3680/3685/3690/3694/3696/3716/3717/3791/3815/4254/3845/284217/3908/3909/3910/3912/3914/22798/3915/3918/10319/1902/23566/2846/10161/9223/9863/4233/4602/4609/4790/4803/4908/4914/4915/9180/56034/80310/5156/23239/23035/118788/5290/5291/5295/23533/146850/5586/5516/5518/5519/5520/5521/5522/55844/5523/55012/5527/5529/5562/5563/5578/5617/5618/5728/5747/5879/5894/5934/5649/6009/6194/6256/6446/10110/23678/6655/6696/6850/8115/7010/7039/7057/7060/7097/7099/3371/63923/7143/7248/7424/7450/7533,177
KEGG,hsa04510,Focal adhesion,106/3198,197/7676,0.000332733057883257,0.0119044494042676,0.0103516951341458,87/10000/394/596/330/673/857/859/894/896/998/1278/1282/1284/1285/1286/1287/1288/1293/256076/131873/1499/1729/1793/1950/1956/2318/2321/2335/2534/2885/2932/3082/3381/3479/3480/3672/22801/3673/3675/3676/3678/8516/3680/3685/3690/3694/3696/3791/284217/3908/3909/3910/3912/3914/22798/3915/3918/10319/5602/5599/4233/10627/103910/4638/85366/340156/5058/5063/56924/55742/29780/56034/80310/5156/5290/5291/5295/8395/5578/5579/5582/5728/5747/5879/5894/5906/5923/5649/387/6093/9475/53358/399694/6655/6696/7057/7060/83660/3371/63923/7143/10451/7414/7424/7450,106
KEGG,hsa04520,Adherens junction,41/3198,66/7676,0.000610175847433926,0.0196476622873724,0.0170849237281499,87/998/1457/283106/1495/1496/29119/1499/1500/1956/2241/2260/2534/3480/51176/4008/6885/4233/51701/56288/5787/5795/5797/5879/387/4088/4089/6591/10580/117178/6932/83439/6934/7046/7048/7082/7414/8936/10810/8976/7525,41
KEGG,hsa04512,ECM-receptor interaction,52/3198,88/7676,0.000687634256304932,0.0201289300481989,0.0175034174332164,948/960/961/1278/1282/1284/1285/1286/1287/1288/1293/256076/131873/2335/80144/158326/341640/3381/3672/22801/3673/3675/3676/3678/8516/3680/3685/3690/3694/3696/284217/3908/3909/3910/3912/3914/22798/3915/3918/10319/255743/5649/6382/6696/9899/22987/7057/7060/3371/63923/7143/7450,52
KEGG,hsa04728,Dopaminergic synapse,72/3198,129/7676,0.000756286179922118,0.0202936791612435,0.0176466775315161,111/10000/406/408/1386/773/774/775/776/805/810/815/817/818/1385/64764/148327/9586/1644/1814/2770/2774/2775/2776/59345/10681/2791/55970/54331/2786/2788/2792/2890/2891/2892/2893/2903/2904/2932/3708/3709/3760/3763/3765/3798/3800/220074/4128/4129/5602/1432/5599/23236/5332/5516/5518/5519/5520/5521/5522/55844/5523/55012/5527/5529/5530/5567/5578/5579/5582/6323/6571,72
KEGG,hsa04070,Phosphatidylinositol signaling system,55/3198,95/7676,0.000971728843035752,0.0240689759582702,0.0209295443115393,805/810/1040/1607/8527/1608/160851/9162/139189/3612/3613/54928/8821/3632/3633/117283/253430/64768/3705/3706/3707/3708/3709/4534/8776/8898/8897/9107/55613/4952/55300/5298/5287/5288/5289/5290/5291/5295/200576/5305/79837/8395/23236/5332/51196/5335/5336/89869/5578/5579/5582/5728/22908/8867/8871,55
KEGG,hsa04020,Calcium signaling pathway,102/3198,194/7676,0.00123032847368454,0.0282975548947443,0.0246065694736907,107/108/114/148/147/153/154/185/444/490/491/773/774/775/776/777/778/779/805/810/57118/57172/815/817/818/814/845/886/952/1129/1131/1133/7852/1909/1910/1956/2065/2066/2149/9630/2774/2776/2903/2911/2915/2925/3269/3356/3357/3358/3360/3362/3363/3706/3707/3708/3709/3973/55283/90550/4638/85366/340156/4842/4843/5021/5136/5137/5156/5255/5256/5257/5260/23236/5332/51196/5335/5336/89869/5350/10105/5530/5535/5567/5578/5579/5582/5733/5737/2185/6262/6263/83447/6546/6547/6786/57620/6869/6870/10345/7201/7419,102
KEGG,hsa04933,AGE-RAGE signaling pathway in diabetic complications,54/3198,95/7676,0.00191554403723989,0.0367931096173191,0.0319940083628861,183/185/10000/596/836/998/1278/1281/1282/1284/1285/1286/1287/1288/1536/1729/1906/2335/2308/3552/3569/3717/3845/5602/1432/5599/4313/4790/50507/5290/5291/5295/23236/5332/51196/5335/5336/5578/5579/5580/5581/5590/5879/6401/4087/4088/4089/6772/7042/7046/7048/7056/7412/7424,54
KEGG,hsa05222,Small cell lung cancer,52/3198,91/7676,0.0019696199254789,0.0367931096173191,0.0319940083628861,10000/317/596/330/836/1021/1030/1164/1282/1284/1285/1286/1287/1288/1869/1871/2272/2335/1647/10912/3551/3673/3675/3685/284217/3908/3909/3910/3912/3914/22798/3915/3918/10319/4149/4609/4790/4843/5290/5291/5295/51426/5728/5743/5747/5915/5925/6256/6258/6502/7188/7189,52
