ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0098794,postsynapse,130/2536,441/17291,5.5078053295117e-16,3.74530762406796e-13,3.38005316537402e-13,GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/PALMD/ATP1A1/DNM3/SRGAP2/DISC1/SLC8A1/BCL11A/ADD2/LRRTM4/CTNNA2/NCK2/ZNF804A/MAP2/DOCK10/GRM7/GABRR3/GAP43/KALRN/CLSTN2/NLGN1/KCTD8/GABRB1/GRID2/PDLIM5/ANK2/GRIA2/GLRA3/GPM6A/CDH9/HOMER1/MEF2C/PJA2/KCNN2/SPOCK1/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/TENM2/DTNBP1/GABRR1/EPHA7/GRIK2/FYN/LAMA2/UTRN/GRM1/SYNE1/OPRM1/MAGI2/PCLO/GRM3/SRI/PPP1R9A/CTTNBP2/KCND2/CADPS2/CHRM2/DGKI/PTK2B/CHRNA2/KCNU1/ANK1/BAALC/ASAP1/MPDZ/NTRK2/GRIN3A/LPAR1/ABL1/LRRTM3/CAMK2G/KCNMA1/GRID1/NEURL1/SORCS3/KCNA4/LRRC4C/DLG2/GRM5/MTMR2/GRIA4/IGSF9B/CACNA1C/GRIN2B/PTPRO/DNM1L/LRRK2/KCNC2/LIN7A/ANKS1B/NOS1/DCLK1/FARP1/GPHN/SLC8A3/GABRB3/GABRG3/SHC4/GRIN2A/SHISA9/SEZ6/ASIC2/KCNJ2/DLGAP1/CDH2/CACNG7/CACNG8/PLCB4/SNAP25/ZMYND8/APP/GRIK1/TIAM1/SYN3/NLGN4X/FRMPD4/IL1RAPL1/DMD/OPHN1/DLG3/GRIA3/FMR1/GABRA3,130
GO_CC,GO:0097060,synaptic membrane,95/2536,308/17291,2.62367661769509e-13,8.92050050016331e-11,8.05054456903284e-11,GRIK3/LRRC7/DNM3/SRGAP2/DISC1/SLC8A1/NRXN1/LRRTM4/GRM7/ERC2/GABRR3/CLSTN2/NLGN1/KCTD8/GABRB1/GRID2/PDLIM5/ANK2/GRIA2/CPE/GLRA3/CDH9/FCHO2/HOMER1/PJA2/SNCAIP/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/TENM2/DTNBP1/RIMS1/GABRR1/EPHA7/GRIK2/UTRN/GRM1/SYNE1/GRM3/KCND2/CADPS2/GRM8/CHRM2/DGKI/CHRNA2/KCNU1/ANK1/BAALC/RIMS2/MPDZ/NTRK2/GRIN3A/DENND1A/GAD2/LRRTM3/KCNMA1/GRID1/NEURL1/LRRC4C/DLG2/GRM5/MTMR2/GRIA4/IGSF9B/GRIN2B/KCNC2/ZDHHC17/SYT1/LIN7A/ANKS1B/GPHN/GABRB3/GABRG3/SHC4/UNC13C/GRIN2A/SHISA9/CNTNAP4/DLGAP1/CDH2/CACNG7/CACNG8/SNAP25/FLRT3/GRIK1/NLGN4X/IL1RAPL1/DMD/CASK/DLG3/GRIA3/FMR1/GABRA3,95
GO_CC,GO:0034703,cation channel complex,72/2536,211/17291,9.54884851885632e-13,2.1644056642741e-10,1.95332585490991e-10,GRIK3/PDE4B/OLFM3/KCND3/NOS1AP/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNK2/RYR2/DPP10/CACNB4/SCN1A/SCN9A/VWC2L/SACM1L/CACNA1D/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/CAMK2D/GRIA2/HCN1/PDE4D/GRIA1/KCNIP1/GRIK2/TRDN/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/PTK2B/KCNU1/KCNB2/KCNV1/KCNV2/GRIN3A/CACNA1B/CACNB2/MCU/KCNMA1/KCNA4/DLG2/GRIA4/KCNJ1/CACNA1C/GRIN2B/KCNJ8/ABCC9/KCNC2/NOS1/TRPC4/AKAP6/CATSPERB/RYR3/GRIN2A/SHISA9/PKD1L3/KCNJ16/KCNJ2/CACNG7/CACNG8/SNAP25/GRIK1/DLG3/TRPC5/GRIA3,72
GO_CC,GO:0045211,postsynaptic membrane,76/2536,237/17291,7.72962121735847e-12,1.31403560695094e-09,1.18588662361052e-09,GRIK3/LRRC7/DNM3/SRGAP2/DISC1/SLC8A1/LRRTM4/GRM7/GABRR3/CLSTN2/NLGN1/KCTD8/GABRB1/GRID2/PDLIM5/ANK2/GRIA2/GLRA3/CDH9/HOMER1/PJA2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/TENM2/DTNBP1/GABRR1/EPHA7/GRIK2/UTRN/GRM1/SYNE1/GRM3/KCND2/CADPS2/CHRM2/CHRNA2/KCNU1/ANK1/BAALC/MPDZ/NTRK2/GRIN3A/LRRTM3/KCNMA1/GRID1/NEURL1/LRRC4C/DLG2/GRM5/GRIA4/IGSF9B/GRIN2B/KCNC2/LIN7A/ANKS1B/GPHN/GABRB3/GABRG3/SHC4/GRIN2A/SHISA9/DLGAP1/CDH2/CACNG7/CACNG8/GRIK1/NLGN4X/IL1RAPL1/DMD/DLG3/GRIA3/FMR1/GABRA3,76
GO_CC,GO:0034702,ion channel complex,86/2536,288/17291,2.40255644848041e-11,3.26747676993335e-09,2.94882191466122e-09,GRIK3/PDE4B/OLFM3/KCND3/NOS1AP/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNK2/RYR2/DPP10/CACNB4/SCN1A/SCN9A/VWC2L/SACM1L/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRB1/GRID2/CAMK2D/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/GABRR1/GRIK2/TRDN/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/PTK2B/CHRNA2/KCNU1/KCNB2/KCNV1/KCNV2/GRIN3A/CACNA1B/CACNB2/MCU/KCNMA1/KCNA4/DLG2/GRIA4/KCNJ1/CACNA1C/ANO2/GRIN2B/KCNJ8/ABCC9/KCNC2/NOS1/TRPC4/AKAP6/CATSPERB/GABRB3/GABRG3/RYR3/GRIN2A/SHISA9/PKD1L3/KCNJ16/KCNJ2/CACNG7/CACNG8/SNAP25/GRIK1/DLG3/TRPC5/GRIA3/GABRA3,86
GO_CC,GO:0032279,asymmetric synapse,71/2536,227/17291,1.33841863947764e-10,1.51687445807466e-08,1.36894397686923e-08,GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/ATP1A1/DNM3/SRGAP2/DISC1/BCL11A/ADD2/CTNNA2/NCK2/MAP2/GRM7/GAP43/KALRN/CLSTN2/NLGN1/GRID2/PDLIM5/GRIA2/HOMER1/PJA2/SPOCK1/GRIA1/DTNBP1/GRIK2/FYN/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/CHRM2/DGKI/PTK2B/BAALC/MPDZ/NTRK2/GRIN3A/CAMK2G/GRID1/NEURL1/SORCS3/DLG2/GRM5/MTMR2/GRIA4/IGSF9B/CACNA1C/GRIN2B/LIN7A/ANKS1B/NOS1/DCLK1/GRIN2A/SHISA9/DLGAP1/CDH2/CACNG7/CACNG8/PLCB4/GRIK1/TIAM1/SYN3/NLGN4X/DLG3/GRIA3/FMR1,71
GO_CC,GO:0099572,postsynaptic specialization,70/2536,224/17291,1.88342515423928e-10,1.8296130069753e-08,1.65118325552105e-08,GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/ATP1A1/DNM3/SRGAP2/DISC1/BCL11A/ADD2/CTNNA2/NCK2/MAP2/GAP43/KALRN/CLSTN2/NLGN1/GRID2/PDLIM5/GRIA2/HOMER1/PJA2/SPOCK1/GRIA1/DTNBP1/GRIK2/FYN/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/PTK2B/BAALC/MPDZ/NTRK2/GRIN3A/CAMK2G/GRID1/NEURL1/SORCS3/DLG2/GRM5/MTMR2/GRIA4/IGSF9B/CACNA1C/GRIN2B/LIN7A/ANKS1B/NOS1/DCLK1/GPHN/GRIN2A/SHISA9/DLGAP1/CDH2/CACNG7/CACNG8/PLCB4/GRIK1/TIAM1/SYN3/NLGN4X/DLG3/GRIA3/FMR1,70
GO_CC,GO:0098984,neuron to neuron synapse,71/2536,230/17291,2.57984380936402e-10,2.19286723795942e-08,1.97901176428845e-08,GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/ATP1A1/DNM3/SRGAP2/DISC1/BCL11A/ADD2/CTNNA2/NCK2/MAP2/GRM7/GAP43/KALRN/CLSTN2/NLGN1/GRID2/PDLIM5/GRIA2/HOMER1/PJA2/SPOCK1/GRIA1/DTNBP1/GRIK2/FYN/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/CHRM2/DGKI/PTK2B/BAALC/MPDZ/NTRK2/GRIN3A/CAMK2G/GRID1/NEURL1/SORCS3/DLG2/GRM5/MTMR2/GRIA4/IGSF9B/CACNA1C/GRIN2B/LIN7A/ANKS1B/NOS1/DCLK1/GRIN2A/SHISA9/DLGAP1/CDH2/CACNG7/CACNG8/PLCB4/GRIK1/TIAM1/SYN3/NLGN4X/DLG3/GRIA3/FMR1,71
GO_CC,GO:0014069,postsynaptic density,69/2536,222/17291,3.30174852091392e-10,2.49465443802385e-08,2.25136770490387e-08,GRIK3/DAB1/DNAJC6/PDE4B/LRRC7/ATP1A1/DNM3/SRGAP2/DISC1/BCL11A/ADD2/CTNNA2/NCK2/MAP2/GAP43/KALRN/CLSTN2/NLGN1/GRID2/PDLIM5/GRIA2/HOMER1/PJA2/SPOCK1/GRIA1/DTNBP1/GRIK2/FYN/GRM1/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/PTK2B/BAALC/MPDZ/NTRK2/GRIN3A/CAMK2G/GRID1/NEURL1/SORCS3/DLG2/GRM5/MTMR2/GRIA4/IGSF9B/CACNA1C/GRIN2B/LIN7A/ANKS1B/NOS1/DCLK1/GRIN2A/SHISA9/DLGAP1/CDH2/CACNG7/CACNG8/PLCB4/GRIK1/TIAM1/SYN3/NLGN4X/DLG3/GRIA3/FMR1,69
GO_CC,GO:1902495,transmembrane transporter complex,88/2536,312/17291,3.74857731475877e-10,2.54903257403596e-08,2.30044271000459e-08,GRIK3/PDE4B/OLFM3/KCND3/ATP1A1/NOS1AP/CACNA1E/KCNT2/CACNA1S/CNTN2/KCNK2/RYR2/DPP10/CACNB4/SCN1A/SCN9A/VWC2L/SACM1L/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRB1/GRID2/CAMK2D/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/GABRR1/GRIK2/TRDN/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/PTK2B/CHRNA2/KCNU1/KCNB2/CNGB3/KCNV1/KCNV2/GRIN3A/CACNA1B/CACNB2/MCU/KCNMA1/KCNA4/DLG2/GRIA4/KCNJ1/CACNA1C/ANO2/GRIN2B/KCNJ8/ABCC9/KCNC2/NOS1/TRPC4/AKAP6/CATSPERB/GABRB3/GABRG3/RYR3/GRIN2A/SHISA9/PKD1L3/KCNJ16/KCNJ2/CACNG7/CACNG8/SNAP25/GRIK1/DLG3/TRPC5/GRIA3/GABRA3,88
