ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0008066,glutamate receptor activity,18/2416,27/16384,1.26025646983565e-09,1.2450221241075e-06,1.15524290554331e-06,GRIK3/GRM7/GRID2/GRIA2/GRIA1/GRIK2/GRM1/GRM3/GRM8/PTK2B/GRIN3A/GRID1/GRM5/GRIA4/GRIN2B/GRIN2A/GRIK1/GRIA3,18
GO_MF,GO:0005216,ion channel activity,107/2416,416/16384,2.26986713602097e-09,1.2450221241075e-06,1.15524290554331e-06,GRIK3/CLCA2/KCND3/TMCO1/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNK2/RYR2/CACNB4/KCNH7/SCN1A/SCN9A/TRPM8/KCNH8/ANO10/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/SLC26A2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/GABRR1/GRIK2/OPRM1/CACNA2D1/SLC26A4/KCND2/PTK2B/CHRNA2/KCNU1/TRPA1/KCNB2/CNGB3/SLC26A7/KCNV1/KCNV2/SLC24A2/TRPM3/TMC1/GRIN3A/CACNA1B/CACNB2/MCU/KCNMA1/GRID1/KCNK18/ANO3/KCNA4/TRPC6/GRIA4/CUL5/KCNJ1/CACNA1C/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/KCNC2/ANO4/HVCN1/TRPC4/NALCN/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/GRIN2A/PKD1L3/ASIC2/KCNJ16/KCNJ2/ZACN/PIEZO2/LOXHD1/CACNG7/CACNG8/SLC24A3/GRIK1/KCNJ15/SHROOM2/CLCN4/IL1RAPL1/DLG3/TRPC5/GRIA3/GABRA3,107
GO_MF,GO:0022836,gated channel activity,90/2416,335/16384,4.45944998286087e-09,1.50096885562988e-06,1.39273317986287e-06,GRIK3/CLCA2/KCND3/CACNA1E/KCNT2/CACNA1S/KCNK2/RYR2/CACNB4/KCNH7/SCN1A/SCN9A/KCNH8/ANO10/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/GLRA3/HCN1/KCNN2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/GABRR1/GRIK2/OPRM1/CACNA2D1/KCND2/PTK2B/CHRNA2/KCNU1/TRPA1/KCNB2/CNGB3/KCNV1/KCNV2/TRPM3/TMC1/GRIN3A/CACNA1B/CACNB2/KCNMA1/GRID1/KCNK18/ANO3/KCNA4/GRIA4/KCNJ1/CACNA1C/ANO2/GRIN2B/KCNJ8/ITPR2/KCNC2/ANO4/HVCN1/NALCN/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/GRIN2A/ASIC2/KCNJ16/KCNJ2/ZACN/PIEZO2/CACNG7/CACNG8/GRIK1/KCNJ15/SHROOM2/CLCN4/IL1RAPL1/DLG3/GRIA3/GABRA3,90
GO_MF,GO:0022839,ion gated channel activity,89/2416,332/16384,6.09000124186912e-09,1.50096885562988e-06,1.39273317986287e-06,GRIK3/CLCA2/KCND3/CACNA1E/KCNT2/CACNA1S/KCNK2/RYR2/CACNB4/KCNH7/SCN1A/SCN9A/KCNH8/ANO10/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/GLRA3/HCN1/KCNN2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/GABRR1/GRIK2/OPRM1/CACNA2D1/KCND2/PTK2B/CHRNA2/KCNU1/TRPA1/KCNB2/CNGB3/KCNV1/KCNV2/TRPM3/TMC1/GRIN3A/CACNA1B/CACNB2/KCNMA1/GRID1/KCNK18/ANO3/KCNA4/GRIA4/KCNJ1/CACNA1C/ANO2/GRIN2B/KCNJ8/ITPR2/KCNC2/ANO4/HVCN1/NALCN/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/GRIN2A/ASIC2/KCNJ16/KCNJ2/ZACN/CACNG7/CACNG8/GRIK1/KCNJ15/SHROOM2/CLCN4/IL1RAPL1/DLG3/GRIA3/GABRA3,89
GO_MF,GO:0022838,substrate-specific channel activity,108/2416,429/16384,6.84124364462113e-09,1.50096885562988e-06,1.39273317986287e-06,GRIK3/CLCA2/KCND3/TMCO1/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNK2/RYR2/CACNB4/KCNH7/SCN1A/SCN9A/TRPM8/KCNH8/ANO10/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/SLC26A2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/GABRR1/GRIK2/OPRM1/CACNA2D1/SLC26A4/KCND2/PTK2B/CHRNA2/KCNU1/TRPA1/KCNB2/CNGB3/SLC26A7/KCNV1/KCNV2/SLC24A2/TRPM3/TMC1/GRIN3A/CACNA1B/CACNB2/MCU/KCNMA1/GRID1/KCNK18/ANO3/KCNA4/TRPC6/GRIA4/CUL5/KCNJ1/CACNA1C/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/KCNC2/ANO4/HVCN1/TRPC4/NALCN/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/AQP9/GRIN2A/PKD1L3/ASIC2/KCNJ16/KCNJ2/ZACN/PIEZO2/LOXHD1/CACNG7/CACNG8/SLC24A3/GRIK1/KCNJ15/SHROOM2/CLCN4/IL1RAPL1/DLG3/TRPC5/GRIA3/GABRA3,108
GO_MF,GO:0005261,cation channel activity,83/2416,309/16384,1.78486417140047e-08,3.26332666004387e-06,3.02800641007765e-06,GRIK3/KCND3/TMCO1/CACNA1E/KCNT2/CACNA1S/KCNK2/RYR2/CACNB4/KCNH7/SCN1A/SCN9A/TRPM8/KCNH8/ANO10/CACNA1D/CACNA2D3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/ASIC5/GRIA2/GPM6A/HCN1/KCNN2/GRIA1/KCNIP1/GRIK2/OPRM1/CACNA2D1/KCND2/PTK2B/CHRNA2/KCNU1/TRPA1/KCNB2/CNGB3/KCNV1/KCNV2/SLC24A2/TRPM3/TMC1/GRIN3A/CACNA1B/CACNB2/MCU/KCNMA1/KCNK18/KCNA4/TRPC6/GRIA4/CUL5/KCNJ1/CACNA1C/GRIN2B/KCNJ8/ABCC9/ITPR2/KCNC2/HVCN1/TRPC4/NALCN/FAM155A/KCNH5/RYR3/GRIN2A/PKD1L3/ASIC2/KCNJ16/KCNJ2/ZACN/PIEZO2/LOXHD1/CACNG7/CACNG8/SLC24A3/GRIK1/KCNJ15/SHROOM2/IL1RAPL1/TRPC5/GRIA3,83
GO_MF,GO:0022803,passive transmembrane transporter activity,111/2416,456/16384,3.03625588943312e-08,4.75824672958305e-06,4.41512698508546e-06,GRIK3/CLCA2/KCND3/GJA5/TMCO1/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNK2/RYR2/CACNB4/KCNH7/SCN1A/SCN9A/TRPM8/KCNH8/ANO10/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/SLC26A2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/GABRR1/GRIK2/OPRM1/CACNA2D1/SLC26A4/KCND2/PTK2B/CHRNA2/KCNU1/TRPA1/KCNB2/CNGB3/SLC26A7/KCNV1/KCNV2/SLC24A2/TRPM3/TMC1/GRIN3A/CACNA1B/CACNB2/MCU/KCNMA1/GRID1/KCNK18/ANO3/KCNA4/TRPC6/GRIA4/CUL5/PANX3/KCNJ1/CACNA1C/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/KCNC2/ANO4/SLC5A8/HVCN1/TRPC4/NALCN/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/AQP9/GRIN2A/PKD1L3/ASIC2/KCNJ16/KCNJ2/ZACN/PIEZO2/LOXHD1/CACNG7/CACNG8/SLC24A3/GRIK1/KCNJ15/SHROOM2/CLCN4/IL1RAPL1/DLG3/TRPC5/GRIA3/GABRA3,111
GO_MF,GO:0015267,channel activity,110/2416,455/16384,5.1553105036552e-08,7.06921952813719e-06,6.55945428557181e-06,GRIK3/CLCA2/KCND3/GJA5/TMCO1/CACNA1E/KCNT2/CACNA1S/SLC26A9/KCNK2/RYR2/CACNB4/KCNH7/SCN1A/SCN9A/TRPM8/KCNH8/ANO10/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRB1/GRID2/ASIC5/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/KCNN2/SLC26A2/GLRA1/GRIA1/GABRB2/GABRA1/GABRG2/KCNIP1/GABRR1/GRIK2/OPRM1/CACNA2D1/SLC26A4/KCND2/PTK2B/CHRNA2/KCNU1/TRPA1/KCNB2/CNGB3/SLC26A7/KCNV1/KCNV2/SLC24A2/TRPM3/TMC1/GRIN3A/CACNA1B/CACNB2/MCU/KCNMA1/GRID1/KCNK18/ANO3/KCNA4/TRPC6/GRIA4/CUL5/PANX3/KCNJ1/CACNA1C/ANO2/GRIN2B/KCNJ8/ABCC9/ITPR2/KCNC2/ANO4/HVCN1/TRPC4/NALCN/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/AQP9/GRIN2A/PKD1L3/ASIC2/KCNJ16/KCNJ2/ZACN/PIEZO2/LOXHD1/CACNG7/CACNG8/SLC24A3/GRIK1/KCNJ15/SHROOM2/CLCN4/IL1RAPL1/DLG3/TRPC5/GRIA3/GABRA3,110
GO_MF,GO:0004970,ionotropic glutamate receptor activity,13/2416,19/16384,1.7111155879559e-07,2.08565977776403e-05,1.93526172345422e-05,GRIK3/GRID2/GRIA2/GRIA1/GRIK2/PTK2B/GRIN3A/GRID1/GRIA4/GRIN2B/GRIN2A/GRIK1/GRIA3,13
GO_MF,GO:0005234,extracellularly glutamate-gated ion channel activity,12/2416,19/16384,1.88289788325704e-06,0.000202979930140637,0.000188342937625098,GRIK3/GRID2/GRIA2/GRIA1/GRIK2/GRIN3A/GRID1/GRIA4/GRIN2B/GRIN2A/GRIK1/GRIA3,12
