ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0001764,neuron migration,28/782,138/16583,4.60933010396869e-11,2.02810524574622e-07,1.94271134066217e-07,DAB1/CNTN2/SRGAP2C/SRGAP2/MARK1/ERBB4/DNER/CHL1/IGSF10/APBB2/PHOX2B/MEF2C/KIAA0319/MDGA1/RELN/NRCAM/NRG1/UNC5D/PRKG1/NRG3/KIRREL3/DCLK1/PSEN1/FLRT2/NTRK3/NDEL1/DCC/FGF13,28
GO_BP,GO:0050808,synapse organization,41/782,292/16583,3.6158892148127e-10,7.95495627258794e-07,7.62001074532108e-07,NFIA/CNTN2/CTNNA2/DNER/TMEM108/EPHB1/CLSTN2/NLGN1/IL1RAP/OPA1/GRID2/CTNND2/CDH9/MEF2C/EFNA5/MAGI2/SEMA3E/PPP1R9A/RELN/NRCAM/PTN/NRG1/PTPRD/LINGO2/ANK3/ZNF365/LRRTM3/GRM5/KIRREL3/SLITRK6/FARP1/SIX1/PSEN1/FLRT2/MYO5A/NTRK3/IGF1R/FLRT3/DSCAM/IL1RAPL1/PAK3,41
GO_BP,GO:0016358,dendrite development,32/782,213/16583,5.9570345176043e-09,8.73698395915297e-06,8.36911095034653e-06,DAB1/SRGAP2C/SRGAP2/CTNNA2/HECW2/MAP2/EPHB1/NLGN1/MAP6D1/IL1RAP/OPA1/CTNND2/MEF2C/KIAA0319/ARID1B/COBL/PPP1R9A/RELN/NRG1/PTPRD/GRIN3A/PRKG1/ZNF365/RAB21/FBXW8/DCLK1/FARP1/PSEN1/DCC/DSCAM/IL1RAPL1/PAK3,32
GO_BP,GO:0007416,synapse assembly,25/782,143/16583,1.26391648972195e-08,1.39030813869415e-05,1.33176884864387e-05,DNER/EPHB1/CLSTN2/NLGN1/IL1RAP/GRID2/CDH9/MEF2C/EFNA5/MAGI2/PPP1R9A/NRCAM/NRG1/PTPRD/LINGO2/LRRTM3/KIRREL3/SLITRK6/FARP1/SIX1/FLRT2/NTRK3/FLRT3/DSCAM/IL1RAPL1,25
GO_BP,GO:0007215,glutamate receptor signaling pathway,18/782,85/16583,6.71937815994584e-08,5.91305278075234e-05,5.66408213735224e-05,GRIK3/GRM7/NLGN1/GRID2/MEF2C/GRIA1/OPRM1/GRM3/RELN/GRM8/GNAQ/GRIN3A/GRID1/GRM5/GRIA4/GRIN2A/SHISA9/CACNG5,18
GO_BP,GO:0051962,positive regulation of nervous system development,50/782,477/16583,1.01675436511162e-07,7.45619867748518e-05,7.14225347001212e-05,DAB1/NEGR1/BRINP3/SRGAP2C/LRP2/ROBO1/EPHB1/CLSTN2/NLGN1/IL1RAP/OPA1/PHOX2B/KIT/GRID2/EGF/TENM3/MEF2C/EFNA5/MAN2A1/BMP6/OPRM1/VWC2/COBL/MAGI2/PPP1R9A/RELN/NRCAM/PTN/NRG1/STMN2/PTPRD/LINGO2/BRINP1/ZNF365/LRRTM3/TENM4/CNTN1/RAB21/SYT1/FBXW8/SLITRK6/PSEN1/FLRT2/NTRK3/NDEL1/TCF4/FLRT3/DSCAM/IL1RAPL1/PAK3,50
GO_BP,GO:0042391,regulation of membrane potential,46/782,431/16583,1.97108195740764e-07,0.000118299905577286,0.0001133188569214,GRIK3/NOS1AP/RYR2/SCN2A/SCN7A/KCNH8/TMEM108/NLGN1/KCNMB2/KCNMB3/FGF12/GABRB1/GRID2/ANK2/MEF2C/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/EDN1/TRDN/OPRM1/CACNA2D1/PPP1R9A/RELN/NRCAM/KCND2/PTN/DGKI/CNGB3/GNAQ/GRIN3A/ANK3/CTNNA3/GRID1/GRM5/GRIA4/PKP2/NALCN/FGF14/PSEN1/GRIN2A/PIEZO2/PMAIP1/FGF13,46
GO_BP,GO:0051963,regulation of synapse assembly,17/782,82/16583,2.15090737413247e-07,0.000118299905577286,0.0001133188569214,EPHB1/CLSTN2/NLGN1/IL1RAP/GRID2/MEF2C/EFNA5/PPP1R9A/PTPRD/LINGO2/LRRTM3/SLITRK6/SIX1/FLRT2/NTRK3/FLRT3/IL1RAPL1,17
GO_BP,GO:0035249,synaptic transmission  glutamatergic,18/782,94/16583,3.3648499537293e-07,0.000164503775515655,0.000157577300757101,GRIK3/GRM7/NLGN1/GRID2/MEF2C/GRIA1/GRM3/RELN/GRM8/DGKI/GRID1/SLC17A6/GRM5/GRIA4/SYT1/PSEN1/CDH8/CACNG5,18
GO_BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,30/782,233/16583,5.74633876011079e-07,0.000252838905444875,0.000242193056794564,DAB1/TGFBR2/ROBO1/CADM2/CLSTN2/NLGN1/GRID2/TENM3/FAT1/CDH18/CDH10/CDH9/TENM2/CLDN12/CDHR3/UNC5D/PTPRD/PCDH15/TENM4/FAT3/KIRREL3/PCDH9/CDH8/CDH11/FLRT3/PTPRT/CLDN17/CLDN14/DSCAM/IL1RAPL1,30
GO_BP,GO:0010975,regulation of neuron projection development,45/782,436/16583,6.88972164053316e-07,0.000275588865621327,0.000263985123910955,DAB1/NEGR1/CNTN2/SRGAP2C/HECW2/MAP2/PTPRG/ROBO1/NLGN1/IL1RAP/OPA1/GRID2/TENM3/MEF2C/EFNA5/KIAA0319/COBL/MAGI2/SEMA3E/PPP1R9A/RELN/NRCAM/PTN/NRG1/STMN2/PTPRD/SLC39A12/ZNF365/LRRC4C/PTPRO/CNTN1/RAB21/SYT1/FBXW8/RNF6/PSEN1/NTRK3/NDEL1/DCC/SNAP25/CHODL/DSCAM/IL1RAPL1/PAK3/FGF13,45
GO_BP,GO:0051965,positive regulation of synapse assembly,14/782,62/16583,8.44162956026628e-07,0.000309526417209764,0.000296493725958826,EPHB1/CLSTN2/NLGN1/IL1RAP/GRID2/EFNA5/PTPRD/LINGO2/LRRTM3/SLITRK6/FLRT2/NTRK3/FLRT3/IL1RAPL1,14
GO_BP,GO:0007409,axonogenesis,45/782,447/16583,1.36823211942019e-06,0.000463093948111449,0.000443595255559388,DAB1/CNTN2/CTNNA2/KIF5C/MAP2/CHL1/CNTN4/ROBO1/EPHB1/APBB2/PHOX2B/BMPR1B/UNC5C/EFNA5/LAMA2/ISPD/COBL/SEMA3E/RELN/NRCAM/PTPRZ1/GFRA2/NRG1/UNC5D/LINGO2/ANK3/LRRC4C/PTPRO/RAB21/EPYC/RNF6/DCLK1/SLITRK6/LRFN5/PSEN1/FLRT2/NTRK3/CDH11/NDEL1/DCC/DOK6/FLRT3/DSCAM/PAK3/FGF13,45
GO_BP,GO:0050803,regulation of synapse structure or activity,23/782,169/16583,4.61524934860359e-06,0.00144911756599135,0.00138810208952856,CTNNA2/EPHB1/CLSTN2/NLGN1/IL1RAP/OPA1/GRID2/MEF2C/EFNA5/PPP1R9A/RELN/PTN/PTPRD/LINGO2/LRRTM3/SLC17A6/SLITRK6/SIX1/FLRT2/NTRK3/FLRT3/IL1RAPL1/PAK3,23
GO_BP,GO:0050807,regulation of synapse organization,22/782,158/16583,5.07701527952415e-06,0.00144911756599135,0.00138810208952856,CTNNA2/EPHB1/CLSTN2/NLGN1/IL1RAP/OPA1/GRID2/MEF2C/EFNA5/PPP1R9A/RELN/PTN/PTPRD/LINGO2/LRRTM3/SLITRK6/SIX1/FLRT2/NTRK3/FLRT3/IL1RAPL1/PAK3,22
GO_BP,GO:0061564,axon development,46/782,485/16583,5.26951842178674e-06,0.00144911756599135,0.00138810208952856,DAB1/CNTN2/CTNNA2/KIF5C/MAP2/CHL1/CNTN4/ROBO1/EPHB1/APBB2/PHOX2B/BMPR1B/UNC5C/EFNA5/LAMA2/ISPD/COBL/SEMA3E/RELN/NRCAM/PTPRZ1/GFRA2/NRG1/UNC5D/LINGO2/ANK3/LRRC4C/PTPRO/RAB21/EPYC/RNF6/DCLK1/SLITRK6/LRFN5/PSEN1/FLRT2/NTRK3/CDH11/NDEL1/DCC/DOK6/FLRT3/NCAM2/DSCAM/PAK3/FGF13,46
GO_BP,GO:0050769,positive regulation of neurogenesis,41/782,419/16583,8.09204199883182e-06,0.00209441087028588,0.00200622514943174,DAB1/NEGR1/BRINP3/SRGAP2C/LRP2/ROBO1/NLGN1/IL1RAP/OPA1/PHOX2B/KIT/TENM3/MEF2C/EFNA5/MAN2A1/BMP6/OPRM1/VWC2/COBL/MAGI2/PPP1R9A/RELN/NRCAM/PTN/NRG1/STMN2/PTPRD/BRINP1/ZNF365/TENM4/CNTN1/RAB21/SYT1/FBXW8/PSEN1/NTRK3/NDEL1/TCF4/DSCAM/IL1RAPL1/PAK3,41
GO_BP,GO:0060078,regulation of postsynaptic membrane potential,19/782,129/16583,9.73667605893903e-06,0.00238007636996287,0.0022798626280697,GRIK3/TMEM108/NLGN1/GRID2/MEF2C/GRIA1/GABRA6/GABRA1/GABRG2/OPRM1/PPP1R9A/RELN/DGKI/GRIN3A/GRID1/GRM5/GRIA4/FGF14/GRIN2A,19
GO_BP,GO:0008038,neuron recognition,9/782,32/16583,1.15963084276722e-05,0.00268546089903989,0.00257238886118558,CNTN2/CNTN4/ROBO1/NRCAM/CNTNAP2/NTM/OPCML/NCAM2/DSCAM,9
GO_BP,GO:1900006,positive regulation of dendrite development,13/782,67/16583,1.23426380104893e-05,0.00271538036230765,0.0026010485575789,NLGN1/IL1RAP/OPA1/COBL/PPP1R9A/RELN/NRG1/PTPRD/RAB21/FBXW8/PSEN1/IL1RAPL1/PAK3,13
GO_BP,GO:0048813,dendrite morphogenesis,19/782,132/16583,1.3641986675244e-05,0.00274061469565077,0.002625220392676,CTNNA2/HECW2/MAP2/EPHB1/NLGN1/MAP6D1/OPA1/CTNND2/PPP1R9A/RELN/PTPRD/ZNF365/RAB21/FBXW8/DCLK1/FARP1/DSCAM/IL1RAPL1/PAK3,19
GO_BP,GO:0022604,regulation of cell morphogenesis,43/782,458/16583,1.37030734782538e-05,0.00274061469565077,0.002625220392676,DAB1/CNTN2/VRK2/WDPCP/ARHGAP15/FMNL2/HECW2/MAP2/ROBO1/NLGN1/TBCCD1/OPA1/KIT/EFNA5/CSNK1G3/ARHGAP18/SEMA3E/PPP1R9A/RELN/NRCAM/PTN/NRG1/PTPRD/RHOBTB1/PARVA/GAS2/LRRC4C/PTPRO/RAB21/SYT1/FBXW8/RNF6/RHOJ/PSEN1/VRK1/NTRK3/MYH10/NDEL1/DCC/DSCAM/IL1RAPL1/PAK3/FGF13,43
GO_BP,GO:0070588,calcium ion transmembrane transport,32/782,300/16583,1.44000351896921e-05,0.00275478934063674,0.00263879821050467,PDE4B/NOS1AP/PTPRC/RYR2/ITPR1/STAC/PARL/OPA1/ANK2/PDE4D/TRDN/OPRM1/NPSR1/CACNA2D1/CALCR/SLC24A2/UBQLN1/GRIN3A/ADRA2A/CUL5/ATP2B1/NALCN/FGF14/FAM155A/PSEN1/RYR3/MYO5A/GRIN2A/CACNG5/SLC24A3/IL1RAPL1/HTR2C,32
GO_BP,GO:2001222,regulation of neuron migration,9/782,33/16583,1.52821362553916e-05,0.00280172498015513,0.00268375761256965,SRGAP2C/SRGAP2/ERBB4/IGSF10/RELN/NRG1/UNC5D/NRG3/FLRT2,9
GO_BP,GO:0021954,central nervous system neuron development,13/782,69/16583,1.72348584460219e-05,0.00303333508649985,0.0029056157144367,LHX8/CNTN2/MAP2/ROBO1/EPHB1/PHOX2B/GABRB1/DCLK2/GNAQ/DCLK1/CDH11/NDEL1/DCC,13
GO_BP,GO:0045666,positive regulation of neuron differentiation,34/782,332/16583,1.86070520914596e-05,0.0031488857385547,0.00301630107587871,DAB1/NEGR1/BRINP3/ROBO1/NLGN1/IL1RAP/OPA1/PHOX2B/TENM3/MEF2C/EFNA5/BMP6/VWC2/COBL/MAGI2/PPP1R9A/RELN/NRCAM/PTN/NRG1/STMN2/PTPRD/BRINP1/CNTN1/RAB21/SYT1/FBXW8/PSEN1/NTRK3/NDEL1/TCF4/DSCAM/IL1RAPL1/PAK3,34
GO_BP,GO:0035637,multicellular organismal signaling,24/782,198/16583,2.12902869529767e-05,0.00346952824418879,0.00332344284443347,TNNI3K/RYR2/SCN2A/SCN7A/ITPR1/KCNMB2/KCNMB3/FGF12/KCNIP4/CORIN/ANK2/PDE4D/TRDN/CACNA2D1/NRCAM/KCND2/CNTNAP2/ANK3/CTNNA3/PKP2/ATP2B1/RYR3/KCNJ12/CACNG5,24
GO_BP,GO:0022029,telencephalon cell migration,11/782,53/16583,2.96187645194887e-05,0.00465437728163394,0.00445840350135462,DAB1/CNTN2/SRGAP2C/SRGAP2/ROBO1/RELN/NRG1/NRG3/PSEN1/NDEL1/FGF13,11
GO_BP,GO:0010720,positive regulation of cell development,44/782,492/16583,3.58388268063643e-05,0.00514011735912564,0.00492369136505719,DAB1/NEGR1/BRINP3/SRGAP2C/LRP2/ROBO1/NLGN1/IL1RAP/OPA1/PHOX2B/KIT/TENM3/MEF2C/EFNA5/MAN2A1/BMP6/EDN1/OPRM1/VWC2/COBL/MAGI2/PPP1R9A/RELN/NRCAM/PTN/NRG1/STMN2/RFX3/PTPRD/BRINP1/ZNF365/TENM4/PDE3A/CNTN1/RAB21/SYT1/FBXW8/PSEN1/NTRK3/NDEL1/TCF4/DSCAM/IL1RAPL1/PAK3,44
GO_BP,GO:0048167,regulation of synaptic plasticity,21/782,166/16583,3.63520543561184e-05,0.00514011735912564,0.00492369136505719,CNTN2/CNTN4/NLGN1/KIT/GRID2/MEF2C/MCTP1/GRIA1/PPP1R9A/RELN/PTN/DGKI/CALB1/SLC24A2/SORCS3/GRM5/FGF14/PSEN1/GRIN2A/SHISA9/SNAP25,21
GO_BP,GO:0050804,modulation of chemical synaptic transmission,33/782,329/16583,3.73826717027319e-05,0.00514011735912564,0.00492369136505719,GRIK3/CNTN2/CNTN4/GRM7/TMEM108/CLSTN2/NLGN1/KIT/GRID2/MEF2C/MCTP1/GRIA1/EDN1/LAMA2/GRM3/PPP1R9A/RELN/GRM8/PTN/DGKI/CALB1/SLC24A2/GRID1/SORCS3/GRM5/GRIA4/SYT1/FGF14/PSEN1/GRIN2A/SHISA9/CACNG5/SNAP25,33
GO_BP,GO:0099177,regulation of trans-synaptic signaling,33/782,329/16583,3.73826717027319e-05,0.00514011735912564,0.00492369136505719,GRIK3/CNTN2/CNTN4/GRM7/TMEM108/CLSTN2/NLGN1/KIT/GRID2/MEF2C/MCTP1/GRIA1/EDN1/LAMA2/GRM3/PPP1R9A/RELN/GRM8/PTN/DGKI/CALB1/SLC24A2/GRID1/SORCS3/GRM5/GRIA4/SYT1/FGF14/PSEN1/GRIN2A/SHISA9/CACNG5/SNAP25,33
GO_BP,GO:0021885,forebrain cell migration,11/782,56/16583,5.0855982316107e-05,0.00678079764214761,0.00649529037300455,DAB1/CNTN2/SRGAP2C/SRGAP2/ROBO1/RELN/NRG1/NRG3/PSEN1/NDEL1/FGF13,11
GO_BP,GO:0050773,regulation of dendrite development,18/782,133/16583,5.28493051099924e-05,0.00683932183776372,0.00655135039196315,SRGAP2C/HECW2/NLGN1/IL1RAP/OPA1/MEF2C/KIAA0319/COBL/PPP1R9A/RELN/NRG1/PTPRD/RAB21/FBXW8/PSEN1/DCC/IL1RAPL1/PAK3,18
