ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0098794,postsynapse,59/819,441/17291,4.62793756326343e-13,2.35562021970108e-10,2.04603555428488e-10,GRIK3/DAB1/PDE4B/SRGAP2/CHRM3/LRRTM4/CTNNA2/MAP2/ITPR1/GRM7/TMEM108/CLSTN2/NLGN1/GABRB1/GRID2/ANK2/CDH9/MEF2C/KCTD16/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/LAMA2/OPRM1/MAGI2/GRM3/PPP1R9A/CTTNBP2/KCND2/CHRM2/DGKI/CALB1/MPDZ/GRIN3A/ANK3/LRRTM3/GRID1/SORCS3/LRRC4C/DLG2/GRM5/GRIA4/PTPRO/KCNC2/LIN7A/ATP2B1/ANKS1B/DCLK1/FARP1/GRIN2A/SHISA9/CACNG5/DLGAP1/PLCB4/SNAP25/IL1RAPL1,59
GO_CC,GO:0097060,synaptic membrane,46/819,308/17291,4.05004948298859e-12,1.0307375934206e-09,8.95274096239584e-10,GRIK3/SRGAP2/CHRM3/LRRTM4/GRM7/TMEM108/CLSTN2/NLGN1/GABRB1/GRID2/ANK2/CDH9/KCTD16/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/GRM3/KCND2/GRM8/CHRM2/DGKI/MPDZ/GRIN3A/ANK3/LRRTM3/GRID1/LRRC4C/DLG2/GRM5/GRIA4/KCNC2/SYT1/LIN7A/ATP2B1/ANKS1B/GRIN2A/SHISA9/CACNG5/DLGAP1/SNAP25/FLRT3/IL1RAPL1/CASK,46
GO_CC,GO:0045211,postsynaptic membrane,39/819,237/17291,8.80175666795367e-12,1.49336471466281e-09,1.2971009826458e-09,GRIK3/SRGAP2/CHRM3/LRRTM4/GRM7/TMEM108/CLSTN2/NLGN1/GABRB1/GRID2/ANK2/CDH9/KCTD16/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/TENM2/GRM3/KCND2/CHRM2/MPDZ/GRIN3A/ANK3/LRRTM3/GRID1/LRRC4C/DLG2/GRM5/GRIA4/KCNC2/LIN7A/ANKS1B/GRIN2A/SHISA9/CACNG5/DLGAP1/IL1RAPL1,39
GO_CC,GO:0032279,asymmetric synapse,35/819,227/17291,6.45491713333206e-10,8.21388205216504e-08,7.13438209473543e-08,GRIK3/DAB1/PDE4B/SRGAP2/CHRM3/CTNNA2/MAP2/ITPR1/GRM7/TMEM108/CLSTN2/NLGN1/GRID2/GRIA1/MAGI2/GRM3/PPP1R9A/KCND2/CHRM2/DGKI/MPDZ/GRIN3A/GRID1/SORCS3/DLG2/GRM5/GRIA4/LIN7A/ANKS1B/DCLK1/GRIN2A/SHISA9/CACNG5/DLGAP1/PLCB4,35
GO_CC,GO:0098984,neuron to neuron synapse,35/819,230/17291,9.26885906461659e-10,9.43569852777969e-08,8.19562275187152e-08,GRIK3/DAB1/PDE4B/SRGAP2/CHRM3/CTNNA2/MAP2/ITPR1/GRM7/TMEM108/CLSTN2/NLGN1/GRID2/GRIA1/MAGI2/GRM3/PPP1R9A/KCND2/CHRM2/DGKI/MPDZ/GRIN3A/GRID1/SORCS3/DLG2/GRM5/GRIA4/LIN7A/ANKS1B/DCLK1/GRIN2A/SHISA9/CACNG5/DLGAP1/PLCB4,35
GO_CC,GO:0034702,ion channel complex,38/819,288/17291,1.06275612338376e-08,9.01571444670559e-07,7.83083459335404e-07,GRIK3/PDE4B/OLFM3/NOS1AP/CNTN2/RYR2/SCN2A/SCN7A/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRB1/GRID2/PDE4D/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNQ5/TRDN/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/GRIN3A/DLG2/GRIA4/KCNC2/RYR3/GRIN2A/SHISA9/CACNG5/SNAP25/CLDN17/KCNJ6,38
GO_CC,GO:0014069,postsynaptic density,32/819,222/17291,1.86525607323083e-08,1.25636066092564e-06,1.09124491280895e-06,GRIK3/DAB1/PDE4B/SRGAP2/CTNNA2/MAP2/ITPR1/TMEM108/CLSTN2/NLGN1/GRID2/GRIA1/MAGI2/GRM3/PPP1R9A/KCND2/DGKI/MPDZ/GRIN3A/GRID1/SORCS3/DLG2/GRM5/GRIA4/LIN7A/ANKS1B/DCLK1/GRIN2A/SHISA9/CACNG5/DLGAP1/PLCB4,32
GO_CC,GO:0034703,cation channel complex,31/819,211/17291,1.97463365174954e-08,1.25636066092564e-06,1.09124491280895e-06,GRIK3/PDE4B/OLFM3/NOS1AP/CNTN2/RYR2/SCN2A/SCN7A/NLGN1/KCNMB2/KCNMB3/KCNIP4/PDE4D/GRIA1/KCNQ5/TRDN/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/GRIN3A/DLG2/GRIA4/KCNC2/RYR3/GRIN2A/SHISA9/CACNG5/SNAP25/KCNJ6,31
GO_CC,GO:0099572,postsynaptic specialization,32/819,224/17291,2.32103793751776e-08,1.31267590021838e-06,1.14015898685083e-06,GRIK3/DAB1/PDE4B/SRGAP2/CTNNA2/MAP2/ITPR1/TMEM108/CLSTN2/NLGN1/GRID2/GRIA1/MAGI2/GRM3/PPP1R9A/KCND2/DGKI/MPDZ/GRIN3A/GRID1/SORCS3/DLG2/GRM5/GRIA4/LIN7A/ANKS1B/DCLK1/GRIN2A/SHISA9/CACNG5/DLGAP1/PLCB4,32
GO_CC,GO:1902495,transmembrane transporter complex,39/819,312/17291,3.07765919121451e-08,1.56652852832818e-06,1.3606493266422e-06,GRIK3/PDE4B/OLFM3/NOS1AP/CNTN2/RYR2/SCN2A/SCN7A/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRB1/GRID2/PDE4D/GRIA1/GABRB2/GABRA6/GABRA1/GABRG2/KCNQ5/TRDN/VWC2/CACNA2D1/KCND2/CNTNAP2/DPP6/CNGB3/GRIN3A/DLG2/GRIA4/KCNC2/RYR3/GRIN2A/SHISA9/CACNG5/SNAP25/CLDN17/KCNJ6,39
