GO_BP_terms,_Sp_count_1;all_genes,_Sp_count_1;_Sp_count_HiC_all,_Sp_count_2;_Sp_count_1,_Sp_count_3;_Sp_count_1,_Sp_count_4;_Sp_count_1,_Sp_count_5;_Sp_count_1,_Sp_count_grthan5;_Sp_count_1
actomyosin structure organization,NA,NA,NA,NA,0.0435601748633,NA,NA
appendage morphogenesis,NA,NA,NA,NA,NA,0.0355929996172518,NA
axon development,NA,NA,NA,NA,0.000181261054090253,0.00714018045929017,NA
axon guidance,NA,NA,NA,NA,0.0067170354139046,0.00037428274642184,NA
axonogenesis,NA,NA,NA,NA,0.00117269831112743,0.00614776499137902,NA
camera-type eye development,NA,NA,NA,NA,0.0181151937368777,NA,NA
cartilage development,NA,NA,NA,NA,0.0435601748633,NA,NA
cell-cell adhesion via plasma-membrane adhesion molecules,NA,NA,NA,NA,0.00759712751325299,3.27110860552432e-11,6.38085223694022e-05
cell-cell signaling by wnt,NA,NA,NA,NA,0.0435601748633,NA,NA
cellular potassium ion transport,NA,NA,NA,NA,0.0181151937368777,NA,NA
central nervous system projection neuron axonogenesis,NA,NA,NA,NA,NA,0.0380543077251207,NA
chemical synaptic transmission  postsynaptic,NA,NA,NA,NA,NA,0.0154261252783757,NA
connective tissue development,NA,NA,NA,NA,0.01844282781596,NA,NA
contractile actin filament bundle assembly,NA,NA,NA,NA,0.0435601748633,NA,NA
dendrite development,NA,NA,NA,NA,NA,0.000338198141064109,NA
dendrite morphogenesis,NA,NA,NA,NA,NA,0.0252725147538091,NA
dendritic spine development,NA,NA,NA,NA,NA,0.0355929996172518,NA
developmental growth involved in morphogenesis,NA,NA,NA,NA,NA,0.0380543077251207,NA
embryonic appendage morphogenesis,NA,NA,NA,NA,0.0499625600212677,NA,NA
embryonic limb morphogenesis,NA,NA,NA,NA,0.0499625600212677,NA,NA
excitatory postsynaptic potential,NA,NA,NA,NA,NA,0.0160004292062134,NA
excitatory synapse assembly,NA,NA,NA,NA,NA,0.0407560734045638,NA
eye development,NA,NA,NA,NA,0.0181151937368777,NA,NA
forebrain development,NA,NA,NA,NA,0.0418638592778832,NA,NA
glutamate receptor signaling pathway,NA,NA,NA,NA,NA,0.0343479091847787,0.000658735799354282
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,NA,NA,NA,NA,NA,0.010952297287021,NA
homophilic cell adhesion via plasma membrane adhesion molecules,NA,NA,NA,NA,0.000181261054090253,5.1197860985173e-13,7.78508539716015e-07
ionotropic glutamate receptor signaling pathway,NA,NA,NA,NA,NA,0.0160004292062134,NA
kidney development,NA,NA,NA,NA,0.0435601748633,NA,NA
lateral sprouting from an epithelium,NA,NA,NA,NA,NA,0.0407560734045638,NA
limb morphogenesis,NA,NA,NA,NA,NA,0.0355929996172518,NA
lipid translocation,NA,NA,NA,NA,NA,0.010952297287021,NA
modulation of chemical synaptic transmission,NA,NA,NA,NA,0.032252186773829,0.0160399311161031,NA
nerve development,NA,NA,NA,NA,NA,0.0388018551685393,NA
neuromuscular process,NA,NA,NA,NA,NA,0.0338862507416488,NA
neuron projection guidance,NA,NA,NA,NA,0.0067170354139046,0.000338198141064109,NA
organelle transport along microtubule,NA,NA,NA,NA,0.0272463150177377,NA,NA
phospholipid translocation,NA,NA,NA,NA,NA,0.0154261252783757,NA
positive regulation of nervous system development,NA,NA,NA,NA,NA,0.0114345467531769,NA
positive regulation of neurogenesis,NA,NA,NA,NA,NA,0.0160399311161031,NA
positive regulation of neuron differentiation,NA,NA,NA,NA,NA,0.0142531917315717,NA
positive regulation of synaptic transmission  glutamatergic,NA,NA,NA,NA,NA,0.0430267106760874,NA
potassium ion transmembrane transport,NA,NA,NA,NA,0.0181151937368777,NA,NA
prostate gland development,NA,NA,NA,NA,NA,0.0345362654887042,NA
prostate gland epithelium morphogenesis,NA,NA,NA,NA,NA,0.0160004292062134,NA
prostate gland morphogenesis,NA,NA,NA,NA,NA,0.0343479091847787,NA
protein localization to synapse,NA,NA,NA,NA,NA,0.0284961361455877,NA
regulation of actomyosin structure organization,NA,NA,NA,NA,0.0181151937368777,NA,NA
regulation of cartilage development,NA,NA,NA,NA,0.0499625600212677,NA,NA
regulation of membrane lipid distribution,NA,NA,NA,NA,NA,0.0142531917315717,NA
regulation of membrane potential,NA,NA,NA,NA,0.0181151937368777,0.0126620922029962,NA
regulation of neuron projection development,NA,NA,NA,NA,0.0418638592778832,0.0160399311161031,NA
regulation of neurotransmitter levels,NA,NA,NA,NA,0.0435601748633,NA,NA
regulation of postsynaptic membrane potential,NA,NA,NA,NA,NA,0.0126620922029962,NA
regulation of stress fiber assembly,NA,NA,NA,NA,0.0418638592778832,NA,NA
regulation of synaptic plasticity,NA,NA,NA,NA,NA,0.010952297287021,NA
regulation of trans-synaptic signaling,NA,NA,NA,NA,0.032252186773829,0.0160399311161031,NA
renal system development,NA,NA,NA,NA,0.0181151937368777,NA,NA
sensory perception of mechanical stimulus,NA,NA,NA,NA,NA,0.0126620922029962,NA
sensory perception of sound,NA,NA,NA,NA,NA,0.0160004292062134,NA
skeletal system morphogenesis,NA,NA,NA,NA,0.0435601748633,NA,NA
stress fiber assembly,NA,NA,NA,NA,0.0435601748633,NA,NA
synapse organization,NA,NA,NA,NA,0.0435601748633,NA,NA
synaptic transmission  glutamatergic,NA,NA,NA,NA,NA,0.0160004292062134,NA
urogenital system development,NA,NA,NA,NA,0.0067170354139046,NA,NA
vocalization behavior,NA,NA,NA,NA,NA,0.0287058143472463,NA
Wnt signaling pathway,NA,NA,NA,NA,0.0435601748633,NA,NA
