GO_CC_terms,_Sp_count_1;all_genes,_Sp_count_1;_Sp_count_HiC_all,_Sp_count_2;_Sp_count_1,_Sp_count_3;_Sp_count_1,_Sp_count_4;_Sp_count_1,_Sp_count_5;_Sp_count_1,_Sp_count_grthan5;_Sp_count_1
actin-based cell projection,NA,NA,NA,NA,NA,0.00724690683866144,0.0475969228580285
asymmetric synapse,NA,NA,NA,NA,0.00429886250071343,3.92203425102532e-05,0.000780818616409967
axon part,NA,NA,NA,NA,1.01876365181807e-05,NA,NA
axon terminus,NA,NA,NA,NA,0.0276928906435901,NA,NA
basement membrane,NA,NA,NA,NA,0.00429886250071343,0.0241528555535137,NA
cation channel complex,NA,NA,NA,NA,0.000442940217013256,4.74502047580813e-05,9.46687111370033e-05
cell cortex,NA,NA,NA,NA,0.0137479505626399,NA,NA
cell leading edge,NA,NA,NA,NA,0.00429886250071343,NA,NA
cell-cell adherens junction,NA,NA,NA,NA,0.00129144317756301,0.000331049388325642,0.0220033983971211
cell-cell junction,NA,NA,NA,NA,0.00429886250071343,0.00314795460274407,NA
collagen trimer,NA,NA,NA,NA,0.038747214570702,NA,NA
cytoplasmic region,NA,NA,NA,NA,0.00558584918634182,NA,NA
dendrite membrane,NA,NA,NA,NA,0.0497653122264875,NA,NA
distal axon,NA,NA,NA,NA,0.000695734873867006,NA,NA
extracellular matrix,NA,NA,NA,NA,0.0266417540310844,NA,NA
extracellular matrix component,NA,NA,NA,NA,0.000607747676885704,0.00248182068514556,NA
filopodium,NA,NA,NA,NA,NA,0.0138242467739206,NA
filopodium tip,NA,NA,NA,NA,NA,NA,0.00214160838744476
growth cone,NA,NA,NA,NA,0.038747214570702,NA,NA
integral component of postsynaptic membrane,NA,NA,NA,NA,NA,NA,0.030280491277575
integral component of synaptic membrane,NA,NA,NA,NA,NA,NA,0.030280491277575
intrinsic component of postsynaptic membrane,NA,NA,NA,NA,NA,NA,0.030280491277575
intrinsic component of synaptic membrane,NA,NA,NA,NA,NA,NA,0.030280491277575
ion channel complex,NA,NA,NA,NA,0.000629336582439767,3.92203425102532e-05,0.00141100142038276
ionotropic glutamate receptor complex,NA,NA,NA,NA,NA,0.0015195536930681,0.000456775396296825
lamellar body,NA,NA,NA,NA,0.0405104921219568,NA,NA
main axon,NA,NA,NA,NA,0.0424362278512172,0.0138242467739206,NA
microtubule,NA,NA,NA,NA,NA,0.0393930269357593,NA
neuron projection membrane,NA,NA,NA,NA,0.017913380913634,0.0231913344771666,NA
neuron projection terminus,NA,NA,NA,NA,0.0201433025107798,NA,NA
neuron to neuron synapse,NA,NA,NA,NA,0.00429886250071343,3.92203425102532e-05,0.000819499471665786
neuronal cell body,NA,NA,NA,NA,0.041261351124794,NA,NA
neurotransmitter receptor complex,NA,NA,NA,NA,NA,0.00113581700495206,0.000327150066670012
plasma membrane receptor complex,NA,NA,NA,NA,NA,0.0123836629947419,NA
postsynapse,NA,NA,NA,NA,0.000442940217013256,5.20603422887159e-05,0.00109778098400512
postsynaptic density,NA,NA,NA,NA,0.00429886250071343,3.92203425102532e-05,0.000819499471665786
postsynaptic density membrane,NA,NA,NA,NA,NA,0.00929329826367564,0.000406692775413208
postsynaptic membrane,NA,NA,NA,NA,0.00141404372049009,8.93763238751341e-05,0.00204683195339241
postsynaptic specialization,NA,NA,NA,NA,0.00429886250071343,4.18600565400654e-05,0.000855988320223605
postsynaptic specialization membrane,NA,NA,NA,NA,NA,0.0186590825855143,0.000547636162848156
potassium channel complex,NA,NA,NA,NA,0.00429886250071343,0.00171535225421687,0.030280491277575
presynapse,NA,NA,NA,NA,0.00338538240572006,NA,NA
proteinaceous extracellular matrix,NA,NA,NA,NA,0.00054218454928496,0.0326274507134172,NA
receptor complex,NA,NA,NA,NA,NA,0.000716581182299394,0.00226690107518648
sarcolemma,NA,NA,NA,NA,NA,0.00146070035403493,NA
site of polarized growth,NA,NA,NA,NA,0.0393167522356773,NA,NA
synaptic membrane,NA,NA,NA,NA,0.000442940217013256,3.17959655787724e-05,0.00109778098400512
T-tubule,NA,NA,NA,NA,0.0397857586799969,NA,NA
transmembrane transporter complex,NA,NA,NA,NA,0.000695734873867006,0.00029440221929879,0.000855988320223605
transporter complex,NA,NA,NA,NA,0.000695734873867006,0.00029440221929879,0.000855988320223605
voltage-gated potassium channel complex,NA,NA,NA,NA,0.00568077768001868,0.00788024819729519,NA
