GO_MF_terms,_Sp_count_1;all_genes,_Sp_count_1;_Sp_count_HiC_all,_Sp_count_2;_Sp_count_1,_Sp_count_3;_Sp_count_1,_Sp_count_4;_Sp_count_1,_Sp_count_5;_Sp_count_1,_Sp_count_grthan5;_Sp_count_1
actin binding,NA,NA,NA,NA,0.0473680170783401,NA,NA
beta-catenin binding,NA,NA,NA,NA,0.0433803293550336,NA,NA
calcium channel activity,NA,NA,NA,NA,NA,0.0260487874760937,NA
calmodulin binding,NA,NA,NA,NA,NA,0.0085462737084029,NA
cation channel activity,NA,NA,NA,NA,0.00790822304350863,0.000120994935758243,NA
cell adhesion molecule binding,NA,NA,NA,NA,0.0460321672384633,NA,NA
channel activity,NA,NA,NA,NA,0.0230218341914633,0.00014239939238591,NA
dynein light intermediate chain binding,NA,NA,NA,NA,0.040966828088295,NA,NA
excitatory extracellular ligand-gated ion channel activity,NA,NA,NA,NA,NA,0.00562611361874438,NA
extracellular ligand-gated ion channel activity,NA,NA,NA,NA,NA,0.0203421482098238,NA
extracellularly glutamate-gated ion channel activity,NA,NA,NA,NA,NA,0.0085462737084029,0.0477197663104309
gated channel activity,NA,NA,NA,NA,0.0225725368282865,0.00014239939238591,NA
glutamate receptor activity,NA,NA,NA,NA,NA,0.0203421482098238,0.0477197663104309
GTPase activator activity,NA,NA,NA,NA,NA,0.0312612749917476,NA
GTPase regulator activity,NA,NA,NA,NA,NA,0.0469293802956949,NA
ion channel activity,NA,NA,NA,NA,0.0210326471655465,7.32431673885225e-05,NA
ion gated channel activity,NA,NA,NA,NA,0.0225725368282865,0.00014239939238591,NA
ionotropic glutamate receptor activity,NA,NA,NA,NA,NA,0.0085462737084029,0.0477197663104309
ligand-gated channel activity,NA,NA,NA,NA,NA,0.0199608465321352,NA
ligand-gated ion channel activity,NA,NA,NA,NA,NA,0.0199608465321352,NA
MAP kinase kinase kinase activity,NA,NA,NA,NA,0.0210326471655465,NA,NA
metal ion transmembrane transporter activity,NA,NA,NA,NA,0.00790822304350863,0.0109019292044418,NA
mitogen-activated protein kinase kinase binding,NA,NA,NA,NA,NA,0.0393454865962271,NA
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,NA,NA,NA,NA,NA,0.0085462737084029,NA
passive transmembrane transporter activity,NA,NA,NA,NA,0.0225725368282865,0.00014239939238591,NA
phospholipid-translocating ATPase activity,NA,NA,NA,NA,NA,0.0125570635709811,NA
polypeptide N-acetylgalactosaminyltransferase activity,NA,NA,NA,NA,NA,0.0230558427542191,NA
postsynaptic neurotransmitter receptor activity,NA,NA,NA,NA,NA,0.0127274409475321,NA
potassium channel activity,NA,NA,NA,NA,0.0123520785144908,0.0393454865962271,NA
potassium ion transmembrane transporter activity,NA,NA,NA,NA,0.0210326471655465,NA,NA
protein serine/threonine kinase activity,NA,NA,NA,NA,0.0210326471655465,NA,NA
protein tyrosine phosphatase activity,NA,NA,NA,NA,NA,0.0393454865962271,NA
proximal promoter sequence-specific DNA binding,NA,NA,NA,NA,0.0473680170783401,NA,NA
Ras guanyl-nucleotide exchange factor activity,NA,NA,NA,NA,NA,0.0393454865962271,NA
SH3 domain binding,NA,NA,NA,NA,0.0225725368282865,NA,NA
signal transducer  downstream of receptor  with serine/threonine kinase activity,NA,NA,NA,NA,NA,0.0393454865962271,NA
signal transducer activity  downstream of receptor,NA,NA,NA,NA,NA,0.0199608465321352,NA
substrate-specific channel activity,NA,NA,NA,NA,0.0210326471655465,5.76129981303613e-05,NA
transmembrane receptor protein kinase activity,NA,NA,NA,NA,0.0473680170783401,0.0085462737084029,NA
transmembrane receptor protein phosphatase activity,NA,NA,NA,NA,NA,0.0199608465321352,NA
transmembrane receptor protein tyrosine kinase activity,NA,NA,NA,NA,0.0230218341914633,0.0160488630819447,NA
transmembrane receptor protein tyrosine phosphatase activity,NA,NA,NA,NA,NA,0.0199608465321352,NA
transmitter-gated channel activity,NA,NA,NA,NA,NA,0.0085462737084029,NA
transmitter-gated ion channel activity,NA,NA,NA,NA,NA,0.0085462737084029,NA
transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential,NA,NA,NA,NA,NA,0.0085462737084029,NA
voltage-gated cation channel activity,NA,NA,NA,NA,0.0314810874197055,0.0393454865962271,NA
voltage-gated channel activity,NA,NA,NA,NA,NA,0.0393454865962271,NA
voltage-gated ion channel activity,NA,NA,NA,NA,NA,0.0393454865962271,NA
voltage-gated potassium channel activity,NA,NA,NA,NA,0.0210326471655465,NA,NA
