ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,79/3548,152/16585,8.50886837047914e-17,5.1197860985173e-13,4.9987362500678e-13,AMIGO1/GYPC/CADM2/CLSTN2/PCDH7/FAT4/TENM3/FAT1/CDH12/CDH10/PCDHA10/PCDHA6/PCDHA1/PCDHA9/PCDHAC1/PCDHAC2/PCDHA4/PCDHA3/PCDHA2/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/PCDHGB3/PCDHGA6/PCDHGA5/PCDHGA4/PCDHGA1/PCDHGA2/PCDHGB2/PCDHGB1/PCDHGA7/PCDHGA3/PCDHGB4/PCDHGA12/PCDHGA11/PCDHGA8/PCDHGA9/PCDHGA10/PCDHGB7/PCDHGB6/PCDHGB5/PCDH1/FAT2/CDHR2/SDK1/ITGB1/RET/DCHS1/FAT3/CADM1/DSCAML1/KIRREL3/CLSTN3/SMAGP/PCDH17/PCDH9/NPTN/CDH8/CDH11/CDH13/PECAM1/PTPRM/DSC3/DSC2/DSG2/CDH20/CDH7/CD226/CEACAM1/CADM4/PVR/PTPRT/CDH22/CDH4/DSCAM/CELSR1,79
GO_BP,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,102/3548,233/16585,1.08728888333865e-14,3.27110860552432e-11,3.19376803048052e-11,DAB1/VCAM1/AMIGO1/TGFB2/NRXN1/REG3A/GYPC/ACVR1/CADM2/ALCAM/CLDN18/CLSTN2/NLGN1/CLDN1/PCDH7/GRID2/FAT4/TENM3/FAT1/CDH12/CDH10/PCDHA10/PCDHA6/PCDHA1/PCDHA9/PCDHAC1/PCDHAC2/PCDHA4/PCDHA3/PCDHA2/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/PCDHGB3/PCDHGA6/PCDHGA5/PCDHGA4/PCDHGA1/PCDHGA2/PCDHGB2/PCDHGB1/PCDHGA7/PCDHGA3/PCDHGB4/PCDHGA12/PCDHGA11/PCDHGA8/PCDHGA9/PCDHGA10/PCDHGB7/PCDHGB6/PCDHGB5/PCDH1/FAT2/TENM2/CDHR2/SDK1/CLDN12/UNC5D/PTPRD/ITGB1/RET/DCHS1/TENM4/FAT3/CADM1/DSCAML1/KIRREL3/CLSTN3/SMAGP/ITGA5/PCDH17/PCDH9/MAP2K5/NPTN/UMOD/CDH8/CDH11/CDH13/PECAM1/PTPRM/DSC3/DSC2/DSG2/CDH20/CDH7/CD226/MBP/CEACAM1/CADM4/PVR/FLRT3/PTPRT/CDH22/CDH4/CXADR/CLDN14/DSCAM/CELSR1,102
GO_BP,GO:0016358,dendrite development,78/3548,213/16585,2.24180770162727e-07,0.000338198141064109,0.000330201941040524,EPHB2/DAB1/CHRNB2/DNM3/BCL11A/CTNNA2/NCK2/HECW2/MAP2/DOCK10/WNT7A/TRAK1/KALRN/EPHB1/TNIK/NLGN1/UBA6/PDLIM5/RAPGEF2/CTNND2/MEF2C/FSTL4/CAMK2A/DTNBP1/DCDC2/KIAA0319/SYNGAP1/ARID1B/SDK1/HECW1/CAMK2B/COBL/PPP1R9A/RELN/NRG1/PREX2/MATN2/CSMD3/ASAP1/PTPRD/SEMA4D/GRIN3A/DAB2IP/CAMK1D/ITGB1/PRKG1/ZNF365/DLG5/CPEB3/ILK/CAPRIN1/SHANK2/TRPC6/CUX2/FBXW8/DCLK1/KLHL1/FARP1/SIPA1L1/CYFIP1/CHRNA7/FMN1/ARHGAP44/DCC/NEDD4L/MAP1S/PAK4/SHANK1/SLC12A5/ZMYND8/PREX1/BMP7/APP/TIAM1/DSCAM/YWHAH/RBFOX2/SHANK3,78
GO_BP,GO:0097485,neuron projection guidance,87/3548,245/16585,2.24828413537716e-07,0.000338198141064109,0.000330201941040524,EPHA8/EPHB2/ARTN/DAB1/NTRK1/LMX1A/TNR/LHX4/PLXNA2/GDF7/NRXN1/SPTBN1/GLI2/KIF5C/CNTN4/DAG1/SEMA3F/SEMA3G/WNT5A/ALCAM/EPHB1/SLIT2/ATOH1/BMPR1B/UNC5C/GAB1/SEMA5A/ZSWIM6/FOXD1/EFNA5/SEMA6A/GFRA3/POU4F3/CYFIP2/SLIT3/EZR/GLI3/SEMA3E/RELN/NRCAM/PLXNA4/GBX1/SHH/GFRA2/DOK2/FZD3/UNC5D/MATN2/NFIB/SHC3/SEMA4D/SPTAN1/RET/CXCL12/UNC5B/GFRA1/DPYSL4/BDNF/NCAM1/PTPRO/FRS2/PLXNC1/PTPN11/EFNB2/NRXN3/FLRT2/BCL11B/CYFIP1/NEO1/NTN1/NOG/PRKCA/PTPRM/RNF165/DCC/DOK6/NRTN/NPHS1/GFRA4/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/DSCAM/SHANK3,87
GO_BP,GO:0007411,axon guidance,86/3548,243/16585,3.11021062341566e-07,0.00037428274642184,0.000365433378721743,EPHA8/EPHB2/ARTN/DAB1/NTRK1/LMX1A/TNR/LHX4/PLXNA2/GDF7/NRXN1/SPTBN1/GLI2/KIF5C/CNTN4/DAG1/SEMA3F/SEMA3G/WNT5A/ALCAM/EPHB1/SLIT2/ATOH1/BMPR1B/UNC5C/GAB1/SEMA5A/ZSWIM6/FOXD1/EFNA5/SEMA6A/GFRA3/POU4F3/CYFIP2/SLIT3/EZR/GLI3/SEMA3E/RELN/NRCAM/PLXNA4/GBX1/SHH/GFRA2/DOK2/FZD3/UNC5D/MATN2/NFIB/SHC3/SEMA4D/SPTAN1/RET/CXCL12/UNC5B/GFRA1/BDNF/NCAM1/PTPRO/FRS2/PLXNC1/PTPN11/EFNB2/NRXN3/FLRT2/BCL11B/CYFIP1/NEO1/NTN1/NOG/PRKCA/PTPRM/RNF165/DCC/DOK6/NRTN/NPHS1/GFRA4/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/DSCAM/SHANK3,86
GO_BP,GO:0007409,axonogenesis,135/3548,447/16585,6.13039553735651e-06,0.00614776499137902,0.00600241008666433,EPHA8/EPHB2/MACF1/ARTN/DAB1/AMIGO1/CHRNB2/NTRK1/LMX1A/TNN/TNR/LHX4/PLXNA2/GDF7/NRXN1/SPTBN1/CTNNA2/GLI2/ZEB2/KIF5C/NR4A2/RAPH1/MAP2/FN1/CNTN4/WNT7A/TRAK1/CCK/DAG1/SEMA3F/SEMA3G/WNT5A/ALCAM/EPHB1/SHOX2/SLIT2/ATOH1/BMPR1B/UNC5C/COL25A1/GAB1/SEMA5A/ZSWIM6/FOXD1/EFNA5/WDR36/SEMA6A/FSTL4/GFRA3/POU4F3/CYFIP2/SLIT3/FLOT1/SYNGAP1/EZR/GLI3/COBL/AUTS2/LIMK1/SEMA3E/RELN/NRCAM/PTPRZ1/PLXNA4/GBX1/SHH/GFRA2/DOK2/FZD3/NRG1/UNC5D/MATN2/NFIB/LINGO2/NTRK2/SHC3/SEMA4D/SPTAN1/OLFM1/ITGB1/PARD3/RET/CXCL12/ANK3/UNC5B/GFRA1/FGFR2/ILK/BDNF/LRRC4C/MARK2/SSH3/NCAM1/DSCAML1/PTPRO/FRS2/PLXNC1/PTPN11/ATP8A2/RNF6/DCLK1/EFNB2/LRFN5/SIPA1L1/NUMB/NRXN3/FLRT2/BCL11B/CYFIP1/MAP2K1/NEO1/NTRK3/CDH11/NTN1/MAPT/NOG/PRKCA/PTPRM/RNF165/DCC/DOK6/NRTN/MAP1S/NPHS1/GFRA4/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/TIAM1/DSCAM/ADARB1/SHANK3,135
GO_BP,GO:0061564,axon development,144/3548,485/16585,8.30667495679429e-06,0.00714018045929017,0.00697136134343894,EPHA8/EPHB2/MACF1/PTPRF/ARTN/DAB1/AMIGO1/CHRNB2/NTRK1/LMX1A/TNN/TNR/LHX4/PLXNA2/MTR/GDF7/NRXN1/SPTBN1/CTNNA2/GLI2/ZEB2/KIF5C/NR4A2/RAPH1/MAP2/FN1/CNTN4/WNT7A/TRAK1/CCK/DAG1/SEMA3F/SEMA3G/WNT5A/EPHA3/ALCAM/EPHB1/SHOX2/SLIT2/ATOH1/BMPR1B/UNC5C/COL25A1/GAB1/SEMA5A/ZSWIM6/FOXD1/EFNA5/WDR36/NREP/SEMA6A/FSTL4/GFRA3/CTNNA1/POU4F3/CYFIP2/SLIT3/FLOT1/SYNGAP1/EZR/GLI3/COBL/AUTS2/LIMK1/SEMA3E/RELN/NRCAM/PTPRZ1/PLXNA4/GBX1/SHH/GFRA2/DOK2/FZD3/NRG1/UNC5D/MATN2/NFIB/LINGO2/NTRK2/SHC3/SEMA4D/TNC/SPTAN1/OLFM1/ITGB1/PARD3/RET/CXCL12/ANK3/UNC5B/CRTAC1/GFRA1/FGFR2/ILK/BDNF/LRRC4C/MARK2/SSH3/NCAM1/DSCAML1/PTPRO/FRS2/PLXNC1/PTPN11/ATP8A2/RNF6/DCLK1/STK24/EFNB2/LRFN5/SIPA1L1/NUMB/NRXN3/FLRT2/BCL11B/CYFIP1/MAP2K1/NEO1/NTRK3/CDH11/RTN4RL1/NTN1/MAPT/NOG/PRKCA/PTPRM/RNF165/DCC/DOK6/NRTN/MAP1S/NPHS1/GFRA4/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/TIAM1/DSCAM/ADARB1/SHANK3,144
GO_BP,GO:0034204,lipid translocation,15/3548,24/16585,1.55789145679558e-05,0.010952297287021,0.0106933462485877,ABCA4/RFT1/ATP10D/ATP10B/ABCA1/P2RX7/ATP8A2/ATP11A/ATP10A/ATP8B4/ABCC1/ATP8B1/ATP9B/KCNN4/ATP9A,15
GO_BP,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,23/3548,46/16585,1.66558128345557e-05,0.010952297287021,0.0106933462485877,VCAM1/AMIGO1/REG3A/GYPC/CADM2/ALCAM/NLGN1/GRID2/FAT4/TENM3/TENM2/PTPRD/DCHS1/TENM4/CADM1/SMAGP/ITGA5/UMOD/CD226/CADM4/PVR/CDH4/CXADR,23
GO_BP,GO:0048167,regulation of synaptic plasticity,59/3548,166/16585,1.82022557537328e-05,0.010952297287021,0.0106933462485877,EPHB2/RIMS3/TNR/SNAP47/AGT/CNTN4/HRH1/RAB5A/CX3CR1/KALRN/NLGN1/CD38/KIT/GRID2/RAPGEF2/MEF2C/MCTP1/CAMK2A/GRIA1/DRD1/HRH2/CPLX2/SCGN/SYNGAP1/RIMS1/GRIK2/CAMK2B/PPP1R9A/RELN/DGKI/RIMS2/SLC24A2/NTRK2/CPEB3/SORCS3/SHANK2/FGF14/JPH4/SLC8A3/SIPA1L1/CHRNA7/UNC13C/NPTN/GRIN2A/SHISA9/PRRT2/NF1/RARA/MAPT/GRIN2C/TSHZ3/SHANK1/LILRB2/SNAP25/KCNB1/APP/YWHAH/PICK1/SHANK3,59
