ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0022838,substrate-specific channel activity,139/3502,429/16384,5.03610123517144e-08,5.76129981303613e-05,5.47609744834958e-05,KCNAB2/GRIK3/BSND/CLCA2/CLCA1/LRRC8B/KCND3/CHRNB2/LRRC52/KCNT2/CACNA1S/SLC26A9/KCNH1/RYR2/KCNF1/KCNK12/SLC1A4/KCNH7/ITGAV/ASIC4/KCNE4/CHRND/CHRNG/TRPM8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/SLC9C1/TRPC1/KCNAB1/KCNMB2/KCNIP4/STIM2/CHRNA9/REST/PKD2/GRID2/GLRB/CLCN3/HCN1/VDAC1/CATSPER3/PKD2L2/ANXA6/GLRA1/GRIA1/GABRA1/GABRG2/KCNIP1/KCNMB1/KCNK17/CLIC5/GRIK2/OPRM1/TTYH3/AQP1/SLC26A5/CFTR/TRPA1/KCNB2/CNGB3/NCALD/KCNV1/KCNQ3/SLC24A2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/KCNK18/ABCC8/ANO3/TRPC6/GRIA4/CUL5/HTR3B/FXYD6/GRIK4/CACNA1C/KCNA6/DENND5B/ANO6/AQP2/AQP5/AQP6/SCN8A/BEST3/KCNC2/ANO4/P2RX7/MTMR6/FAM155A/JPH4/KCNH5/GABRB3/GABRA5/GABRG3/CHRNA7/RYR3/SLC24A5/TRPM7/AQP9/NOX5/CHRNB4/GRIN2A/SCNN1G/SCNN1B/CACNG3/AQP8/TRPV3/TRPV1/P2RX1/ASIC2/KCNJ16/GRIN2C/PIEZO2/AQP4/LOXHD1/BEST2/CACNA1A/RYR1/KCNN4/CACNG7/CACNG8/TMC2/SLC24A3/JPH2/KCNB1/KCNG1/KCNQ2/GRIK1/KCNE1/KCNJ6/GRIA3,139
GO_MF,GO:0005216,ion channel activity,134/3502,416/16384,1.2804749543448e-07,7.32431673885225e-05,6.96174014651673e-05,KCNAB2/GRIK3/BSND/CLCA2/CLCA1/LRRC8B/KCND3/CHRNB2/LRRC52/KCNT2/CACNA1S/SLC26A9/KCNH1/RYR2/KCNF1/KCNK12/SLC1A4/KCNH7/ITGAV/ASIC4/KCNE4/CHRND/CHRNG/TRPM8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/SLC9C1/TRPC1/KCNAB1/KCNMB2/KCNIP4/STIM2/CHRNA9/REST/PKD2/GRID2/GLRB/CLCN3/HCN1/VDAC1/CATSPER3/PKD2L2/ANXA6/GLRA1/GRIA1/GABRA1/GABRG2/KCNIP1/KCNMB1/KCNK17/CLIC5/GRIK2/OPRM1/TTYH3/AQP1/SLC26A5/CFTR/TRPA1/KCNB2/CNGB3/NCALD/KCNV1/KCNQ3/SLC24A2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/KCNK18/ABCC8/ANO3/TRPC6/GRIA4/CUL5/HTR3B/FXYD6/GRIK4/CACNA1C/KCNA6/DENND5B/ANO6/AQP6/SCN8A/BEST3/KCNC2/ANO4/P2RX7/MTMR6/FAM155A/JPH4/KCNH5/GABRB3/GABRA5/GABRG3/CHRNA7/RYR3/SLC24A5/TRPM7/NOX5/CHRNB4/GRIN2A/SCNN1G/SCNN1B/CACNG3/TRPV3/TRPV1/P2RX1/ASIC2/KCNJ16/GRIN2C/PIEZO2/LOXHD1/BEST2/CACNA1A/RYR1/KCNN4/CACNG7/CACNG8/TMC2/SLC24A3/JPH2/KCNB1/KCNG1/KCNQ2/GRIK1/KCNE1/KCNJ6/GRIA3,134
GO_MF,GO:0005261,cation channel activity,104/3502,309/16384,3.17294411953434e-07,0.000120994935758243,0.000115005307911543,KCNAB2/GRIK3/KCND3/CHRNB2/LRRC52/KCNT2/CACNA1S/KCNH1/RYR2/KCNF1/KCNK12/KCNH7/ITGAV/ASIC4/KCNE4/CHRND/CHRNG/TRPM8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/TRPC1/KCNAB1/KCNMB2/KCNIP4/STIM2/CHRNA9/REST/PKD2/HCN1/CATSPER3/PKD2L2/GRIA1/KCNIP1/KCNMB1/KCNK17/GRIK2/OPRM1/AQP1/TRPA1/KCNB2/CNGB3/KCNV1/KCNQ3/SLC24A2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/KCNK18/ABCC8/TRPC6/GRIA4/CUL5/HTR3B/GRIK4/CACNA1C/KCNA6/DENND5B/ANO6/SCN8A/KCNC2/P2RX7/MTMR6/FAM155A/JPH4/KCNH5/CHRNA7/RYR3/SLC24A5/TRPM7/NOX5/CHRNB4/GRIN2A/SCNN1G/SCNN1B/CACNG3/TRPV3/TRPV1/P2RX1/ASIC2/KCNJ16/GRIN2C/PIEZO2/LOXHD1/CACNA1A/RYR1/KCNN4/CACNG7/CACNG8/TMC2/SLC24A3/JPH2/KCNB1/KCNG1/KCNQ2/GRIK1/KCNE1/KCNJ6/GRIA3,104
GO_MF,GO:0022836,gated channel activity,110/3502,335/16384,5.91814085348009e-07,0.00014239939238591,0.000135350176973358,KCNAB2/GRIK3/BSND/CLCA2/CLCA1/KCND3/CHRNB2/LRRC52/KCNT2/CACNA1S/KCNH1/RYR2/KCNF1/KCNK12/KCNH7/ITGAV/KCNE4/CHRND/CHRNG/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/KCNAB1/KCNMB2/KCNIP4/CHRNA9/REST/PKD2/GRID2/GLRB/CLCN3/HCN1/VDAC1/CATSPER3/ANXA6/GLRA1/GRIA1/GABRA1/GABRG2/KCNIP1/KCNMB1/KCNK17/CLIC5/GRIK2/OPRM1/TTYH3/AQP1/CFTR/TRPA1/KCNB2/CNGB3/NCALD/KCNV1/KCNQ3/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/KCNK18/ABCC8/ANO3/GRIA4/HTR3B/GRIK4/CACNA1C/KCNA6/ANO6/SCN8A/KCNC2/ANO4/P2RX7/MTMR6/FAM155A/JPH4/KCNH5/GABRB3/GABRA5/GABRG3/CHRNA7/RYR3/CHRNB4/GRIN2A/SCNN1G/SCNN1B/CACNG3/TRPV1/P2RX1/ASIC2/KCNJ16/GRIN2C/PIEZO2/CACNA1A/RYR1/KCNN4/CACNG7/CACNG8/TMC2/JPH2/KCNB1/KCNG1/KCNQ2/GRIK1/KCNE1/KCNJ6/GRIA3,110
GO_MF,GO:0022839,ion gated channel activity,109/3502,332/16384,6.698761106e-07,0.00014239939238591,0.000135350176973358,KCNAB2/GRIK3/BSND/CLCA2/CLCA1/KCND3/CHRNB2/LRRC52/KCNT2/CACNA1S/KCNH1/RYR2/KCNF1/KCNK12/KCNH7/ITGAV/KCNE4/CHRND/CHRNG/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/KCNAB1/KCNMB2/KCNIP4/CHRNA9/REST/PKD2/GRID2/GLRB/CLCN3/HCN1/VDAC1/CATSPER3/ANXA6/GLRA1/GRIA1/GABRA1/GABRG2/KCNIP1/KCNMB1/KCNK17/CLIC5/GRIK2/OPRM1/TTYH3/AQP1/CFTR/TRPA1/KCNB2/CNGB3/NCALD/KCNV1/KCNQ3/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/KCNK18/ABCC8/ANO3/GRIA4/HTR3B/GRIK4/CACNA1C/KCNA6/ANO6/SCN8A/KCNC2/ANO4/P2RX7/MTMR6/FAM155A/JPH4/KCNH5/GABRB3/GABRA5/GABRG3/CHRNA7/RYR3/CHRNB4/GRIN2A/SCNN1G/SCNN1B/CACNG3/TRPV1/P2RX1/ASIC2/KCNJ16/GRIN2C/CACNA1A/RYR1/KCNN4/CACNG7/CACNG8/TMC2/JPH2/KCNB1/KCNG1/KCNQ2/GRIK1/KCNE1/KCNJ6/GRIA3,109
GO_MF,GO:0015267,channel activity,141/3502,455/16384,7.59478875722286e-07,0.00014239939238591,0.000135350176973358,KCNAB2/GRIK3/BSND/CLCA2/CLCA1/LRRC8B/KCND3/GJA5/CHRNB2/LRRC52/KCNT2/CACNA1S/SLC26A9/KCNH1/RYR2/KCNF1/KCNK12/SLC1A4/KCNH7/ITGAV/ASIC4/KCNE4/CHRND/CHRNG/TRPM8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/SLC9C1/TRPC1/KCNAB1/KCNMB2/KCNIP4/STIM2/CHRNA9/REST/PKD2/GRID2/GLRB/CLCN3/HCN1/VDAC1/CATSPER3/PKD2L2/ANXA6/GLRA1/GRIA1/GABRA1/GABRG2/KCNIP1/KCNMB1/KCNK17/CLIC5/GJB7/GRIK2/OPRM1/TTYH3/AQP1/SLC26A5/CFTR/TRPA1/KCNB2/CNGB3/NCALD/KCNV1/KCNQ3/SLC24A2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/KCNK18/ABCC8/ANO3/TRPC6/GRIA4/CUL5/HTR3B/FXYD6/GRIK4/CACNA1C/KCNA6/DENND5B/ANO6/AQP2/AQP5/AQP6/SCN8A/BEST3/KCNC2/ANO4/P2RX7/MTMR6/FAM155A/JPH4/KCNH5/GABRB3/GABRA5/GABRG3/CHRNA7/RYR3/SLC24A5/TRPM7/AQP9/NOX5/CHRNB4/GRIN2A/SCNN1G/SCNN1B/CACNG3/AQP8/TRPV3/TRPV1/P2RX1/ASIC2/KCNJ16/GRIN2C/PIEZO2/AQP4/LOXHD1/BEST2/CACNA1A/RYR1/KCNN4/CACNG7/CACNG8/TMC2/SLC24A3/JPH2/KCNB1/KCNG1/KCNQ2/GRIK1/KCNE1/KCNJ6/GRIA3,141
GO_MF,GO:0022803,passive transmembrane transporter activity,141/3502,456/16384,8.71324953410289e-07,0.00014239939238591,0.000135350176973358,KCNAB2/GRIK3/BSND/CLCA2/CLCA1/LRRC8B/KCND3/GJA5/CHRNB2/LRRC52/KCNT2/CACNA1S/SLC26A9/KCNH1/RYR2/KCNF1/KCNK12/SLC1A4/KCNH7/ITGAV/ASIC4/KCNE4/CHRND/CHRNG/TRPM8/SCN5A/SCN10A/SCN11A/ANO10/CACNA1D/CACNA2D3/SLC9C1/TRPC1/KCNAB1/KCNMB2/KCNIP4/STIM2/CHRNA9/REST/PKD2/GRID2/GLRB/CLCN3/HCN1/VDAC1/CATSPER3/PKD2L2/ANXA6/GLRA1/GRIA1/GABRA1/GABRG2/KCNIP1/KCNMB1/KCNK17/CLIC5/GJB7/GRIK2/OPRM1/TTYH3/AQP1/SLC26A5/CFTR/TRPA1/KCNB2/CNGB3/NCALD/KCNV1/KCNQ3/SLC24A2/GRIN3A/KCNT1/CACNA1B/CACNB2/KCNMA1/GRID1/KCNK18/ABCC8/ANO3/TRPC6/GRIA4/CUL5/HTR3B/FXYD6/GRIK4/CACNA1C/KCNA6/DENND5B/ANO6/AQP2/AQP5/AQP6/SCN8A/BEST3/KCNC2/ANO4/P2RX7/MTMR6/FAM155A/JPH4/KCNH5/GABRB3/GABRA5/GABRG3/CHRNA7/RYR3/SLC24A5/TRPM7/AQP9/NOX5/CHRNB4/GRIN2A/SCNN1G/SCNN1B/CACNG3/AQP8/TRPV3/TRPV1/P2RX1/ASIC2/KCNJ16/GRIN2C/PIEZO2/AQP4/LOXHD1/BEST2/CACNA1A/RYR1/KCNN4/CACNG7/CACNG8/TMC2/SLC24A3/JPH2/KCNB1/KCNG1/KCNQ2/GRIK1/KCNE1/KCNJ6/GRIA3,141
GO_MF,GO:0005231,excitatory extracellular ligand-gated ion channel activity,23/3502,48/16384,3.93434518793314e-05,0.00562611361874438,0.00534760339359859,GRIK3/CHRNB2/CHRND/CHRNG/CHRNA9/GRID2/GLRB/GLRA1/GRIA1/GRIK2/GRIN3A/GRID1/GRIA4/GRIK4/P2RX7/CHRNA7/CHRNB4/GRIN2A/TRPV1/P2RX1/GRIN2C/GRIK1/GRIA3,23
GO_MF,GO:0005516,calmodulin binding,65/3502,195/16384,6.77382424028835e-05,0.0085462737084029,0.00812320642324273,SLC9A1/EPB41/CNN3/RGS1/RGS2/CACNA1S/ATP2B4/KCNH1/SPATA17/RYR2/SPTBN1/PPP3R1/MYO1B/MAP2/FBXL2/ARPP21/SCN5A/CEP97/MYLK/WFS1/MYO10/IQGAP2/CAMK2A/EEF1A1/MYO6/PDE1C/CAMK2B/EGFR/GEM/KCNQ3/INVS/CDK5RAP2/SPTAN1/CAMSAP1/CAMK1D/ENKUR/MYO3A/ADD3/CACNA1C/PDE1B/MYO1A/SYT1/ATP2B1/NOS1/KCNH5/SLC8A3/RYR3/UNC13C/MYO1E/MYH11/TRPV1/CAMKK1/MYH10/NOS2/RIT2/MYO5B/MBP/MYO1F/RYR1/CEACAM1/KCNN4/MYH14/MYLK2/KCNQ2/CASK,65
GO_MF,GO:0099529,neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,19/3502,38/16384,8.8769285070531e-05,0.0085462737084029,0.00812320642324273,GRIK3/CHRNB2/CHRND/CHRNG/CHRNA9/GRID2/GRIA1/GABRA1/GABRG2/GRIK2/GRID1/GRIA4/GRIK4/GABRA5/GABRG3/CHRNA7/CHRNB4/GRIK1/GRIA3,19
