ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
KEGG,hsa05168,Herpes simplex virus 1 infection,148/1574,485/7674,4.7388741699369e-08,1.52591748271968e-05,1.3368613447822e-05,10000/317/637/9451/8891/1965/356/64135/3443/3458/3678/25833/5781/6426/6427/6429/7098/7189/57677/140612/339559/284406/284307/7771/163071/7694/7711/90338/7565/7728/7733/7743/7748/7757/7638/7673/7766/7767/7768/7769/7770/7772/7773/353355/10780/9310/57209/9534/10172/113835/9422/284349/342909/26974/57335/57343/282890/162967/55422/7581/7582/79175/84671/59348/84911/163087/342908/55786/55659/147686/147923/79088/170959/9668/80818/90594/126070/7596/92283/90333/388566/57573/25888/147657/84503/84436/57711/348327/147658/163255/125919/27300/339327/284306/256051/162972/90233/79818/148254/80032/84527/100529215/147741/163050/147929/84924/163081/374900/148266/148268/51276/84765/147948/147949/199704/92285/162966/80095/84775/162963/81856/79898/80110/284370/90317/285267/253639/65251/79788/63934/163223/342926/127396/374879/55762/728957/388567/388561/163131/388536/390927/7554/126017/125893/374899/55769/162962/342892,148
KEGG,hsa04360,Axon guidance,61/1574,178/7674,1.07580531223399e-05,0.00173204655269673,0.00151745170357216,84448/23365/655/658/815/816/6387/1630/1946/1948/2042/285220/2046/2047/2048/7976/151449/2932/3611/3688/3984/57689/4233/10627/103910/8440/4756/9423/10298/56288/50855/5335/5336/5362/91584/10154/5534/5535/5578/5781/5894/5998/6237/9723/6405/56920/10507/9037/57556/80031/6469/9353/6586/9901/54961/7220/7225/219699/8633/137970/7474,61
KEGG,hsa05412,Arrhythmogenic right ventricular cardiomyopathy (ARVC),32/1574,77/7674,1.98823323812625e-05,0.00213403700892217,0.00186963686953626,88/775/776/779/55799/783/10368/59284/59283/1495/1496/29119/1605/1756/1824/1829/1832/3672/22801/3678/3680/3685/3688/3693/3696/51176/6262/6442/6444/6445/6547/6934,32
KEGG,hsa04020,Calcium signaling pathway,62/1574,194/7674,9.94386494980928e-05,0.00800481128459647,0.00701304159618128,108/114/115/148/147/490/493/773/774/775/776/779/810/57118/815/816/845/887/952/1131/1139/57105/1812/1910/1956/2065/2066/9630/2776/2903/2905/3269/3274/3358/3363/4638/85366/4842/4843/5023/5027/5153/5137/5156/5332/5335/5336/10105/5534/5535/5578/5579/5582/6261/6262/6263/6547/6786/57620/7134/10345/7416,62
KEGG,hsa04512,ECM-receptor interaction,32/1574,88/7674,0.000400564016172641,0.025597756899024,0.0224262793361831,960/1277/1284/1285/1286/1293/256076/1605/2335/80144/341640/3672/22801/3678/3680/3685/3688/3693/3696/3909/3912/22798/3918/10319/5649/6382/9899/22987/3371/63923/7143/7450,32
KEGG,hsa04730,Long-term depression,23/1574,57/7674,0.000476976836627776,0.025597756899024,0.0224262793361831,773/1394/2775/2776/2890/2892/2895/2977/3480/4067/5604/4842/5321/5332/5518/5519/5578/5579/5582/5592/5593/5894/6261,23
KEGG,hsa04911,Insulin secretion,31/1574,86/7674,0.000583712781336381,0.0268507879414735,0.0235240639696466,6833/108/111/114/115/117/468/775/776/779/815/816/885/1131/64764/9586/2740/2776/3778/3779/10242/3783/27445/5332/5578/5579/5582/11069/9699/6262/6616,31
KEGG,hsa05031,Amphetamine addiction,26/1574,69/7674,0.000735449308627229,0.029601834672246,0.025934265093697,111/468/775/776/810/815/816/64764/9586/1644/1812/2354/2890/2892/2893/2903/2905/116443/4128/4129/5534/5535/5578/5579/5582/6570,26
KEGG,hsa04728,Dopaminergic synapse,42/1574,129/7674,0.00082831010460915,0.029635094853794,0.0259634044485675,111/10000/406/468/773/774/775/776/810/815/816/64764/9586/1644/1812/1814/2775/2776/2786/2890/2892/2893/2903/2932/3763/3800/4128/4129/5602/5599/5332/5518/5519/5520/5521/5522/55844/5529/5578/5579/5582/6570,42
KEGG,hsa04724,Glutamatergic synapse,37/1574,112/7674,0.0012242186700813,0.0394198411766178,0.0345358530086093,108/111/114/115/773/775/776/9229/2744/2775/2776/2786/2890/2892/2893/2897/2898/2899/2900/2903/2905/116443/2917/2918/9455/5321/5332/5337/5534/5535/5578/5579/5582/50944/22941/85358/7220,37
