ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0034703,cation channel complex,44/1580,211/17294,1.507463553137e-07,9.46687111370033e-05,9.17172561803351e-05,GRIK3/PDE4B/OLFM3/KCND3/CACNA1E/KCNH1/RYR2/KCNF1/KCNJ3/SCN3A/NLGN1/KCNMB2/KCNIP4/GRIA2/PDE4D/GRIA1/CNTNAP2/DPP6/KCNU1/KCNB2/KCNS2/KCNQ3/GRIN3A/CACNB2/KCNMA1/DLG2/GRIA4/HTR3A/GRIK4/NOS1/MICU2/RYR3/GRIN2A/SHISA9/SCNN1G/CACNG3/CACNA1A/RYR1/SHANK1/CACNG7/CACNG8/SNAP25/KCNB1/KCNG1,44
GO_CC,GO:0098878,neurotransmitter receptor complex,17/1580,50/17294,1.0418791932166e-06,0.000327150066670012,0.000316950617725892,GRIK3/OLFM3/NLGN1/GRIA2/GRIA1/GRIN3A/SHANK2/DLG2/GRIA4/HTR3A/GRIK4/GRIN2A/SHISA9/CACNG3/SHANK1/CACNG7/CACNG8,17
GO_CC,GO:0098839,postsynaptic density membrane,13/1580,32/17294,1.94279988254717e-06,0.000406692775413208,0.000394013449863953,GRIK3/GRIA2/GRIA1/GRID1/DLG2/GRIA4/GRIK4/GRIN2A/CACNG3/GSG1L/PTPRS/CACNG7/CACNG8,13
GO_CC,GO:0008328,ionotropic glutamate receptor complex,16/1580,48/17294,2.9093974286422e-06,0.000456775396296825,0.000442534661514524,GRIK3/OLFM3/NLGN1/GRIA2/GRIA1/GRIN3A/SHANK2/DLG2/GRIA4/GRIK4/GRIN2A/SHISA9/CACNG3/SHANK1/CACNG7/CACNG8,16
GO_CC,GO:0099634,postsynaptic specialization membrane,13/1580,34/17294,4.36016053223055e-06,0.000547636162848156,0.000530562692132475,GRIK3/GRIA2/GRIA1/GRID1/DLG2/GRIA4/GRIK4/GRIN2A/CACNG3/GSG1L/PTPRS/CACNG7/CACNG8,13
GO_CC,GO:0032279,asymmetric synapse,42/1580,227/17294,7.46005047525446e-06,0.000780818616409967,0.000756475293806505,GRIK3/DAB1/PDE4B/SRGAP2/KCNH1/ARF1/DISC1/CHRM3/BCL11A/CTNNA2/CLSTN2/NLGN1/GRIA2/SPOCK1/GRIA1/DTNBP1/GRM3/ABHD17B/NTRK2/GRIN3A/GRID1/SORCS3/SHANK2/DLG2/GRIA4/GRIK4/ANKS1B/NOS1/NPTN/GRIN2A/SHISA9/CACNG3/GSG1L/VPS35/ARHGAP44/PTPRS/SHANK1/PRKCG/CACNG7/CACNG8/NEFH/SYN3,42
GO_CC,GO:0014069,postsynaptic density,41/1580,222/17294,9.9817401019229e-06,0.000819499471665786,0.000793950208888409,GRIK3/DAB1/PDE4B/SRGAP2/KCNH1/ARF1/DISC1/BCL11A/CTNNA2/CLSTN2/NLGN1/GRIA2/SPOCK1/GRIA1/DTNBP1/GRM3/ABHD17B/NTRK2/GRIN3A/GRID1/SORCS3/SHANK2/DLG2/GRIA4/GRIK4/ANKS1B/NOS1/NPTN/GRIN2A/SHISA9/CACNG3/GSG1L/VPS35/ARHGAP44/PTPRS/SHANK1/PRKCG/CACNG7/CACNG8/NEFH/SYN3,41
GO_CC,GO:0098984,neuron to neuron synapse,42/1580,230/17294,1.04394837154877e-05,0.000819499471665786,0.000793950208888409,GRIK3/DAB1/PDE4B/SRGAP2/KCNH1/ARF1/DISC1/CHRM3/BCL11A/CTNNA2/CLSTN2/NLGN1/GRIA2/SPOCK1/GRIA1/DTNBP1/GRM3/ABHD17B/NTRK2/GRIN3A/GRID1/SORCS3/SHANK2/DLG2/GRIA4/GRIK4/ANKS1B/NOS1/NPTN/GRIN2A/SHISA9/CACNG3/GSG1L/VPS35/ARHGAP44/PTPRS/SHANK1/PRKCG/CACNG7/CACNG8/NEFH/SYN3,42
GO_CC,GO:0099572,postsynaptic specialization,41/1580,224/17294,1.24906096140065e-05,0.000855988320223605,0.000829301456736915,GRIK3/DAB1/PDE4B/SRGAP2/KCNH1/ARF1/DISC1/BCL11A/CTNNA2/CLSTN2/NLGN1/GRIA2/SPOCK1/GRIA1/DTNBP1/GRM3/ABHD17B/NTRK2/GRIN3A/GRID1/SORCS3/SHANK2/DLG2/GRIA4/GRIK4/ANKS1B/NOS1/NPTN/GRIN2A/SHISA9/CACNG3/GSG1L/VPS35/ARHGAP44/PTPRS/SHANK1/PRKCG/CACNG7/CACNG8/NEFH/SYN3,41
GO_CC,GO:1990351,transporter complex,53/1580,320/17294,1.493088420501e-05,0.000855988320223605,0.000829301456736915,GRIK3/PDE4B/OLFM3/KCND3/CACNA1E/KCNH1/RYR2/KCNF1/ABCG5/ABCG8/KCNJ3/SCN3A/NLGN1/KCNMB2/KCNIP4/GABRB1/GRIA2/PDE4D/GRIA1/GABRG2/CNTNAP2/DPP6/KCNU1/KCNB2/CNGB3/KCNS2/KCNQ3/GRIN3A/CACNB2/KCNMA1/SHANK2/DLG2/GRIA4/TIMM8B/HTR3A/GRIK4/NOS1/MICU2/ATP12A/GABRB3/RYR3/GRIN2A/SHISA9/SCNN1G/CACNG3/CACNA1A/RYR1/SHANK1/CACNG7/CACNG8/SNAP25/KCNB1/KCNG1,53
