GO_BP_terms,_TLC_count_1;all_genes,_TLC_count_1;_TLC_count_HiC_all,_TLC_count_2;_TLC_count_1,_TLC_count_3;_TLC_count_1,_TLC_count_4;_TLC_count_1,_TLC_count_5;_TLC_count_1,_TLC_count_grthan5;_TLC_count_1
appendage development,NA,NA,NA,NA,NA,0.00444389346918986,0.00818659753048403
appendage morphogenesis,NA,NA,NA,NA,NA,0.00444389346918986,0.00580674510852352
axon development,NA,NA,NA,NA,NA,0.0419819243632832,0.00580674510852352
axon guidance,NA,NA,NA,NA,NA,NA,0.00486757869902091
axonogenesis,NA,NA,NA,NA,NA,NA,0.00818659753048403
camera-type eye development,NA,NA,NA,NA,NA,NA,0.0226024513833251
cardiac septum development,NA,NA,NA,NA,NA,NA,0.036348186398034
cardiac septum morphogenesis,NA,NA,NA,NA,NA,NA,0.0119210766555208
cell proliferation involved in heart morphogenesis,NA,NA,NA,NA,NA,NA,0.0400314896265807
cell-cell signaling by wnt,NA,NA,NA,NA,NA,NA,0.036348186398034
central nervous system neuron differentiation,NA,NA,NA,NA,NA,NA,0.0289936494871879
cerebral cortex development,NA,NA,NA,NA,NA,NA,0.0235134261186328
connective tissue development,NA,NA,NA,NA,NA,NA,0.0454380749351376
dephosphorylation,NA,NA,NA,NA,NA,NA,0.0182047977641032
digestive tract development,NA,NA,NA,NA,NA,0.0362511873493867,NA
digestive tract morphogenesis,NA,NA,NA,NA,NA,NA,0.036348186398034
ear development,NA,NA,NA,NA,NA,0.00737004660566005,0.00100656080625881
ear morphogenesis,NA,NA,NA,NA,NA,NA,0.0426821520148433
embryonic appendage morphogenesis,NA,NA,NA,NA,NA,0.010494465448016,0.0225084228111526
embryonic limb morphogenesis,NA,NA,NA,NA,NA,0.010494465448016,0.0225084228111526
embryonic organ development,NA,NA,NA,NA,NA,NA,0.036348186398034
embryonic organ morphogenesis,NA,NA,NA,NA,NA,0.0362511873493867,0.0107691393386838
eye development,NA,NA,NA,NA,NA,NA,0.0180418564444013
forebrain development,NA,NA,NA,NA,0.0149379551184357,0.0035601060779868,7.2308068458314e-06
gland development,NA,NA,NA,NA,0.0492240480412623,0.0362511873493867,0.0400314896265807
heart morphogenesis,NA,NA,NA,NA,0.0492240480412623,NA,0.0133770487068272
homophilic cell adhesion via plasma membrane adhesion molecules,NA,NA,NA,NA,0.0492240480412623,NA,0.00123116970990325
hormone secretion,NA,NA,NA,NA,NA,NA,0.00319354557662931
hormone transport,NA,NA,NA,NA,NA,NA,0.00237789331780032
inner ear development,NA,NA,NA,NA,NA,0.0229414858695471,0.000700742078708475
inner ear morphogenesis,NA,NA,NA,NA,NA,NA,0.0356628254441353
insulin secretion,NA,NA,NA,NA,NA,NA,0.0400314896265807
kidney development,NA,NA,NA,NA,NA,0.0107989765521488,5.42291409209785e-05
kidney epithelium development,NA,NA,NA,NA,NA,NA,0.00580674510852352
limb development,NA,NA,NA,NA,NA,0.00444389346918986,0.00818659753048403
limb morphogenesis,NA,NA,NA,NA,NA,0.00444389346918986,0.00580674510852352
limbic system development,NA,NA,NA,NA,NA,NA,0.0356628254441353
mesonephric epithelium development,NA,NA,NA,NA,NA,NA,0.036348186398034
mesonephric tubule development,NA,NA,NA,NA,NA,NA,0.036348186398034
mesonephros development,NA,NA,NA,NA,NA,NA,0.0206886454943627
metanephros development,NA,NA,NA,NA,NA,NA,0.0289936494871879
muscle tissue development,NA,NA,NA,NA,NA,NA,0.0137187097870361
negative regulation of cell development,NA,NA,NA,NA,NA,NA,0.0485524400845391
nephron development,NA,NA,NA,NA,NA,NA,0.0226024513833251
neuron migration,NA,NA,NA,NA,NA,NA,0.0068189489346805
neuron projection guidance,NA,NA,NA,NA,NA,0.0419819243632832,0.00384255216704428
organ growth,NA,NA,NA,NA,NA,NA,0.0338491179102219
pallium development,NA,NA,NA,NA,NA,NA,0.00486757869902091
pattern specification process,NA,NA,NA,NA,NA,0.0437211550622529,0.0137187097870361
peptide hormone secretion,NA,NA,NA,NA,NA,NA,0.0226024513833251
positive regulation of neurogenesis,NA,NA,NA,NA,NA,NA,0.0463502174062453
regeneration,NA,NA,NA,NA,NA,NA,0.0400314896265807
regionalization,NA,NA,NA,NA,NA,0.0362511873493867,0.0380144127646093
regulation of hormone levels,NA,NA,NA,NA,NA,NA,0.00818659753048403
regulation of hormone secretion,NA,NA,NA,NA,NA,NA,0.00237789331780032
regulation of insulin secretion,NA,NA,NA,NA,NA,NA,0.0400314896265807
regulation of neuron projection development,NA,NA,NA,NA,NA,NA,0.0400314896265807
regulation of peptide hormone secretion,NA,NA,NA,NA,NA,NA,0.0181516591502563
regulation of peptide secretion,NA,NA,NA,NA,NA,NA,0.0180418564444013
regulation of protein secretion,NA,NA,NA,NA,NA,NA,0.0181516591502563
regulation of synaptic transmission  GABAergic,NA,NA,NA,NA,NA,0.0319723911488531,NA
renal system development,NA,NA,NA,NA,0.0492240480412623,0.010494465448016,2.02985810253652e-05
reproductive structure development,NA,NA,NA,NA,NA,NA,0.0119649297179785
reproductive system development,NA,NA,NA,NA,NA,NA,0.00907393833049224
roof of mouth development,NA,NA,NA,NA,NA,NA,0.0437278637145598
