ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0030900,forebrain development,307/12175,365/16591,5.77845492288071e-07,0.0035601060779868,0.00339347368576331,SKI/CHD5/DRAXIN/HTR6/EPHB2/KDM1A/POU3F1/MFSD2A/SLC2A1/SZT2/EIF2B3/STIL/DMRTA2/LRP8/DAB1/DOCK7/GNG12/LHX8/WNT2B/LMX1A/TBX19/TNR/ARPC5/UCHL5/ASPM/KIF14/ATP2B4/CNTN2/SRGAP2/PROX1/WNT3A/ID2/GDF7/ALK/SRD5A2/SLC8A1/RTN4/PEX13/OTX1/VAX2/EMX1/HTRA2/POU3F3/GLI2/RAB3GAP1/ZEB2/NR4A2/TBR1/SLC4A10/TTC21B/LRP2/DLX1/NEUROD1/COL3A1/PGAP1/SATB2/CREB1/ERBB4/ATIC/CDK5R2/KIF1A/OXTR/WNT7A/RARB/TOP2B/EOMES/SCN5A/CX3CR1/CTNNB1/SETD2/WNT5A/HESX1/ROBO2/ROBO1/POU1F1/ARL13B/GSK3B/GATA2/TMEM108/RYK/SOX2/EPHB3/TRA2B/HES1/FBXO45/MSX1/SLIT2/PPARGC1A/RBPJ/CCKAR/GSX2/EPHA5/UBA6/ANXA3/ATOH1/LEF1/PITX2/METTL14/FAT4/DCLK2/RAPGEF2/CASP3/SLC6A3/SRD5A1/SEMA5A/FGF10/ISL1/OTP/PAPD4/CEP120/UQCRQ/PITX1/CSF1R/NDST1/DRD1/TMEM14B/ID4/ATAT1/EFHC1/POU3F2/NR2E1/FYN/FABP7/MAS1/NPY/AQP1/GHRHR/NEUROD6/INHBA/GLI3/OGDH/EGFR/SEMA3A/CDK6/DLX5/RELN/LAMB1/FOXP2/FEZF1/SMO/PLXNA4/PTN/CNTNAP2/EZH2/HTR5A/SHH/MCPH1/DLC1/PCM1/NKX2-6/NEFL/NRG1/FUT10/FGFR1/TACC1/HOOK3/CHD7/CRH/EXT1/TRAPPC9/NFIB/PAX5/GNAQ/NTRK2/AGTPBP1/SECISBP2/NR4A3/TAL2/LPAR1/DAB2IP/LHX6/LHX2/TSC1/LHX3/GRIN1/KIF5B/NRP1/CXCL12/PRKG1/DKK1/NRG3/BMPR1A/PTEN/HHEX/SLIT1/ZDHHC16/CRTAC1/DPCD/EMX2/FGFR2/TACC2/BNIP3/RRM1/KCNC1/PAX6/SLC1A2/RTN4RL2/GDPD5/DIXDC1/DRD2/NRGN/FEZ1/CDON/KIRREL3/ETS1/KCNA1/LRP6/KRAS/LRRK2/SLC38A2/WNT1/LRP1/GLI1/AVPR1A/FRS2/KCNC2/APAF1/ASCL1/RFX4/TCTN1/LHX5/TBX3/KDM2B/RAN/GSX1/DCLK1/PCDH9/POU4F1/SLITRK5/DCT/METTL3/NKX2-1/SSTR1/BMP4/OTX2/HIF1A/SYNE2/SLC8A3/PSEN1/NUMB/GSC/BCL11B/CCDC85C/ARHGAP11B/DUOX2/ALDH1A2/SEMA7A/NR2F2/ALDH1A3/C16orf45/NDE1/SALL1/RPGRIP1L/GNAO1/BBS2/CSNK2A2/CDH1/PHLPP2/YWHAE/PAFAH1B1/NDEL1/NF1/MYO1D/LHX1/RARA/HAP1/CNP/KAT2A/EZH1/IGF2BP1/NOG/SSTR2/ADCYAP1/TWSG1/CDH2/RAX/SALL3/NUMBL/XRCC1/ARHGAP35/MBOAT7/CSNK2A1/BMP2/PLCB1/MKKS/BTBD3/XRN2/SSTR4/E2F1/SLC32A1/C21orf91/APP/OLIG2/GART/NF2/SUN2/SHANK3/PTCHD1/ARX/NR0B1/OPHN1/ATRX/ATP7A/POU3F4/HPRT1/FGF13/SOX3,307
GO_BP,GO:0035107,appendage morphogenesis,130/12175,146/16591,2.53803964300935e-06,0.00444389346918986,0.00423589500416204,SKI/ECE1/HDAC1/ALX3/GJA5/PBX1/PRRX1/PLXNA2/FLVCR1/TGFB2/SOX11/MYCN/OSR1/WDPCP/CYP26B1/AFF3/BCL2L11/EN1/GLI2/SP9/EVX2/HOXD13/HOXD10/HOXD12/HOXD9/IHH/TRAF3IP1/WNT7A/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/MSX1/WDR19/FRAS1/BMPR1B/LEF1/PITX2/INTU/SFRP2/HAND2/NIPBL/FGF10/FBN2/PITX1/MSX2/TFAP2A/SOX4/RUNX2/TFAP2B/HDAC2/TBC1D32/GJA1/GNA12/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/SEMA3C/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/ASPH/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/PCSK5/GNAQ/ROR2/PTCH1/DKK1/BMPR1A/FBXW4/FGFR2/ALX4/LRP4/LRP5/C2CD3/ZBTB16/CACNA1C/LRP6/COL2A1/HOXC11/HOXC10/ALX1/CHST11/TBX5/TBX3/FGF9/FREM2/ZNF219/BMP4/PSEN1/GREM1/FMN1/ALDH1A2/CREBBP/SALL1/RPGRIP1L/TMEM231/MYH3/B9D1/MED1/WNT3/NOG/TBX2/TBX4/SOX9/RNF165/SMAD4/SALL3/MEGF8/IFT52/SALL4/BMP7/GNAS/ATRX/GPC3,130
GO_BP,GO:0035108,limb morphogenesis,130/12175,146/16591,2.53803964300935e-06,0.00444389346918986,0.00423589500416204,SKI/ECE1/HDAC1/ALX3/GJA5/PBX1/PRRX1/PLXNA2/FLVCR1/TGFB2/SOX11/MYCN/OSR1/WDPCP/CYP26B1/AFF3/BCL2L11/EN1/GLI2/SP9/EVX2/HOXD13/HOXD10/HOXD12/HOXD9/IHH/TRAF3IP1/WNT7A/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/MSX1/WDR19/FRAS1/BMPR1B/LEF1/PITX2/INTU/SFRP2/HAND2/NIPBL/FGF10/FBN2/PITX1/MSX2/TFAP2A/SOX4/RUNX2/TFAP2B/HDAC2/TBC1D32/GJA1/GNA12/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/SEMA3C/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/ASPH/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/PCSK5/GNAQ/ROR2/PTCH1/DKK1/BMPR1A/FBXW4/FGFR2/ALX4/LRP4/LRP5/C2CD3/ZBTB16/CACNA1C/LRP6/COL2A1/HOXC11/HOXC10/ALX1/CHST11/TBX5/TBX3/FGF9/FREM2/ZNF219/BMP4/PSEN1/GREM1/FMN1/ALDH1A2/CREBBP/SALL1/RPGRIP1L/TMEM231/MYH3/B9D1/MED1/WNT3/NOG/TBX2/TBX4/SOX9/RNF165/SMAD4/SALL3/MEGF8/IFT52/SALL4/BMP7/GNAS/ATRX/GPC3,130
GO_BP,GO:0048736,appendage development,150/12175,171/16591,3.60647092127078e-06,0.00444389346918986,0.00423589500416204,SKI/ECE1/HDAC1/ALX3/GJA5/SLC39A1/PBX1/PRRX1/PLXNA2/FLVCR1/TGFB2/SOX11/MYCN/OSR1/IFT172/WDPCP/CYP26B1/AFF3/BCL2L11/EN1/GLI2/ITGA6/SP9/EVX2/HOXD13/HOXD10/HOXD12/HOXD9/BMPR2/IHH/TRAF3IP1/WNT7A/KAT2B/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/MSX1/WDR19/FRAS1/BMPR1B/LEF1/PITX2/BBS7/INTU/SFRP2/HAND2/NIPBL/FGF10/PAM/FBN2/PITX1/MSX2/TFAP2A/SOX4/RUNX2/TFAP2B/HDAC2/TBC1D32/GJA1/GNA12/MEOX2/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/SEMA3C/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/ASPH/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/PCSK5/GNAQ/ROR2/PTCH1/RC3H2/DKK1/BMPR1A/FBXW4/FGFR2/ALX4/LRP4/LRP5/C2CD3/ZBTB16/CACNA1C/LRP6/COL2A1/KRT84/HOXC13/HOXC11/HOXC10/ALX1/CHST11/TBX5/TBX3/PRKAB1/FGF9/FREM2/ZNF219/BMP4/SMOC1/PSEN1/GREM1/FMN1/ALDH1A2/NR2F2/CREBBP/SALL1/RPGRIP1L/TMEM231/MED31/MYH3/B9D1/MED1/RARA/KAT2A/WNT3/NOG/TBX2/TBX4/SOX9/RNF165/SMAD4/RAX/SALL3/MEGF8/RSPO4/IFT52/SALL4/BMP7/GNAS/KREMEN1/ATRX/GPC3,150
GO_BP,GO:0060173,limb development,150/12175,171/16591,3.60647092127078e-06,0.00444389346918986,0.00423589500416204,SKI/ECE1/HDAC1/ALX3/GJA5/SLC39A1/PBX1/PRRX1/PLXNA2/FLVCR1/TGFB2/SOX11/MYCN/OSR1/IFT172/WDPCP/CYP26B1/AFF3/BCL2L11/EN1/GLI2/ITGA6/SP9/EVX2/HOXD13/HOXD10/HOXD12/HOXD9/BMPR2/IHH/TRAF3IP1/WNT7A/KAT2B/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/MSX1/WDR19/FRAS1/BMPR1B/LEF1/PITX2/BBS7/INTU/SFRP2/HAND2/NIPBL/FGF10/PAM/FBN2/PITX1/MSX2/TFAP2A/SOX4/RUNX2/TFAP2B/HDAC2/TBC1D32/GJA1/GNA12/MEOX2/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/SEMA3C/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/ASPH/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/PCSK5/GNAQ/ROR2/PTCH1/RC3H2/DKK1/BMPR1A/FBXW4/FGFR2/ALX4/LRP4/LRP5/C2CD3/ZBTB16/CACNA1C/LRP6/COL2A1/KRT84/HOXC13/HOXC11/HOXC10/ALX1/CHST11/TBX5/TBX3/PRKAB1/FGF9/FREM2/ZNF219/BMP4/SMOC1/PSEN1/GREM1/FMN1/ALDH1A2/NR2F2/CREBBP/SALL1/RPGRIP1L/TMEM231/MED31/MYH3/B9D1/MED1/RARA/KAT2A/WNT3/NOG/TBX2/TBX4/SOX9/RNF165/SMAD4/RAX/SALL3/MEGF8/RSPO4/IFT52/SALL4/BMP7/GNAS/KREMEN1/ATRX/GPC3,150
GO_BP,GO:0043583,ear development,175/12175,203/16591,7.17745165297197e-06,0.00737004660566005,0.00702508820560186,ECE1/C1QB/EPHB2/HPCA/MYCL/KCNQ4/ROR1/MCOLN3/COL11A1/VANGL2/PRRX1/MAPKAPK2/PROX1/KCNK2/USH2A/TGFB2/WNT3A/MYCN/OSR1/KCNK3/SIX2/OTX1/WDPCP/ATP6V1B1/BCL2L11/PAX8/INSIG2/GLI2/MYO3B/PRKRA/NEUROD1/FRZB/SLC4A7/WNT5A/HESX1/LRIG1/MCM2/GATA2/ZIC1/CLRN1/SOX2/OPA1/HES1/MSX1/CYTL1/NKX3-2/RBPJ/WDR19/PHOX2B/GRXCR1/ATOH1/SEC24B/CCNA2/FAT4/NIPBL/FGF10/TIFAB/NEUROG1/POU4F3/PDGFRB/SPARC/GABRB2/FOXI1/TFAP2A/EDN1/SLC44A4/LHFPL5/CLIC5/SLC25A27/BMP5/ATG5/SOBP/HEY2/AHI1/NOX3/DLL1/TWIST1/HOXA1/BMPER/GLI3/CCM2/DLX6/DLX5/SLC26A5/INSIG1/SHH/FGF20/FZD3/FGFR1/CHD7/EYA1/RDH10/OSR2/FZD6/CTHRC1/TMC1/ROR2/ANP32B/NR4A3/LHX3/GATA3/ITGA8/MYO3A/ZEB1/PCDH15/STOX1/CDH23/PAX2/FGFR2/HMX2/HMX3/KCNQ1/CHRNA10/DCHS1/USH1C/LRTOMT/MYO7A/C1QTNF5/CDKN1B/COL2A1/WNT1/LRIG3/LGR5/LIN7A/CEP290/SLC17A8/PTPN11/GJB6/GJB2/FGF9/ATP8A2/FREM2/SPRY2/SLITRK6/BMP4/SIX1/SIX4/TGFB3/ESRRB/TRIP11/GSC/GABRB3/GABRA5/DUOX2/STRA6/NTRK3/ALDH1A3/SALL1/RPGRIP1L/MAF/PAFAH1B1/NTN1/MYO15A/NOG/SOX9/RPL38/SLC9A3R1/USH1G/ATP8B1/BCL2/TSHZ1/CEBPA/BMP2/JAG1/MAFB/SDC4/SOD1/TBX1/MAPK1/BCR/IFT27/TRIOBP/CELSR1/SHROOM2/POU3F4,175
GO_BP,GO:0072001,renal system development,232/12175,276/16591,1.49210037659676e-05,0.010494465448016,0.0100032671959407,TP73/CTNNBIP1/ID3/LIN28A/HEYL/PCSK9/TACSTD2/NFIA/WNT2B/APH1A/VANGL2/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/NID1/KIF26B/SOX11/ID2/ODC1/OSR1/SDC1/SIX2/EPCAM/WDPCP/POU3F3/BCL2L11/PAX8/GLI2/ITGA6/HOXD11/STAT1/CFLAR/CXCR2/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/ACVR2B/CTNNB1/WNT5A/ROBO2/SEC61A1/NPHP3/AGTR1/WWTR1/MME/TIPARP/ADIPOQ/TP63/HES1/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX2/IRX1/ADAMTS16/BASP1/NIPBL/GDNF/FGF10/PTCD2/FOXD1/GCNT4/MEF2C/SMAD5/KLHL3/EGR1/FGF1/PDGFRB/ZNF354A/FOXC1/BMP6/TFAP2A/SOX4/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/SEC63/TCF21/AHI1/DLL1/PDGFA/C1GALT1/HOXA11/BMPER/GLI3/MAGI2/SMO/PODXL/AKR1B1/SHH/ANGPT2/NKX3-1/FGFR1/SFRP1/SOX17/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/GCNT1/PTCH1/TGFBR1/TSC1/GATA3/ITGA8/NRP1/RET/ARID5B/SGPL1/DLG5/ACTA2/CEP55/RBP4/PLCE1/PAX2/LZTS2/EMX2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/LRP4/AQP11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/HOXC11/LGR5/CEP290/DCN/SMAD9/EFNB2/COL4A1/BMP4/SIX1/SIX4/ARG2/TMED10/GREM1/FMN1/FBN1/PYGO1/ALDH1A2/MYO1E/GCNT3/SMAD6/SMAD3/STRA6/IQGAP1/UMOD/SALL1/RPGRIP1L/IRX3/NUP93/PKD1L3/FOXC2/MYOCD/FLCN/NF1/NLE1/LHX1/HNF1B/RARA/WNK4/WNT9B/HOXB7/ITGA3/NOG/ACE/PECAM1/SOX9/JMJD6/GREB1L/SMAD2/SMAD7/SMAD4/BCL2/SERPINB7/NPHS1/BMP2/JAG1/GZF1/SDC4/SULF2/BMP7/ADAMTS1/MPST/PRKX/MAGED1/AMER1/GPC3,232
GO_BP,GO:0030326,embryonic limb morphogenesis,112/12175,126/16591,1.5330334204211e-05,0.010494465448016,0.0100032671959407,SKI/ECE1/HDAC1/ALX3/GJA5/PBX1/PRRX1/FLVCR1/TGFB2/MYCN/OSR1/WDPCP/CYP26B1/AFF3/BCL2L11/EN1/GLI2/SP9/HOXD13/HOXD10/HOXD12/HOXD9/IHH/TRAF3IP1/WNT7A/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/MSX1/WDR19/FRAS1/LEF1/PITX2/INTU/SFRP2/HAND2/NIPBL/FBN2/PITX1/MSX2/TFAP2A/RUNX2/HDAC2/TBC1D32/GJA1/GNA12/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/GNAQ/ROR2/PTCH1/DKK1/BMPR1A/FBXW4/ALX4/LRP4/LRP5/C2CD3/ZBTB16/CACNA1C/LRP6/HOXC11/HOXC10/ALX1/CHST11/TBX5/TBX3/FGF9/FREM2/BMP4/PSEN1/GREM1/ALDH1A2/CREBBP/SALL1/RPGRIP1L/TMEM231/MYH3/B9D1/MED1/WNT3/NOG/TBX2/TBX4/SMAD4/MEGF8/IFT52/SALL4/BMP7/GNAS/GPC3,112
GO_BP,GO:0035113,embryonic appendage morphogenesis,112/12175,126/16591,1.5330334204211e-05,0.010494465448016,0.0100032671959407,SKI/ECE1/HDAC1/ALX3/GJA5/PBX1/PRRX1/FLVCR1/TGFB2/MYCN/OSR1/WDPCP/CYP26B1/AFF3/BCL2L11/EN1/GLI2/SP9/HOXD13/HOXD10/HOXD12/HOXD9/IHH/TRAF3IP1/WNT7A/RARB/CTNNB1/WNT5A/IFT122/MBNL1/SHOX2/TP63/MSX1/WDR19/FRAS1/LEF1/PITX2/INTU/SFRP2/HAND2/NIPBL/FBN2/PITX1/MSX2/TFAP2A/RUNX2/HDAC2/TBC1D32/GJA1/GNA12/TWIST1/SP8/HOXA10/HOXA11/HOXA9/GLI3/DLX6/DLX5/SHH/LMBR1/FGFR1/IMPAD1/CHD7/RDH10/OSR2/GRHL2/FZD6/RSPO2/RECK/GNAQ/ROR2/PTCH1/DKK1/BMPR1A/FBXW4/ALX4/LRP4/LRP5/C2CD3/ZBTB16/CACNA1C/LRP6/HOXC11/HOXC10/ALX1/CHST11/TBX5/TBX3/FGF9/FREM2/BMP4/PSEN1/GREM1/ALDH1A2/CREBBP/SALL1/RPGRIP1L/TMEM231/MYH3/B9D1/MED1/WNT3/NOG/TBX2/TBX4/SMAD4/MEGF8/IFT52/SALL4/BMP7/GNAS/GPC3,112
GO_BP,GO:0001655,urogenital system development,260/12175,312/16591,1.82644128201009e-05,0.0107989765521488,0.0102935255186595,TP73/CTNNBIP1/EPHB2/ID3/LIN28A/HEYL/PCSK9/TACSTD2/NFIA/WDR77/WNT2B/APH1A/VANGL2/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/NID1/KIF26B/SOX11/ID2/ODC1/OSR1/SDC1/SIX2/EPCAM/WDPCP/POU3F3/BCL2L11/PAX8/GLI2/ITGA6/HOXD13/HOXD11/STAT1/CFLAR/CXCR2/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/ACVR2B/CTNNB1/SMARCC1/WNT5A/ROBO2/EAF2/SEC61A1/GATA2/NPHP3/AGTR1/WWTR1/MME/TIPARP/EPHB3/ADIPOQ/TP63/HES1/DLG1/WFS1/PSAPL1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX2/IRX1/ADAMTS16/SRD5A1/BASP1/PRLR/NIPBL/GDNF/FGF10/PTCD2/FOXD1/GCNT4/MEF2C/SMAD5/KLHL3/EGR1/FGF1/PDGFRB/ZNF354A/FOXC1/BMP6/TFAP2A/ID4/SOX4/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/SEC63/TCF21/AHI1/ESR1/DLL1/PDGFA/C1GALT1/HOXA11/BMPER/GLI3/MAGI2/SMO/PODXL/AKR1B1/SHH/ANGPT2/NKX3-1/FGFR1/SFRP1/SOX17/PLAG1/CYP7B1/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/ANXA1/PCSK5/GCNT1/PTCH1/TGFBR1/TNC/TSC1/GATA3/ITGA8/NRP1/RET/ARID5B/SGPL1/DLG5/PTEN/ACTA2/CEP55/RBP4/PLCE1/PAX2/LZTS2/EMX2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/LRP4/AQP11/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/FKBP4/CDKN1B/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/HOXC11/GLI1/FRS2/LGR5/CEP290/DCN/SMAD9/EFNB2/COL4A1/FOXA1/BMP4/SIX1/SIX4/ARG2/TMED10/UBE3A/GREM1/FMN1/FBN1/CYP19A1/PYGO1/ALDH1A2/MYO1E/GCNT3/SMAD6/SMAD3/FEM1B/STRA6/IQGAP1/UMOD/SALL1/RPGRIP1L/IRX3/NUP93/PKD1L3/FOXC2/ALOX15B/MYOCD/FLCN/NF1/NLE1/LHX1/HNF1B/RARA/WNK4/WNT9B/HOXB7/ITGA3/NOG/ACE/PECAM1/SOX9/JMJD6/GREB1L/SMAD2/SMAD7/SMAD4/BCL2/SERPINB5/SERPINB7/NPHS1/BMP2/JAG1/GZF1/SDC4/SULF2/BMP7/ADAMTS1/MPST/PRKX/MAGED1/AMER1/AR/GPC3,260
