ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0001655,urogenital system development,248/10500,312/16591,3.02090068808004e-10,1.86117691392612e-06,1.7120557162761e-06,TP73/EPHB2/ID3/HEYL/PCSK9/TACSTD2/NFIA/WDR77/WNT2B/PYGO2/VANGL2/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/NID1/KIF26B/SOX11/ID2/OSR1/SDC1/SIX2/EPCAM/WDPCP/POU3F3/BCL2L11/PAX8/GLI2/ITGA6/HOXD11/HOXD13/STAT1/CFLAR/CXCR2/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/ACVR2B/CTNNB1/SMARCC1/LAMB2/HYAL2/WNT5A/ROBO2/EAF2/KLF15/SEC61A1/GATA2/NPHP3/AGTR1/WWTR1/MME/TIPARP/EPHB3/ADIPOQ/TP63/HES1/DLG1/WFS1/PSAPL1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX2/IRX1/ADAMTS16/SRD5A1/BASP1/PRLR/NIPBL/FGF10/PTCD2/FOXD1/GCNT4/MEF2C/SMAD5/KLHL3/EGR1/FGF1/PDGFRB/FOXC1/BMP6/TFAP2A/ID4/SOX4/VEGFA/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/SEC63/TCF21/AHI1/ESR1/DACT2/DLL1/C1GALT1/HOXA11/BMPER/GLI3/MAGI2/SMO/PODXL/AKR1B1/SHH/ANGPT2/NKX3-1/FGFR1/SFRP1/SOX17/PLAG1/CYP7B1/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/ANXA1/PCSK5/GCNT1/PTCH1/TGFBR1/TNC/TSC1/RXRA/ITGA8/NRP1/RET/ARID5B/SGPL1/PSAP/DLG5/PTEN/ACTA2/RBP4/PLCE1/PAX2/LZTS2/EMX2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/FKBP4/CDKN1B/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/HOXC11/GLI1/FRS2/LGR5/CEP290/DCN/SMAD9/EFNB2/COL4A1/FOXA1/BMP4/SIX1/SIX4/ARG2/TMED10/UBE3A/GREM1/FMN1/FBN1/CYP19A1/PYGO1/ALDH1A2/MYO1E/GCNT3/FOXB1/SMAD6/SMAD3/FEM1B/STRA6/IQGAP1/SOX8/UMOD/SALL1/RPGRIP1L/IRX3/NUP93/PKD1L3/FOXF1/MYOCD/NF1/NLE1/HNF1B/RARA/WNT9B/HOXB7/ITGA3/SOX9/JMJD6/GREB1L/SMAD2/SMAD7/SMAD4/BCL2/SERPINB5/SERPINB7/BMP2/JAG1/GZF1/BMP7/ADAMTS1/RGN/AMER1/AR/AGTR2/GPC3,248
GO_BP,GO:0030900,forebrain development,283/10500,365/16591,2.34728350781737e-09,7.2308068458314e-06,6.6514602137309e-06,CHD5/DRAXIN/HTR6/EPHB2/KDM1A/ARID1A/POU3F1/MFSD2A/SLC2A1/SZT2/STIL/DMRTA2/LRP8/DAB1/DOCK7/GNG12/LHX8/WNT2B/CHRNB2/LMX1A/TBX19/TNR/UCHL5/ASPM/KIF14/ATP2B4/CNTN2/SRGAP2C/SRGAP2/PROX1/WNT3A/ID2/GDF7/ALK/SRD5A2/SLC8A1/RTN4/PEX13/OTX1/VAX2/EMX1/HTRA2/POU3F3/GLI2/RAB3GAP1/ZEB2/NR4A2/TBR1/SLC4A10/TTC21B/LRP2/DLX1/DLX2/NEUROD1/COL3A1/PGAP1/SATB2/CREB1/ERBB4/ATIC/KIF1A/OXTR/WNT7A/RARB/TOP2B/EOMES/SCN5A/CX3CR1/CTNNB1/SETD2/WNT5A/ROBO2/ROBO1/POU1F1/ARL13B/GSK3B/GATA2/TMEM108/RYK/SOX2/EPHB3/TRA2B/HES1/SLIT2/PPARGC1A/RBPJ/CCKAR/GSX2/EPHA5/UBA6/ANXA3/ATOH1/LEF1/PITX2/METTL14/FAT4/DCLK2/RAPGEF2/CASP3/SLC6A3/SRD5A1/SEMA5A/FGF10/ISL1/PAPD4/CEP120/UQCRQ/CSF1R/DRD1/TMEM14B/ID4/ATAT1/EFHC1/POU3F2/NR2E1/FYN/FABP7/MAS1/NPY/AQP1/GHRHR/INHBA/GLI3/OGDH/EGFR/SEMA3A/CDK6/DLX5/RELN/LAMB1/FOXP2/FEZF1/SMO/PLXNA4/PTN/CNTNAP2/EZH2/HTR5A/SHH/MCPH1/DLC1/PCM1/NKX2-6/NEFL/NRG1/FUT10/FGFR1/TACC1/HOOK3/CHD7/CRH/EXT1/TRAPPC9/NFIB/PAX5/GNAQ/NTRK2/AGTPBP1/SECISBP2/NR4A3/TAL2/LPAR1/DAB2IP/LHX6/LHX2/TSC1/LHX3/KIF5B/NRP1/CXCL12/PRKG1/DKK1/NRG3/BMPR1A/PTEN/SLIT1/ZDHHC16/CRTAC1/EMX2/FGFR2/TACC2/BNIP3/RRM1/KCNC1/PAX6/SLC1A2/RTN4RL2/DIXDC1/DRD2/H2AFX/NRGN/FEZ1/CDON/KIRREL3/ETS1/KCNA1/LRP6/KRAS/LRRK2/SLC38A2/WNT1/GLI1/AVPR1A/FRS2/KCNC2/APAF1/ASCL1/RFX4/TCTN1/LHX5/TBX3/RAN/DCLK1/PCDH9/POU4F1/SLITRK5/DCT/NKX2-1/SSTR1/BMP4/OTX2/HIF1A/SYNE2/SLC8A3/PSEN1/NUMB/GSC/BCL11B/CCDC85C/DUOX2/ALDH1A2/FOXB1/BBS4/SEMA7A/NR2F2/ALDH1A3/C16orf45/NDE1/SALL1/RPGRIP1L/GNAO1/BBS2/CSNK2A2/PHLPP2/RTN4RL1/PAFAH1B1/NF1/MYO1D/CDK5R1/RARA/HAP1/CNP/KAT2A/SSTR2/ADCYAP1/TWSG1/CDH2/RAX/SALL3/XRCC1/MBOAT7/CSNK2A1/BMP2/PLCB1/MKKS/BTBD3/XRN2/SSTR4/SLC32A1/C21orf91/APP/OLIG2/GART/NF2/PTCHD1/ARX/NR0B1/OPHN1/ATRX/ATP7A/POU3F4/FGF13/SOX3,283
GO_BP,GO:0072001,renal system development,218/10500,276/16591,9.88406802079138e-09,2.02985810253652e-05,1.86722183241898e-05,TP73/ID3/HEYL/PCSK9/TACSTD2/NFIA/WNT2B/PYGO2/VANGL2/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/NID1/KIF26B/SOX11/ID2/OSR1/SDC1/SIX2/EPCAM/WDPCP/POU3F3/BCL2L11/PAX8/GLI2/ITGA6/HOXD11/STAT1/CFLAR/CXCR2/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/ACVR2B/CTNNB1/LAMB2/HYAL2/WNT5A/ROBO2/KLF15/SEC61A1/NPHP3/AGTR1/WWTR1/MME/TIPARP/ADIPOQ/TP63/HES1/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX2/IRX1/ADAMTS16/BASP1/NIPBL/FGF10/PTCD2/FOXD1/GCNT4/MEF2C/SMAD5/KLHL3/EGR1/FGF1/PDGFRB/FOXC1/BMP6/TFAP2A/SOX4/VEGFA/TFAP2B/PKHD1/TBX18/EPHA7/SIM1/SEC63/TCF21/AHI1/DACT2/DLL1/C1GALT1/HOXA11/BMPER/GLI3/MAGI2/SMO/PODXL/AKR1B1/SHH/ANGPT2/NKX3-1/FGFR1/SFRP1/SOX17/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/GCNT1/PTCH1/TGFBR1/TSC1/ITGA8/NRP1/RET/ARID5B/SGPL1/DLG5/ACTA2/RBP4/PLCE1/PAX2/LZTS2/EMX2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/HOXC11/LGR5/CEP290/DCN/SMAD9/EFNB2/COL4A1/BMP4/SIX1/SIX4/ARG2/TMED10/GREM1/FMN1/FBN1/PYGO1/ALDH1A2/MYO1E/GCNT3/SMAD6/SMAD3/STRA6/IQGAP1/SOX8/UMOD/SALL1/RPGRIP1L/IRX3/NUP93/PKD1L3/FOXF1/MYOCD/NF1/NLE1/HNF1B/RARA/WNT9B/HOXB7/ITGA3/SOX9/JMJD6/GREB1L/SMAD2/SMAD7/SMAD4/BCL2/SERPINB7/BMP2/JAG1/GZF1/BMP7/ADAMTS1/RGN/AMER1/AGTR2/GPC3,218
GO_BP,GO:0001822,kidney development,205/10500,260/16591,3.52080122843554e-08,5.42291409209785e-05,4.98841942470973e-05,TP73/ID3/HEYL/PCSK9/TACSTD2/WNT2B/PYGO2/VANGL2/PBX1/NPHS2/REN/CD34/PROX1/CENPF/TGFB2/AGT/NID1/KIF26B/SOX11/ID2/OSR1/SDC1/SIX2/EPCAM/WDPCP/POU3F3/BCL2L11/PAX8/GLI2/HOXD11/STAT1/CFLAR/CXCR2/EPHA4/COL4A4/COL4A3/TRAF3IP1/RARB/ACVR2B/CTNNB1/LAMB2/HYAL2/ROBO2/KLF15/SEC61A1/NPHP3/AGTR1/WWTR1/MME/TIPARP/ADIPOQ/HES1/DLG1/WFS1/PROM1/SLIT2/PDGFRA/PPAT/FRAS1/PKD2/NPNT/ENPEP/FGF2/SPRY1/FAT4/SMAD1/DCHS2/HPGD/IRX2/IRX1/ADAMTS16/BASP1/NIPBL/FGF10/PTCD2/FOXD1/GCNT4/MEF2C/SMAD5/KLHL3/EGR1/FGF1/PDGFRB/FOXC1/BMP6/TFAP2A/SOX4/VEGFA/TFAP2B/PKHD1/EPHA7/SIM1/TCF21/AHI1/DACT2/DLL1/C1GALT1/HOXA11/BMPER/GLI3/MAGI2/SMO/PODXL/AKR1B1/SHH/ANGPT2/NKX3-1/FGFR1/SFRP1/SULF1/EYA1/RDH10/CA2/CALB1/OSR2/RRM2B/ANGPT1/HAS2/MTSS1/MYC/CER1/TEK/PCSK5/GCNT1/PTCH1/TGFBR1/TSC1/ITGA8/NRP1/RET/ARID5B/SGPL1/DLG5/ACTA2/PLCE1/PAX2/LZTS2/FGFR2/ILK/DCHS1/LGR4/WT1/CAT/YAP1/PDGFD/ACAT1/ZBTB16/KIRREL3/PTPRO/KCNJ8/LRRK2/WNT1/AQP2/HOXC11/CEP290/DCN/SMAD9/EFNB2/BMP4/SIX1/SIX4/ARG2/TMED10/GREM1/FMN1/FBN1/PYGO1/ALDH1A2/MYO1E/GCNT3/SMAD6/SMAD3/STRA6/IQGAP1/SOX8/UMOD/SALL1/RPGRIP1L/IRX3/NUP93/PKD1L3/NF1/NLE1/HNF1B/RARA/WNT9B/HOXB7/ITGA3/SOX9/JMJD6/GREB1L/SMAD2/SMAD7/SMAD4/BCL2/SERPINB7/BMP2/JAG1/GZF1/BMP7/ADAMTS1/RGN/AMER1/AGTR2/GPC3,205
GO_BP,GO:0021537,telencephalon development,186/10500,236/16591,1.58816006361979e-07,0.000195693083039231,0.000180013763842715,HTR6/EPHB2/KDM1A/MFSD2A/SLC2A1/SZT2/DMRTA2/LRP8/DAB1/GNG12/LMX1A/TNR/UCHL5/ASPM/KIF14/ATP2B4/CNTN2/SRGAP2C/SRGAP2/PROX1/WNT3A/ID2/ALK/SRD5A2/SLC8A1/RTN4/PEX13/EMX1/POU3F3/ZEB2/TBR1/DLX1/DLX2/NEUROD1/COL3A1/ERBB4/ATIC/OXTR/RARB/EOMES/SCN5A/CX3CR1/CTNNB1/WNT5A/ROBO2/ROBO1/ARL13B/GSK3B/TMEM108/RYK/EPHB3/TRA2B/HES1/SLIT2/GSX2/EPHA5/UBA6/ANXA3/ATOH1/LEF1/FAT4/DCLK2/CASP3/SRD5A1/PAPD4/CEP120/UQCRQ/CSF1R/DRD1/TMEM14B/ID4/ATAT1/EFHC1/POU3F2/NR2E1/MAS1/NPY/AQP1/INHBA/GLI3/OGDH/EGFR/SEMA3A/CDK6/DLX5/RELN/LAMB1/FOXP2/FEZF1/SMO/PLXNA4/CNTNAP2/EZH2/HTR5A/SHH/MCPH1/NEFL/NRG1/FUT10/TACC1/CHD7/EXT1/TRAPPC9/NFIB/PAX5/NTRK2/AGTPBP1/SECISBP2/NR4A3/LPAR1/DAB2IP/LHX6/LHX2/TSC1/KIF5B/NRP1/CXCL12/NRG3/PTEN/ZDHHC16/CRTAC1/EMX2/TACC2/BNIP3/PAX6/SLC1A2/RTN4RL2/DIXDC1/DRD2/H2AFX/NRGN/FEZ1/CDON/KIRREL3/KCNA1/LRP6/LRRK2/SLC38A2/AVPR1A/ASCL1/RFX4/TCTN1/LHX5/RAN/SLITRK5/NKX2-1/BMP4/HIF1A/SYNE2/SLC8A3/PSEN1/NUMB/BCL11B/CCDC85C/FOXB1/BBS4/SEMA7A/ALDH1A3/C16orf45/NDE1/SALL1/RPGRIP1L/BBS2/CSNK2A2/PHLPP2/RTN4RL1/PAFAH1B1/NF1/CDK5R1/RARA/KAT2A/CDH2/SALL3/XRCC1/MBOAT7/CSNK2A1/BMP2/PLCB1/MKKS/BTBD3/XRN2/SLC32A1/GART/NF2/ARX/FGF13,186
GO_BP,GO:0048839,inner ear development,142/10500,177/16591,6.82430201631367e-07,0.000700742078708475,0.000644597229049698,C1QB/EPHB2/GRHL3/HPCA/KCNQ4/ROR1/MCOLN3/COL11A1/VANGL2/PRRX1/MAPKAPK2/PROX1/KCNK2/USH2A/TGFB2/WNT3A/MYCN/KCNK3/OTX1/WDPCP/ATP6V1B1/PAX8/INSIG2/GLI2/MYO3B/NEUROD1/FRZB/SLC4A7/WNT5A/LRIG1/MCM2/GATA2/ZIC1/CLRN1/SOX2/OPA1/HES1/CYTL1/RBPJ/CHRNA9/PHOX2B/GRXCR1/ATOH1/SEC24B/CCNA2/FAT4/FGF10/TIFAB/NEUROG1/CXCL14/POU4F3/PDGFRB/SPARC/GABRB2/FOXI1/TFAP2A/LHFPL5/CLIC5/SLC25A27/ATG5/SOBP/HEY2/AHI1/NOX3/DLL1/HOXA1/BMPER/GLI3/CCM2/DLX6/DLX5/SLC26A5/INSIG1/SHH/FGF20/FZD3/FGFR1/CHD7/EYA1/FZD6/TMC1/ROR2/ANP32B/NR4A3/LHX3/ITGA8/MYO3A/ZEB1/PCDH15/STOX1/CDH23/PAX2/FGFR2/HMX2/HMX3/CHRNA10/DCHS1/USH1C/LRTOMT/MYO7A/CDKN1B/WNT1/LRIG3/LGR5/LIN7A/CEP290/SLC17A8/GJB6/GJB2/FGF9/ATP8A2/FREM2/SPRY2/SLITRK6/BMP4/SIX1/SIX4/ESRRB/TRIP11/GABRB3/GABRA5/DUOX2/NTRK3/ALDH1A3/RPGRIP1L/MAF/ABR/PAFAH1B1/NTN1/TCAP/SOX9/SLC9A3R1/ATP8B1/CEBPA/BMP2/JAG1/MAFB/SOD1/TBX1/BCR/CELSR1/POU3F4,142
GO_BP,GO:0043583,ear development,160/10500,203/16591,1.14363344324163e-06,0.00100656080625881,0.000925913151641044,ECE1/C1QB/EPHB2/GRHL3/HPCA/KCNQ4/ROR1/MCOLN3/COL11A1/VANGL2/PRRX1/MAPKAPK2/PROX1/KCNK2/USH2A/TGFB2/WNT3A/MYCN/OSR1/KCNK3/SIX2/OTX1/WDPCP/ATP6V1B1/BCL2L11/PAX8/INSIG2/GLI2/MYO3B/PRKRA/NEUROD1/FRZB/SLC4A7/WNT5A/LRIG1/MCM2/GATA2/ZIC1/CLRN1/SOX2/OPA1/HES1/CYTL1/NKX3-2/RBPJ/WDR19/CHRNA9/PHOX2B/GRXCR1/ATOH1/SEC24B/CCNA2/FAT4/NIPBL/FGF10/TIFAB/NEUROG1/CXCL14/POU4F3/PDGFRB/SPARC/GABRB2/FOXI1/TFAP2A/EDN1/LHFPL5/CLIC5/SLC25A27/BMP5/ATG5/SOBP/HEY2/AHI1/NOX3/DLL1/TWIST1/HOXA1/BMPER/GLI3/CCM2/DLX6/DLX5/SLC26A5/INSIG1/SHH/FGF20/FZD3/FGFR1/CHD7/EYA1/RDH10/OSR2/FZD6/TMC1/ROR2/ANP32B/NR4A3/LHX3/ITGA8/MYO3A/ZEB1/PCDH15/STOX1/CDH23/PAX2/FGFR2/HMX2/HMX3/CHRNA10/DCHS1/USH1C/LRTOMT/MYO7A/CDKN1B/WNT1/LRIG3/LGR5/LIN7A/CEP290/SLC17A8/GJB6/GJB2/FGF9/ATP8A2/FREM2/SPRY2/SLITRK6/BMP4/SIX1/SIX4/ESRRB/TRIP11/GSC/GABRB3/GABRA5/DUOX2/STRA6/NTRK3/ALDH1A3/SALL1/RPGRIP1L/MAF/ABR/PAFAH1B1/NTN1/TCAP/SOX9/SLC9A3R1/ATP8B1/BCL2/TSHZ1/CEBPA/BMP2/JAG1/MAFB/SOD1/TBX1/BCR/CELSR1/POU3F4,160
GO_BP,GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,123/10500,152/16591,1.59866217809219e-06,0.00123116970990325,0.00113252594300636,CADM3/IGSF9/CD84/GYPC/PTPN23/ROBO2/ROBO1/CADM2/CD200/PIK3CB/CLSTN2/PCDH7/FAT4/PCDH10/PCDH18/DCHS2/TENM3/FAT1/CDH18/CDH12/CDH10/CDH9/CDH6/PCDHA10/PCDHA6/PCDHA1/PCDHA9/PCDHAC1/PCDHAC2/PCDHA4/PCDHA3/PCDHA2/PCDHA13/PCDHA12/PCDHA11/PCDHA8/PCDHA7/PCDHA5/PCDHB8/PCDHB7/PCDHB6/PCDHB13/PCDHB12/PCDHB11/PCDHB10/PCDHB9/PCDHB16/PCDHGA1/PCDHGA2/PCDHGB3/PCDHGA6/PCDHGA5/PCDHGA4/PCDHGB2/PCDHGB1/PCDHGA7/PCDHGA3/PCDHGB4/PCDHGA11/PCDHGA12/PCDHGC3/PCDHGA8/PCDHGA9/PCDHGA10/PCDHGC5/PCDHGC4/PCDHGB7/PCDHGB6/PCDHGB5/PCDH1/PCDH12/FAT2/CDHR2/SDK1/CDHR3/CDH17/ITGB1/RET/PCDH15/CDH23/CDHR1/DCHS1/FAT3/CADM1/DSCAML1/MPZL2/CRTAM/ESAM/KIRREL3/IGSF9B/CLSTN3/SMAGP/PCDH8/PCDH17/PCDH20/PCDH9/NPTN/CDH8/CDH11/CDH13/SDK2/PTPRM/CDH2/DSC3/DSC2/DSC1/DSG1/DSG4/DSG3/DSG2/CDH20/CDH7/CDH19/CD226/PVR/PTPRT/CDH22/CDH26/CDH4/DSCAM/CELSR1/PCDH11X/PCDH19,123
GO_BP,GO:0009914,hormone transport,234/10500,311/16591,3.79488222979711e-06,0.00237789331780032,0.00218737177372725,NR0B2/HDAC1/SLC2A1/STXBP3/RAP1A/SLC16A1/ENSA/UBE2Q1/ILDR2/MPC2/CACNA1E/GLUL/KDM5B/KISS1/REN/PFKFB2/AGT/SOX11/VSNL1/KCNS3/FKBP1B/PRKCE/NRXN1/RAB1A/RAB11FIP5/TACR1/VAMP8/ADRA2B/MAP4K4/IL1RN/PAX8/ACVR1C/DPP4/GCG/G6PC2/RAPGEF4/NEUROD1/CREB1/IRS1/PER2/PASK/ITPR1/RAF1/ACVR2B/MYRIP/CACNA2D2/CACNA1D/FAM3D/TMF1/GPR27/STXBP5L/ILDR1/CASR/ADCY5/KALRN/FOXL2/AGTR1/SERP1/P2RY1/SLC2A2/GHSR/ADIPOQ/ADRA2C/CD38/CCKAR/CLOCK/NMU/REST/EPHA5/NKX6-1/SPP1/PPP3CA/SLC9B2/AIMP1/HADH/FGA/FGB/FGG/SLC25A4/C1QTNF3/OXCT1/ISL1/NDUFAF2/HTR1A/CARTPT/FOXD1/HMGCR/CRHBP/PDE8B/EFNA5/GDF9/BMP6/EDN1/SOX4/GPLD1/HFE/ITPR3/PPARD/GLP1R/TFAP2B/HMGN3/CYB5R4/CNR1/SLC16A10/MARCKS/RFX6/GJA1/MYB/VIP/SLC22A1/ICA1/NPVF/GHRHR/INHBA/EGFR/PCLO/ABCB4/SRI/TAC1/CFTR/LEP/PTPRN2/BLK/NKX3-1/RAB11FIP1/FGFR1/SFRP1/OPRK1/LYN/CHD7/CRH/RIMS2/ENY2/SYBU/SLC30A8/NOV/RFX3/JAK2/ANXA1/FAM129B/UCN3/KIF5B/TACR2/MCU/PPP3CB/CAMK2G/RBP4/FFAR4/ABCC2/ADRA2A/TCF7L2/RAB11FIP2/SYT9/ADM/ARNTL/ABCC8/KCNJ11/LRP5/GAL/CPT1A/UCP2/ARRB1/FZD4/MTNR1B/DRD2/C2CD2L/SNX19/CACNA1C/FGF23/KCNA5/SLCO1C1/SLCO1B1/ITPR2/TM7SF3/PFKM/NPFF/IFNG/KCNC2/NR1H4/CRY1/TRPV4/SLC8B1/TBX3/DYNLL1/AACS/PDX1/TNFSF11/HTR2A/ARHGEF7/PCK2/HIF1A/GPR68/SCG5/SNAP23/CYP19A1/MYO5A/RAB8B/CHRNA3/ABAT/CRYM/SMPD3/DOC2B/NOS2/RASL10B/CCL5/HNF1B/STXBP4/PRKCA/C1QTNF1/ADCYAP1/TTR/SMAD2/SMAD4/GRP/MC4R/GALR1/KCNG2/CACNA1A/FFAR2/TRPM4/SNAP25/FOXA2/HNF4A/KCNB1/GNAS/EDN3/TIAM1/ADORA2A/PLA2G6/SLC16A2/SYTL4/BTK/HTR2C/AGTR2,234
GO_BP,GO:0046883,regulation of hormone secretion,195/10500,255/16591,3.85958986820373e-06,0.00237789331780032,0.00218737177372725,NR0B2/HDAC1/SLC2A1/RAP1A/SLC16A1/ENSA/MPC2/CACNA1E/GLUL/KDM5B/KISS1/REN/PFKFB2/AGT/SOX11/VSNL1/KCNS3/FKBP1B/PRKCE/NRXN1/RAB11FIP5/TACR1/VAMP8/ADRA2B/MAP4K4/PAX8/ACVR1C/DPP4/GCG/G6PC2/RAPGEF4/NEUROD1/CREB1/IRS1/PER2/PASK/ITPR1/MYRIP/CACNA2D2/CACNA1D/FAM3D/TMF1/GPR27/STXBP5L/ILDR1/CASR/ADCY5/KALRN/FOXL2/AGTR1/SERP1/P2RY1/SLC2A2/GHSR/ADIPOQ/ADRA2C/CD38/CCKAR/CLOCK/NMU/REST/EPHA5/NKX6-1/SPP1/PPP3CA/SLC9B2/AIMP1/HADH/FGA/FGB/FGG/SLC25A4/C1QTNF3/OXCT1/ISL1/NDUFAF2/HTR1A/CARTPT/HMGCR/CRHBP/PDE8B/EFNA5/GDF9/BMP6/EDN1/SOX4/GPLD1/HFE/ITPR3/PPARD/GLP1R/TFAP2B/HMGN3/CNR1/MARCKS/RFX6/GJA1/MYB/ICA1/NPVF/GHRHR/INHBA/EGFR/SRI/TAC1/CFTR/LEP/BLK/NKX3-1/RAB11FIP1/FGFR1/SFRP1/OPRK1/CHD7/CRH/ENY2/SYBU/SLC30A8/NOV/RFX3/JAK2/ANXA1/UCN3/KIF5B/TACR2/MCU/PPP3CB/RBP4/ADRA2A/TCF7L2/SYT9/ARNTL/ABCC8/KCNJ11/LRP5/GAL/CPT1A/UCP2/ARRB1/MTNR1B/DRD2/C2CD2L/CACNA1C/FGF23/KCNA5/ITPR2/TM7SF3/PFKM/NPFF/IFNG/KCNC2/NR1H4/CRY1/SLC8B1/DYNLL1/AACS/PDX1/TNFSF11/HTR2A/ARHGEF7/PCK2/HIF1A/GPR68/SCG5/CYP19A1/RAB8B/CHRNA3/ABAT/DOC2B/NOS2/RASL10B/CCL5/STXBP4/PRKCA/C1QTNF1/ADCYAP1/SMAD4/GRP/GALR1/KCNG2/CACNA1A/FFAR2/TRPM4/SNAP25/FOXA2/HNF4A/KCNB1/GNAS/EDN3/TIAM1/ADORA2A/PLA2G6/SYTL4/HTR2C/AGTR2,195
