GO_BP_terms,_cp_1;all_genes,_cp_1;_cp_HiC_all,_cp_2;_cp_1,_cp_3;_cp_1,_cp_4;_cp_1,_cp_5;_cp_1,_cp_6;_cp_1,_cp_7;_cp_1,_cp_8;_cp_1,_cp_9;_cp_1,_cp_10;_cp_1,_cp_11;_cp_1,_cp_12;_cp_1,_cp_13;_cp_1,_cp_14;_cp_1,_cp_15;_cp_1,_cp_16;_cp_1,_cp_17;_cp_1,_cp_18;_cp_1,_cp_19;_cp_1,_cp_20;_cp_1,_cp_21;_cp_1
activation of MAPKK activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0271075133154302,0.000714043378498726,NA
adherens junction organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0237311798457913,NA
appendage development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00669748948441676,0.016087682832536,NA
appendage morphogenesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00521796179239595,0.0134289414036868,NA
axon development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000744682203707956,0.0158108795963278
axon guidance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00124876226932668,0.0158108795963278
axonogenesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000302595525752783,0.0102048947732963
branch elongation of an epithelium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0226384981940909,NA,NA
cell proliferation involved in heart morphogenesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0109003575347672,NA,NA
cell recognition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0483400653639328
cell-cell adhesion via plasma-membrane adhesion molecules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0297003580191691,NA,0.0439110680039817
cell-cell signaling by wnt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181210593489997,NA
cell-matrix adhesion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0283801142872582,NA
cellular potassium ion transport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0181210593489997,NA
chondrocyte differentiation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0182201902126038,NA
dendrite development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0386615264010606,0.000744682203707956,0.000582752400373168
dendrite extension,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0449096648960812
dendrite morphogenesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00612603656840349,0.0102048947732963
dephosphorylation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0357693082493646,NA,NA,NA,0.0271075133154302,NA,NA
development of primary sexual characteristics,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0402350181279778,NA,NA
developmental cell growth,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0395939636411398
developmental growth involved in morphogenesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0128365084978942,0.0180257485867049
developmental pigmentation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0237311798457913,NA
diencephalon development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00813525571376227,NA,NA
ear development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0105834105679903,NA,NA,0.00239035100953456,0.0181210593489997,NA
embryonic appendage morphogenesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026496088610761,NA,NA
embryonic limb morphogenesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026496088610761,NA,NA
epithelial cell proliferation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0324294279312089,NA,NA
epithelial tube morphogenesis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0247971353706352,NA,NA
eye development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0386615264010606,NA,NA
forebrain development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0357693082493646,0.0105834105679903,0.0122340441178391,NA,8.26158832373256e-05,0.000819424193282159,NA
gamma-aminobutyric acid signaling pathway,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0230653376042861,0.0332758725304239,NA
gland development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00669748948441676,0.0216065837419902,NA
heart valve development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0334465214270014,NA
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0395939636411398
homophilic cell adhesion via plasma membrane adhesion molecules,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00521796179239595,NA,NA
hormone secretion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0421076040744884,NA
hormone transport,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0334465214270014,NA
inner ear development,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0105834105679903,NA,NA,0.00252897906495585,0.00355089629584299,NA
insulin secretion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0439110680039817
