GO_MF_terms,_cp_1;all_genes,_cp_1;_cp_HiC_all,_cp_2;_cp_1,_cp_3;_cp_1,_cp_4;_cp_1,_cp_5;_cp_1,_cp_6;_cp_1,_cp_7;_cp_1,_cp_8;_cp_1,_cp_9;_cp_1,_cp_10;_cp_1,_cp_11;_cp_1,_cp_12;_cp_1,_cp_13;_cp_1,_cp_14;_cp_1,_cp_15;_cp_1,_cp_16;_cp_1,_cp_17;_cp_1,_cp_18;_cp_1,_cp_19;_cp_1,_cp_20;_cp_1,_cp_21;_cp_1
1-phosphatidylinositol binding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0450983517168749,NA
calcium channel activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0250424275545844,NA
calcium ion transmembrane transporter activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0370753541172191,NA
cation channel activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0012621646604175,0.00648050920062085
cation:cation antiporter activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030818914253043
channel activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00307571629434082,0.00864105086652571
extracellular ligand-gated ion channel activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0247479554186241
extracellularly glutamate-gated ion channel activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00667162200557423
GABA receptor activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0448168531989361,NA
GABA-gated chloride ion channel activity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0169044239164781,NA
