ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_BP,GO:0051962,positive regulation of nervous system development,239/6357,477/16598,7.05433796300585e-08,0.000196477255134268,0.000182561712048085,KDM1A/MACF1/HEYL/DMRTA2/DAB1/LRRC7/NEGR1/LPAR3/RAP1A/NGF/S100A9/BRINP2/BRINP3/SYT2/SRGAP2C/PLXNA2/PROX1/ARF1/TRIM67/DISC1/SOX11/KIDINS220/ITSN2/NRXN1/ACTR2/LRRTM1/GLI2/CXCR4/ZEB2/LRP2/DLX1/NFE2L2/NEUROD1/ZNF804A/BMPR2/VWC2L/FN1/XRCC5/EPHA4/SERPINE2/OXTR/PPARG/WNT7A/RARB/GOLGA4/CX3CR1/CTNNB1/TRAK1/LRTM1/WNT5A/ROBO2/ROBO1/EPHA3/KALRN/EPHB1/NCK1/CLSTN2/SHOX2/SLITRK3/SERPINI1/PRKCI/SKIL/ECT2/NLGN1/ETV5/BCL6/IL1RAP/OPA1/SLIT2/GSX2/KIT/RUFY3/SCARB2/GRID2/ATOH1/EGF/NDNF/IL2/POU4F2/TLR2/RAPGEF2/VEGFC/TENM3/SEMA5A/NIPBL/IL6ST/MAP1B/ARSB/MEF2C/EFNA5/MAN2A1/SEMA6A/FBXO38/TUBB2B/BMP6/CPNE5/BMP5/BEND6/RIMS1/TPBG/CNR1/UFL1/SNX3/FIG4/FYN/HDAC2/MYB/OPRM1/TMEM106B/GLI3/VWC2/COBL/MAGI2/HGF/SEMA3A/FZD1/PPP1R9A/RELN/NRCAM/LRRN3/PLXNA4/BRAF/NEFL/PTK2B/FZD3/NRG1/STAR/LYN/PLAG1/STMN2/RIMS2/VLDLR/KDM4C/PTPRD/PLAA/LINGO2/NTRK2/SEMA4D/LPAR1/TRIM32/BRINP1/RAPGEF1/ZEB1/NRP1/PARD3/RET/CXCL12/ZNF488/ZNF365/LRRTM3/DLG5/PTEN/ANKRD1/CPEB3/PAX2/MOB2/APBB1/ILK/BDNF/PAX6/CAPRIN1/PAK1/TENM4/FZD4/VSTM5/TRPC6/CDON/CAPRIN2/CNTN1/TWF1/AVIL/LLPH/GRIP1/RAB21/SYT1/SOCS2/PLXNC1/ASCL1/CUX2/FBXW8/RNF10/ATP8A2/WASF3/SLITRK1/SLITRK6/SLITRK5/DCT/LIG4/PRKD1/BMP4/PRKCH/HIF1A/PSEN1/NUMB/FLRT2/CYFIP1/MAPK6/TCF12/RAB11A/MAP2K1/NPTN/NTRK3/SYT17/GPRC5B/EEF2K/IRX3/IST1/ASPA/CYB5D2/ASIC2/RARA/ITGA3/SPAG9/MMD/ADCYAP1/RIT2/SYT4/TCF4/NEDD4L/BCL2/CBLN2/ANKRD27/SHANK1/BMP2/FLRT3/SYNDIG1/DNMT3B/ZMYND8/BMP7/CDH4/C21orf91/APP/TIAM1/DSCAM/CSNK1E/IL1RAPL1/ZC4H2/TRPC5/SLITRK4,239
GO_BP,GO:0010720,positive regulation of cell development,245/6357,492/16598,9.42237181387693e-08,0.000196477255134268,0.000182561712048085,CDC42/KDM1A/MACF1/HEYL/DMRTA2/DAB1/LRRC7/NEGR1/LPAR3/RAP1A/NGF/S100A9/MYOC/MIR199A2/BRINP2/BRINP3/SYT2/SRGAP2C/PLXNA2/PROX1/ARF1/TRIM67/DISC1/TRIM58/SOX11/KIDINS220/ITSN2/ACTR2/BMP10/LIMS1/GLI2/PROC/CXCR4/ZEB2/LRP2/DLX1/NFE2L2/NEUROD1/ZNF804A/BMPR2/VWC2L/FN1/XRCC5/EPHA4/SERPINE2/PPARG/RARB/GOLGA4/CX3CR1/CTNNB1/TRAK1/WNT5A/LMOD3/ROBO2/ROBO1/EPHA3/KALRN/NCK1/SHOX2/SERPINI1/PRKCI/SKIL/ECT2/NLGN1/ETV5/BCL6/IL1RAP/OPA1/SLIT2/GSX2/KIT/RUFY3/SCARB2/ATOH1/SLC9B2/PDE5A/NDNF/IL2/POU4F2/TLR2/FGA/FGB/FGG/RAPGEF2/VEGFC/TENM3/SEMA5A/NIPBL/IL6ST/MAP1B/ARSB/MEF2C/EFNA5/MAN2A1/SEMA6A/FBXO38/TUBB2B/RREB1/BMP6/CPNE5/BMP5/BEND6/RIMS1/CNR1/UFL1/SNX3/FIG4/FYN/HDAC2/MYB/OPRM1/TMEM106B/GLI3/VWC2/COBL/MAGI2/SEMA3C/HGF/SEMA3A/FZD1/PPP1R9A/RELN/NRCAM/PLXNA4/BRAF/NEFL/DOCK5/PTK2B/FZD3/NRG1/STAR/LYN/PLAG1/STMN2/RIMS2/VLDLR/RFX3/KDM4C/PTPRD/PLAA/NTRK2/SEMA4D/LPAR1/TRIM32/BRINP1/ABL1/RAPGEF1/ZEB1/NRP1/RET/CXCL12/ZNF488/ZNF365/DLG5/PTEN/ANKRD1/CPEB3/DOCK1/MOB2/APBB1/ILK/MYOD1/BDNF/PAX6/CAPRIN1/PAK1/TENM4/FZD4/TRPC6/CDON/PDE3A/CAPRIN2/CNTN1/TWF1/AVIL/LLPH/GRIP1/RAB21/SYT1/MYF5/MYF6/SOCS2/PLXNC1/IGF1/ASCL1/CUX2/FBXW8/ATP8A2/TNFSF11/SLITRK1/MIR19A/MIR19B1/DCT/LIG4/ARHGEF7/PRKD1/AKAP6/BMP4/PRKCH/HIF1A/PSEN1/NUMB/GPR68/CYFIP1/MAPK6/TCF12/RAB11A/MAP2K1/NPTN/NTRK3/SYT17/GPRC5B/EEF2K/IRX3/IST1/ASPA/CYB5D2/RARA/ITGA3/SPAG9/MMD/ADCYAP1/RIT2/SYT4/TCF4/NEDD4L/BCL2/ANKRD27/SHANK1/BMP2/DNMT3B/ZMYND8/PREX1/AURKA/BMP7/CDH4/C21orf91/APP/TIAM1/DSCAM/CSNK1E/IL1RAPL1/ZC4H2/TRPC5/MIR19B2,245
GO_BP,GO:0045666,positive regulation of neuron differentiation,174/6357,332/16598,9.57491496755692e-08,0.000196477255134268,0.000182561712048085,KDM1A/MACF1/HEYL/DAB1/LRRC7/NEGR1/LPAR3/RAP1A/NGF/S100A9/BRINP2/BRINP3/SYT2/PLXNA2/PROX1/ARF1/TRIM67/SOX11/KIDINS220/ITSN2/ACTR2/GLI2/ZEB2/DLX1/NFE2L2/NEUROD1/ZNF804A/BMPR2/VWC2L/FN1/EPHA4/RARB/GOLGA4/TRAK1/WNT5A/ROBO2/ROBO1/EPHA3/KALRN/NCK1/SHOX2/SERPINI1/PRKCI/SKIL/ECT2/NLGN1/ETV5/BCL6/IL1RAP/OPA1/SLIT2/RUFY3/SCARB2/ATOH1/NDNF/IL2/POU4F2/RAPGEF2/TENM3/SEMA5A/MAP1B/ARSB/MEF2C/EFNA5/FBXO38/TUBB2B/BMP6/CPNE5/BMP5/BEND6/RIMS1/CNR1/SNX3/FIG4/FYN/TMEM106B/VWC2/COBL/MAGI2/HGF/FZD1/PPP1R9A/RELN/NRCAM/PLXNA4/BRAF/NEFL/PTK2B/NRG1/LYN/STMN2/RIMS2/VLDLR/KDM4C/PTPRD/PLAA/NTRK2/SEMA4D/LPAR1/TRIM32/BRINP1/RAPGEF1/ZEB1/NRP1/RET/CXCL12/DLG5/PTEN/ANKRD1/CPEB3/MOB2/APBB1/ILK/BDNF/CAPRIN1/PAK1/FZD4/TRPC6/CDON/CAPRIN2/CNTN1/TWF1/AVIL/LLPH/GRIP1/RAB21/SYT1/SOCS2/PLXNC1/ASCL1/CUX2/FBXW8/ATP8A2/SLITRK1/PRKD1/BMP4/PSEN1/CYFIP1/MAPK6/TCF12/RAB11A/MAP2K1/NPTN/NTRK3/SYT17/GPRC5B/EEF2K/IRX3/IST1/CYB5D2/RARA/ITGA3/SPAG9/MMD/ADCYAP1/RIT2/SYT4/TCF4/NEDD4L/BCL2/ANKRD27/SHANK1/BMP2/DNMT3B/ZMYND8/BMP7/CDH4/C21orf91/TIAM1/DSCAM/CSNK1E/IL1RAPL1/ZC4H2/TRPC5,174
GO_BP,GO:0050769,positive regulation of neurogenesis,212/6357,419/16598,1.49888399945621e-07,0.00023067824751631,0.000214340411922238,KDM1A/MACF1/HEYL/DMRTA2/DAB1/LRRC7/NEGR1/LPAR3/RAP1A/NGF/S100A9/BRINP2/BRINP3/SYT2/SRGAP2C/PLXNA2/PROX1/ARF1/TRIM67/DISC1/SOX11/KIDINS220/ITSN2/ACTR2/GLI2/CXCR4/ZEB2/LRP2/DLX1/NFE2L2/NEUROD1/ZNF804A/BMPR2/VWC2L/FN1/XRCC5/EPHA4/SERPINE2/PPARG/RARB/GOLGA4/CX3CR1/CTNNB1/TRAK1/WNT5A/ROBO2/ROBO1/EPHA3/KALRN/NCK1/SHOX2/SERPINI1/PRKCI/SKIL/ECT2/NLGN1/ETV5/BCL6/IL1RAP/OPA1/SLIT2/GSX2/KIT/RUFY3/SCARB2/ATOH1/NDNF/IL2/POU4F2/TLR2/RAPGEF2/VEGFC/TENM3/SEMA5A/NIPBL/IL6ST/MAP1B/ARSB/MEF2C/EFNA5/MAN2A1/SEMA6A/FBXO38/TUBB2B/BMP6/CPNE5/BMP5/BEND6/RIMS1/CNR1/UFL1/SNX3/FIG4/FYN/HDAC2/MYB/OPRM1/TMEM106B/GLI3/VWC2/COBL/MAGI2/HGF/SEMA3A/FZD1/PPP1R9A/RELN/NRCAM/PLXNA4/BRAF/NEFL/PTK2B/FZD3/NRG1/STAR/LYN/PLAG1/STMN2/RIMS2/VLDLR/KDM4C/PTPRD/PLAA/NTRK2/SEMA4D/LPAR1/TRIM32/BRINP1/RAPGEF1/ZEB1/NRP1/RET/CXCL12/ZNF488/ZNF365/DLG5/PTEN/ANKRD1/CPEB3/MOB2/APBB1/ILK/BDNF/PAX6/CAPRIN1/PAK1/TENM4/FZD4/TRPC6/CDON/CAPRIN2/CNTN1/TWF1/AVIL/LLPH/GRIP1/RAB21/SYT1/SOCS2/PLXNC1/ASCL1/CUX2/FBXW8/ATP8A2/SLITRK1/DCT/LIG4/PRKD1/BMP4/PRKCH/HIF1A/PSEN1/NUMB/CYFIP1/MAPK6/TCF12/RAB11A/MAP2K1/NPTN/NTRK3/SYT17/GPRC5B/EEF2K/IRX3/IST1/ASPA/CYB5D2/RARA/ITGA3/SPAG9/MMD/ADCYAP1/RIT2/SYT4/TCF4/NEDD4L/BCL2/ANKRD27/SHANK1/BMP2/DNMT3B/ZMYND8/BMP7/CDH4/C21orf91/APP/TIAM1/DSCAM/CSNK1E/IL1RAPL1/ZC4H2/TRPC5,212
GO_BP,GO:0010975,regulation of neuron projection development,219/6357,436/16598,1.93774810531088e-07,0.000238575546725876,0.000221678383247565,KDM1A/MACF1/DAB1/LRRC7/NEGR1/LPAR3/GFI1/RAP1A/NGF/S100A9/CHRNB2/PRRX1/DNM3/TNR/CAMSAP2/SYT2/CNTN2/SRGAP2C/PLXNA2/ARF1/TRIM67/KIDINS220/ITSN2/BCL11A/ACTR2/MAP4K4/ZEB2/TBR1/CHN1/NFE2L2/ZNF804A/HECW2/TRAK2/BMPR2/MAP2/FN1/EPHA4/NGEF/WNT7A/GOLGA4/ULK4/TRAK1/SEMA3F/WNT5A/PTPRG/ROBO2/ROBO1/EPHA3/KALRN/NCK1/SHOX2/SERPINI1/PRKCI/SKIL/TNIK/NLGN1/FXR1/IL1RAP/OSTN/OPA1/SLIT2/RUFY3/SCARB2/PAQR3/SPP1/GRID2/PDLIM5/PPP3CA/NDNF/IL2/POU4F2/SFRP2/RAPGEF2/TENM3/SEMA5A/PLK2/ZSWIM6/MAP1B/ARSB/MEF2C/NR2F1/EFNA5/WDR36/FSTL4/SPOCK1/FBXO38/TUBB2B/MYLIP/KIAA0319/SYNGAP1/CPNE5/BMP5/RIMS1/CNR1/EPHA7/RTN4IP1/NR2E1/SNX3/FIG4/FYN/HDAC2/UST/TMEM106B/HECW1/COBL/MAGI2/SEMA3C/HGF/SEMA3E/SEMA3A/SEMA3D/FZD1/PPP1R9A/RELN/NRCAM/IFRD1/PLXNA4/BRAF/NEFL/DPYSL2/PTK2B/NRG1/SFRP1/LYN/STMN2/SDC2/RIMS2/CSMD3/ASAP1/KANK1/VLDLR/PTPRD/PLAA/NTRK2/SEMA4D/LPAR1/ABL1/RAPGEF1/TSC1/OLFM1/GATA3/VIM/SLC39A12/NRP1/RET/CXCL12/ZNF365/DLG5/PTEN/ANKRD1/CPEB3/INPP5F/MOB2/APBB1/ILK/DENND5A/BDNF/CAPRIN1/LRRC4C/PAK1/FZD4/TRPC6/FKBP4/PTPRO/CAPRIN2/LRRK2/CNTN1/TWF1/AVIL/LLPH/GRIP1/RAB21/SYT1/PLXNC1/CUX2/FBXW8/ATP8A2/RNF6/SLITRK1/RAP2A/STK24/EFNB2/NFATC4/PRKD1/SIPA1L1/PSEN1/CYFIP1/MAPK6/RAB11A/MAP2K1/NPTN/NTRK3/SYT17/EEF2K/IST1/ARHGAP44/SSH2/ITGA3/ADCYAP1/CDH2/RIT2/SYT4/DCC/NEDD4L/ANKRD27/SHANK1/SNAP25/ZMYND8/PREX1/BMP7/CDH4/C21orf91/CHODL/TIAM1/DSCAM/YWHAH/FBXO7/IL1RAPL1/TRPC5,219
GO_BP,GO:0007409,axonogenesis,223/6357,447/16598,2.94927413014408e-07,0.000302595525752783,0.000281164133740402,MACF1/DAB1/DOCK7/LPAR3/NTNG1/NRAS/NGF/CHRNB2/LMX1A/TNN/TNR/LHX4/NFASC/CNTN2/PLXNA2/TBCE/FEZ2/SOS1/NRXN1/SPTBN1/B3GNT2/CTNNA2/GLI2/CXCR4/ZEB2/KIF5C/NR4A2/TBR1/CHN1/TRAK2/ALS2/BMPR2/RAPH1/NRP2/CREB1/MAP2/FN1/EPHA4/CHL1/CNTN4/WNT7A/TOP2B/GOLGA4/TRAK1/CCK/SEMA3F/WNT5A/ROBO2/ROBO1/ALCAM/BOC/GAP43/SEMA5B/RYK/EPHB1/SIAH2/SHOX2/SLITRK3/SKIL/PIK3CA/SLIT2/APBB2/EPHA5/RUFY3/SPP1/ATOH1/BMPR1B/UNC5C/COL25A1/GAB1/POU4F2/SEMA5A/ZSWIM6/LRRC70/PIK3R1/MAP1B/FOXD1/EFNA5/WDR36/SEMA6A/FSTL4/POU4F3/CSF1R/CYFIP2/SLIT3/TUBB2B/RANBP9/FLOT1/SYNGAP1/LRFN2/EPHA7/NR2E1/FYN/LAMA2/UST/EZR/ETV1/ISPD/GLI3/ADCY1/COBL/AUTS2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/DLX5/RELN/NRCAM/IFRD1/PTPRZ1/PLXNA4/BRAF/NEFL/DPYSL2/FZD3/NRG1/UNC5D/MATN2/EXT1/VLDLR/NFIB/C9orf72/LINGO2/NTRK2/SHC3/SEMA4D/ECM2/PTCH1/LHX2/SPTAN1/ABL1/OLFM1/LHX3/PRKCQ/GATA3/ITGB1/NRP1/PARD3/RET/CXCL12/DRGX/ANK3/PTEN/SLIT1/PAX2/GFRA1/FGFR2/APBB1/ILK/OR10A4/BDNF/PAX6/LRRC4C/LRRC55/SPTBN2/PAK1/PICALM/NCAM1/DSCAML1/ROBO3/PTPRO/KRAS/FRS2/RAB21/EPYC/KERA/LUM/PLXNC1/NTN4/ATP8A2/RNF6/DCLK1/POU4F1/SLITRK1/SLITRK6/SLITRK5/EFNB2/NKX2-8/LRFN5/ATL1/OTX2/SPTB/SIPA1L1/PSEN1/NUMB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/CYFIP1/NDN/RAB11A/MAP2K1/NEO1/NTRK3/CDH11/IST1/SSH2/ERBB2/CNP/PRKCA/PTPRM/CDH2/RNF165/SMAD4/DCC/BCL2/DOK6/FLRT3/PLCG1/DOK5/BMP7/CDH4/APP/TIAM1/DSCAM/NEFH/SH3KBP1/OPHN1/TRPC5/SLITRK4,223
GO_BP,GO:0000186,activation of MAPKK activity,38/6357,53/16598,8.11940163984906e-07,0.000714043378498726,0.000663471105427666,RAP1A/NGF/KIDINS220/MAP3K2/RAF1/TNIK/MAP3K13/LAMTOR3/EGF/MAP3K1/CARTPT/F2R/MAP3K7/MAP3K5/GRM1/MAP3K4/EGFR/BRAF/ADAM9/MOS/STK3/JAK2/TGFBR1/RAPGEF1/MAP3K8/ERCC6/LRRK2/MAP3K12/FRS2/TAOK3/BMP4/MAP3K9/PSEN1/TAOK1/PLCG1/STK4/MAP3K7CL/MAP3K15,38
GO_BP,GO:0061564,axon development,237/6357,485/16598,1.00280329242562e-06,0.000744682203707956,0.000691939929371265,MACF1/DAB1/DOCK7/LPAR3/NTNG1/NRAS/NGF/CHRNB2/LMX1A/TNN/TNR/LHX4/CAMSAP2/NFASC/CNTN2/PLXNA2/TBCE/MTR/FEZ2/SOS1/NRXN1/SPTBN1/B3GNT2/CTNNA2/GLI2/CXCR4/ZEB2/KIF5C/NR4A2/TBR1/CHN1/TRAK2/ALS2/BMPR2/RAPH1/NRP2/CREB1/MAP2/FN1/EPHA4/CHL1/CNTN4/WNT7A/TOP2B/GOLGA4/TRAK1/CCK/SEMA3F/WNT5A/ROBO2/ROBO1/EPHA3/ALCAM/BOC/GAP43/SEMA5B/RYK/EPHB1/SIAH2/SHOX2/SLITRK3/SKIL/PIK3CA/SLIT2/APBB2/EPHA5/RUFY3/SPP1/ATOH1/BMPR1B/UNC5C/COL25A1/GAB1/POU4F2/SEMA5A/ZSWIM6/LRRC70/PIK3R1/MAP1B/FOXD1/EFNA5/WDR36/NREP/SEMA6A/FSTL4/POU4F3/CSF1R/CYFIP2/SLIT3/TUBB2B/RANBP9/FLOT1/SYNGAP1/LRFN2/CNR1/EPHA7/NR2E1/FYN/LAMA2/UST/EZR/ETV1/ISPD/GLI3/ADCY1/COBL/AUTS2/SEMA3C/SEMA3E/SEMA3A/SEMA3D/DLX5/RELN/NRCAM/IFRD1/PTPRZ1/PLXNA4/BRAF/NEFM/NEFL/DPYSL2/FZD3/NRG1/UNC5D/MATN2/EXT1/VLDLR/JAK2/NFIB/C9orf72/LINGO2/NTRK2/SHC3/SEMA4D/ECM2/PTCH1/TNC/TRIM32/LHX2/SPTAN1/ABL1/OLFM1/LHX3/PRKCQ/GATA3/ITGB1/NRP1/PARD3/RET/CXCL12/DRGX/ANK3/PTEN/SLIT1/CRTAC1/PAX2/GFRA1/INPP5F/FGFR2/APBB1/ILK/OR10A4/BDNF/PAX6/LRRC4C/LRRC55/SPTBN2/PAK1/PICALM/NCAM1/DSCAML1/ROBO3/JAM3/PTPRO/KRAS/FRS2/RAB21/EPYC/KERA/LUM/PLXNC1/NTN4/ATP8A2/RNF6/DCLK1/POU4F1/SLITRK1/SLITRK6/SLITRK5/STK24/EFNB2/NKX2-8/LRFN5/ATL1/OTX2/SPTB/SIPA1L1/PSEN1/NUMB/NRXN3/FLRT2/RPS6KA5/BCL11B/EVL/CYFIP1/NDN/RAB11A/MAP2K1/NEO1/NTRK3/CDH11/IST1/SSH2/ERBB2/CNP/PRKCA/PTPRM/CDH2/RNF165/SMAD4/DCC/BCL2/DOK6/FLRT3/PLCG1/DOK5/BMP7/CDH4/NCAM2/APP/TIAM1/DSCAM/NEFH/SH3KBP1/OPHN1/TRPC5/SLITRK4,237
GO_BP,GO:0016358,dendrite development,116/6357,213/16598,1.08871667208765e-06,0.000744682203707956,0.000691939929371265,CDC42/DAB1/CHRNB2/DNM3/CAMSAP2/SRGAP2C/SRGAP2/ARF1/KIDINS220/BCL11A/ACTR2/CTNNA2/NCK2/HECW2/TRAK2/MAP2/EPHA4/DOCK10/NGEF/WNT7A/TRAK1/KALRN/EPHB1/TNIK/NLGN1/FXR1/MAP6D1/IL1RAP/OPA1/UBA6/PDLIM5/PPP3CA/IL2/RAPGEF2/CTNND2/PLK2/MAP1B/MEF2C/FSTL4/DTNBP1/DCDC2/KIAA0319/SYNGAP1/BMP5/RTN4IP1/NR2E1/FYN/HDAC2/ARID1B/TMEM106B/HECW1/COBL/SEMA3A/PPP1R9A/RELN/WASL/NRG1/PREX2/SDC2/MATN2/CSMD3/ASAP1/VLDLR/PTPRD/SEMA4D/GRIN3A/LPAR1/ITGB1/NRP1/PRKG1/ZNF365/DLG5/PTEN/CPEB3/ILK/CAPRIN1/PICALM/TRPC6/CAPRIN2/LRRK2/LLPH/GRIP1/RAB21/CUX2/FBXW8/DCLK1/KLHL1/SLITRK5/RAP2A/FARP1/NFATC4/SIPA1L1/PSEN1/CYFIP1/CHRNA7/FMN1/MAPK6/MEF2A/EEF2K/ARHGAP44/DCC/NEDD4L/ANKRD27/SHANK1/BTBD3/ZMYND8/PREX1/BMP7/C21orf91/APP/TIAM1/DSCAM/YWHAH/RBFOX2/IL1RAPL1/TRPC5,116
GO_BP,GO:0030900,forebrain development,184/6357,365/16598,1.33109842963314e-06,0.000819424193282159,0.000761388301750154,KDM1A/ARID1A/MFSD2A/SLC2A1/DMRTA2/DAB1/DOCK7/GNG12/LHX8/WNT2B/CHRNB2/LMX1A/TBX19/TNR/UCHL5/ATP2B4/CNTN2/SRGAP2C/SRGAP2/PROX1/ALK/SRD5A2/SLC8A1/EMX1/GLI2/ZEB2/NR4A2/TBR1/SLC4A10/TTC21B/LRP2/DLX1/NEUROD1/COL3A1/PGAP1/SATB2/CREB1/ERBB4/ATIC/OXTR/WNT7A/RARB/TOP2B/EOMES/SCN5A/CX3CR1/CTNNB1/WNT5A/ROBO2/ROBO1/POU1F1/ARL13B/GSK3B/TMEM108/RYK/SLIT2/PPARGC1A/RBPJ/GSX2/EPHA5/UBA6/ANXA3/ATOH1/LEF1/PITX2/METTL14/FAT4/DCLK2/RAPGEF2/SRD5A1/SEMA5A/CEP120/CSF1R/ID4/EFHC1/NR2E1/FYN/FABP7/AQP1/INHBA/GLI3/OGDH/EGFR/SEMA3A/CDK6/DLX5/RELN/LAMB1/FOXP2/PLXNA4/CNTNAP2/HTR5A/MCPH1/DLC1/PCM1/NEFL/NRG1/FUT10/TACC1/CHD7/CRH/EXT1/TRAPPC9/NFIB/GNAQ/NTRK2/AGTPBP1/SECISBP2/TAL2/LPAR1/LHX6/LHX2/TSC1/LHX3/NRP1/CXCL12/PRKG1/NRG3/PTEN/SLIT1/CRTAC1/FGFR2/TACC2/RRM1/KCNC1/PAX6/DIXDC1/H2AFX/CDON/KIRREL3/ETS1/KCNA1/LRP6/KRAS/LRRK2/WNT1/FRS2/KCNC2/APAF1/ASCL1/TBX3/KDM2B/DCLK1/PCDH9/POU4F1/SLITRK5/DCT/BMP4/OTX2/HIF1A/SYNE2/SLC8A3/PSEN1/NUMB/BCL11B/ALDH1A2/NR2F2/RPGRIP1L/GNAO1/BBS2/MYO1D/RARA/CNP/KAT2A/SSTR2/ADCYAP1/CDH2/XRCC1/MBOAT7/CSNK2A1/BMP2/PLCB1/MKKS/BTBD3/XRN2/SSTR4/C21orf91/APP/PTCHD1/NR0B1/OPHN1/ATRX/POU3F4/SOX3,184
