ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0043235,receptor complex,111/3006,370/17308,1.13751013293105e-09,7.78056930924838e-07,7.23216968726688e-07,LEPR/OLFM3/NOTCH2/DDR2/CR1L/ALK/CD8B/LRP1B/ACVR2A/ACVR1C/LRP2/ITGA6/CALCRL/HSPD1/NRP2/ERBB4/VWC2L/EPHA4/IRS1/GRM7/VIPR1/EPHA3/EPHA6/GABRR3/IMPG2/ALCAM/TRAT1/CD200R1/RYK/EPHB1/NLGN1/PEX5L/BST1/KCTD8/GABRA2/GABRA4/GABRB1/PDGFRA/KDR/GRID2/BMPR1B/MTTP/NPNT/NR3C2/GRIA2/MTNR1A/LIFR/OSMR/DAB2/GHR/ITGA1/ITGA2/KCTD16/GRIA1/GABRB2/GABRA1/HFE/EPHA7/GPR63/GRIK2/ROS1/ITGB8/VWC2/EGFR/CD36/CALCR/LMTK2/MET/GPR37/PLXNA4/PTPRN2/LYN/SDCBP/VLDLR/NTRK2/ROR2/TGFBR1/GRIN3A/MUSK/ITGB1/NRP1/SORBS1/FGFR2/CD44/SHANK2/DLG2/GRIA4/HTR3B/HTR3A/GRIK4/GRIN2B/EPS8/ITPR2/CAPRIN2/ITGA5/NT5DC3/FLT1/SLITRK5/TSHR/GABRB3/GABRG3/ITGA11/NTRK3/IGF1R/SHISA9/CACNG3/RFFL/CACNG7/APP/GRIK1/GRIA3,111
GO_CC,GO:0098794,postsynapse,122/3006,441/17308,3.53331612873047e-08,8.51201737542004e-06,7.91206293437012e-06,CDC42/EPB41/DAB1/DNAJC6/PDE4B/LRRC7/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/SLC8A1/BCL11A/LRRTM4/CTNNA2/NCK2/ZNF804A/ALS2/MAP2/EPHA4/DOCK10/ITPR1/GRM7/GABRR3/GSK3B/P2RY1/NLGN1/KCTD8/GABRA2/GABRA4/GABRB1/GRID2/PDLIM5/PPP3CA/ANK2/GLRB/GRIA2/GLRA3/GPM6A/DROSHA/F2R/MEF2C/SPOCK1/KCTD16/GLRA1/GRIA1/GABRB2/GABRA1/TENM2/DTNBP1/EPHA7/GRIK2/FYN/LAMA2/UTRN/SYNE1/MAGI2/PCLO/GRM3/SRI/PPP1R9A/PRKAR2B/KCND2/CADPS2/DGKI/KCNU1/LYN/BAALC/ASAP1/NTRK2/GRIN3A/MUSK/ITGB1/ANK3/LRRTM3/DLG5/GRID1/SORCS3/ADD3/KCNA4/LRRC4C/SHANK2/DLG2/GRM5/GRIA4/HTR3B/HTR3A/GRIK4/ARHGAP32/GRIN2B/EPS8/KCNC2/ATP2B1/ANKS1B/NOS1/KCTD12/FARP1/GPHN/SLC8A3/GABRB3/GABRG3/SHC4/SHISA9/CACNG3/NETO2/ARHGAP44/ASIC2/HCRT/DLGAP1/CDH2/PRKCG/CACNG7/PLCB4/SNAP25/SYNDIG1/APP/GRIK1/SYN3/NLGN4X/FRMPD4/GLRA2/GRIA3,122
GO_CC,GO:0097060,synaptic membrane,92/3006,308/17308,3.7333409541316e-08,8.51201737542004e-06,7.91206293437012e-06,RIMS3/LRRC7/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/SLC8A1/NRXN1/LRRTM4/EPHA4/GRM7/ERC2/GABRR3/P2RY1/NLGN1/KCTD8/GABRA2/GABRA4/GABRB1/GRID2/PDLIM5/ANK2/GLRB/GRIA2/CPE/GLRA3/IL31RA/F2R/SNCAIP/KCTD16/GLRA1/GRIA1/GABRB2/GABRA1/TENM2/DTNBP1/RIMS1/EPHA7/GRIK2/UTRN/SYNE1/GRM3/KCND2/CADPS2/GRM8/DGKI/KCNU1/BAALC/RIMS2/NTRK2/GRIN3A/MUSK/DENND1A/ITGB1/ANK3/LRRTM3/DLG5/GRID1/LRRC4C/SHANK2/DLG2/GRM5/GRIA4/HTR3B/HTR3A/GRIK4/ARHGAP32/GRIN2B/KCNC2/SYT1/ATP2B1/ANKS1B/KCTD12/GPHN/GABRB3/GABRG3/SHC4/SHISA9/CACNG3/DLGAP1/CDH2/PRKCG/CACNG7/SNAP25/FLRT3/SYNDIG1/GRIK1/NLGN4X/GLRA2/CASK/GRIA3,92
GO_CC,GO:0034703,cation channel complex,68/3006,211/17308,9.54506410555086e-08,1.54516504525015e-05,1.43625682876437e-05,PDE4B/OLFM3/KCND3/NOS1AP/LRRC52/KCNT2/CNTN2/KCNH1/KCNK2/RYR2/DPP10/KCNJ3/SCN3A/SCN2A/SCN7A/VWC2L/SCN5A/SCN10A/CACNA1D/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/CAMK2D/GRIA2/HCN1/PDE4D/GRIA1/KCNQ5/GRIK2/TRDN/VWC2/KCND2/CNTNAP2/DPP6/KCNU1/KCNB2/KCNQ3/GRIN3A/CACNB2/KCNC1/KCNA4/LRRC55/DLG2/GRIA4/HTR3B/HTR3A/GRIK4/KCNJ1/KCNA6/GRIN2B/EPS8/KCNC2/NOS1/MICU2/AKAP6/RYR3/SHISA9/CACNG3/KCNH4/KCNJ16/CACNG7/SNAP25/GRIK1/KCNJ6/TRPC5/GRIA3,68
GO_CC,GO:0045211,postsynaptic membrane,74/3006,237/17308,1.12950661202496e-07,1.54516504525015e-05,1.43625682876437e-05,LRRC7/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/SLC8A1/LRRTM4/EPHA4/GRM7/GABRR3/P2RY1/NLGN1/KCTD8/GABRA2/GABRA4/GABRB1/GRID2/PDLIM5/ANK2/GLRB/GRIA2/GLRA3/F2R/KCTD16/GLRA1/GRIA1/GABRB2/GABRA1/TENM2/DTNBP1/EPHA7/GRIK2/UTRN/SYNE1/GRM3/KCND2/CADPS2/KCNU1/BAALC/NTRK2/GRIN3A/MUSK/ANK3/LRRTM3/DLG5/GRID1/LRRC4C/SHANK2/DLG2/GRM5/GRIA4/HTR3B/HTR3A/GRIK4/ARHGAP32/GRIN2B/KCNC2/ANKS1B/KCTD12/GPHN/GABRB3/GABRG3/SHC4/SHISA9/CACNG3/DLGAP1/CDH2/CACNG7/SYNDIG1/GRIK1/NLGN4X/GLRA2/GRIA3,74
GO_CC,GO:0034702,ion channel complex,85/3006,288/17308,2.16725690055962e-07,2.47067286663796e-05,2.29653187357545e-05,PDE4B/LRRC8D/OLFM3/KCND3/NOS1AP/LRRC52/KCNT2/CNTN2/KCNH1/KCNK2/RYR2/DPP10/KCNJ3/SCN3A/SCN2A/SCN7A/VWC2L/SCN5A/SCN10A/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRA2/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/KCNQ5/GRIK2/TRDN/VWC2/KCND2/CNTNAP2/DPP6/KCNU1/KCNB2/KCNQ3/GRIN3A/CACNB2/KCNC1/KCNA4/LRRC55/SHANK2/DLG2/GRIA4/HTR3B/HTR3A/GRIK4/KCNJ1/KCNA6/ANO2/GRIN2B/EPS8/ANO6/KCNC2/NOS1/MICU2/AKAP6/GABRB3/GABRG3/RYR3/SHISA9/CACNG3/KCNH4/KCNJ16/CACNG7/SNAP25/GRIK1/KCNJ6/GLRA2/TRPC5/GRIA3,85
GO_CC,GO:0044420,extracellular matrix component,43/3006,116/17308,3.13859402831682e-07,3.06685473624101e-05,2.85069292195994e-05,COL11A1/TNR/LAMC2/HMCN1/LAMB3/USH2A/LTBP1/ITGA6/COL5A2/FN1/COL4A4/COL4A3/AMTN/FRAS1/NPNT/FREM3/EGFLAM/EFNA5/FBN2/DST/COL12A1/LAMA4/LAMA2/VWC2/LAMB1/LAMB4/MATN2/COL14A1/FREM1/COL27A1/TNC/SMC3/LUM/NTN4/FREM2/COL4A2/NID2/SMOC1/FBN1/THSD4/ADAMTS1/TIMP3/CASK,43
GO_CC,GO:0005578,proteinaceous extracellular matrix,99/3006,366/17308,2.03149326493526e-06,0.000173692674151965,0.000161450254213276,COL24A1/COL11A1/MYOC/TNR/LAMC2/HMCN1/LRRN2/LAMB3/USH2A/ZP4/LTBP1/ITGA6/COL5A2/FN1/COL4A4/COL4A3/CHL1/WNT7A/ADAMTS9/IMPG2/ZPLD1/SLITRK3/SLIT2/AMTN/ADAMTS3/FRAS1/HPSE/NPNT/NDNF/FREM3/ADAMTS16/ADAMTS12/EGFLAM/VCAN/HAPLN1/EFNA5/LOX/FBN2/ADAMTS19/SPOCK1/COL21A1/DST/COL19A1/COL9A1/COL12A1/IMPG1/LAMA4/LAMA2/VWC2/LAMB1/LAMB4/LRRN3/WNT2/CPA6/MATN2/TNFRSF11B/NOV/COL14A1/COL22A1/FREM1/ADAMTSL1/LINGO2/MAMDC2/COL27A1/TNC/ADAMTSL2/SMC3/TECTB/SPON1/NAV2/LRRC55/MMP3/MMP12/MMP13/ADAMTS20/EPYC/LUM/DCN/NTN4/FREM2/SLITRK5/GPC5/GPC6/COL4A2/LRFN5/NID2/SMOC1/FLRT2/FBN1/GLDN/THSD4/ACAN/GLG1/FLRT3/ADAMTS1/ADAMTS5/TIMP3/NYX/CASK,99
GO_CC,GO:0032279,asymmetric synapse,67/3006,227/17308,4.00410219139957e-06,0.000285632116375493,0.000265499843476143,EPB41/DAB1/DNAJC6/PDE4B/LRRC7/DNM3/SRGAP2/KCNH1/DISC1/CHRM3/BCL11A/CTNNA2/NCK2/ALS2/MAP2/EPHA4/ITPR1/GRM7/P2RY1/NLGN1/GRID2/PDLIM5/GRIA2/DROSHA/SPOCK1/GRIA1/DTNBP1/GRIK2/FYN/MAGI2/PCLO/GRM3/PPP1R9A/KCND2/DGKI/LYN/BAALC/NTRK2/GRIN3A/DLG5/GRID1/SORCS3/ADD3/SHANK2/DLG2/GRM5/GRIA4/GRIK4/ARHGAP32/GRIN2B/EPS8/ANKS1B/NOS1/SHISA9/CACNG3/NETO2/ARHGAP44/DLGAP1/CDH2/PRKCG/CACNG7/PLCB4/SYNDIG1/GRIK1/SYN3/NLGN4X/GRIA3,67
GO_CC,GO:1902495,transmembrane transporter complex,86/3006,312/17308,4.17590813414464e-06,0.000285632116375493,0.000265499843476143,PDE4B/LRRC8D/OLFM3/KCND3/NOS1AP/LRRC52/KCNT2/CNTN2/KCNH1/KCNK2/RYR2/DPP10/KCNJ3/SCN3A/SCN2A/SCN7A/VWC2L/SCN5A/SCN10A/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRA2/GABRA4/GABRB1/GRID2/CAMK2D/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/KCNQ5/GRIK2/TRDN/VWC2/KCND2/CNTNAP2/DPP6/KCNU1/KCNB2/CNGB3/KCNQ3/GRIN3A/CACNB2/KCNC1/KCNA4/LRRC55/SHANK2/DLG2/GRIA4/HTR3B/HTR3A/GRIK4/KCNJ1/KCNA6/ANO2/GRIN2B/EPS8/ANO6/KCNC2/NOS1/MICU2/AKAP6/GABRB3/GABRG3/RYR3/SHISA9/CACNG3/KCNH4/KCNJ16/CACNG7/SNAP25/GRIK1/KCNJ6/GLRA2/TRPC5/GRIA3,86
