ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_MF,GO:0019199,transmembrane receptor protein kinase activity,32/2873,80/16399,1.76007673238926e-06,0.000831868194406186,0.000774137239135333,DDR2/ALK/LTBP1/CRIM1/ACVR2A/ACVR1C/NRP2/ERBB4/EPHA4/EPHA3/EPHA6/RYK/EPHB1/PDGFRA/KDR/BMPR1B/TRIM27/EPHA7/ROS1/SOSTDC1/EGFR/LMTK2/MET/NTRK2/ROR2/TGFBR1/MUSK/NRP1/FGFR2/FLT1/NTRK3/IGF1R,32
GO_MF,GO:0022836,gated channel activity,93/2873,335/16399,1.79095062117634e-06,0.000831868194406186,0.000774137239135333,MCOLN3/CLCA2/KCND3/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/RYR2/KCNJ3/KCNH7/SCN3A/SCN2A/SCN7A/ITPR1/KCNH8/SCN5A/SCN10A/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRA2/GABRA4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/HCN1/GLRA1/GRIA1/GABRB2/GABRA1/KCNQ5/GRIK2/AQP1/KCND2/KCNU1/TRPA1/KCNB2/CNGB3/NCALD/KCNQ3/TRPM3/TMC1/GRIN3A/CACNB2/GRID1/CNGA4/KCNC1/ANO5/ANO3/KCNA4/LRRC55/GRIA4/HTR3B/HTR3A/GRIK4/KCNJ1/KCNA6/ANO2/GRIN2B/ITPR2/ANO6/KCNC2/ANO4/MTMR6/NALCN/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/CACNG3/KCNJ12/KCNJ18/ASIC2/KCNH4/KCNJ16/PIEZO2/CACNG7/GRIK1/KCNJ6/CLCN4/GLRA2/GRIA3,93
GO_MF,GO:0022839,ion gated channel activity,92/2873,332/16399,2.20849963116687e-06,0.000831868194406186,0.000774137239135333,MCOLN3/CLCA2/KCND3/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/RYR2/KCNJ3/KCNH7/SCN3A/SCN2A/SCN7A/ITPR1/KCNH8/SCN5A/SCN10A/CACNA1D/CACNA2D3/GABRR3/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRA2/GABRA4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/HCN1/GLRA1/GRIA1/GABRB2/GABRA1/KCNQ5/GRIK2/AQP1/KCND2/KCNU1/TRPA1/KCNB2/CNGB3/NCALD/KCNQ3/TRPM3/TMC1/GRIN3A/CACNB2/GRID1/CNGA4/KCNC1/ANO5/ANO3/KCNA4/LRRC55/GRIA4/HTR3B/HTR3A/GRIK4/KCNJ1/KCNA6/ANO2/GRIN2B/ITPR2/ANO6/KCNC2/ANO4/MTMR6/NALCN/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/CACNG3/KCNJ12/KCNJ18/ASIC2/KCNH4/KCNJ16/CACNG7/GRIK1/KCNJ6/CLCN4/GLRA2/GRIA3,92
GO_MF,GO:0004709,MAP kinase kinase kinase activity,30/2873,77/16399,6.90762704976693e-06,0.00159390900562127,0.0014832930569312,DDR2/ALK/ERBB4/EPHA4/RAF1/EPHA3/EPHA6/RYK/EPHB1/PDGFRA/KDR/MAP3K1/MAP3K7/EPHA7/ROS1/MAP3K5/MAP3K4/EGFR/LMTK2/MET/STK3/NTRK2/ROR2/MUSK/FGFR2/FLT1/NTRK3/IGF1R/STK4/MAP3K7CL,30
GO_MF,GO:0004714,transmembrane receptor protein tyrosine kinase activity,26/2873,63/16399,8.21617228621343e-06,0.00159390900562127,0.0014832930569312,DDR2/ALK/CRIM1/NRP2/ERBB4/EPHA4/EPHA3/EPHA6/RYK/EPHB1/PDGFRA/KDR/TRIM27/EPHA7/ROS1/EGFR/LMTK2/MET/NTRK2/ROR2/MUSK/NRP1/FGFR2/FLT1/NTRK3/IGF1R,26
GO_MF,GO:0008066,glutamate receptor activity,15/2873,27/16399,8.98368160006672e-06,0.00159390900562127,0.0014832930569312,GRM7/GRID2/GRIA2/GRIA1/GRIK2/GRM3/GRM8/GRIN3A/GRID1/GRM5/GRIA4/GRIK4/GRIN2B/GRIK1/GRIA3,15
GO_MF,GO:0015276,ligand-gated ion channel activity,47/2873,146/16399,1.12843115442214e-05,0.00159390900562127,0.0014832930569312,MCOLN3/CLCA2/KCNJ10/KCNJ9/RYR2/KCNJ3/ITPR1/GABRR3/GABRA2/GABRA4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/GLRA3/HCN1/GLRA1/GRIA1/GABRB2/GABRA1/GRIK2/AQP1/TRPA1/CNGB3/NCALD/GRIN3A/GRID1/CNGA4/GRIA4/HTR3B/HTR3A/GRIK4/KCNJ1/GRIN2B/ITPR2/GABRB3/GABRG3/RYR3/KCNJ12/KCNJ18/ASIC2/KCNJ16/GRIK1/KCNJ6/GLRA2/GRIA3,47
GO_MF,GO:0022834,ligand-gated channel activity,47/2873,146/16399,1.12843115442214e-05,0.00159390900562127,0.0014832930569312,MCOLN3/CLCA2/KCNJ10/KCNJ9/RYR2/KCNJ3/ITPR1/GABRR3/GABRA2/GABRA4/GABRB1/GRID2/ASIC5/GLRB/GRIA2/GLRA3/HCN1/GLRA1/GRIA1/GABRB2/GABRA1/GRIK2/AQP1/TRPA1/CNGB3/NCALD/GRIN3A/GRID1/CNGA4/GRIA4/HTR3B/HTR3A/GRIK4/KCNJ1/GRIN2B/ITPR2/GABRB3/GABRG3/RYR3/KCNJ12/KCNJ18/ASIC2/KCNJ16/GRIK1/KCNJ6/GLRA2/GRIA3,47
GO_MF,GO:0005216,ion channel activity,106/2873,416/16399,2.34201507990596e-05,0.00294053004477082,0.00273645972494276,MCOLN3/CLCA2/LRRC8D/KCND3/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/RYR2/KCNJ3/KCNH7/SCN3A/SCN2A/SCN7A/SLC40A1/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/CACNA1D/CACNA2D3/GABRR3/SLC9C1/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRA2/GABRA4/GABRB1/GRID2/TRPC3/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/GLRA1/GRIA1/GABRB2/GABRA1/KCNQ5/GRIK2/AQP1/KCND2/KCNU1/TRPA1/KCNB2/CNGB3/SLC26A7/NCALD/KCNQ3/SLC24A2/TRPM3/TMC1/GRIN3A/CACNB2/GRID1/CNGA4/KCNC1/ANO5/ANO3/KCNA4/LRRC55/TRPC6/GRIA4/HTR3B/HTR3A/GRIK4/KCNJ1/KCNA6/ANO2/GRIN2B/ITPR2/ANO6/KCNC2/ANO4/MTMR6/NALCN/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/SLC24A5/NOX5/CACNG3/KCNJ12/KCNJ18/ASIC2/KCNH4/KCNJ16/PIEZO2/CACNG7/SLC24A3/GRIK1/KCNJ6/CLCN4/GLRA2/TRPC5/GRIA3,106
GO_MF,GO:0022838,substrate-specific channel activity,108/2873,429/16399,3.40355478219296e-05,0.00384601690387805,0.00357910655516923,MCOLN3/CLCA2/LRRC8D/KCND3/KCNJ10/KCNJ9/LRRC52/KCNT2/KCNH1/KCNK2/RYR2/KCNJ3/KCNH7/SCN3A/SCN2A/SCN7A/SLC40A1/TRPM8/ITPR1/KCNH8/SCN5A/SCN10A/CACNA1D/CACNA2D3/GABRR3/SLC9C1/KCNAB1/KCNMB2/KCNMB3/KCNIP4/GABRA2/GABRA4/GABRB1/GRID2/TRPC3/ASIC5/GLRB/GRIA2/CLCN3/GLRA3/GPM6A/HCN1/GLRA1/GRIA1/GABRB2/GABRA1/KCNQ5/GRIK2/AQP1/KCND2/KCNU1/TRPA1/KCNB2/CNGB3/SLC26A7/NCALD/KCNQ3/SLC24A2/TRPM3/TMC1/GRIN3A/CACNB2/GRID1/CNGA4/KCNC1/ANO5/ANO3/KCNA4/LRRC55/TRPC6/GRIA4/HTR3B/HTR3A/GRIK4/KCNJ1/KCNA6/ANO2/GRIN2B/ITPR2/ANO6/KCNC2/ANO4/MTMR6/NALCN/FAM155A/KCNH5/GABRB3/GABRG3/RYR3/SLC24A5/NOX5/CACNG3/AQP8/KCNJ12/KCNJ18/ASIC2/KCNH4/KCNJ16/PIEZO2/AQP4/CACNG7/SLC24A3/GRIK1/KCNJ6/CLCN4/GLRA2/TRPC5/GRIA3,108
