ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
KEGG,hsa04360,Axon guidance,55/1345,178/7680,7.21237220026201e-06,0.00182707412118263,0.001507238179494,658/91653/817/998/1630/1946/1948/2042/2043/285220/2045/2047/2534/7976/2770/2932/3688/3845/57689/4233/8440/4756/4773/25791/8829/59277/22854/56288/5290/5295/5335/91584/5530/5534/5535/5578/5894/5921/6091/6092/6093/6259/10371/9723/10507/9037/57556/9353/23380/9901/7222/7224/7225/8633/137970,55
KEGG,hsa04730,Long-term depression,24/1345,57/7680,1.14550101641544e-05,0.00182707412118263,0.001507238179494,10672/2770/2775/2890/2891/2892/2895/2977/3479/3480/3708/3709/3845/4067/4842/5321/23236/5332/5578/5579/5582/5592/5593/5894,24
KEGG,hsa04724,Glutamatergic synapse,38/1345,112/7680,1.85467032491239e-05,0.00197213277882351,0.0016269037937828,108/114/776/9229/2744/2770/2775/10681/55970/2890/2891/2892/2893/2897/2898/2900/2904/116443/2913/2915/2917/2918/3708/3709/3760/5321/23236/5332/5530/5534/5535/5567/5578/5579/5582/22941/57084/6505,38
KEGG,hsa04713,Circadian entrainment,33/1345,95/7680,3.78286173912718e-05,0.00301683223695393,0.00248872482837315,108/114/776/51806/817/2770/2775/10681/55970/2890/2891/2892/2893/2904/2977/3708/3760/3763/3765/4543/4544/4842/9722/23236/5332/5567/5578/5579/5582/5592/5593/6262/6263,33
KEGG,hsa04020,Calcium signaling pathway,55/1345,194/7680,0.000105506182415344,0.0066796318801329,0.00551033812913125,108/114/148/147/185/444/490/623/776/51806/57172/817/814/952/1131/57105/1909/1910/1956/2066/2149/9630/2915/3360/3363/3707/3708/3709/55283/340156/4842/5021/5136/5137/5156/23236/5332/5335/89869/5530/5534/5535/5567/5578/5579/5582/5733/5737/6262/6263/83447/6546/6547/10345/7201,55
KEGG,hsa04921,Oxytocin signaling pathway,45/1345,151/7680,0.000125635709344192,0.0066796318801329,0.00551033812913125,108/114/776/55799/783/10368/59284/51806/57172/817/814/952/1956/2770/2775/2977/3708/3709/3768/100134444/3760/3763/3765/3845/5607/4208/340156/4773/5021/5321/23236/5332/4660/5530/5534/5535/5562/5567/5578/5579/5582/5894/6093/6262/6263,45
KEGG,hsa05032,Morphine addiction,30/1345,89/7680,0.00015686371560311,0.007148503611056,0.00589713216553045,108/114/2554/2555/2557/2560/2561/2562/2567/200959/2770/2775/10681/55970/3760/3763/3765/10846/50940/5136/5137/5139/5140/5142/5144/5151/5567/5578/5579/5582,30
KEGG,hsa04720,Long-term potentiation,23/1345,66/7680,0.00052241749668487,0.0208313976803092,0.0171847860751602,114/51806/817/814/2890/2891/2904/2915/3708/3709/3845/23236/5332/5530/5534/5535/5567/5578/5579/5582/5894/5906/6197,23
KEGG,hsa04924,Renin secretion,23/1345,67/7680,0.000665969192689398,0.0236049080519909,0.0194727834119707,185/358/776/51806/9635/1908/1909/2770/2977/3708/3709/5136/5137/5139/5140/23236/5332/5530/5534/5535/5567/5593/5734,23
KEGG,hsa04512,ECM-receptor interaction,28/1345,88/7680,0.000741772570861644,0.0236625450104864,0.0195203308121485,948/960/961/1284/1285/1286/1297/2335/80144/158326/341640/3161/3672/22801/3673/3678/3655/3688/3696/3908/3910/3912/3914/22798/3918/255743/3371/7143,28
