ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0099240,intrinsic component of synaptic membrane,62/3148,161/18497,5.97261934498734e-11,4.54337153573187e-07,4.28959808324722e-07,NTNG1/KCND3/KCNJ9/CNTN2/KCNH1/CHRM3/SLC8A1/NRXN1/KCNJ3/SCN2A/NRP2/ADAM23/ERBB4/EPHA4/CNTN6/SLC6A11/SCN10A/CACNA1D/DRD3/P2RY1/SLITRK3/NLGN1/GABRA4/GRID2/GPM6A/CDH10/GLRA1/GRIA1/GABRB2/GABRA1/EPHA7/GRM3/ADAM22/NRCAM/KCND2/ADRA1A/OPRK1/ADCY8/ITGB1/NRP1/LRRTM3/GRID1/SORCS3/KCNC1/SLC6A5/LRRC4C/CNTN5/HTR3A/GRIK4/CNTN1/ATP2B1/PCDH17/EFNB2/LRFN5/SLC8A3/GABRG3/NTRK3/SHISA9/CACNG3/DCC/CACNG7/FLRT3,62
GO_CC,GO:0097060,synaptic membrane,116/3148,386/18497,1.24292200529084e-10,4.7274538471237e-07,4.46339833794704e-07,NTNG1/KCND3/KCNJ9/CNTN2/SRGAP2/KCNH1/DISC1/CHRM3/SLC8A1/NRXN1/LRRTM4/CTNNA2/KCNJ3/SCN2A/NRP2/ADAM23/ERBB4/EPHA4/CNTN6/GRM7/SLC6A11/SCN10A/CACNA1D/ERC2/GABRR3/DRD3/P2RY1/SLITRK3/NLGN1/KCTD8/GABRA2/GABRA4/GABRB1/GRID2/PDLIM5/ANK2/GLRB/GRIA2/GLRA3/GPM6A/CDH10/IL31RA/F2R/SNCAIP/KCTD16/GLRA1/GRIA1/GABRB2/GABRA1/TENM2/DTNBP1/RIMS1/EPHA7/UTRN/SYNE1/GRM3/ADAM22/NRCAM/KCND2/CADPS2/DGKI/ADRA1A/OPRK1/BAALC/ADCY8/GRIN3A/MUSK/DENND1A/ITGB1/NRP1/ANK3/LRRTM3/DLG5/GRID1/SORCS3/KCNC1/SLC6A5/LRRC4C/SHANK2/CNTN5/GRIA4/HTR3B/HTR3A/GRIK4/ARHGAP32/GRIN2B/CNTN1/GRIP1/KCNC2/SYT1/ATP2B1/ANKS1B/PCDH17/KCTD12/EFNB2/LRFN5/GPHN/SLC8A3/GABRB3/GABRG3/SHC4/NTRK3/SHISA9/CACNG3/CDH8/DLGAP1/DCC/PRKCG/CACNG7/SNAP25/FLRT3/SYNDIG1/NLGN4X/GLRA2/CASK/GRIA3,116
GO_CC,GO:0099699,integral component of synaptic membrane,57/3148,149/18497,4.70649022586235e-10,1.19340903827116e-06,1.12675027407224e-06,KCND3/KCNJ9/KCNH1/CHRM3/SLC8A1/NRXN1/KCNJ3/SCN2A/NRP2/ADAM23/ERBB4/EPHA4/SLC6A11/SCN10A/CACNA1D/DRD3/P2RY1/SLITRK3/NLGN1/GABRA4/GRID2/GPM6A/CDH10/GLRA1/GRIA1/GABRB2/GABRA1/EPHA7/GRM3/ADAM22/NRCAM/KCND2/ADRA1A/OPRK1/ADCY8/ITGB1/NRP1/LRRTM3/GRID1/SORCS3/KCNC1/SLC6A5/LRRC4C/HTR3A/GRIK4/ATP2B1/PCDH17/EFNB2/LRFN5/SLC8A3/GABRG3/NTRK3/SHISA9/CACNG3/DCC/CACNG7/FLRT3,57
GO_CC,GO:0045211,postsynaptic membrane,92/3148,292/18497,7.19458579456013e-10,1.36823035348047e-06,1.29180681253378e-06,KCND3/CNTN2/SRGAP2/KCNH1/DISC1/CHRM3/SLC8A1/LRRTM4/CTNNA2/NRP2/ERBB4/EPHA4/GRM7/SLC6A11/GABRR3/DRD3/P2RY1/SLITRK3/NLGN1/KCTD8/GABRA2/GABRA4/GABRB1/GRID2/PDLIM5/ANK2/GLRB/GRIA2/GLRA3/CDH10/F2R/KCTD16/GLRA1/GRIA1/GABRB2/GABRA1/TENM2/DTNBP1/EPHA7/UTRN/SYNE1/GRM3/ADAM22/NRCAM/KCND2/CADPS2/DGKI/ADRA1A/OPRK1/BAALC/ADCY8/GRIN3A/MUSK/NRP1/ANK3/LRRTM3/DLG5/GRID1/SORCS3/KCNC1/LRRC4C/SHANK2/GRIA4/HTR3B/HTR3A/GRIK4/ARHGAP32/GRIN2B/CNTN1/GRIP1/KCNC2/ANKS1B/PCDH17/KCTD12/EFNB2/LRFN5/GPHN/SLC8A3/GABRB3/GABRG3/SHC4/NTRK3/SHISA9/CACNG3/DLGAP1/DCC/CACNG7/FLRT3/SYNDIG1/NLGN4X/GLRA2/GRIA3,92
GO_CC,GO:0098793,presynapse,121/3148,427/18497,2.72445321861253e-09,4.1449831267971e-06,3.9134619601249e-06,RIMS3/DNAJC6/PDE4B/NTNG1/SEC22B/VPS45/KCNJ10/KCNJ9/VAMP4/DNM3/SYT2/KCNH1/KCNK2/USH2A/DISC1/CHRM3/NRXN1/CTNNA2/TMEM163/KCNJ3/SLC4A10/SCN2A/ZNF804A/SLC40A1/ADAM23/ERBB4/EPHA4/MFF/CNTN6/GRM7/SLC6A11/WNT7A/SCN10A/CCK/CACNA1D/ERC2/CADPS/SYNPR/CASR/RAB6B/P2RY1/MME/NLGN1/KCTD8/GABRA2/SLC9B2/KIAA1109/CLCN3/GPM6A/CDH10/ITGA2/IL31RA/RAB3C/CRHBP/MCTP1/SNCAIP/KCTD16/GLRA1/GRIA1/DTNBP1/SCGN/RIMS1/SLC17A5/GRIK2/MICAL1/ICA1/PCLO/GRM3/SRI/CADPS2/DGKI/PTPRN2/ADRA1A/FZD3/OPRK1/COPS5/RIMS2/ADCY8/SH3GL2/NTRK2/DENND1A/UCN3/CACNB2/CHAT/KCNC1/SLC6A5/SLC17A6/CNTN5/HTR3A/GRIK4/KCNA6/CNTN1/KCNC2/SYT1/PPFIA2/ATP2B1/NOS1/NUFIP1/PCDH17/KCTD12/EFNB2/TRIM9/STON2/GNB5/SYT17/PRKCB/RAB5C/HCRT/SYT4/RAB27B/WDR7/PRKCG/LAMP5/SNAP25/FLRT3/SYNDIG1/APP/ITSN1/SYN3/NLGN4X/CASK,121
GO_CC,GO:0043235,receptor complex,88/3148,290/18497,1.26835330448671e-08,1.60806059787173e-05,1.51824115728295e-05,LEPR/OLFM3/NOTCH2/CR1L/FSHR/CD8B/LRP1B/ACVR2A/ACVR1C/LRP2/ITGA6/CALCRL/HSPD1/NRP2/ERBB4/VWC2L/IRS1/GRM7/VIPR1/IMPG2/ALCAM/TRAT1/CD200R1/NLGN1/PEX5L/BST1/KCTD8/GABRA2/GABRB1/GRID2/BMPR1B/MTTP/NPNT/NR3C2/GRIA2/MTNR1A/LIFR/OSMR/GHR/ITGA1/ITGA2/GRIA1/GABRB2/GABRA1/HFE/GPR63/ITGB8/VWC2/EGFR/CD36/CALCR/GPR37/PLXNA4/PTPRN2/LYN/SDCBP/VLDLR/NTRK2/TGFBR1/GRIN3A/MUSK/ITGB1/NRP1/SORBS1/CD44/SHANK2/GRIA4/HTR3B/HTR3A/GRIN2B/EPS8/ITPR2/CAPRIN2/ITGA5/NT5DC3/FLT1/SLITRK5/TSHR/GABRB3/ITGA11/NTRK3/IGF1R/SHISA9/CACNG3/RFFL/CACNG7/APP/GRIA3,88
GO_BP,GO:0010975,regulation of neuron projection development,119/3148,439/18497,5.72937961555643e-08,5.53333676126767e-05,5.22426805257337e-05,KDM1A/DAB1/NEGR1/LPAR3/RAP1A/CERS2/DNM3/TNR/SYT2/CNTN2/SRGAP2C/MARK1/DISC1/ALK/BCL11A/CTNNA2/MAP4K4/ZEB2/TBR1/ITGA6/CHN1/NFE2L2/ZNF804A/TRAK2/MAP2/FN1/EPHA4/NGEF/WNT7A/GOLGA4/ULK4/TRAK1/PTPRG/ROBO2/ROBO1/EPHA3/GSK3B/RYK/DHX36/NLGN1/OSTN/OPA1/CD38/SLIT2/RUFY3/PAQR3/GRID2/PDLIM5/PPP3CA/NDNF/IL2/TENM3/SEMA5A/PLK2/ARSB/MEF2C/EFNA5/FSTL4/SPOCK1/KIAA0319/MIR133B/RIMS1/EPHA7/FYN/UST/COBL/MAGI2/SEMA3A/PPP1R9A/NRCAM/IFRD1/PLXNA4/CREB3L2/LYN/STMN2/RIMS2/CSMD3/ASAP1/VLDLR/PTPRD/PLAA/NTRK2/SEMA4D/SLC39A12/NRP1/ZNF365/DLG5/ANKRD1/ZFYVE27/BDNF/LRRC4C/FZD4/TRPC6/FKBP4/CAPRIN2/CNTN1/GRIP1/RAB21/SYT1/FBXW8/MYCBP2/EFNB2/MYO9A/NTRK3/SYT17/RIT2/SYT4/DCC/NEDD4L/AP2A1/CACNG7/SNAP25/PREX1/CDH4/ITSN1/DSCAM/KREMEN1/YWHAH/TRPC5,119
GO_BP,GO:0007416,synapse assembly,56/3148,163/18497,5.81920521758135e-08,5.53333676126767e-05,5.22426805257337e-05,DNM3/NRXN1/FZD5/ERBB4/DNER/OXTR/WNT7A/ROBO2/RYK/EPHB1/SLITRK3/NLGN1/IL1RAP/GABRA2/GRID2/PDLIM5/GPM6A/MEF2C/EFNA5/GABRB2/GABRA1/EPHA7/MAGI2/PCLO/PPP1R9A/NRCAM/LRRN3/NRG1/PTPRD/LINGO2/NTRK2/SEMA4D/MUSK/LRRTM3/DLG5/BDNF/SHANK2/CNTN5/KIRREL3/PCDH17/SLITRK5/FARP1/EFNB2/LRFN5/SIX1/FLRT2/GABRB3/NTRK3/ASIC2/CDH2/CBLN2/FLRT3/SYNDIG1/APP/DSCAM/NLGN4X,56
GO_CC,GO:0034702,ion channel complex,75/3148,244/18497,8.22869517611847e-08,6.95507602274813e-05,6.56659499259138e-05,PDE4B/LRRC8D/OLFM3/KCND3/NOS1AP/LRRC52/CNTN2/KCNH1/KCNK2/RYR2/DPP10/KCNJ3/SCN2A/VWC2L/SCN5A/SCN10A/CACNA1D/GABRR3/KCNAB1/NLGN1/KCNMB2/KCNMB3/KCNIP4/GABRA2/GABRA4/GABRB1/GRID2/GLRB/GRIA2/GLRA3/HCN1/PDE4D/GLRA1/GRIA1/GABRB2/GABRA1/KCNQ5/VWC2/KCND2/CNTNAP2/DPP6/KCNB2/KCNQ3/GRIN3A/CACNB2/KCNC1/KCNA4/LRRC55/SHANK2/DLG2/GRIA4/HTR3B/HTR3A/KCNJ1/KCNA6/ANO2/GRIN2B/EPS8/ANO6/KCNC2/NOS1/MICU2/AKAP6/GABRB3/GABRG3/SHISA9/CACNG3/KCNH4/KCNJ16/CACNG7/SNAP25/KCNJ6/GLRA2/TRPC5/GRIA3,75
GO_CC,GO:0098936,intrinsic component of postsynaptic membrane,44/3148,118/18497,1.04664342951573e-07,7.96181656832613e-05,7.51710328377452e-05,KCND3/CNTN2/CHRM3/SLC8A1/NRP2/ERBB4/EPHA4/SLC6A11/DRD3/SLITRK3/NLGN1/GABRA4/GRID2/CDH10/GLRA1/GRIA1/GABRB2/GABRA1/EPHA7/GRM3/ADAM22/NRCAM/KCND2/ADRA1A/OPRK1/NRP1/LRRTM3/GRID1/SORCS3/KCNC1/LRRC4C/HTR3A/GRIK4/CNTN1/PCDH17/EFNB2/LRFN5/SLC8A3/NTRK3/SHISA9/CACNG3/DCC/CACNG7/FLRT3,44
