ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO_CC,GO:0097060,synaptic membrane,118/3151,380/18596,6.27229047557714e-12,5.06236564283831e-08,4.73128774189324e-08,RIMS3/NTNG1/KCND3/KCNJ9/DNM3/CNTN2/SRGAP2/KCNH1/CHRM3/SLC8A1/NRXN1/LRRTM4/CTNNA2/KCNJ3/SCN2A/NRP2/ADAM23/ERBB4/EPHA4/CNTN6/GRM7/SLC6A11/SCN10A/CACNA1D/ERC2/GABRR3/DRD3/P2RY1/SLITRK3/NLGN1/KCTD8/GABRA2/GABRA4/GABRB1/GRID2/ANK2/GLRB/GRIA2/GLRA3/GPM6A/CDH10/IL31RA/F2R/SNCAIP/KCTD16/GLRA1/GRIA1/GABRB2/GABRA1/TENM2/DTNBP1/RIMS1/SNAP91/EPHA7/GRIK2/UTRN/SYNE1/GRM3/ADAM22/NRCAM/KCND2/CADPS2/DGKI/ADRA1A/RIMS2/ADCY8/GRIN3A/MUSK/DENND1A/ITGB1/NRP1/ANK3/LRRTM3/GRID1/SORCS3/KCNC1/SLC6A5/LRRC4C/SHANK2/DLG2/GRM5/CNTN5/GRIA4/HTR3B/HTR3A/GRIK4/GRIN2B/CNTN1/GRIP1/KCNC2/SYT1/ATP2B1/PCDH17/KCTD12/EFNB2/LRFN5/GPHN/SLC8A3/GABRB3/GABRG3/SHC4/NTRK3/SHISA9/CACNG3/CDH8/CDH2/DCC/PRKCG/CACNG7/SNAP25/FLRT3/SYNDIG1/GRIK1/ITSN1/NLGN4X/GLRA2/CASK/GRIA3,118
GO_CC,GO:0099240,intrinsic component of synaptic membrane,62/3151,163/18596,9.06093500948709e-11,3.65654032307851e-07,3.4174031725255e-07,NTNG1/KCND3/KCNJ9/CNTN2/KCNH1/CHRM3/SLC8A1/NRXN1/KCNJ3/SCN2A/NRP2/ADAM23/ERBB4/EPHA4/CNTN6/SLC6A11/SCN10A/CACNA1D/DRD3/P2RY1/SLITRK3/NLGN1/GABRA4/GRID2/GPM6A/CDH10/GLRA1/GRIA1/GABRB2/GABRA1/EPHA7/GRM3/ADAM22/NRCAM/KCND2/ADRA1A/ADCY8/ITGB1/NRP1/LRRTM3/GRID1/SORCS3/KCNC1/SLC6A5/LRRC4C/CNTN5/HTR3A/GRIK4/CNTN1/ATP2B1/PCDH17/EFNB2/LRFN5/SLC8A3/GABRG3/NTRK3/SHISA9/CACNG3/CDH2/DCC/CACNG7/FLRT3,62
GO_CC,GO:0045211,postsynaptic membrane,89/3151,275/18596,2.34923379620906e-10,6.32022198973445e-07,5.90688048548567e-07,KCND3/DNM3/CNTN2/SRGAP2/KCNH1/CHRM3/SLC8A1/LRRTM4/CTNNA2/NRP2/ERBB4/EPHA4/GRM7/SLC6A11/GABRR3/DRD3/P2RY1/SLITRK3/NLGN1/KCTD8/GABRA2/GABRA4/GABRB1/GRID2/ANK2/GLRB/GRIA2/GLRA3/CDH10/F2R/KCTD16/GLRA1/GRIA1/GABRB2/GABRA1/TENM2/DTNBP1/EPHA7/GRIK2/UTRN/SYNE1/GRM3/ADAM22/NRCAM/KCND2/CADPS2/DGKI/ADRA1A/GRIN3A/MUSK/NRP1/ANK3/LRRTM3/GRID1/SORCS3/KCNC1/LRRC4C/SHANK2/DLG2/GRM5/GRIA4/HTR3B/HTR3A/GRIK4/GRIN2B/CNTN1/GRIP1/KCNC2/PCDH17/KCTD12/EFNB2/LRFN5/GPHN/SLC8A3/GABRB3/GABRG3/SHC4/NTRK3/SHISA9/CACNG3/CDH2/DCC/CACNG7/FLRT3/SYNDIG1/GRIK1/NLGN4X/GLRA2/GRIA3,89
GO_CC,GO:0099699,integral component of synaptic membrane,57/3151,151/18596,7.19166797779472e-10,1.45109880621953e-06,1.35619717707571e-06,KCND3/KCNJ9/KCNH1/CHRM3/SLC8A1/NRXN1/KCNJ3/SCN2A/NRP2/ADAM23/ERBB4/EPHA4/SLC6A11/SCN10A/CACNA1D/DRD3/P2RY1/SLITRK3/NLGN1/GABRA4/GRID2/GPM6A/CDH10/GLRA1/GRIA1/GABRB2/GABRA1/EPHA7/GRM3/ADAM22/NRCAM/KCND2/ADRA1A/ADCY8/ITGB1/NRP1/LRRTM3/GRID1/SORCS3/KCNC1/SLC6A5/LRRC4C/HTR3A/GRIK4/ATP2B1/PCDH17/EFNB2/LRFN5/SLC8A3/GABRG3/NTRK3/SHISA9/CACNG3/CDH2/DCC/CACNG7/FLRT3,57
GO_CC,GO:0043235,receptor complex,113/3151,390/18596,1.77390322440707e-09,2.52371220466434e-06,2.35866183132915e-06,LEPR/IL12RB2/LRRC7/OLFM3/NOTCH2/DDR2/CR1L/ALK/FSHR/CD8B/LRP1B/ACVR2A/ACVR1C/LRP2/ITGA6/CALCRL/HSPD1/NRP2/ERBB4/VWC2L/EPHA4/IRS1/GRM7/VIPR1/EPHA3/EPHA6/GABRR3/IMPG2/ALCAM/TRAT1/CD200R1/RYK/EPHB1/NLGN1/PEX5L/KCTD8/GABRA2/GABRA4/GABRB1/PDGFRA/KDR/GRID2/BMPR1B/MTTP/NPNT/NR3C2/GRIA2/MTNR1A/PRLR/LIFR/OSMR/GHR/ITGA1/ITGA2/IL31RA/KCTD16/GRIA1/GABRB2/GABRA1/HFE/EPHA7/GPR63/GRIK2/ROS1/ITGB8/VWC2/EGFR/CD36/CALCR/LMTK2/MET/GPR37/PLXNA4/PTPRN2/LYN/SDCBP/VLDLR/NTRK2/ROR2/TGFBR1/GRIN3A/MUSK/ITGB1/NRP1/FGFR2/CD44/SHANK2/DLG2/GRIA4/HTR3B/HTR3A/GRIK4/GRIN2B/EPS8/ITPR2/CAPRIN2/ITGA5/PTPRQ/NT5DC3/FLT1/SLITRK5/ITGBL1/TSHR/GABRB3/GABRG3/ITGA11/NTRK3/IGF1R/SHISA9/CACNG3/CACNG7/APP/GRIA3,113
GO_BP,GO:0016358,dendrite development,79/3151,243/18596,1.87613346896122e-09,2.52371220466434e-06,2.35866183132915e-06,CDC42/DAB1/DNM3/LAMC2/SRGAP2C/SRGAP2/MARK1/DISC1/ALK/BCL11A/CTNNA2/NCK2/HECW2/TRAK2/MAP2/EPHA4/DOCK10/NGEF/WNT7A/TRAK1/SS18L2/GSK3B/EPHB1/DHX36/NLGN1/OPA1/PDLIM5/PPP3CA/IL2/CTNND2/PLK2/MEF2C/SLC25A46/FSTL4/PHACTR1/DTNBP1/DCDC2/KIAA0319/FYN/ARID1B/HECW1/COBL/SEMA3A/PPP1R9A/PREX2/MATN2/CSMD3/ASAP1/VLDLR/PTPRD/SEMA4D/GRIN3A/ITGB1/NRP1/PRKG1/ZNF365/DLG5/BDNF/SHANK2/TRPC6/CAPRIN2/GRIP1/RAB21/PPFIA2/FBXW8/KLHL1/SLITRK5/FARP1/ARHGAP44/DCC/NEDD4L/BTBD3/PREX1/APP/ITSN1/DSCAM/YWHAH/RBFOX2/TRPC5,79
GO_BP,GO:0010975,regulation of neuron projection development,136/3151,498/18596,2.9537978367467e-09,3.40572890576894e-06,3.18299478167321e-06,KDM1A/DAB1/LRRC7/NEGR1/LPAR3/NTNG1/RAP1A/CERS2/DNM3/TNR/SYT2/CNTN2/SRGAP2C/MARK1/DISC1/ALK/BCL11A/CTNNA2/ZEB2/TBR1/ITGA6/CHN1/NFE2L2/ZNF804A/HECW2/TRAK2/MAP2/FN1/EPHA4/NGEF/WNT7A/GOLGA4/ULK4/TRAK1/SS18L2/PTPRG/ROBO2/ROBO1/EPHA3/GSK3B/RYK/DHX36/NLGN1/OSTN/OPA1/CD38/SLIT2/RUFY3/PAQR3/GRID2/PDLIM5/PPP3CA/NDNF/IL2/TENM3/SEMA5A/PLK2/ZSWIM6/ARSB/MEF2C/EFNA5/SEMA6A/FSTL4/SPOCK1/KIAA0319/MIR133B/RIMS1/EPHA7/FUT9/FYN/UST/TIAM2/HECW1/COBL/MAGI2/SEMA3E/SEMA3A/PPP1R9A/NRCAM/IFRD1/PLXNA4/CREB3L2/LYN/TOX/STMN2/RIMS2/CSMD3/ASAP1/VLDLR/PTPRD/PLAA/NTRK2/SEMA4D/ROR2/SLC39A12/NRP1/ZNF365/DLG5/ANKRD1/ZFYVE27/BDNF/LRRC4C/SHANK2/FZD4/TRPC6/FKBP4/CAPRIN2/CNTN1/TWF1/GRIP1/RAB21/SYT1/PPFIA2/FBXW8/MYCBP2/EFNB2/MYO9A/NTRK3/SYT17/ARHGAP44/CDH2/RIT2/SYT4/DCC/NEDD4L/AP2A1/CACNG7/SNAP25/PREX1/CDH4/CHODL/ITSN1/DSCAM/KREMEN1/YWHAH/TRPC5,136
GO_BP,GO:0007416,synapse assembly,59/3151,175/18596,4.78167782481616e-08,4.8241152155114e-05,4.50861885429376e-05,DNM3/NRXN1/FZD5/ERBB4/DNER/OXTR/SETD5/WNT7A/ROBO2/RYK/EPHB1/SLITRK3/NLGN1/IL1RAP/GABRA2/GRID2/PDLIM5/GPM6A/MEF2C/EFNA5/SLC25A46/GABRB2/GABRA1/EPHA7/MAGI2/PCLO/PPP1R9A/NRCAM/LRRN3/NRG1/PTPRD/LINGO2/NTRK2/SEMA4D/MUSK/LRRTM3/DLG5/BDNF/SHANK2/CNTN5/KIRREL3/PCDH17/SLITRK5/GPC6/FARP1/EFNB2/LRFN5/SIX1/FLRT2/GABRB3/NTRK3/ASIC2/CDH2/CBLN2/FLRT3/SYNDIG1/APP/DSCAM/NLGN4X,59
GO_BP,GO:0050808,synapse organization,114/3151,421/18596,9.09921341061315e-08,8.15997238189541e-05,7.6263114971291e-05,CDC42/NFIA/NTNG1/NOS1AP/LMX1A/DNM3/TNR/NFASC/CNTN2/DISC1/NRXN1/CTNNA2/ZNF804A/ALS2/NRP2/FZD5/ERBB4/EPHA4/DOCK10/DNER/NGEF/OXTR/SETD5/WNT7A/ERC2/PDZRN3/ROBO2/CHMP2B/RYK/EPHB1/DHX36/SLITRK3/NLGN1/IL1RAP/OPA1/GABRA2/GRID2/PDLIM5/SLC7A11/GLRB/GPM6A/CTNND2/ACTBL2/F2R/MEF2C/CAST/EFNA5/SLC25A46/GABRB2/GABRA1/TREM2/EPHA7/WASF1/FYN/UTRN/DGKB/MAGI2/PCLO/SEMA3E/PPP1R9A/NRCAM/LRRN3/NRG1/YWHAZ/PTPRD/LINGO2/NTRK2/SEMA4D/MUSK/TNC/CACNB2/NRP1/ARHGAP22/ANK3/ZNF365/LRRTM3/DLG5/BDNF/LRRC4C/SHANK2/DLG2/GRM5/CNTN5/KIRREL3/GRIN2B/PPFIBP1/CAPRIN2/PPFIA2/PCDH17/SLITRK5/GPC6/FARP1/EFNB2/LRFN5/SIX1/GPHN/SLC8A3/FLRT2/GABRB3/MYO5A/NTRK3/IGF1R/CDH8/ARHGAP44/ASIC2/CDH2/CBLN2/FLRT3/SYNDIG1/APP/ITSN1/DSCAM/NLGN4X/FRMPD4,114
GO_CC,GO:0098978,glutamatergic synapse,98/3151,350/18596,1.30826849323823e-07,0.000105590350089257,9.86847581320541e-05,NTNG1/RAP1A/NOS1AP/DNM3/TNR/CHRM3/NRXN1/SCN2A/NRP2/ADAM23/ERBB4/EPHA4/WNT7A/SCN10A/ERC2/CADPS/CHMP2B/DRD3/GSK3B/EPHB1/P2RY1/NLGN1/IL1RAP/USP46/GRID2/PPP3CA/GPM6A/CDH10/ACTBL2/CAMK4/GRIA1/DTNBP1/EPHA7/GRIK2/FYN/PLG/DGKB/PCLO/GRM3/ADAM22/PPP1R9A/PRKAR2B/NRCAM/KCND2/CADPS2/DGKI/ADRA1A/NRG1/LYN/RNF19A/YWHAZ/ADCY8/JAK2/PTPRD/SH3GL2/GRIN3A/ITGB1/NRP1/ARHGAP22/LRRTM3/NRG3/GRID1/SORCS3/LRRC4C/DLG2/FZD4/HTR3A/EPS8/PPM1H/GRIP1/SYT1/PPFIA2/ATP2B1/PCDH17/GPC6/EFNB2/LRFN5/MYO5A/NTRK3/ACAN/SHISA9/CACNG3/CDH8/CDH11/ARHGAP44/DLGAP1/SYT4/CBLN2/CACNG7/PLCB1/PLCB4/SNAP25/FLRT3/PLCG1/ITSN1/SYN3/NLGN4X/FRMPD4,98
