#Dynamics of genome size evolution in birds and mammals
#Supplementary Dataset 1: List of ancient mammalian TEs
#Repeat_Name	Repeat_Class	Repeat_Family	Repeat_Age
MER67C	LTR	ERV1	06_Boreotheria/Eutheria?
MER67D	LTR	ERV1	06_Boreotheria/Eutheria?
MER70C	LTR	ERV3	06_Boreotheria/Eutheria?
7SK	nonTE	Pseudogene	07_Eutheria
7SLRNA	nonTE	srpRNA	07_Eutheria
Arthur1	DNA	hAT-Tip100	07_Eutheria
Arthur1A	DNA	hAT-Tip100	07_Eutheria
Arthur1B	DNA	hAT-Tip100	07_Eutheria
Arthur1C	DNA	hAT-Tip100	07_Eutheria
BLACKJACK	DNA	hAT-Blackjack	07_Eutheria
Chap1_Mam	DNA	hAT-Charlie 	07_Eutheria
Charlie10	DNA	hAT-Charlie	07_Eutheria
Charlie10a	DNA	hAT-Charlie	07_Eutheria
Charlie10b	DNA	hAT-Charlie	07_Eutheria
Charlie11	DNA	hAT-Charlie	07_Eutheria
Charlie14a	DNA	hAT-Charlie	07_Eutheria
Charlie15a	DNA	hAT-Charlie	07_Eutheria
Charlie15b	DNA	hAT-Charlie 	07_Eutheria
Charlie16a	DNA	hAT-Charlie	07_Eutheria
Charlie17	DNA	hAT-Charlie 	07_Eutheria
Charlie17a	DNA	hAT-Charlie	07_Eutheria
Charlie17b	DNA	hAT-Charlie 	07_Eutheria
Charlie19a	DNA	hAT-Charlie	07_Eutheria
Charlie20a	DNA	hAT-Charlie	07_Eutheria
Charlie21a	DNA	hAT-Charlie	07_Eutheria
Charlie22a	DNA	hAT-Charlie	07_Eutheria
Charlie23a	DNA	hAT-Charlie	07_Eutheria
Charlie24	DNA	hAT-Charlie	07_Eutheria
Charlie25	DNA	hAT-Charlie	07_Eutheria
Charlie26a	DNA	hAT-Charlie	07_Eutheria
Charlie29a	DNA	hAT-Charlie 	07_Eutheria
Charlie2a	DNA	hAT-Charlie	07_Eutheria
Charlie2b	DNA	hAT-Charlie	07_Eutheria
Charlie4a	DNA	hAT-Charlie	07_Eutheria
Charlie4z	DNA	hAT-Charlie	07_Eutheria
