repClass;repFamily
SINE;Alu
LINE;L2
LINE;L1
LTR;ERVL
DNA;TcMar-Mariner
LTR;ERVL-MaLR
SINE;MIR
DNA;hAT-Charlie
LTR;ERV1
LINE;CR1
LINE;RTE
Low_complexity;Low_complexity
LTR;LTR
Other;Other
DNA;TcMar-Tigger
LTR;Gypsy?
LINE;Dong-R4
Simple_repeat;Simple_repeat
DNA;hAT-Tip100
LTR;ERVK
DNA;hAT
LTR;Gypsy
SINE;Deu
Satellite;centr
Unknown;Unknown
Satellite;telo
LTR;ERVL?
snRNA;snRNA
DNA;MuDR
tRNA;tRNA
DNA?;DNA?
DNA;hAT-Blackjack
Satellite;Satellite
srpRNA;srpRNA
DNA;TcMar
rRNA;rRNA
DNA;TcMar-Tc2
LINE;RTE-BovB
DNA;PiggyBac
DNA;DNA
DNA;TcMar?
RC;Helitron
DNA;hAT?
SINE;SINE
LINE;L1?
SINE?;SINE?
scRNA;scRNA
RNA;RNA
DNA;PiggyBac?
SINE;tRNA
RC;Helitron?
LTR;ERV
LTR?;LTR?
DNA;Merlin
Unknown?;Unknown?
LINE?;Penelope?
Satellite;acro
