rank,repName,repFamily,repType,CptopCP3,repTranspoType
1,L1MA4,L1,non-LTR,sig.greater,Retrotransposon
2,L1PA17,L1,non-LTR,sig.greater,Retrotransposon
3,L1MA5,L1,non-LTR,sig.greater,Retrotransposon
4,L1PB4,L1,non-LTR,sig.greater,Retrotransposon
5,AluJo,Alu,non-LTR,sig.less,Retrotransposon
6,AluJb,Alu,non-LTR,sig.less,Retrotransposon
7,MER63C,hAT-Blackjack,DNAtransposon,n.s.,DNAtransposon
8,MER106B,hAT-Charlie,DNAtransposon,n.s.,DNAtransposon
9,L1PA16,L1,non-LTR,sig.greater,Retrotransposon
10,MER119,hAT-Charlie,DNAtransposon,n.s.,DNAtransposon
11,Charlie1a,hAT-Charlie,DNAtransposon,sig.less,DNAtransposon
12,MER63D,hAT-Blackjack,DNAtransposon,n.s.,DNAtransposon
13,Charlie1,hAT-Charlie,DNAtransposon,n.s.,DNAtransposon
14,Charlie1b,hAT-Charlie,DNAtransposon,n.s.,DNAtransposon
15,Looper,PiggyBac,DNAtransposon,n.s.,DNAtransposon
16,MADE2,TcMar-Mariner,DNAtransposon,sig.greater,DNAtransposon
17,MER20,hAT-Charlie,DNAtransposon,sig.greater,DNAtransposon
18,MER63B,hAT-Blackjack,DNAtransposon,sig.greater,DNAtransposon
19,ORSL,hAT-Tip100,DNAtransposon,n.s.,DNAtransposon
20,MER45R,hAT-Tip100,DNAtransposon,n.s.,DNAtransposon
21,MER6B,TcMar-Tigger,DNAtransposon,n.s.,DNAtransposon
22,MER8,TcMar-Tigger,DNAtransposon,n.s.,DNAtransposon
23,MER82,TcMar-Tigger,DNAtransposon,sig.greater,DNAtransposon
24,Cheshire,hAT-Charlie,DNAtransposon,n.s.,DNAtransposon
25,MER2,TcMar-Tigger,DNAtransposon,n.s.,DNAtransposon
26,MER45B,hAT-Tip100,DNAtransposon,sig.greater,DNAtransposon
27,MER58A,hAT-Charlie,DNAtransposon,sig.greater,DNAtransposon
28,MER58B,hAT-Charlie,DNAtransposon,sig.greater,DNAtransposon
29,L1PB3,L1,non-LTR,sig.greater,Retrotransposon
30,MER3,hAT-Charlie,DNAtransposon,n.s.,DNAtransposon
31,MER45A,hAT-Tip100,DNAtransposon,n.s.,DNAtransposon
32,Tigger6a,TcMar-Tigger,DNAtransposon,n.s.,DNAtransposon
33,Charlie5,hAT-Charlie,DNAtransposon,n.s.,DNAtransposon
34,MER33,hAT-Charlie,DNAtransposon,n.s.,DNAtransposon
35,MER44B,TcMar-Tigger,DNAtransposon,sig.greater,DNAtransposon
36,MER58D,hAT-Charlie,DNAtransposon,n.s.,DNAtransposon
37,MER2B,TcMar-Tigger,DNAtransposon,n.s.,DNAtransposon
38,MER6C,TcMar-Tigger,DNAtransposon,sig.less,DNAtransposon
39,Ricksha,MuDR,DNAtransposon,n.s.,DNAtransposon
40,L1PA15,L1,non-LTR,sig.greater,Retrotransposon
41,MER44D,TcMar-Tigger,DNAtransposon,n.s.,DNAtransposon
42,MER96B,hAT,DNAtransposon,n.s.,DNAtransposon
43,Ricksha_b,MuDR,DNAtransposon,n.s.,DNAtransposon
44,Tigger5,TcMar-Tigger,DNAtransposon,n.s.,DNAtransposon
45,Tigger6b,TcMar-Tigger,DNAtransposon,n.s.,DNAtransposon
46,Tigger7,TcMar-Tigger,DNAtransposon,n.s.,DNAtransposon
47,L1MA3,L1,non-LTR,sig.greater,Retrotransposon
