rank,repName,repFamily,repType,cluster,repTranspoType
1,MARNA,TcMar-Mariner,DNAtransposon,ClusterI,DNAtransposon
2,Charlie11,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
3,L1MEd,L1,non-LTR,ClusterI,Retrotransposon
4,L3,CR1,non-LTR,ClusterI,Retrotransposon
5,L1ME4a,L1,non-LTR,ClusterI,Retrotransposon
6,L4,RTE,non-LTR,ClusterI,Retrotransposon
7,Tigger8,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
8,L1MEe,L1,non-LTR,ClusterI,Retrotransposon
9,HAL1,L1,non-LTR,ClusterI,Retrotransposon
10,HAL1b,L1,non-LTR,ClusterI,Retrotransposon
11,L2,L2,non-LTR,ClusterI,Retrotransposon
12,Charlie7,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
13,MIR3,MIR,non-LTR,ClusterI,Retrotransposon
14,MIRb,MIR,non-LTR,ClusterI,Retrotransposon
15,MER113,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
16,Kanga2_a,TcMar-Tc2,DNAtransposon,ClusterI,DNAtransposon
17,L1ME3B,L1,non-LTR,ClusterI,Retrotransposon
18,MER102b,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
19,Charlie8,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
20,Charlie2b,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
21,L1M5,L1,non-LTR,ClusterI,Retrotransposon
22,Zaphod2,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
23,Charlie2a,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
24,L1MC4a,L1,non-LTR,ClusterI,Retrotransposon
25,MLT1K,ERVL-MaLR,LTR,ClusterI,Retrotransposon
26,MLT1L,ERVL-MaLR,LTR,ClusterI,Retrotransposon
27,Charlie9,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
28,MER20B,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
29,MIR,MIR,non-LTR,ClusterI,Retrotransposon
30,MLT1J,ERVL-MaLR,LTR,ClusterI,Retrotransposon
31,BLACKJACK,hAT-Blackjack,DNAtransposon,ClusterI,DNAtransposon
32,MER112,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
33,MER102a,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
34,Kanga1,TcMar-Tc2,DNAtransposon,ClusterI,DNAtransposon
35,Arthur1,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
36,Zaphod,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
37,Arthur1B,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
38,L1MC4,L1,non-LTR,ClusterI,Retrotransposon
39,L1MC5,L1,non-LTR,ClusterI,Retrotransposon
40,L1ME3A,L1,non-LTR,ClusterI,Retrotransposon
41,Charlie6,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
42,L1MEb,L1,non-LTR,ClusterI,Retrotransposon
43,L1ME3,L1,non-LTR,ClusterI,Retrotransposon
44,L1MDa,L1,non-LTR,ClusterI,Retrotransposon
45,L1MEc,L1,non-LTR,ClusterI,Retrotransposon
46,L1MCc,L1,non-LTR,ClusterI,Retrotransposon
47,L1MEa,L1,non-LTR,ClusterI,Retrotransposon
48,Charlie4,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
49,L1ME2,L1,non-LTR,ClusterI,Retrotransposon
50,MER63D,hAT-Blackjack,DNAtransposon,ClusterI,DNAtransposon
51,Charlie4a,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
52,MER46C,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
53,MER91B,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
54,L1M,L1,non-LTR,ClusterI,Retrotransposon
55,L1MDb,L1,non-LTR,ClusterI,Retrotransposon
56,LTR33,ERVL,LTR,ClusterI,Retrotransposon
57,MLT1J2,ERVL-MaLR,LTR,ClusterI,Retrotransposon
58,L1ME1,L1,non-LTR,ClusterI,Retrotransposon
59,MLT1I,ERVL-MaLR,LTR,ClusterI,Retrotransposon
60,L1M4b,L1,non-LTR,ClusterI,Retrotransposon
61,MER31-int,ERV1,LTR,ClusterI,Retrotransposon
62,Charlie1a,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
63,FordPrefect_a,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
64,MER97c,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
65,L1MCa,L1,non-LTR,ClusterI,Retrotransposon
66,MER115,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
67,MLT1H-int,ERVL-MaLR,LTR,ClusterI,Retrotransposon
68,LTR37B,ERV1,LTR,ClusterI,Retrotransposon
69,L1MCb,L1,non-LTR,ClusterI,Retrotransposon
70,L1M4,L1,non-LTR,ClusterI,Retrotransposon
71,MLT1J1,ERVL-MaLR,LTR,ClusterI,Retrotransposon
72,LTR33A,ERVL,LTR,ClusterI,Retrotransposon
73,L1M4c,L1,non-LTR,ClusterI,Retrotransposon
74,Charlie10,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
75,MER117,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
76,Cheshire,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
77,LTR16C,ERVL,LTR,ClusterI,Retrotransposon
78,L1MC,L1,non-LTR,ClusterI,Retrotransposon
