repName,ageMyrMin,ageMyrMax,ageMyrConsensus,ConsensusMethod,Reference,Giordano360RetroRank
MARNA,NA,NA,NA,NA,NA,NA
Charlie11,NA,NA,NA,NA,NA,NA
L1MEd,NA,NA,NA,NA,NA,1
L3,NA,NA,NA,NA,NA,3
L1ME4a,NA,NA,NA,NA,NA,5
L4,NA,NA,NA,NA,NA,6
Tigger8,NA,NA,NA,NA,NA,NA
L1MEe,NA,NA,NA,NA,NA,7
HAL1,NA,NA,NA,NA,NA,8
HAL1b,NA,NA,NA,NA,NA,9
L2,NA,NA,NA,NA,NA,10
Charlie7,NA,NA,NA,NA,NA,11
MIR3,NA,NA,NA,NA,NA,12
MIRb,NA,NA,NA,NA,NA,13
MER113,NA,NA,NA,NA,NA,14
Kanga2_a,NA,NA,NA,NA,NA,15
L1ME3B,NA,NA,NA,NA,NA,18
MER102b,NA,NA,NA,NA,NA,17
Charlie8,NA,NA,NA,NA,NA,20
Charlie2b,NA,NA,NA,NA,NA,NA
L1M5,NA,NA,NA,NA,NA,16
Zaphod2,NA,NA,NA,NA,NA,NA
Charlie2a,NA,NA,NA,NA,NA,22
L1MC4a,NA,NA,NA,NA,NA,23
MLT1K,NA,NA,NA,NA,NA,24
MLT1L,NA,NA,NA,NA,NA,26
Charlie9,NA,NA,NA,NA,NA,NA
MER20B,NA,NA,NA,NA,NA,27
MIR,NA,NA,NA,NA,NA,28
MLT1J,NA,NA,NA,NA,NA,32
BLACKJACK,NA,NA,NA,NA,NA,31
MER112,NA,NA,NA,NA,NA,30
MER102a,NA,NA,NA,NA,NA,NA
Kanga1,NA,NA,NA,NA,NA,33
Arthur1,NA,NA,NA,NA,NA,35
Zaphod,NA,NA,NA,NA,NA,34
Arthur1B,NA,NA,NA,NA,NA,NA
L1MC4,NA,NA,NA,NA,NA,38
L1MC5,NA,NA,NA,NA,NA,36
L1ME3A,NA,NA,NA,NA,NA,37
Charlie6,NA,NA,NA,NA,NA,NA
L1MEb,NA,NA,NA,NA,NA,39
L1ME3,NA,NA,NA,NA,NA,42
L1MDa,NA,NA,NA,NA,NA,40
L1MEc,NA,NA,NA,NA,NA,43
L1MCc,NA,NA,NA,NA,NA,44
L1MEa,NA,NA,NA,NA,NA,45
Charlie4,NA,NA,NA,NA,NA,46
