repNameRenamed,ageMyrMin,ageMyrMax,ageMyrConsensus,ConsensusMethod,Reference
L1MA4,75,129.6,102.3,mean,14
L1PA17,74.1,128,101.05,mean,14
L1MA5,72.3,124.9,98.6,mean,14
L1PB4,70.3,121.6,95.95,mean,14
AluJo,81,81,81,one,4
AluJb,81,81,81,one,4
MER63C,56,104,80,corrected_age,16
MER106B,56,105,80,corrected_age,16
L1PA16,58.4,100.9,79.65,mean,14
MER119,55,102,79,corrected_age,16
Charlie1a,55,101,78,corrected_age,16
MER63D,55,101,78,corrected_age,16
Charlie1,54,99,77,corrected_age,16
Charlie1b,54,100,77,corrected_age,16
Looper,54,99,77,corrected_age,16
MADE2,54,100,77,corrected_age,16
MER20,54,100,77,corrected_age,16
MER63B,54,100,77,corrected_age,16
ORSL,54,100,77,corrected_age,16
MER45R,53,99,76,corrected_age,16
MER6B,64,80,76,corrected_age,16
MER8,64,80,76,corrected_age,16
MER82,64,80,76,corrected_age,16
Cheshire,53,97,75,corrected_age,16
MER2,63,79,75,corrected_age,16
MER45B,52,97,75,corrected_age,16
MER58A,53,98,75,corrected_age,16
MER58B,52,96,74,corrected_age,16
L1PB3,53.9,93.2,73.55,mean,14
MER3,51,95,73,corrected_age,16
MER45A,51,95,73,corrected_age,16
Tigger6a,51,95,73,corrected_age,16
Charlie5,50,93,72,corrected_age,16
MER33,51,94,72,corrected_age,16
MER44B,60,75,72,corrected_age,16
MER58D,51,94,72,corrected_age,16
MER2B,60,75,71,corrected_age,16
MER6C,60,75,71,corrected_age,16
Ricksha,59,74,71,corrected_age,16
L1PA15,51.7,89.3,70.5,mean,14
MER44D,59,74,70,corrected_age,16
MER96B,49,91,70,corrected_age,16
Ricksha_b,59,74,70,corrected_age,16
Tigger5,59,74,70,corrected_age,16
Tigger6b,49,91,70,corrected_age,16
Tigger7,58,73,69,corrected_age,16
L1MA3,49.9,86.2,68.05,mean,14
MER44C,57,72,68,corrected_age,16
MER6A,56,70,67,corrected_age,16
MER6,56,70,66,corrected_age,16
Ricksha_c,55,69,66,corrected_age,16
L1MA2,48.3,83.4,65.85,mean,14
MER53,46,85,65,corrected_age,16
MER44A,54,67,64,corrected_age,16
Tigger2a,54,67,64,corrected_age,16
Tigger3,54,67,64,corrected_age,16
Tigger4,52,65,62,corrected_age,16
L1MA1,45.2,78.1,61.65,mean,14
MER1B,48,75,61,corrected_age,16
Tigger2,52,64,61,corrected_age,16
Tigger3b,51,64,61,corrected_age,16
L1PA14,44.4,76.8,60.6,mean,14
MER30B,46,73,60,corrected_age,16
L1PA12,43.7,75.6,59.65,mean,14
Tigger1,50,62,59,corrected_age,16
L1PB2,42.7,73.7,58.2,mean,14
HSMAR2,48,60,57,corrected_age,16
L1PA11,39.1,67.5,53.3,mean,14
MER1A,41,65,53,corrected_age,16
Charlie3,40,63,51,corrected_age,16
HSMAR1,37,58,48,corrected_age,16
MER75,38,59,48,corrected_age,16
L1PB1,34.3,59.2,46.75,mean,14
L1PA10,34,58.7,46.35,mean,14
MADE1,36,56,46,corrected_age,16
MER30,36,56,46,corrected_age,16
MER75B,34,54,44,corrected_age,16
MER107,33,52,43,corrected_age,16
L1PA8A,30.6,52.8,41.7,mean,14
L1PA8,30,51.8,40.9,mean,14
AluSq,37.49,44,40.745,mean,4;9
AluSx,37,44.1,40.55,mean,4;9
MER85,29,46,37,corrected_age,16
AluSg,31,34.68,32.84,mean,4;9
AluSc,30.44,35,32.72,mean,4;9
AluSp,28.31,37,32.655,mean,4;9
L1PA7,23,39.8,31.4,mean,14
L1PA6,19.7,34,26.85,mean,14
L1PA5,15,25.9,20.45,mean,14
L1PA4,13.2,22.8,18,mean,14
AluY,5,30,17.5,mean,7
SVA_A,10.3,16.81,13.555,mean,12
L1PA3,9.2,15.8,12.5,mean,14
SVA_B,10.59,12.53,11.56,mean,12
SVA_C,10.81,10.94,10.875,mean,12
SVA_D,9.45,9.64,9.545,mean,12
L1PA2,5.6,9.6,7.6,mean,14
SVA_E,2.46,4.47,3.465,mean,12
SVA_F,2.73,3.63,3.18,mean,12
L1HS,2.3,3.9,3.1,mean,14
AluYg6,2.68,2.94,2.81,mean,9
AluYb8,2.33,2.89,2.61,mean,9
AluYa5,2.33,2.63,2.48,mean,9
AluYb9,1.47,1.6,1.535,mean,9
AluYa8,1.07,1.61,1.34,mean,9
