rank,repName,repFamily,repType,cluster,repTranspoType
1,MARNA,TcMar-Mariner,DNAtransposon,ClusterIV,DNAtransposon
2,Charlie11,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
3,L1MEd,L1,non-LTR,ClusterIV,Retrotransposon
4,L3,CR1,non-LTR,ClusterI,Retrotransposon
5,L1ME4a,L1,non-LTR,ClusterIV,Retrotransposon
6,L4,RTE,non-LTR,ClusterV,Retrotransposon
7,Tigger8,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
8,L1MEe,L1,non-LTR,ClusterIV,Retrotransposon
9,HAL1,L1,non-LTR,ClusterIV,Retrotransposon
10,HAL1b,L1,non-LTR,ClusterIV,Retrotransposon
11,L2,L2,non-LTR,ClusterV,Retrotransposon
12,Charlie7,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
13,MIR3,MIR,non-LTR,ClusterV,Retrotransposon
14,MIRb,MIR,non-LTR,ClusterV,Retrotransposon
15,MER113,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
16,Kanga2_a,TcMar-Tc2,DNAtransposon,ClusterIV,DNAtransposon
17,L1ME3B,L1,non-LTR,ClusterIV,Retrotransposon
18,MER102b,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
19,Charlie8,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
20,Charlie2b,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
21,L1M5,L1,non-LTR,ClusterIV,Retrotransposon
22,Zaphod2,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
23,Charlie2a,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
24,L1MC4a,L1,non-LTR,ClusterIV,Retrotransposon
25,MLT1K,ERVL-MaLR,LTR,ClusterV,Retrotransposon
26,MLT1L,ERVL-MaLR,LTR,ClusterV,Retrotransposon
27,Charlie9,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
28,MER20B,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
29,MIR,MIR,non-LTR,ClusterV,Retrotransposon
30,MLT1J,ERVL-MaLR,LTR,ClusterV,Retrotransposon
31,BLACKJACK,hAT-Blackjack,DNAtransposon,ClusterVII,DNAtransposon
32,MER112,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
33,MER102a,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
34,Kanga1,TcMar-Tc2,DNAtransposon,ClusterIV,DNAtransposon
35,Arthur1,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
36,Zaphod,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
37,Arthur1B,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
38,L1MC4,L1,non-LTR,ClusterIV,Retrotransposon
39,L1MC5,L1,non-LTR,ClusterIV,Retrotransposon
40,L1ME3A,L1,non-LTR,ClusterIV,Retrotransposon
41,Charlie6,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
42,L1MEb,L1,non-LTR,ClusterIV,Retrotransposon
43,L1ME3,L1,non-LTR,ClusterIV,Retrotransposon
44,L1MDa,L1,non-LTR,ClusterIV,Retrotransposon
45,L1MEc,L1,non-LTR,ClusterIV,Retrotransposon
46,L1MCc,L1,non-LTR,ClusterIV,Retrotransposon
47,L1MEa,L1,non-LTR,ClusterIV,Retrotransposon
48,Charlie4,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
49,L1ME2,L1,non-LTR,ClusterIV,Retrotransposon
50,MER63D,hAT-Blackjack,DNAtransposon,ClusterVII,DNAtransposon
51,Charlie4a,hAT-Charlie,DNAtransposon,ClusterV,DNAtransposon
52,MER46C,TcMar-Tigger,DNAtransposon,ClusterV,DNAtransposon
53,MER91B,hAT-Tip100,DNAtransposon,ClusterV,DNAtransposon
54,L1M,L1,non-LTR,ClusterIV,Retrotransposon
