repClass;repFamily;repName
SINE;Alu;AluSp
SINE;Alu;AluY
LINE;L2;L2b
LINE;L1;L1PA10
LINE;L1;L1PA2
LINE;L1;L1MB7
LTR;ERVL;ERVL-E-int
LINE;L2;L2a
LINE;L1;L1ME1
LINE;L1;L1PA7
LINE;L1;L1PA3
SINE;Alu;AluSq2
DNA;TcMar-Mariner;HSMAR2
LTR;ERVL-MaLR;MLT1J
SINE;MIR;MIRb
LTR;ERVL-MaLR;THE1B
SINE;Alu;AluSx1
DNA;hAT-Charlie;MER58A
LTR;ERV1;LTR12C
SINE;MIR;MIR3
LINE;L1;L1ME2
LINE;CR1;L3
SINE;Alu;AluSc
LINE;L2;L2
SINE;Alu;AluJb
LINE;L1;L1MEc
DNA;hAT-Charlie;Charlie1b
SINE;Alu;AluSx
SINE;MIR;MIRc
LTR;ERVL;MER21C
SINE;Alu;AluSx4
LINE;RTE;L4
LINE;L1;L1MA9
Low_complexity;Low_complexity;AT_rich
LINE;L2;L2c
LINE;L1;L1MB3
LTR;ERVL-MaLR;THE1B-int
DNA;hAT-Charlie;MER58B
SINE;Alu;AluJr
LTR;LTR;MamRep1527
SINE;MIR;MIR
LTR;ERVL-MaLR;THE1D
Other;Other;SVA_D
SINE;Alu;FRAM
SINE;Alu;AluSg
LTR;ERVL;LTR47B
LINE;L1;L1PA8A
SINE;Alu;AluJo
DNA;TcMar-Tigger;MER6B
LTR;ERV1;LTR76
LINE;L1;L1PA6
LTR;Gypsy?;LTR85c
LINE;L1;L1M2
LINE;Dong-R4;Mam_R4
LINE;L1;HAL1
LINE;L1;L1PA14
SINE;Alu;AluSz
LINE;L1;L1MA10
LINE;L1;L1M1
Simple_repeat;Simple_repeat;(CA)n
LINE;L1;L1ME3
LINE;L1;L1PBa
LINE;L1;L1PA15-16
LTR;ERVL;MLT2B4
LTR;ERVL;MER21A
LTR;ERVL-MaLR;MLT1F2
LINE;L1;L1M4
SINE;Alu;AluSc8
DNA;hAT-Tip100;Arthur1
LINE;L1;L1MDa
LTR;ERVL-MaLR;MLT1M
LTR;ERV1;LTR24C
LTR;ERV1;MER65D
DNA;hAT-Charlie;Charlie25
LTR;ERVL-MaLR;MLT1B
LTR;ERV1;HERVH-int
DNA;hAT-Charlie;MER58D
LINE;L1;L1MC4
LINE;L1;L1ME4a
DNA;TcMar-Tigger;Tigger3a
LINE;L1;L1MB8
DNA;hAT-Charlie;MER20
Simple_repeat;Simple_repeat;(CAAAA)n
LTR;ERV1;MER52-int
LTR;ERVK;HERVK-int
LTR;ERV1;LTR7B
LTR;ERVL-MaLR;MLT1H
LTR;ERV1;LTR37A
Simple_repeat;Simple_repeat;(TA)n
LTR;ERV1;LTR38B
LTR;ERV1;MER39
LTR;ERVL-MaLR;MLT1A0
LTR;ERVK;MER11C
LINE;L1;L1MC
LTR;ERV1;LTR7C
DNA;hAT-Charlie;MER5B
SINE;Alu;AluSz6
DNA;hAT;MER53
SINE;Alu;AluSx3
Other;Other;SVA_F
LTR;ERVL-MaLR;MLT1L
Low_complexity;Low_complexity;GA-rich
LINE;L1;L1M3
LTR;ERV1;MER41B
DNA;TcMar-Tigger;Tigger1
Simple_repeat;Simple_repeat;(GAA)n
LINE;L1;L1MC1
LTR;ERVL-MaLR;MLT1I
LINE;L1;L1PA5
LINE;L1;L1PA4
LTR;ERVL;LTR33
DNA;hAT-Charlie;MER33
LINE;L1;L1MC3
SINE;Alu;FLAM_C
SINE;Alu;AluJr4
LINE;L1;L1M5
LTR;ERV1;Harlequin-int
LINE;L1;L1PA15
LTR;ERVL;LTR16A
LINE;L1;L1MA1
LTR;ERV1;MER41-int
LINE;L1;L1PA17
LINE;L1;L1PB4
LINE;L1;L1M4b
LINE;L1;L1PB1
LINE;L1;L1PA13
LINE;L1;L1MB1
LTR;ERV1;HERVI-int
LTR;ERVL-MaLR;MLT1E1A
LTR;ERVL-MaLR;MLT1C
DNA;TcMar-Tigger;MER82
LTR;Gypsy;MamGypLTR1b
LINE;L1;L1MA7
LTR;Gypsy?;LTR85a
LINE;L1;L1MB2
LINE;L1;L1PA8
LTR;ERVL;MLT2A1
LTR;ERVL-MaLR;MLT1J1-int
LINE;L1;L1P1
LTR;ERVL;LTR16A1
LTR;ERV1;MER31-int
LTR;ERV1;LTR1B
Simple_repeat;Simple_repeat;(TG)n
LTR;ERVL-MaLR;THE1A-int
LTR;ERVL-MaLR;MLT1D
LTR;ERVL;HERVL32-int
LINE;L1;L1MA3
LTR;ERVL;ERVL-B4-int
SINE;Deu;AmnSINE1
LTR;ERV1;MER41E
LTR;ERV1;LTR10C
LTR;ERVL-MaLR;THE1C
LTR;ERVL-MaLR;MLT1K
DNA;hAT-Charlie;Charlie8
LTR;ERV1;LTR78
LINE;CR1;X6B_LINE
LTR;ERVL;MER68
LTR;ERVL-MaLR;MSTB1-int
LINE;L1;HAL1b
LINE;L1;L1MC2
LTR;ERV1;HERV17-int
LTR;ERV1;MER34
LINE;L1;L1MA2
LINE;RTE;L5
LINE;L1;L1MC4a
LTR;ERV1;MER4E1
DNA;TcMar-Tigger;MER47A
LINE;L1;L1MC5
LTR;ERV1;MER49
LINE;L1;L1ME3A
LTR;ERVL-MaLR;THE1C-int
LTR;ERV1;LTR26
LTR;ERVL-MaLR;MLT1A1
DNA;hAT-Charlie;Charlie3
LTR;ERVL;LTR41
LTR;ERVL;MLT2A2
Simple_repeat;Simple_repeat;(TTTTG)n
LINE;L1;L1MCc
LINE;L1;L1PA16
LINE;L1;L1MCa
LTR;ERV1;MER4C
LTR;ERVL;HERVL-int
Simple_repeat;Simple_repeat;(A)n
LINE;L1;L1ME5
DNA;hAT-Charlie;MER102b
LINE;L1;L1MEe
LTR;ERVL;MER77
LINE;L1;L1MEf
LTR;ERVL;LTR16E2
LINE;L1;L1ME3C
LINE;L1;L1MD3
LINE;L1;L1P4
LTR;ERVL;LTR18A
Satellite;centr;ALR/Alpha
LINE;L1;L1MEd
Low_complexity;Low_complexity;A-rich
LINE;L1;L1P5
DNA;hAT-Charlie;MER20B
LINE;L1;L1MA5
LINE;L1;L1ME3D
LTR;ERV1;LTR10A
LINE;L1;L1MD
