Position,Name
1,L1MEd
2,HERVL40
3,L3
4,ERVL-E
5,L1ME4a
6,L4
7,L1MEe
8,HAL1
9,HAL1b
10,L2
11,Charlie7
12,MIR3
13,MIRb
14,MER113
15,Kanga2_a
16,L1M5
17,MER102b
18,L1ME3B
19,ERVL
20,Charlie8
21,Charlie2
22,Charlie2a
23,L1MC4a
24,MLT1K
25,ERVL-F
26,MLT1L
27,MER20B
28,MIR
29,LTR67
30,MER112
31,BLACKJACK
32,MLT1J
33,Kanga1
34,Zaphod
35,Arthur1
36,L1MC5
37,L1ME3A
38,L1MC4
39,L1MEb
40,L1MDa
41,HERV16
42,L1ME3
43,L1MEc
44,L1MCc
45,L1MEa
46,Charlie4
47,L1ME2
48,MER46C
49,MER63D
50,LTR33
51,Charlie4a
52,MLT1J2
53,L1M
54,MLT1I
55,L1ME1
56,L1MDb
57,MER31-int
58,Charlie1a
59,MER115
60,L1M4b
61,MER97c
62,ERVL-B4
63,L1MCa
64,Charlie10
65,LTR37B
66,MIRm
67,MLT1H-int
68,HERVL
69,Cheshire
70,L1MCb
71,L1M4
72,MLT1J1
73,L1M4c
74,LTR33A
75,MER5B
76,LTR16C
77,L1MC
78,LTR16A1
79,LTR50
80,MLT1H
81,Charlie1b
82,MLT1G
83,MER5A
84,MLT1H2
85,LTR16A
86,MLT1H1
87,Charlie1
88,MER5A1
89,LTR37A
90,MLT2F
91,L1MD
92,L1MD1
93,MLT1G1
94,MER63C
95,Charlie5
96,MER3
97,L1MD2
98,MER33
99,LTR16B
100,MER63
101,MLT1F1
102,MLT1F
103,L1MC3
104,L1MD3
105,LTR41
106,MER63A
107,MER58C
108,MLT1F2
109,MER96B
110,MER58B
111,Tigger6a
112,MER45B
113,L1MB7
114,MLT1F-int
115,MER58
116,MER58A
117,LTR40a
118,LTR40b
119,MLT1E3
120,MLT1E
121,MER20
122,L1MB8
123,MER81
124,MER53
125,MER45A
126,MER68
127,L1MB4
128,LTR52
129,MLT1E2
130,MLT1D
131,MLT1E1
132,L1MC2
133,L1MB5
134,MER92B
135,MER57A-int
136,MLT2C1
137,MER82
138,MER77
139,L1MC1
140,MER76
141,MER89
142,MLT1C
143,L1MB3
144,MER67D
145,L1M3c
146,MER67C
147,L1MB2
148,L1M3e
149,ERVL-B1
150,MER74A
151,L1M3
152,MLT2D
153,MLT2C2
154,MLT1B
155,MER31B
156,L1MA9
157,MER74B
158,L1MA10
159,L1M2
160,L1MB1
161,LTR49-int
162,MLT2B4
163,L1MA8
164,MLT2B1
165,MER21C
166,MER4B-int
167,MLT1A
168,MER34
169,MER31A
170,MER34B
171,MER34C_
172,MLT1A0
173,L1MA7
174,MER39
175,MLT1A0-int
176,MLT2B2
177,L1M1
178,L1M3b
179,MER44C
180,MSTD-int
181,MLT1A1
182,MER44B
183,MER44A
184,MER21B
185,Tigger7
186,LTR48
187,MSTD
188,Tigger5a
189,L1MA6
190,Tigger4(Zombi)
191,MER2
192,Ricksha
193,MER2B
194,Tigger3b
195,Tigger5
196,Tigger3(Golem)
197,MER46B
198,Tigger1
199,L1MA5
200,Tigger5b
201,MSTC
202,MER7A
203,LTR54
204,MER6
205,MER6A
206,LTR48B
207,Tigger2
208,MER46A
209,MER65A
210,Tigger2b_Pri
211,L1M3f
212,L1MA4
213,Tigger2a
214,LTR49
215,L1MA4A
216,HSMAR2
217,MSTB2
218,L1MA5A
219,MER8
220,PRIMA4-int
221,LTR23
222,L1PB4
223,MER39B
224,L1PA17
225,LTR39
226,LTR47A
227,MER4D
228,MER49
229,AluJ
230,MSTB1
231,MER72
232,L1PA15-16
233,L1MA3
234,L1PA16
235,FAM
236,L1PB3
237,MSTB-int
238,L1PA15
239,MER4C
240,MER4D1
241,L1MA2
242,LTR32
243,MER21A
244,L1MA1
245,LTR8A
246,MSTB
247,L1PA13
248,MER57A
249,L1PB2
250,L1PREC2
251,L1P5
252,L1PA14
253,L1P
254,L1P4
255,LOR1a
256,L1PBa
257,L1PBa1
258,MSTA-int
259,MLT2B3
260,LOR1b
261,MER4A
262,AluJo
263,FLAM_A
264,MER41B
265,MER4B
266,L1PA12
267,MER66B
268,MSTA
269,MER50
270,MER75
271,MER1A
272,HSMAR1
273,L1PA11
274,L1PB1
275,L1PB
276,THE1D-int
277,MER4E1
278,L1PA10
279,LTR8
280,MER4A1-int
281,MER57B
282,MER1B
283,MER30
284,AluJb
285,FLAM_C
286,THE1D
287,THE1C-int
288,MER50B
289,MER52A
290,L1P3
291,THE1B-int
292,THE1C
293,MER41C
294,LTR1D
295,L1PA8A
296,MER41A
297,MLT2A2
298,MER4A1
299,MER51A
300,LTR1B
301,MLT-int
302,MER85
303,THE1A-int
304,THE1B
305,MLT2A1
306,MADE1
307,HERVL-A1
308,LTR9
309,LTR1
310,MER61A
311,MER51B
312,LTR9B
313,THE1A
314,L1PA8
315,L1PA7
316,L1P2
317,AluSx
318,AluJ/FLAM
319,LTR10C
320,AluSq/x
321,AluSq
322,AluSg1
323,AluSc
324,HERVH
325,AluSg/x
326,L1PA6
327,LTR10F
328,LTR12_
329,AluSg
330,FLAM
331,AluJo/FLAM
332,AluS
333,LTR17
334,Alu
335,L1PA5
336,AluSp
337,L1P1
338,AluJ/FRAM
339,MER9
