repNameRenamed,ageMyrMin,ageMyrMax,ageMyrConsensus,ConsensusMethod,Reference
L1HS,2.3,3.9,3.1,mean,14
L1PA2,5.6,9.6,7.6,mean,14
L1PA3,9.2,15.8,12.5,mean,14
L1PA4,13.2,22.8,18,mean,14
L1PA5,15,25.9,20.45,mean,14
L1PA6,19.7,34,26.85,mean,14
L1PA7,23,39.8,31.4,mean,14
L1PA8,30,51.8,40.9,mean,14
L1PA8A,30.6,52.8,41.7,mean,14
L1PA10,34,58.7,46.35,mean,14
L1PA11,39.1,67.5,53.3,mean,14
L1PA13B,43.8,75.7,59.75,mean,14
L1PA12,43.7,75.6,59.65,mean,14
L1PA13A,43.9,75.9,59.9,mean,14
L1PA14,44.4,76.8,60.6,mean,14
L1PA15,51.7,89.3,70.5,mean,14
L1PA16,58.4,100.9,79.65,mean,14
L1PA17,74.1,128,101.05,mean,14
L1PB1,34.3,59.2,46.75,mean,14
L1PB2,42.7,73.7,58.2,mean,14
L1PB3,53.9,93.2,73.55,mean,14
L1PB4,70.3,121.6,95.95,mean,14
L1MA1,45.2,78.1,61.65,mean,14
L1MA2,48.3,83.4,65.85,mean,14
L1MA3,49.9,86.2,68.05,mean,14
L1MA4,75,129.6,102.3,mean,14
L1MA5,72.3,124.9,98.6,mean,14
SVA_A,10.3,16.81,13.555,mean,12
SVA_B,10.59,12.53,11.56,mean,12
SVA_C,10.81,10.94,10.875,mean,12
SVA_D,9.45,9.64,9.545,mean,12
SVA_E,2.46,4.47,3.465,mean,12
SVA_F,2.73,3.63,3.18,mean,12
MLT1,100,100,100,one,1;15
MST,75,75,75,one,1;15
THE1,55,55,55,one,1;15
HERV-L,80,80,80,one,3;15
HERV-W,40,55,47.5,mean,5;15
HERV-E,25,25,25,one,8;15
HERV-H,40,40,40,one,10;15
HERV9,15,15,15,one,6;15
HERV-K,30,30,30,one,11;13;15
Charlie3,40,63,51,corrected_age,16
Charlie5,50,93,72,corrected_age,16
Charlie1,54,99,77,corrected_age,16
Charlie1a,55,101,78,corrected_age,16
Charlie1b,54,100,77,corrected_age,16
Cheshire,53,97,75,corrected_age,16
HSMAR1,37,58,48,corrected_age,16
HSMAR2,48,60,57,corrected_age,16
Looper,54,99,77,corrected_age,16
MADE1,36,56,46,corrected_age,16
MADE2,54,100,77,corrected_age,16
MER107,33,52,43,corrected_age,16
MER1A,41,65,53,corrected_age,16
MER1B,48,75,61,corrected_age,16
MER2,63,79,75,corrected_age,16
MER20,54,100,77,corrected_age,16
MER2B,60,75,71,corrected_age,16
MER3,51,95,73,corrected_age,16
MER30,36,56,46,corrected_age,16
MER30B,46,73,60,corrected_age,16
MER33,51,94,72,corrected_age,16
MER44A,54,67,64,corrected_age,16
MER44B,60,75,72,corrected_age,16
MER44C,57,72,68,corrected_age,16
MER44D,59,74,70,corrected_age,16
MER45A,51,95,73,corrected_age,16
MER45B,52,97,75,corrected_age,16
MER45R,53,99,76,corrected_age,16
MER46A,55,69,66,corrected_age,16
MER46B,53,67,63,corrected_age,16
MER53,46,85,65,corrected_age,16
MER58,52,96,74,corrected_age,16
MER58A,53,98,75,corrected_age,16
MER58B,52,96,74,corrected_age,16
MER58D,51,94,72,corrected_age,16
MER6,56,70,66,corrected_age,16
MER63B,54,100,77,corrected_age,16
MER63C,56,104,80,corrected_age,16
MER63D,55,101,78,corrected_age,16
MER6A,56,70,67,corrected_age,16
MER6B,64,80,76,corrected_age,16
MER6C,60,75,71,corrected_age,16
MER75,38,59,48,corrected_age,16
MER75B,34,54,44,corrected_age,16
MER8,64,80,76,corrected_age,16
MER82,64,80,76,corrected_age,16
MER85,29,46,37,corrected_age,16
MER96B,49,91,70,corrected_age,16
MER106B,56,105,80,corrected_age,16
MER119,55,102,79,corrected_age,16
ORSL,54,100,77,corrected_age,16
Ricksha,59,74,71,corrected_age,16
Ricksha_b,59,74,70,corrected_age,16
Ricksha_c,55,69,66,corrected_age,16
Tigger2,52,64,61,corrected_age,16
Tigger2a,54,67,64,corrected_age,16
Tigger3,54,67,64,corrected_age,16
Tigger3b,51,64,61,corrected_age,16
Tigger4,52,65,62,corrected_age,16
Tigger5,59,74,70,corrected_age,16
Tigger5a,55,69,65,corrected_age,16
Tigger5b,61,77,73,corrected_age,16
Tigger5c,65,82,78,corrected_age,16
Tigger6,51,94,73,corrected_age,16
Tigger6a,51,95,73,corrected_age,16
Tigger6b,49,91,70,corrected_age,16
Tigger7,58,73,69,corrected_age,16
Tigger1,50,62,59,corrected_age,16
FLA,112,112,112,one,4
AluJ,60,100,100,max,7
AluJo,81,81,81,one,4
AluJb,81,81,81,one,4
AluS,35,60,47.5,mean,7
AluSx,37,44.1,40.55,mean,4;9
AluSg,31,34.68,32.84,mean,4;9
AluSq,37.49,44,40.745,mean,4;9
AluSp,28.31,37,32.655,mean,4;9
AluSc,30.44,35,32.72,mean,4;9
AluSb,19,19,19,one,4
AluHS/PV,4,4,4,one,4
AluSb2,3,3,3,one,4
AluY,5,30,17.5,mean,7
AluYd,14.96,19.24,17.1,mean,9
AluYe5,11.53,11.83,11.68,mean,9
AluYd3,12.61,14.15,13.38,mean,9
AluYi6,4.24,5.48,4.86,mean,9
AluYa5,2.33,2.63,2.48,mean,9
AluYb8,2.33,2.89,2.61,mean,9
AluYb7,1.59,2,1.795,mean,9
AluYg6,2.68,2.94,2.81,mean,9
AluYd6,1.96,2.45,2.205,mean,9
AluYb9,1.47,1.6,1.535,mean,9
AluYc1,1.95,1.99,1.97,mean,9
AluYa8,1.07,1.61,1.34,mean,9
