rank,repName,repFamily,repType,cluster,repTranspoType
1,L1MA4,L1,non-LTR,ClusterI,Retrotransposon
2,L1PA17,L1,non-LTR,ClusterI,Retrotransposon
3,L1MA5,L1,non-LTR,ClusterI,Retrotransposon
4,L1PB4,L1,non-LTR,ClusterI,Retrotransposon
5,AluJo,Alu,non-LTR,ClusterII,Retrotransposon
6,AluJb,Alu,non-LTR,ClusterII,Retrotransposon
7,MER63C,hAT-Blackjack,DNAtransposon,ClusterI,DNAtransposon
8,MER106B,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
9,L1PA16,L1,non-LTR,ClusterI,Retrotransposon
10,MER119,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
11,Charlie1a,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
12,MER63D,hAT-Blackjack,DNAtransposon,ClusterI,DNAtransposon
13,Charlie1,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
14,Charlie1b,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
15,Looper,PiggyBac,DNAtransposon,ClusterI,DNAtransposon
16,MADE2,TcMar-Mariner,DNAtransposon,ClusterI,DNAtransposon
17,MER20,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
18,MER63B,hAT-Blackjack,DNAtransposon,ClusterI,DNAtransposon
19,ORSL,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
20,MER45R,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
21,MER6B,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
22,MER8,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
23,MER82,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
24,Cheshire,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
25,MER2,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
26,MER45B,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
27,MER58A,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
28,MER58B,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
29,L1PB3,L1,non-LTR,ClusterI,Retrotransposon
30,MER3,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
31,MER45A,hAT-Tip100,DNAtransposon,ClusterI,DNAtransposon
32,Tigger6a,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
33,Charlie5,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
34,MER33,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
35,MER44B,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
36,MER58D,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
37,MER2B,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
38,MER6C,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
39,Ricksha,MuDR,DNAtransposon,ClusterI,DNAtransposon
40,L1PA15,L1,non-LTR,ClusterI,Retrotransposon
41,MER44D,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
42,MER96B,hAT,DNAtransposon,ClusterI,DNAtransposon
43,Ricksha_b,MuDR,DNAtransposon,ClusterI,DNAtransposon
44,Tigger5,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
45,Tigger6b,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
46,Tigger7,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
47,L1MA3,L1,non-LTR,ClusterI,Retrotransposon
48,MER44C,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
49,MER6A,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
50,MER6,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
51,Ricksha_c,MuDR,DNAtransposon,ClusterI,DNAtransposon
52,L1MA2,L1,non-LTR,ClusterI,Retrotransposon
53,MER53,hAT,DNAtransposon,ClusterI,DNAtransposon
54,MER44A,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
55,Tigger2a,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
56,Tigger3,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
57,Tigger4,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
58,L1MA1,L1,non-LTR,ClusterI,Retrotransposon
59,MER1B,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
60,Tigger2,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
61,Tigger3b,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
62,L1PA14,L1,non-LTR,ClusterI,Retrotransposon
63,MER30B,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
64,L1PA12,L1,non-LTR,ClusterI,Retrotransposon
65,Tigger1,TcMar-Tigger,DNAtransposon,ClusterI,DNAtransposon
66,L1PB2,L1,non-LTR,ClusterI,Retrotransposon
67,HSMAR2,TcMar-Mariner,DNAtransposon,ClusterI,DNAtransposon
68,L1PA11,L1,non-LTR,ClusterI,Retrotransposon
69,MER1A,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
70,Charlie3,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
71,HSMAR1,TcMar-Mariner,DNAtransposon,ClusterI,DNAtransposon
72,MER75,PiggyBac,DNAtransposon,ClusterI,DNAtransposon
73,L1PB1,L1,non-LTR,ClusterI,Retrotransposon
74,L1PA10,L1,non-LTR,ClusterI,Retrotransposon
75,MADE1,TcMar-Mariner,DNAtransposon,ClusterI,DNAtransposon
76,MER30,hAT-Charlie,DNAtransposon,ClusterI,DNAtransposon
77,MER75B,PiggyBac,DNAtransposon,ClusterI,DNAtransposon
78,MER107,DNA,DNAtransposon,ClusterI,DNAtransposon
79,L1PA8A,L1,non-LTR,ClusterI,Retrotransposon
80,L1PA8,L1,non-LTR,ClusterI,Retrotransposon
81,AluSq,Alu,non-LTR,ClusterII,Retrotransposon
82,AluSx,Alu,non-LTR,ClusterII,Retrotransposon
83,MER85,PiggyBac,DNAtransposon,ClusterI,DNAtransposon
84,AluSg,Alu,non-LTR,ClusterII,Retrotransposon
85,AluSc,Alu,non-LTR,ClusterII,Retrotransposon
86,AluSp,Alu,non-LTR,ClusterII,Retrotransposon
87,L1PA7,L1,non-LTR,ClusterI,Retrotransposon
88,L1PA6,L1,non-LTR,ClusterI,Retrotransposon
89,L1PA5,L1,non-LTR,ClusterI,Retrotransposon
90,L1PA4,L1,non-LTR,ClusterI,Retrotransposon
91,AluY,Alu,non-LTR,ClusterII,Retrotransposon
