Repeat_Name,Repeat_Age
MER67C,Boreotheria/Eutheria?
MER67D,Boreotheria/Eutheria?
MER70C,Boreotheria/Eutheria?
7SK,Eutheria
7SLRNA,Eutheria
Arthur1,Eutheria
Arthur1A,Eutheria
Arthur1B,Eutheria
Arthur1C,Eutheria
BLACKJACK,Eutheria
Chap1_Mam,Eutheria
Charlie10,Eutheria
Charlie10a,Eutheria
Charlie10b,Eutheria
Charlie11,Eutheria
Charlie14a,Eutheria
Charlie15a,Eutheria
Charlie15b,Eutheria
Charlie16a,Eutheria
Charlie17,Eutheria
Charlie17a,Eutheria
Charlie17b,Eutheria
Charlie19a,Eutheria
Charlie20a,Eutheria
Charlie21a,Eutheria
Charlie22a,Eutheria
Charlie23a,Eutheria
Charlie24,Eutheria
Charlie25,Eutheria
Charlie26a,Eutheria
Charlie29a,Eutheria
Charlie2a,Eutheria
Charlie2b,Eutheria
Charlie4a,Eutheria
Charlie4z,Eutheria
Charlie5,Eutheria
Charlie6,Eutheria
Charlie7a,Eutheria
Charlie8,Eutheria
Charlie9,Eutheria
Cheshire,Eutheria
Cheshire_Mars_,Eutheria
DNA1_Mam,Eutheria
ERV3-16A3_I-int,Eutheria
ERV3-16A3_LTR,Eutheria
ERVL-B4-int,Eutheria
ERVL-E-int,Eutheria
ERVL-int,Eutheria
FordPrefect,Eutheria
FordPrefect_a,Eutheria
HAL1,Eutheria
HAL1b,Eutheria
HAL1M8,Eutheria
HAL1ME,Eutheria
hAT-N1_Mam,Eutheria
Helitron1Na_Mam,Eutheria
Helitron1Nb_Mam,Eutheria
Helitron3Na_Mam,Eutheria
HERV16-int,Eutheria
HERVL40-int,Eutheria
Kanga1,Eutheria
Kanga11a,Eutheria
Kanga1a,Eutheria
Kanga1b,Eutheria
Kanga1c,Eutheria
Kanga1d,Eutheria
Kanga2_a,Eutheria
L1M2,Eutheria
L1M4,Eutheria
L1M4a1,Eutheria
L1M4a2,Eutheria
L1M4b,Eutheria
L1M4c,Eutheria
L1M5,Eutheria
L1M6,Eutheria
L1M6B,Eutheria
L1M7,Eutheria
L1M8,Eutheria
L1MB3,Eutheria
L1MB4,Eutheria
L1MB5,Eutheria
L1MB7,Eutheria
L1MB8,Eutheria
L1MC,Eutheria
L1MC1,Eutheria
L1MC2,Eutheria
L1MC3,Eutheria
L1MC4,Eutheria
L1MC4a,Eutheria
L1MC5,Eutheria
L1MC5a,Eutheria
L1MCa,Eutheria
L1MCb,Eutheria
L1MCc,Eutheria
L1MD,Eutheria
L1MD1,Eutheria
L1MD2,Eutheria
L1MD3,Eutheria
L1MDa,Eutheria
L1MDb,Eutheria
L1ME1,Eutheria
L1ME2,Eutheria
L1ME2z,Eutheria
L1ME3,Eutheria
L1ME3A,Eutheria
L1ME3B,Eutheria
L1ME3C,Eutheria
L1ME3Cz,Eutheria
L1ME3D,Eutheria
L1ME3E,Eutheria
L1ME3F,Eutheria
L1ME3G,Eutheria
L1ME4a,Eutheria
L1ME4b,Eutheria
L1ME4c,Eutheria
L1ME5,Eutheria
L1MEa,Eutheria
L1MEb,Eutheria
L1MEc,Eutheria
L1MEd,Eutheria
L1MEf,Eutheria
L1MEg,Eutheria
L1MEg1,Eutheria
L1MEg2,Eutheria
L1MEh,Eutheria
L1MEi,Eutheria
L1PB4,Eutheria
L4_A_Mam,Eutheria
L4_B_Mam,Eutheria
L4_C_Mam,Eutheria
Looper,Eutheria
LTR101_Mam,Eutheria
LTR102_Mam,Eutheria
LTR103_Mam,Eutheria
LTR103b_Mam,Eutheria
