"repSubfam","repName"
"MARNA;Charlie11;L1MEd;L3;L1ME4a;L4","1"
"Tigger8;L1MEe;HAL1;HAL1b;L2;Charlie7","2"
"MIR3;MIRb;MER113;Kanga2_a;L1ME3B;MER102b","3"
"Charlie8;Charlie2b;L1M5;Zaphod2;Charlie2a;L1MC4a","4"
"MLT1K;MLT1L;Charlie9;MER20B;MIR;MLT1J","5"
"BLACKJACK;MER112;MER102a;Kanga1;Arthur1;Zaphod","6"
"Arthur1B;L1MC4;L1MC5;L1ME3A;Charlie6;L1MEb","7"
"L1ME3;L1MDa;L1MEc;L1MCc;L1MEa;Charlie4","8"
"L1ME2;MER63D;Charlie4a;MER46C;MER91B;L1M","9"
"L1MDb;LTR33;MLT1J2;L1ME1;MLT1I;L1M4b","10"
"MER31-int;Charlie1a;FordPrefect_a;MER97c;L1MCa;MER115","11"
"MLT1H-int;LTR37B;L1MCb;L1M4;MLT1J1;LTR33A","12"
"L1M4c;Charlie10;MER117;Cheshire;LTR16C;L1MC","13"
"MER5B;LTR16A1;LTR50;MLT1H;FordPrefect;Arthur1A","14"
"Charlie1b;MER5A;MLT1G;MLT1H2;MER5C;LTR16A","15"
"L1MD;MER91A;MLT1H1;MER91C;MER58D;LTR37A","16"
"MER57A-int;MADE2;MER97a;Charlie1;MER94;MLT2F","17"
"MER5A1;MLT1G1;MER119;MER97b;MER63C;MER3","18"
"MER63B;Charlie5;L1MD2;MER33;LTR16B;MER45R","19"
"MLT1F1;MER45A;MER45C;L1MD1;MLT1F;L1MD3","20"
"L1MC3;LTR41;MER106A;MER63A;MER58C;MLT1F2","21"
"MER96B;MER58B;Tigger6a;Tigger6b;L1MB7;MER45B","22"
"MER106B;MLT1F-int;LTR40a;MER58A;LTR40b;MLT1E3","23"
"MLT1E1A;MER20;MLT1E;L1MB8;ORSL;MLT1E1","24"
"MER81;MER53;MER96;L1MC2;MER68;L1MB4","25"
"LTR52;MLT1E2;MLT1D;L1MB5;MER92B;MLT2C1","26"
"MER77;MER82;MER89;L1MC1;MLT1C;MER67D","27"
"L1MB3;MER67C;L1MB2;L1M3c;L1M3e;MER74A","28"
"MLT2D;L1M3;MLT2C2;MLT1B;MER31B;L1MA9","29"
"MER74B;L1MA10;L1MB1;L1M2;LTR49-int;MLT2B4","30"
"L1MA8;MLT2B1;MER21C;MER4B-int;MLT1A;MER34","31"
"MER31A;MER34B;MER34C_;MLT1A0;L1MA7;MER39","32"
"MLT1A0-int;MLT2B2;L1M1;L1M3b;MER44C;L1MA6","33"
"MSTD-int;MLT1A1;MER44B;MER44A;Tigger7;MER44D","34"
"LTR48;MER21B;MSTD;Tigger4;MER2;Ricksha","35"
"MER2B;Tigger3b;Tigger5;Tigger3;MER6C;Tigger1","36"
"L1MA5;MSTC;LTR54;MER6;MER6A;LTR48B","37"
"Tigger2;Tigger2b_Pri;MER65A;L1M3f;L1MA4;Tigger2a","38"
"L1MA4A;HSMAR2;LTR49;MSTB2;PRIMA4-int;L1MA5A","39"
"MER8;LTR23;LTR26;L1PB4;MER39B;L1PA17","40"
"LTR39;LTR47A;MER4D;MER49;MSTB1;MER72","41"
"L1PA15-16;L1MA3;L1PA16;FAM;L1PB3;L1PA15","42"
"MSTB-int;MER4C;MER4D1;MER21A;L1MA2;LTR32","43"
"L1MA1;MSTB;L1PA13;LTR8A;MER30B;L1PA14","44"
"L1PB2;L1PREC2;L1P5;L1P;L1P4;LOR1a","45"
"L1PBa;L1PBa1;MSTA-int;Charlie3;MLT2B3;MER4A","46"
"MER6B;LOR1b;MER41B;AluJo;L1PA12;FLAM_A","47"
"MER4B;MER107;MER50;MSTA;MER66B;MER75","48"
"MER1A;HSMAR1;L1PA11;L1PB1;L1PB;THE1D-int","49"
"Charlie12;MER4E1;L1PA10;LTR8;MER30;MER1B","50"
"AluJb;FLAM_C;THE1D;THE1C-int;MER50B;MER52A","51"
"L1P3;THE1C;THE1B-int;MER41C;LTR1D;L1PA8A","52"
"MER41A;MLT2A2;MER4A1;LTR1B;MLT-int;MER51A","53"
"MER85;PABL_A;MLT2A1;THE1A-int;THE1B;MADE1","54"
"LTR1;LTR9;MER61A;MER51B;LTR9B;THE1A","55"
"L1PA8;L1PA7;L1P2;AluSx;LTR10C;LTR12_","56"
"AluSc;AluSq;L1PA6;LTR10F;AluSg;LTR17","57"
"AluSp;L1PA5;L1P1;MER11A;LTR7B;LTR2","58"
"LTR12;L1PA4;MER11C;SVA_A;L1PA3;LTR5_Hs","59"
"AluY;LTR12C;MER11B;FRAM;AluYd8;SVA_B","60"
"SVA_C;SVA_D;L1PA2;SVA_E;SVA_F;L1HS","61"
"LTR7;AluYg6;AluYa5;AluYb8;AluYb9;AluYa8","62"
