"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"CR1",0.203220716094415,0.211319165930044,0.216226284252118,0.219231602118094,0.221867163752814,0.224157563295364,0.226341694945951,0.228518442899151,0.230646753601596,0.231915048441004,0.233920912573583,0.234727360267185,0.235332427770842,0.236552896729802,0.236180346418874,0.235313351498638,0.236043471042364,0.235905506556484,0.237450925406618,0.237457158651188,0.24184925833898
"TcMar-Tigger",0.353547071057201,0.366126281743712,0.372534457700478,0.376821172428308,0.38013934023281,0.382495857563308,0.384676648141686,0.386750972809195,0.388245483344632,0.389242966535516,0.390086978317181,0.390641207696199,0.391578601963644,0.392367191134186,0.393126349048966,0.393330627862485,0.394812391045685,0.395580073628366,0.391114494030927,0.38808181315644,0.379489496272871
"ERV1",0.368661341631579,0.368253980463361,0.368406775511707,0.368637075456143,0.369892247272688,0.371177188945101,0.372708870522642,0.373322258049852,0.374398445172482,0.374829293057495,0.375849203923446,0.377008306872825,0.379300207291083,0.38110139333448,0.384186610995846,0.389594759116471,0.396873875868176,0.405979246143408,0.418365916192613,0.423991155334439,0.428055116331602
"ERVL",0.459256524623696,0.468128591813638,0.472515645910667,0.475624520834077,0.478552687042192,0.482357106967166,0.486390735792245,0.489894867220218,0.49389384796612,0.497061386808817,0.500242533091341,0.503415386303106,0.506478158648885,0.510663839443913,0.515961633490055,0.523568902545075,0.530278923047124,0.542625485202033,0.555394199182758,0.567274737423991,0.571568405993525
"hAT-Charlie",0.782997753207247,0.795818309840416,0.801781036374784,0.805174574059961,0.807442083862245,0.809436735463888,0.81121288270713,0.812500648007765,0.813625877361433,0.81490612175826,0.816164424813389,0.817037926390015,0.817898656397333,0.818670289574866,0.818562269927294,0.818950663806598,0.818769196712693,0.820789447342372,0.821819165130999,0.824566058595909,0.827196747232889
"ERVL-MaLR",0.813163783295328,0.82459055091592,0.829822794890654,0.833086288237346,0.835711477552987,0.838656650552994,0.841423667790032,0.844084347083327,0.846741486726485,0.849001142276939,0.850875959200344,0.852679469286511,0.85456560900188,0.857436869401008,0.860729053826752,0.864370108412082,0.870129915050223,0.874820655982027,0.88177029084208,0.889198452183527,0.891649725171297
"L2",0.920284077478169,0.927502274312904,0.931005109174826,0.933486337170207,0.935423362823692,0.936988290392949,0.938677396010689,0.940176122528897,0.94155477596513,0.942422811693531,0.943228322816053,0.943884422937452,0.944906710684444,0.945618285682625,0.946807431861458,0.946663574699983,0.946885636016492,0.948549120797233,0.949793686403333,0.952769485903814,0.944431895188615
"Low_complexity",0.92802488661301,0.932090814935791,0.93456234182034,0.936374211774432,0.937960401767974,0.939239840298641,0.940498980072179,0.941437843493962,0.942196090763572,0.942892583661209,0.943442455192237,0.943786910123658,0.944279590614686,0.945515554534657,0.946612669833293,0.948592961910835,0.949818755361244,0.951557651455328,0.954100232353177,0.95517965726921,0.941645960394549
"MIR",0.944805526363697,0.950489205952962,0.952863970033782,0.954154240328732,0.955248443814636,0.955997379987858,0.956528982265825,0.957158113097094,0.957758800679464,0.958353428946144,0.958997932608259,0.959148225571516,0.959459560749446,0.960203800129049,0.960678995156703,0.960918314105165,0.961872907385373,0.963102401263472,0.964435942632802,0.963913764510779,0.958587455763873
"Simple_repeat",0.972581663642252,0.973570831334128,0.973632344476911,0.973375964695397,0.973182038914842,0.972949590558622,0.972735412846329,0.972312721768196,0.971881903220235,0.971565934763295,0.971310769641349,0.970959465142216,0.971075023714799,0.97089014808291,0.971772382744406,0.971873152066786,0.972771797780791,0.973462646394768,0.972458136367278,0.971254836926479,0.96453580302688
"L1",0.977741949161902,0.981141029436345,0.982509546404223,0.983234720448237,0.983647179773881,0.984096187312445,0.98430474334744,0.98457282929362,0.984670050238044,0.984610568177011,0.984689760505334,0.984758137749039,0.984841683413465,0.984743847385377,0.985381580662867,0.985095947591165,0.985389745150668,0.985930531303178,0.985397804663088,0.983217247097844,0.98313380016565
"Alu",0.99171162241085,0.992851713967109,0.993013852329035,0.992906026872043,0.992662721984875,0.992372340424225,0.992002641741863,0.99154499407023,0.991157691782252,0.990757202690697,0.990281094951254,0.989915956143612,0.98970706913395,0.989562977079411,0.989756483080652,0.989650414516784,0.989741000027671,0.989645315923524,0.989564137488983,0.988302929795467,0.979218432346962
