"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21"
"L3",0.124576012764241,0.129007229155111,0.131387916296191,0.132885465952531,0.13414916773559,0.135174424495763,0.136628328622071,0.137943905257676,0.139270478640454,0.140309176291408,0.141668176863425,0.142098719534864,0.142516991789141,0.143658544749803,0.143467182598254,0.142232013450055,0.144629071086638,0.143035891047814,0.144048954410704,0.145185185185185,0.151268729764325
"L2",0.197941146674257,0.200113393416218,0.201422515115572,0.202754448977235,0.204665414234541,0.20650318652283,0.208096657774988,0.209784438721594,0.21151866334324,0.212150103651056,0.212946759027596,0.213013694455787,0.214187737928771,0.2145568882389,0.216451435846837,0.216652559568671,0.217185727330585,0.219094437832968,0.219493630318083,0.218065229408513,0.216549958587456
"MIR3",0.361411886699083,0.370479543241465,0.375009372367736,0.377070699625937,0.378525747171193,0.378955672396295,0.379547266023562,0.380388334105626,0.381403159661093,0.382699327325803,0.384145819189326,0.385434632894729,0.386341774608217,0.38654845274194,0.384901274966963,0.3854577076932,0.383719804089765,0.380720935146979,0.378325054082205,0.381404090657822,0.388449664934869
"MIRb",0.72486734172857,0.7380373012263,0.744546744981257,0.748104953388411,0.751122888764973,0.753559805781099,0.755719909787326,0.75799402317515,0.760385665273886,0.76252079367094,0.76497461517031,0.766806028729713,0.768092996992655,0.76948630963168,0.769089495566347,0.769162270276538,0.771078336423255,0.77323130651422,0.777531848409583,0.788833609729132,0.791205481514946
"L1M5",0.182248737654891,0.182174074745481,0.18167342757272,0.181741812293849,0.181683416651311,0.182203961779658,0.182015545995115,0.18128406028506,0.181476879931332,0.180864915175361,0.180428390977769,0.180121403453173,0.179749435133881,0.178413992674923,0.179211648378888,0.178324540553076,0.175568637759761,0.176591295836994,0.173864273696018,0.167031509121061,0.160454785031248
"MIR",0.678883728157627,0.689836264023197,0.695690588362805,0.699391530511994,0.702726100661682,0.705674330722123,0.70881259792361,0.711590884983208,0.715116779609901,0.717837288996065,0.720288569298196,0.722209152796485,0.723372590105828,0.724970248366979,0.726470413072556,0.725565540031306,0.728617283267384,0.733219517077999,0.734496434580562,0.737932559425097,0.743618703410888
"MER5A",0.106153124677066,0.112153926079425,0.115328341320724,0.117007512409875,0.118290454279969,0.11954216847641,0.120432671102357,0.121642023762146,0.122947109572551,0.12368100858823,0.124770202149979,0.125736069380367,0.126411748882136,0.127402783436969,0.127874953120297,0.129391848802829,0.128403525277401,0.131140794785955,0.130668616296771,0.132913211719182,0.133800165650177
"AluJo",0.248791990256196,0.242684934485652,0.239058956978302,0.23630780289175,0.233879585629842,0.230904843767713,0.227172469677347,0.223199196390617,0.219674548205582,0.216413250412489,0.213499896765654,0.211714336211993,0.208848472633663,0.207279136688987,0.205066710018655,0.199686938373239,0.194429840338692,0.186089577471055,0.177439708356702,0.167252625760088,0.160454785031248
"AluJb",0.433992814020962,0.426529402666476,0.421650480358992,0.418059948833248,0.414607993024012,0.410662707580877,0.406141581438485,0.401516976208345,0.396850907197521,0.392708719380632,0.389313847737906,0.385989846478264,0.38369671040961,0.381706237396677,0.378726835793076,0.371829091541539,0.362845540828468,0.353938895129628,0.340988302219373,0.32482034273079,0.308259920186733
"AluSx",0.447010501198044,0.436759756885513,0.429598370116295,0.42476116736786,0.420395190822799,0.415764926988594,0.410824427993408,0.405821143476496,0.401093689183999,0.396552185133477,0.393070405823679,0.390350497620078,0.386636595995593,0.385516524132008,0.381430969737844,0.375305235086092,0.369234068457899,0.359600048937282,0.348860267606762,0.339635157545605,0.332730969053535
"AluY",0.511481088119014,0.50152720943054,0.495123442769671,0.49119869552895,0.487060995207676,0.483296562849156,0.47941447633947,0.476064587033624,0.472655708294561,0.47043567288573,0.468492787570765,0.466459248785661,0.465969366891891,0.464212046323668,0.463667224126026,0.459678821960693,0.457870998090705,0.45214156221152,0.44766044387469,0.436948590381426,0.430539868985769
