"","repName","rank","repFamily","repType","cluster","repTranspoType","cluster.sf"
"185","MARNA",1,"TcMar-Mariner","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"21","Charlie11",2,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"105","L1MEd",3,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"139","L3",4,"CR1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"101","L1ME4a",5,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"140","L4",6,"RTE","non-LTR","ClusterI","Retrotransposon","ClusterI"
"370","Tigger8",7,"TcMar-Tigger","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"106","L1MEe",8,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"42","HAL1",9,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"43","HAL1b",10,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"138","L2",11,"L2","non-LTR","ClusterI","Retrotransposon","ClusterI"
"32","Charlie7",12,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"291","MIR3",13,"MIR","non-LTR","ClusterI","Retrotransposon","ClusterI"
"292","MIRb",14,"MIR","non-LTR","ClusterI","Retrotransposon","ClusterI"
"192","MER113",15,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"47","Kanga2_a",16,"TcMar-Tc2","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"100","L1ME3B",17,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"187","MER102b",18,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"33","Charlie8",19,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"26","Charlie2b",20,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"60","L1M5",21,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"372","Zaphod2",22,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"25","Charlie2a",23,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"85","L1MC4a",24,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"320","MLT1K",25,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"321","MLT1L",26,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"34","Charlie9",27,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"203","MER20B",28,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"290","MIR",29,"MIR","non-LTR","ClusterI","Retrotransposon","ClusterI"
"317","MLT1J",30,"ERVL-MaLR","LTR","ClusterI","Retrotransposon","ClusterI"
"18","BLACKJACK",31,"hAT-Blackjack","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"191","MER112",32,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"186","MER102a",33,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"46","Kanga1",34,"TcMar-Tc2","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"15","Arthur1",35,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"371","Zaphod",36,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"17","Arthur1B",37,"hAT-Tip100","DNAtransposon","ClusterI","DNAtransposon","ClusterI"
"84","L1MC4",38,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"86","L1MC5",39,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"99","L1ME3A",40,"L1","non-LTR","ClusterI","Retrotransposon","ClusterI"
"31","Charlie6",41,"hAT-Charlie","DNAtransposon","ClusterI","DNAtransposon","ClusterII"
"103","L1MEb",42,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"98","L1ME3",43,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
"94","L1MDa",44,"L1","non-LTR","ClusterI","Retrotransposon","ClusterII"
