#TIME	REQUESTED	slurm_script-23628	sps-23631	taskprolog.sh-23632	R-23645	R-23650	R-23651
1	0	1532	1328	0	79000	0	0
2	0	1532	1328	0	132988	152440	156080
3	0	1532	1328	0	132988	154804	160116
4	0	1532	1328	0	132988	160128	160120
5	0	1532	1328	0	132988	160128	157564
6	0	1532	1328	0	132988	153744	157396
7	0	1532	1328	0	132988	158684	154912
8	0	1532	1328	0	132988	159976	155008
9	0	1532	1328	0	132988	156248	161396
10	0	1532	1328	0	132988	156100	158748
11	0	1532	1328	0	132988	163964	158832
12	0	1532	1328	0	132988	160080	157500
13	0	1532	1328	0	132988	160080	161396
14	0	1532	1328	0	132988	144924	161388
15	0	1532	1328	0	132988	160132	141020
16	0	1532	1328	0	132988	162584	154876
17	0	1532	1328	0	132988	159892	162512
18	0	1532	1328	0	132988	161212	162676
19	0	1532	1328	0	132988	161400	160004
20	0	1532	1328	0	132988	156084	156216
21	0	1532	1328	0	132988	134700	157376
22	0	1532	1328	0	132988	162648	162536
23	0	1532	1328	0	132988	162648	162680
24	0	1532	1328	0	132988	152228	160000
25	0	1532	1328	0	132988	161400	158652
26	0	1532	1328	0	132988	156084	156200
27	0	1532	1328	0	132988	157528	162592
28	0	1532	1328	0	132988	162544	162680
29	0	1532	1328	0	132988	162544	161392
30	0	1532	1328	0	132988	156120	155800
31	0	1532	1328	0	132988	161408	149652
32	0	1532	1328	0	132988	154764	162516
33	0	1532	1444	0	132988	157528	162516
34	0	1532	1452	0	132988	162492	147472
35	0	1532	1452	0	132988	162492	156072
36	0	1532	1452	0	132988	158696	157304
37	0	1532	1452	0	132988	156188	162548
38	0	1532	1452	0	132988	134700	162548
39	0	1532	1452	0	132988	134700	158756
40	0	1532	1452	0	132988	162532	160024
41	0	1532	1452	0	132988	162688	156200
42	0	1532	1452	0	132988	159880	162536
43	0	1532	1452	0	132988	158716	162536
44	0	1532	1452	0	132988	158720	158724
45	0	1532	1452	0	132988	160132	158636
46	0	1532	1452	0	132988	162512	157320
47	0	1532	1452	0	132988	162512	160020
48	0	1532	1452	0	132988	161408	159868
49	0	1532	1452	0	132988	154764	158608
50	0	1532	1452	0	132988	157528	159980
51	0	1532	1452	0	132988	162540	152392
52	0	1532	1452	0	132988	162540	162620
53	0	1532	1452	0	132988	156120	158608
54	0	1532	1452	0	132988	161392	161396
55	0	1532	1452	0	132988	156084	161400
56	0	1532	1488	0	132988	158848	158652
57	0	1532	1488	0	132988	162496	157520
58	0	1532	1488	0	132988	162496	162528
59	0	1532	1488	0	132988	162496	162528
60	0	1532	1488	0	132988	161384	159876
61	0	1532	1488	0	132988	138536	158712
62	0	1532	1488	0	132988	139812	159896
63	0	1532	1488	0	132988	162632	162536
64	0	1532	1488	0	132988	162632	158688
65	0	1532	1488	0	132988	158776	158756
66	0	1532	1488	0	132988	160112	155004
67	0	1532	1488	0	132988	161396	162532
68	0	1532	1488	0	132988	161396	162680
69	0	1532	1488	0	132988	157476	158684
70	0	1532	1488	0	132988	160120	158844
71	0	1532	1488	0	132988	161152	155004
72	0	1532	1488	0	132988	159920	159896
73	0	1532	1488	0	132988	157388	162680
74	0	1532	1488	0	132988	157408	156112
75	0	1532	1488	0	132988	132144	158756
76	0	1532	1488	0	132988	153648	155004
77	0	1532	1488	0	132988	144924	162528
78	0	1532	1488	0	132988	155012	162680
79	0	1532	1488	0	132988	157472	160104
80	0	1532	1488	0	132988	155000	161156
81	0	1532	1488	0	132988	156116	162476
82	0	1532	1488	0	132988	138536	158688
83	0	1532	1488	0	132988	154912	157488
84	0	1532	1488	0	132988	158636	159956
85	0	1532	1564	0	132988	154788	161276
86	0	1532	1564	0	132988	161168	158668
87	0	1532	1564	0	132988	156072	155004
88	0	1532	1564	0	132988	156100	162552
89	0	1532	1564	0	132988	132144	152588
90	0	1532	1564	0	132988	161236	161232
91	0	1532	1564	0	132988	157500	157312
92	0	1532	1564	0	132988	160048	163936
93	0	1532	1580	0	132988	157568	157336
94	0	1532	1580	0	132988	156288	162424
95	0	1532	1580	0	132988	157476	157360
96	0	1532	1580	0	132988	158640	162464
97	0	1532	1580	0	132988	158852	156132
