#TIME	REQUESTED	slurm_script-23628	sps-23631	taskprolog.sh-23632	R-23645	R-23650	R-23651
1	0	4162	599	0	3738	0	0
2	0	4162	1150	0	6111	24	70
3	0	4162	2091	0	6111	236	600
4	0	4162	2371	0	6111	502	1010
5	0	4162	2653	0	6111	788	1600
6	0	4162	2944	0	6111	1180	2100
7	0	4162	3236	0	6111	1572	2580
8	0	4162	3528	0	6111	1852	3140
9	0	4162	3820	0	6111	2100	3700
10	0	4162	4112	0	6111	2436	4220
11	0	4162	4404	0	6111	2828	4740
12	0	4162	4696	0	6111	3188	5380
13	0	4162	4988	0	6111	3580	5940
14	0	4162	5280	0	6111	3932	6450
15	0	4162	5572	0	6111	4252	6970
16	0	4162	5864	0	6111	4588	7360
17	0	4162	6156	0	6111	4948	7930
18	0	4162	6448	0	6111	5300	8470
19	0	4162	6740	0	6111	5684	8870
20	0	4162	7032	0	6111	6060	9310
21	0	4162	7324	0	6111	6364	9740
22	0	4162	7617	0	6111	6788	10310
23	0	4162	7911	0	6111	7092	10940
24	0	4162	8205	0	6111	7484	11450
25	0	4162	8499	0	6111	7876	11950
26	0	4162	8793	0	6111	8307	12530
27	0	4162	9087	0	6111	8685	13130
28	0	4162	9381	0	6111	9090	13643
29	0	4162	9675	0	6111	9540	14170
30	0	4162	9969	0	6111	9963	14780
31	0	4162	10265	0	6111	10305	15360
32	0	4162	10563	0	6111	10710	15870
33	0	4162	10861	0	6111	11160	16370
34	0	4162	11159	0	6111	11565	16890
35	0	4162	11457	0	6111	12033	17450
36	0	4162	11755	0	6111	12456	17970
37	0	4162	12053	0	6111	12870	18410
38	0	4162	12351	0	6111	13203	18880
39	0	4162	12649	0	6111	13599	19290
40	0	4162	12947	0	6111	14034	19820
41	0	4162	13245	0	6111	14490	20370
42	0	4162	13543	0	6111	14895	20850
43	0	4162	13841	0	6111	15237	21310
44	0	4162	14139	0	6111	15651	21900
45	0	4162	14437	0	6111	16074	22370
46	0	4162	14735	0	6111	16479	22970
47	0	4162	15033	0	6111	16911	23490
48	0	4162	15331	0	6111	17343	24000
49	0	4162	15629	0	6111	17766	24550
50	0	4162	15927	0	6111	18135	25030
51	0	4162	16233	0	6111	18540	25480
52	0	4162	16539	0	6111	18954	25950
53	0	4162	16845	0	6111	19281	26420
54	0	4162	17151	0	6111	19701	26990
55	0	4162	17457	0	6111	20142	27569
56	0	4162	17763	0	6111	20484	28070
57	0	4162	18069	0	6111	20880	28550
58	0	4162	18375	0	6111	21186	29160
59	0	4162	18681	0	6111	21555	29610
60	0	4162	18987	0	6111	21960	30210
61	0	4162	19293	0	6111	22311	30720
62	0	4162	19599	0	6111	22734	31220
63	0	4162	19905	0	6111	23094	31830
64	0	4162	20211	0	6111	23580	32410
65	0	4162	20517	0	6111	24039	32900
66	0	4162	20823	0	6111	24372	33390
67	0	4162	21129	0	6111	24786	33880
68	0	4162	21435	0	6111	25119	34460
69	0	4162	21741	0	6111	25515	34980
70	0	4162	22047	0	6111	25866	35460
71	0	4162	22353	0	6111	26208	35900
72	0	4162	22659	0	6111	26532	36340
73	0	4162	22965	0	6111	26928	36900
74	0	4162	23271	0	6111	27279	37490
75	0	4162	23577	0	6111	27720	38020
76	0	4162	23883	0	6111	28161	38500
77	0	4162	24189	0	6111	28584	39120
78	0	4162	24495	0	6111	28998	39690
79	0	4162	24801	0	6111	29412	40200
80	0	4162	25107	0	6111	29808	40720
81	0	4162	25413	0	6111	30186	41240
82	0	4162	25719	0	6111	30591	41860
83	0	4162	26025	0	6111	30978	42460
84	0	4162	26331	0	6111	31365	42950
85	0	4162	26637	0	6111	31743	43479
86	0	4162	26943	0	6111	32139	44120
87	0	4162	27249	0	6111	32571	44570
88	0	4162	27555	0	6111	32949	45190
89	0	4162	27861	0	6111	33381	45710
90	0	4162	28167	0	6111	33768	46220
91	0	4162	28473	0	6111	34200	46840
92	0	4162	28779	0	6111	34668	47460
93	0	4162	29085	0	6111	35127	47970
94	0	4162	29391	0	6111	35505	48470
95	0	4162	29697	0	6111	35946	49110
96	0	4162	30003	0	6111	36315	49490
97	0	4162	30309	0	6111	36774	50040
98	0	4162	30615	0	6111	37188	50510
99	0	4162	30921	0	6111	37638	50950
100	0	4162	31227	0	6111	38052	51560
101	0	4162	31533	0	6111	38511	52030
102	0	4162	31839	0	6111	38898	52650
103	0	4162	32145	0	6111	39402	53180
104	0	4162	32451	0	6111	39807	53680
105	0	4162	32757	0	6111	40329	54320
106	0	4162	33063	0	6111	40806	54900
107	0	4162	33369	0	6111	41238	55370
108	0	4162	33675	0	6111	41706	55850
109	0	4162	33981	0	6111	42138	56310
110	0	4162	34287	0	6111	42564	56900
111	0	4162	34593	0	6111	43020	57420
112	0	4162	34899	0	6111	43470	57840
113	0	4162	35205	0	6111	43911	58230
114	0	4162	35511	0	6111	44370	58580
115	0	4162	35817	0	6111	44802	58930
116	0	4162	36123	0	6111	45153	59510
117	0	4162	36429	0	6111	45621	60050
118	0	4162	36735	0	6111	46035	60530
119	0	4162	37041	0	6111	46503	60963
120	0	4162	37347	0	6111	46872	61400
121	0	4162	37653	0	6111	47313	62010
122	0	4162	37959	0	6111	47673	62580
123	0	4162	38265	0	6111	48096	63019
124	0	4162	38571	0	6111	48519	63490
125	0	4162	38877	0	6111	49005	63960
126	0	4162	39183	0	6111	49410	64610
127	0	4162	39489	0	6111	49806	65190
128	0	4162	39795	0	6111	50301	65660
129	0	4162	40101	0	6111	50706	66140
130	0	4162	40407	0	6111	51147	66550
131	0	4162	40713	0	6111	51534	67190
132	0	4162	41019	0	6111	51966	67760
133	0	4162	41325	0	6111	52335	68210
134	0	4162	41631	0	6111	52740	68670
135	0	4162	41937	0	6111	53172	69120
136	0	4162	42243	0	6111	53568	69820
137	0	4162	42549	0	6111	54018	70420
138	0	4162	42855	0	6111	54450	70930
139	0	4162	43161	0	6111	54900	71430
140	0	4162	43467	0	6111	55278	71980
141	0	4162	43773	0	6111	55677	72590
142	0	4162	44079	0	6111	56133	73210
143	0	4162	44385	0	6111	56502	73670
144	0	4162	44691	0	6111	56907	74080
145	0	4162	44997	0	6111	57348	74760
146	0	4162	45303	0	6111	57789	75210
147	0	4162	45609	0	6111	58248	75780
148	0	4162	45915	0	6111	58671	76270
149	0	4162	46221	0	6111	59139	76770
150	0	4162	46527	0	6111	59553	77440
151	0	4162	46833	0	6111	60030	77870
152	0	4162	47139	0	6111	60435	78480
153	0	4162	47445	0	6111	60858	78970
154	0	4162	47751	0	6111	61326	79450
155	0	4162	48057	0	6111	61713	80130
156	0	4162	48363	0	6111	62208	80570
157	0	4162	48669	0	6111	62658	81160
158	0	4162	48975	0	6111	63054	81620
159	0	4162	49281	0	6111	63567	82060
160	0	4162	49587	0	6111	63990	82750
161	0	4162	49893	0	6111	64539	83210
162	0	4162	50199	0	6111	64935	83850
163	0	4162	50505	0	6111	65406	84370
164	0	4162	50811	0	6111	65880	84870
165	0	4162	51117	0	6111	66321	85570
166	0	4162	51423	0	6111	66797	86120
167	0	4162	51729	0	6111	67221	86590
168	0	4162	52035	0	6111	67671	87070
169	0	4162	52341	0	6111	68085	87530
170	0	4162	52647	0	6111	68463	88140
171	0	4162	52953	0	6111	68904	88559
172	0	4162	53259	0	6111	69354	89190
173	0	4162	53565	0	6111	69831	89700
174	0	4162	53871	0	6111	70254	90200
175	0	4162	54177	0	6111	70623	90880
176	0	4162	54483	0	6111	71064	91270
177	0	4162	54789	0	6111	71454	91840
178	0	4162	55095	0	6111	71856	92320
179	0	4162	55401	0	6111	72306	92799
180	0	4162	55707	0	6111	72720	93460
181	0	4162	56013	0	6111	73125	93880
182	0	4162	56319	0	6111	73629	94470
183	0	4162	56625	0	6111	73998	94910
184	0	4162	56931	0	6111	74502	95380
185	0	4162	57237	0	6111	74916	95870
186	0	4162	57543	0	6111	75303	96500
187	0	4162	57849	0	6111	75843	97080
188	0	4162	58155	0	6111	76230	97560
189	0	4162	58461	0	6111	76743	98000
190	0	4162	58767	0	6111	77166	98450
191	0	4162	59073	0	6111	77526	99100
192	0	4162	59379	0	6111	78048	99660
193	0	4162	59685	0	6111	78507	100170
194	0	4162	59993	0	6111	78915	100683
195	0	4162	60301	0	6111	79470	101180
196	0	4162	60609	0	6111	79875	101850
197	0	4162	60917	0	6111	80397	102420
198	0	4162	61225	0	6111	80829	102900
199	0	4162	61533	0	6111	81216	103370
200	0	4162	61841	0	6111	81765	103800
201	0	4162	62149	0	6111	82224	104460
202	0	4162	62457	0	6111	82791	104860
203	0	4162	62765	0	6111	83223	105450
204	0	4162	63073	0	6111	83655	105890
205	0	4162	63381	0	6111	84186	106330
206	0	4162	63689	0	6111	84654	107020
207	0	4162	63997	0	6111	85230	107450
208	0	4162	64305	0	6111	85698	108040
209	0	4162	64613	0	6111	86130	108510
210	0	4162	64921	0	6111	86715	108990
211	0	4162	65229	0	6111	87156	109440
212	0	4162	65537	0	6111	87741	110040
213	0	4162	65845	0	6111	88209	110623
214	0	4162	66153	0	6111	88632	111050
215	0	4162	66461	0	6111	89234	111480
216	0	4162	66769	0	6111	89734	111980
217	0	4162	67077	0	6111	90224	112660
218	0	4162	67385	0	6111	90934	113110
219	0	4162	67693	0	6111	91404	113740
220	0	4162	68001	0	6111	92044	114250
221	0	4162	68309	0	6111	92564	114760
222	0	4162	68617	0	6111	93034	115480
223	0	4162	68925	0	6111	93794	115919
224	0	4162	69233	0	6111	94244	116470
225	0	4162	69541	0	6111	94934	116930
226	0	4162	69849	0	6111	95484	117400
227	0	4162	70157	0	6111	96127	118083
228	0	4162	70465	0	6111	96734	118550
