bin,gene,accession,uniqueID,partner,Nij
685,ZNF391,NM_001076781,15010,NA,1
1215,NA,NA,NA,NA,1
1217,NA,NA,NA,NA,1
1222,NA,NA,NA,NA,1
1229,NA,NA,NA,NA,1
1233,NA,NA,NA,NA,1
1255,NA,NA,NA,NA,1
1259,NA,NA,NA,NA,1
1268,TFAP2D,NM_172238,14308,NA,1
1301,MIR133B;MIR206,NR_029903;NR_029713,15783;15784,NA,1
1303,IL17F,NM_052872,15788,NA,1
1304,MCM3,NM_002388,15785,NA,1
1321,NA,NA,NA,NA,1
1328,NA,NA,NA,NA,1
1329,ELOVL5;MIR5685,NM_001242828;NR_049866,15805;15806,NA,1
1358,NA,NA,NA,NA,1
1362,NA,NA,NA,NA,1
1363,NA,NA,NA,NA,1
1369,FAM83B,NM_001010872,14330,NA,1
1375,NA,NA,NA,NA,1
1435,PRIM2,NM_000947,14339,NA,68
1548,NA,NA,NA,NA,1
1549,NA,NA,NA,NA,1
1550,NA,NA,NA,NA,1
1551,NA,NA,NA,NA,1
1552,NA,NA,NA,NA,1
1553,NA,NA,NA,NA,1
1555,NA,NA,NA,NA,1
1556,NA,NA,NA,NA,1
1557,NA,NA,NA,NA,1
1558,MTRNR2L9,NM_001190706,15831,NA,1
1559,NA,NA,NA,NA,1
1560,KHDRBS2,NM_152688,14018,NA,1
1561,KHDRBS2,NM_152688,14018,NA,1
1562,KHDRBS2,NM_152688,14018,NA,1
1563,KHDRBS2,NM_152688,14018,NA,1
1564,KHDRBS2,NM_152688,14018,NA,1
1565,KHDRBS2,NM_152688,14018,NA,1
1566,KHDRBS2,NM_152688,14018,NA,1
1567,KHDRBS2,NM_152688,14018,NA,1
1568,KHDRBS2,NM_152688,14018,NA,1
1569,KHDRBS2,NM_152688,14018,NA,1
1571,KHDRBS2,NM_152688,14018,NA,1
1572,KHDRBS2,NM_152688,14018,NA,1
1573,KHDRBS2,NM_152688,14018,NA,1
1575,KHDRBS2,NM_152688,14018,NA,1
1580,NA,NA,NA,NA,1
1582,NA,NA,NA,NA,1
1585,NA,NA,NA,NA,1
1586,NA,NA,NA,NA,1
1587,NA,NA,NA,NA,1
1588,NA,NA,NA,NA,1
1589,NA,NA,NA,NA,1
1591,NA,NA,NA,NA,1
1592,NA,NA,NA,NA,1
1593,NA,NA,NA,NA,1
1595,NA,NA,NA,NA,1
1606,NA,NA,NA,NA,1
1608,PTP4A1,NM_003463,15834,NA,1
1615,EYS,NM_001142800,14017,NA,1
1618,EYS,NM_001142800,14017,NA,1
1629,EYS,NM_001142800,14017,NA,1
1633,EYS,NM_001142800,14017,NA,1
1637,EYS,NM_001142800,14017,NA,1
1647,EYS,NM_001142800,14017,NA,1
1652,EYS,NM_001142800,14017,NA,1
1678,NA,NA,NA,NA,1
1692,NA,NA,NA,NA,1
1758,NA,NA,NA,NA,1
