State,Grp0,Grp1,Grp2,Grp3,Grp4
1,WC,WC,WC,WC,WC
2,NC,NC,NC,NC,NC
3,NC-pan_high,NC-pan,NC-1nonhom,NC,NC-LS
4,C-high,C-high,C-high,C,C-high
5,NC,NC,NC,NC,NC
6,C-low,C-low,C-low,C,C-low
7,NC-gor_low,NC-gor,NC-1nonhom,NC,NC-LS
8,NC-gor_low,NC-gor,NC-1nonhom,NC,NC-LS
9,NC,NC,NC,NC,NC
10,NC-pyg_low,NC-pyg,NC-1nonhom,NC,NC-LS
11,WC,WC,WC,WC,WC
12,C-high,C-high,C-high,C,C-high
13,WC,WC,WC,WC,WC
14,NC-hom_high,NC-hom,NC-hom,NC,NC-hom_high
15,C-mid,C-mid,C-mid,C,C-mid
16,C-mid,C-mid,C-mid,C,C-mid
17,NC-gor_high,NC-gor,NC-1nonhom,NC,NC-LS
18,NC-hom_low,NC-hom,NC-hom,NC,NC-hom_low
19,NC-pyg_high,NC-pyg,NC-1nonhom,NC,NC-LS
20,NC-hom_low,NC-hom,NC-hom,NC,NC-hom_low
21,NC-pyg_low,NC-pyg,NC-1nonhom,NC,NC-LS
22,WC,WC,WC,WC,WC
23,C-mid,C-mid,C-mid,C,C-mid
24,C-mid,C-mid,C-mid,C,C-mid
25,NC,NC,NC,NC,NC
26,NC,NC,NC,NC,NC
27,NC-pan_low,NC-pan,NC-1nonhom,NC,NC-LS
28,NC-hom_low,NC-hom,NC-hom,NC,NC-hom_low
29,WC,WC,WC,WC,WC
30,NC-hom_low,NC-hom,NC-hom,NC,NC-hom_low
