1,WC,F8A889
2,NC,D7D8D7
3,NC-pan_high,E4AB23
4,C-high,670912
5,NC,D7D8D7
6,C-low,F0694C
7,NC-gor_low,97509D
8,NC-gor_low,97509D
9,NC,D7D8D7
10,NC-pyg_low,3E8B41
11,WC,F8A889
12,C-high,670912
13,WC,F8A889
14,NC-hom_high,80B1D2
15,C-mid,C92028
16,C-mid,C92028
17,NC-gor_high,E289B9
18,NC-hom_low,387EB9
19,NC-pyg_high,76AC75
20,NC-hom_low,387EB9
21,NC-pyg_low,3E8B41
22,WC,F8A889
23,C-mid,C92028
24,C-mid,C92028
25,NC,D7D8D7
26,NC,D7D8D7
27,NC-pan_low,A55627
28,NC-hom_low,387EB9
29,WC,F8A889
30,NC-hom_low,387EB9
