,Co,Hi,Lu,LV,RV,Ao,PM,Pa,Sp,Li,SB,AG,Ov,Bl,MesC,MSC,NPC,TLC,ESC,FC,LC,allCT
1,4796,5612,1627,8244,7238,15660,2574,3726,4286,19324,3213,3503,3713,6100,8715,11467,4236,7672,4317,32880,19565,178468
2,12457,15209,4587,21448,19018,39218,7202,10164,10723,50343,8856,9705,10473,15944,23886,32125,10687,20602,12420,75483,47876,229213
3,22081,26302,7936,36531,33318,65454,12947,17968,18003,83496,16277,17052,18475,27088,42290,56934,17638,34823,23542,116802,78890,257949
4,31039,36448,11346,51928,47353,88511,19150,25696,25361,112587,23648,24694,25740,38041,60014,79871,24017,48924,35252,146643,103289,264888
5,37992,43931,13998,63415,58137,105041,23908,31658,30394,130034,30385,31300,32090,46253,73330,96413,28739,59623,46455,162037,118792,252785
6,42277,48469,15745,69917,63987,111890,27259,35670,33671,135357,34509,35101,35902,50846,81911,104207,31878,66058,54058,162301,122889,227317
7,43195,49233,16443,71523,65442,109526,28729,36812,34063,129856,35749,36722,37197,51331,83090,104662,32174,67036,58334,151320,118300,194391
8,41922,46504,16107,67483,61993,99909,28019,35619,32669,115109,34898,35965,35388,48578,78653,96007,31070,63828,58201,130982,105696,158075
9,37940,42267,14565,60675,56088,86105,25835,32506,29290,97075,31647,33048,32555,43764,70265,83794,28448,57654,54745,107774,89726,123974
10,33057,36253,13117,52082,48426,70474,22906,28464,25470,78299,27603,29040,28198,36988,59559,69665,24657,49927,48643,84919,72693,94044
11,27791,30363,11158,42089,39546,55066,19169,24012,21252,60257,23153,24363,23323,30477,48335,54912,20933,41342,40909,64122,56824,69036
12,23029,24836,9533,33897,32182,42637,16017,19848,17660,45764,18729,20287,19278,24889,38462,42701,17807,33867,33878,47998,43673,50581
13,18758,20239,8003,26834,25403,32234,12982,16310,14237,34292,15243,16641,15773,19802,29988,32298,15048,26921,26937,35336,32755,36618
14,14859,15686,6253,20091,19358,23281,10214,12576,11253,24480,11875,13260,12056,15473,22253,23436,12183,20562,20676,25001,23784,25615
15,11911,12403,5283,15230,14718,17133,8144,10086,8813,17748,9273,10664,9599,12132,16665,17289,10242,15602,15765,17990,17390,18272
16,9335,9674,4432,11549,11241,12467,6527,8027,6943,12837,7505,8472,7627,9530,12331,12598,8334,11774,11795,12924,12606,13033
17,6916,7151,3512,8189,8020,8632,4991,5961,5336,8770,5745,6509,5753,7047,8555,8698,6489,8297,8290,8810,8694,8845
18,4964,4991,2717,5541,5457,5694,3757,4344,3913,5756,4162,4681,4260,4979,5693,5749,4805,5582,5569,5773,5725,5784
19,3269,3314,2080,3513,3483,3557,2677,3029,2716,3568,2871,3161,2950,3311,3562,3567,3197,3536,3517,3579,3563,3580
20,1676,1683,1296,1738,1732,1748,1522,1623,1528,1749,1584,1667,1595,1706,1742,1748,1670,1741,1735,1749,1748,1749
21,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520,520
allCp,429784,481088,170258,672437,622660,994757,285049,364619,338101,1167221,347445,366355,362465,494799,769819,938661,334772,645891,565558,1394943,1084998,2214737
