,Co,Hi,Lu,LV,RV,Ao,PM,Pa,Sp,Li,SB,AG,Ov,Bl,MesC,MSC,NPC,TLC,ESC,FC,LC,allCT
1,499162,615617,207850,1014763,879294,1446850,277425,484743,553037,2086326,501904,434599,497241,629713,984988,865600,651224,795325,532906,3172810,2561138,19692515
2,1018967,1233154,419892,1994768,1752084,2926063,587809,986699,1061490,4053866,1048887,921180,1005012,1280177,1993362,1879584,1216792,1606805,1112595,5739661,4643105,19240976
3,1349945,1607948,547883,2570532,2277498,3841861,806366,1284658,1330895,5096238,1385558,1237182,1305939,1685758,2641388,2694503,1481650,2114880,1524257,6882505,5546374,16404606
4,1485504,1743529,594003,2759269,2465361,4176006,912252,1379546,1387720,5318960,1500833,1366150,1408961,1844418,2948443,3224886,1512331,2328657,1765146,6948405,5573180,13160890
5,1498842,1733739,591722,2724034,2443850,4133784,943850,1353810,1338009,5070105,1478887,1373200,1398353,1841996,3039262,3481032,1435856,2360781,1904019,6468592,5186822,10360109
6,1449372,1656581,566806,2579657,2320709,3890454,927075,1276685,1239886,4624568,1395707,1323548,1334877,1757030,2995111,3509232,1328404,2291694,1981135,5757506,4645645,8141947
7,1365693,1543780,530359,2383928,2149936,3533949,891437,1180406,1130331,4097772,1287739,1243965,1248090,1635642,2850188,3351717,1219093,2167226,1989809,4971201,4061794,6404865
8,1261473,1413631,489964,2151244,1950165,3109803,832886,1076885,1015909,3530500,1162852,1148427,1144226,1490137,2617296,3052059,1108997,1996718,1931645,4171062,3467097,5015372
9,1139925,1263485,443635,1890114,1722928,2647421,759837,961077,897966,2955345,1028133,1034727,1027270,1320223,2314132,2657402,991507,1787176,1794476,3395218,2883773,3879530
10,1005698,1103909,393508,1616678,1481646,2182974,675251,841553,778110,2402544,888089,909747,894734,1144156,1969088,2221305,869658,1554200,1596398,2683893,2333111,2954625
11,867794,945518,343580,1345074,1242582,1749748,587874,723058,662113,1901927,751785,783955,764250,967726,1619728,1795230,748194,1317614,1366145,2073019,1843880,2218254
12,733619,791516,295486,1092737,1016644,1368412,497690,608081,551377,1469315,622434,662108,635098,800341,1295033,1407348,636803,1085867,1130092,1565368,1424351,1640810
13,610397,650975,250600,870114,816489,1047761,414517,504431,452716,1112737,505991,548539,520302,651625,1011554,1078297,534187,875118,908862,1163246,1080993,1200727
14,498001,525773,209517,675318,640140,784932,339707,411872,366347,824099,405691,446747,416858,519706,768465,805815,441343,688166,707700,848643,803906,866339
15,400065,418139,176037,517796,495463,579586,274639,332789,293224,602328,322058,360419,331722,411173,574508,593783,361225,528811,541179,613340,590781,621271
16,308509,318969,143884,379951,366965,412408,217105,259189,227701,423660,249233,279511,255854,313970,411180,419858,284173,388191,393620,428091,417578,431225
17,226708,232616,114560,266758,259890,281399,166364,195226,172168,286528,185819,209508,191469,229695,281356,285031,213162,271548,273594,288001,283504,289112
18,153426,155898,86103,171715,169079,177202,119243,135694,120984,179129,128802,144184,132657,154500,177406,178537,146580,173741,174452,179463,178001,179822
19,90999,91894,58989,97717,96823,99204,76364,83964,76678,99693,79956,87571,82104,91552,99286,99587,88777,98321,98478,99777,99378,99848
20,43489,43651,34167,44924,44748,45140,39642,41966,39801,45205,40343,42771,41189,43678,45160,45198,43024,44998,45026,45220,45160,45225
21,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281,13281
allCp,16020869,18103603,6511826,27160372,24605575,38448238,10360614,14135613,13709743,46194126,14983982,14571319,14649487,18826497,30650215,33659285,15326261,24489118,21784815,57508302,47682852,112861349
