,Co,Hi,Lu,LV,RV,Ao,PM,Pa,Sp,Li,SB,AG,Ov,Bl,MesC,MSC,NPC,TLC,ESC,FC,LC,allCT
1,14303,17659,5806,33690,31117,137168,9237,40103,16055,73694,42359,40526,42923,19526,28063,32218,14990,20797,14437,356858,188893,1180422
2,33359,40139,13524,78490,71591,287048,21710,87054,35067,160861,92757,90339,92564,44180,65419,82889,33412,49202,35059,611580,372006,1199125
3,46826,55658,18946,110293,98742,352540,31290,110075,46671,212653,118943,116581,118015,61443,93578,127150,45002,69911,52471,644946,432473,988069
4,51953,61142,20738,121097,107962,339203,34755,108924,48671,220578,117319,117434,117942,67976,105680,151535,47020,78185,62246,551464,398864,732672
5,51671,59496,20533,116255,103748,288928,34545,95761,45424,202390,103698,105147,105202,66229,107504,157414,43978,77556,67672,432686,329718,523111
6,48154,55039,18603,105131,93411,233186,31749,80370,40174,174571,87001,89785,88055,59755,102557,147516,40034,72189,68585,325421,258600,369981
7,42908,48227,16669,90866,79856,183085,28162,66392,35051,144535,71085,74870,73307,52525,92192,129347,34703,65629,64793,240545,198322,261867
8,37416,41766,14475,76112,67016,140285,24465,54452,29676,115951,58055,61435,59651,44845,79597,107724,29933,57207,59031,175359,149093,185443
9,31767,34877,12076,61241,54292,105180,20319,43757,25012,90479,46190,49668,47462,37051,66292,86453,25379,48393,51090,125700,110067,130305
10,26164,28523,10319,47970,43180,76896,16661,34631,20197,68440,35440,39116,37194,30075,52824,66560,21221,39877,41945,88472,79835,90554
11,21151,22777,8468,36947,33355,55180,13413,26937,15946,50651,27237,29986,28426,23753,41152,50109,17635,32633,33983,61714,56993,62586
12,16978,18091,6855,28039,25655,39608,10827,20842,12696,37110,21006,23265,21699,18692,31801,36917,14479,25975,27120,43118,40711,43457
13,13174,13978,5481,20964,19195,27650,8234,15708,9826,26366,15584,17444,16050,14365,23630,26535,11837,19969,20578,29437,28236,29557
14,10062,10583,4232,14916,13992,18778,6460,11417,7383,18186,11160,12865,11710,10899,16813,18194,9212,14667,15128,19613,19054,19666
15,7378,7694,3287,10449,9819,12346,4693,8263,5416,12145,8029,9043,8252,7825,11564,12197,6983,10293,10569,12748,12527,12768
16,5083,5221,2471,6765,6449,7691,3391,5515,3814,7613,5361,6017,5480,5418,7381,7613,4987,6830,6885,7841,7758,7849
17,3148,3230,1673,4002,3809,4320,2194,3364,2431,4273,3227,3581,3339,3319,4206,4295,3080,3990,4021,4364,4339,4365
18,1722,1749,985,2015,1963,2139,1249,1770,1397,2131,1755,1892,1764,1801,2105,2132,1718,2035,2039,2147,2138,2147
19,763,759,491,839,825,863,601,778,641,861,764,807,762,775,854,863,766,849,846,865,863,865
20,257,258,198,267,263,269,225,255,243,270,250,266,250,259,269,270,254,268,269,270,270,270
21,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
allCp,464279,526908,185872,966390,866282,2312405,304222,816410,401833,1623800,867262,890109,880089,570753,933523,1247973,406665,696497,638809,3735190,2690802,5845121
