,Co,Hi,Lu,LV,RV,Ao,PM,Pa,Sp,Li,SB,AG,Ov,Bl,MesC,MSC,NPC,TLC,ESC,FC,LC,allCT
1,1899,1934,1452,2018,2012,2039,1659,1880,1886,2038,1746,1778,1775,1943,2020,2029,1812,1988,1918,2042,2040,2043
2,2020,2019,1913,2037,2032,2036,1987,2016,2022,2038,2008,2009,2006,2027,2037,2035,2002,2028,2031,2039,2037,2041
3,2013,2016,1992,2027,2026,2032,2002,2013,2019,2031,2010,2013,2008,2018,2030,2028,2015,2025,2021,2032,2031,2037
4,2007,2006,1980,2022,2018,2021,1992,2002,2009,2025,2000,2001,1994,2012,2025,2025,2006,2011,2020,2029,2024,2032
5,1994,1988,1972,2012,2016,2016,1987,2003,2003,2020,1990,1994,1991,2010,2017,2020,2001,2012,2017,2023,2019,2025
6,1986,1986,1969,2010,2008,2011,1981,1987,1992,2012,1985,1992,1979,1995,2014,2013,1993,2009,2008,2018,2013,2020
7,1976,1979,1956,2001,1995,1998,1979,1976,1989,2006,1968,1983,1973,1989,2002,2005,1985,1988,1999,2006,2005,2010
8,1968,1980,1954,1995,1995,1999,1968,1977,1983,1999,1968,1979,1970,1987,1998,2001,1974,1993,1995,1999,1999,2005
9,1966,1966,1943,1988,1989,1990,1952,1969,1979,1995,1960,1969,1956,1981,1987,1994,1974,1982,1985,1995,1993,1997
10,1964,1964,1927,1980,1981,1980,1953,1962,1974,1985,1952,1960,1954,1972,1982,1984,1967,1972,1981,1986,1983,1986
11,1962,1955,1924,1975,1976,1977,1946,1953,1967,1978,1953,1959,1944,1969,1976,1977,1960,1972,1974,1977,1977,1979
12,1955,1961,1908,1968,1968,1968,1941,1952,1959,1972,1945,1951,1935,1961,1971,1971,1955,1970,1969,1972,1972,1972
13,1949,1955,1909,1964,1962,1963,1927,1946,1959,1967,1932,1948,1923,1956,1966,1965,1953,1962,1966,1966,1966,1967
14,1944,1940,1903,1954,1950,1955,1927,1939,1943,1955,1929,1938,1932,1946,1954,1956,1942,1954,1951,1955,1956,1956
15,1940,1936,1891,1944,1941,1947,1915,1932,1945,1948,1916,1932,1912,1941,1947,1947,1924,1947,1948,1948,1947,1948
16,1927,1931,1897,1933,1932,1933,1908,1916,1927,1935,1910,1923,1899,1925,1935,1935,1921,1932,1935,1933,1932,1935
17,1920,1919,1881,1929,1934,1933,1903,1917,1924,1934,1905,1920,1890,1925,1934,1934,1928,1932,1932,1934,1934,1934
18,1903,1903,1854,1907,1905,1909,1885,1887,1902,1909,1876,1898,1873,1902,1909,1909,1900,1908,1909,1909,1909,1909
19,1860,1862,1829,1867,1868,1867,1842,1860,1860,1866,1845,1859,1836,1865,1868,1868,1858,1867,1868,1868,1868,1868
20,1796,1793,1763,1796,1796,1797,1771,1787,1784,1797,1771,1787,1782,1792,1797,1797,1792,1797,1797,1797,1797,1797
21,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581
allCp,40530,40574,39398,40908,40885,40952,40006,40455,40607,40991,40150,40374,40113,40697,40950,40974,40443,40830,40805,41009,40983,41042
