,Co,Hi,Lu,LV,RV,Ao,PM,Pa,Sp,Li,SB,AG,Ov,Bl,MesC,MSC,NPC,TLC,ESC,FC,LC,allCT
1,68704,69170,63662,69885,69726,70531,66050,68213,68516,70687,67813,67851,67599,69086,70004,70256,68207,69680,68476,70772,70718,70920
2,70290,70370,68669,70580,70524,70657,69605,70100,70201,70707,70012,70078,70007,70364,70623,70678,70135,70524,70369,70707,70705,70805
3,70354,70381,69693,70522,70500,70566,70077,70262,70329,70616,70237,70284,70238,70435,70566,70592,70352,70515,70510,70605,70604,70693
4,70276,70288,69767,70434,70417,70465,70075,70211,70285,70518,70146,70234,70122,70332,70482,70499,70279,70416,70429,70519,70509,70594
5,70166,70175,69731,70355,70337,70373,69982,70136,70184,70427,70033,70100,70036,70201,70401,70420,70162,70340,70335,70435,70430,70504
6,70044,70061,69607,70258,70237,70283,69817,70003,70108,70361,69893,69997,69868,70086,70317,70343,70078,70285,70252,70360,70361,70432
7,69952,69975,69415,70179,70124,70192,69642,69907,70026,70276,69742,69859,69686,69987,70243,70239,69959,70178,70163,70274,70264,70320
8,69851,69878,69128,70120,70047,70117,69467,69795,69916,70195,69598,69734,69509,69859,70177,70171,69854,70105,70106,70202,70214,70260
9,69749,69768,68908,70041,69963,70025,69272,69707,69788,70131,69404,69560,69322,69785,70104,70118,69764,70028,70002,70129,70134,70182
10,69629,69647,68585,69903,69864,69932,69077,69581,69681,70014,69195,69443,69096,69651,70008,70003,69600,69932,69921,70023,70030,70056
11,69505,69530,68327,69810,69768,69832,68846,69461,69563,69928,69057,69337,68847,69506,69916,69901,69478,69849,69835,69941,69929,69962
12,69349,69437,67918,69670,69623,69699,68590,69321,69414,69784,68872,69161,68513,69347,69778,69779,69364,69721,69700,69798,69800,69820
13,69241,69244,67659,69571,69483,69575,68428,69198,69252,69664,68646,69039,68366,69242,69642,69632,69198,69607,69586,69665,69668,69682
14,69040,69103,67334,69353,69306,69367,68149,68982,69032,69453,68430,68825,68154,69024,69434,69430,69004,69400,69371,69465,69457,69471
15,68877,68884,67168,69135,69099,69163,67910,68767,68851,69243,68154,68613,67897,68804,69235,69223,68817,69205,69159,69248,69239,69254
16,68535,68568,66931,68830,68773,68858,67562,68416,68513,68914,67828,68336,67545,68505,68911,68907,68496,68882,68856,68917,68912,68926
17,68079,68147,66688,68385,68341,68396,67233,68015,68069,68455,67488,67943,67111,68060,68447,68451,68054,68427,68409,68450,68451,68458
18,67365,67410,66015,67635,67587,67632,66494,67247,67325,67681,66710,67202,66458,67326,67677,67675,67351,67666,67655,67682,67686,67687
19,66185,66237,64941,66414,66368,66414,65449,66087,66102,66445,65675,66043,65382,66145,66445,66443,66173,66427,66428,66447,66445,66448
20,63740,63787,62778,63888,63877,63902,63222,63645,63655,63915,63349,63712,63191,63726,63914,63914,63741,63911,63904,63915,63913,63916
21,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348,57348
allCp,70758,70768,70667,70810,70801,70835,70720,70735,70781,70856,70733,70750,70737,70782,70795,70809,70762,70784,70772,70836,70829,70920
