,Co,Hi,Lu,LV,RV,Ao,PM,Pa,Sp,Li,SB,AG,Ov,Bl,MesC,MSC,NPC,TLC,ESC,FC,LC,allCT
1,3676,3679,3431,3698,3694,3702,3615,3694,3678,3708,3696,3695,3697,3687,3694,3698,3674,3690,3659,3705,3702,3716
2,3685,3688,3670,3691,3689,3694,3680,3691,3687,3694,3688,3689,3689,3687,3689,3694,3689,3687,3685,3698,3695,3700
3,3677,3675,3662,3683,3683,3685,3670,3677,3674,3685,3680,3677,3678,3680,3680,3685,3677,3681,3680,3685,3685,3688
4,3671,3671,3656,3677,3677,3678,3668,3672,3672,3679,3671,3674,3671,3672,3678,3681,3667,3676,3676,3681,3681,3682
5,3666,3667,3638,3672,3672,3673,3653,3666,3664,3674,3668,3668,3669,3667,3673,3675,3661,3673,3670,3675,3672,3677
6,3656,3654,3631,3665,3662,3667,3649,3660,3656,3669,3663,3660,3657,3659,3668,3670,3660,3667,3665,3672,3672,3673
7,3647,3647,3601,3656,3659,3664,3621,3649,3637,3663,3650,3650,3651,3649,3661,3661,3647,3659,3653,3664,3664,3666
8,3633,3632,3556,3648,3642,3648,3604,3637,3627,3651,3633,3636,3634,3634,3646,3650,3630,3645,3640,3652,3655,3655
9,3617,3626,3506,3638,3628,3644,3574,3619,3610,3640,3617,3630,3615,3624,3635,3639,3615,3628,3634,3646,3646,3647
10,3577,3579,3421,3615,3605,3621,3520,3582,3559,3626,3588,3593,3590,3593,3620,3623,3578,3609,3615,3627,3628,3629
11,3543,3553,3335,3592,3582,3600,3462,3548,3505,3603,3544,3561,3549,3555,3600,3599,3534,3589,3592,3609,3611,3611
12,3475,3482,3176,3541,3518,3554,3340,3489,3424,3550,3490,3503,3488,3485,3544,3549,3458,3530,3536,3560,3557,3560
13,3374,3380,3013,3448,3428,3478,3193,3384,3311,3477,3375,3417,3392,3380,3469,3471,3367,3446,3446,3489,3484,3490
14,3219,3243,2764,3328,3316,3363,2997,3247,3120,3358,3238,3278,3244,3226,3349,3361,3187,3322,3338,3378,3373,3378
15,2960,3004,2461,3088,3078,3155,2695,2997,2805,3157,3001,3050,2999,2992,3141,3148,2934,3106,3101,3174,3166,3175
16,2598,2635,2153,2777,2740,2835,2364,2666,2429,2841,2659,2699,2641,2644,2816,2836,2612,2800,2787,2855,2846,2855
17,2136,2150,1635,2281,2255,2329,1853,2153,1939,2315,2143,2209,2153,2143,2304,2323,2060,2286,2289,2336,2334,2337
18,1493,1510,1146,1594,1580,1640,1302,1503,1337,1635,1519,1559,1526,1528,1625,1639,1480,1603,1606,1643,1639,1643
19,848,854,661,903,903,921,745,882,786,924,856,892,852,874,914,923,860,916,909,924,922,924
20,358,362,297,370,367,374,334,361,351,375,354,369,351,363,374,375,358,373,374,375,375,375
21,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
allCp,3696,3695,3688,3698,3695,3702,3695,3696,3696,3708,3696,3695,3697,3695,3697,3698,3695,3697,3694,3705,3702,3716
