,NonHiC_Allbin,HiCAll_Allbin,1_HiCAll,2_HiCAll,3_HiCAll,4_HiCAll,5_HiCAll,6_HiCAll,7_HiCAll,8_HiCAll,9_HiCAll,10_HiCAll,11_HiCAll,12_HiCAll,13_HiCAll,14_HiCAll,15_HiCAll,16_HiCAll,17_HiCAll,18_HiCAll,19_HiCAll,20_HiCAll,21_HiCAll,21_1,1_21
Co,5160,70758,68704,70290,70354,70276,70166,70044,69952,69851,69749,69629,69505,69349,69241,69040,68877,68535,68079,67365,66185,63740,57348,55446,55446
Hi,5150,70768,69170,70370,70381,70288,70175,70061,69975,69878,69768,69647,69530,69437,69244,69103,68884,68568,68147,67410,66237,63787,57348,55862,55862
Lu,5251,70667,63662,68669,69693,69767,69731,69607,69415,69128,68908,68585,68327,67918,67659,67334,67168,66931,66688,66015,64941,62778,57348,51240,51240
LV,5108,70810,69885,70580,70522,70434,70355,70258,70179,70120,70041,69903,69810,69670,69571,69353,69135,68830,68385,67635,66414,63888,57348,56491,56491
RV,5117,70801,69726,70524,70500,70417,70337,70237,70124,70047,69963,69864,69768,69623,69483,69306,69099,68773,68341,67587,66368,63877,57348,56355,56355
Ao,5083,70835,70531,70657,70566,70465,70373,70283,70192,70117,70025,69932,69832,69699,69575,69367,69163,68858,68396,67632,66414,63902,57348,57060,57060
PM,5198,70720,66050,69605,70077,70075,69982,69817,69642,69467,69272,69077,68846,68590,68428,68149,67910,67562,67233,66494,65449,63222,57348,53146,53146
Pa,5183,70735,68213,70100,70262,70211,70136,70003,69907,69795,69707,69581,69461,69321,69198,68982,68767,68416,68015,67247,66087,63645,57348,55039,55039
Sp,5137,70781,68516,70201,70329,70285,70184,70108,70026,69916,69788,69681,69563,69414,69252,69032,68851,68513,68069,67325,66102,63655,57348,55249,55249
Li,5062,70856,70687,70707,70616,70518,70427,70361,70276,70195,70131,70014,69928,69784,69664,69453,69243,68914,68455,67681,66445,63915,57348,57193,57193
SB,5185,70733,67813,70012,70237,70146,70033,69893,69742,69598,69404,69195,69057,68872,68646,68430,68154,67828,67488,66710,65675,63349,57348,54736,54736
AG,5168,70750,67851,70078,70284,70234,70100,69997,69859,69734,69560,69443,69337,69161,69039,68825,68613,68336,67943,67202,66043,63712,57348,54750,54750
Ov,5181,70737,67599,70007,70238,70122,70036,69868,69686,69509,69322,69096,68847,68513,68366,68154,67897,67545,67111,66458,65382,63191,57348,54526,54526
Bl,5136,70782,69086,70364,70435,70332,70201,70086,69987,69859,69785,69651,69506,69347,69242,69024,68804,68505,68060,67326,66145,63726,57348,55787,55787
MesC,5123,70795,70004,70623,70566,70482,70401,70317,70243,70177,70104,70008,69916,69778,69642,69434,69235,68911,68447,67677,66445,63914,57348,56597,56597
MSC,5109,70809,70256,70678,70592,70499,70420,70343,70239,70171,70118,70003,69901,69779,69632,69430,69223,68907,68451,67675,66443,63914,57348,56824,56824
NPC,5156,70762,68207,70135,70352,70279,70162,70078,69959,69854,69764,69600,69478,69364,69198,69004,68817,68496,68054,67351,66173,63741,57348,55028,55028
TLC,5134,70784,69680,70524,70515,70416,70340,70285,70178,70105,70028,69932,69849,69721,69607,69400,69205,68882,68427,67666,66427,63911,57348,56329,56329
ESC,5146,70772,68476,70369,70510,70429,70335,70252,70163,70106,70002,69921,69835,69700,69586,69371,69159,68856,68409,67655,66428,63904,57348,55257,55257
FC,5082,70836,70772,70707,70605,70519,70435,70360,70274,70202,70129,70023,69941,69798,69665,69465,69248,68917,68450,67682,66447,63915,57348,57288,57288
LC,5089,70829,70718,70705,70604,70509,70430,70361,70264,70214,70134,70030,69929,69800,69668,69457,69239,68912,68451,67686,66445,63913,57348,57241,57241
allCT,4998,70920,70920,70805,70693,70594,70504,70432,70320,70260,70182,70056,69962,69820,69682,69471,69254,68926,68458,67687,66448,63916,57348,57348,57348
